pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	EAS	1	2	92	5	TRUE	0.0670833587646484	0	0	0	0
LDL	META	EAS	1	4	410	5	TRUE	2.69282102584839	0	0	0	0
LDL	META	EAS	1	17	1895	5	TRUE	3.68885517120361	0	0	0	0
LDL	META	EAS	1	19	1293	5	TRUE	1.99788451194763	0	0	0	0
LDL	META	EAS	1	23	619	5	TRUE	3.58596014976501	0	0	0	0
LDL	META	EAS	1	35	1520	5	TRUE	4.31717967987061	0	0	0	0
LDL	META	EAS	1	40	795	5	TRUE	1.74559044837952	0	0	0	0
LDL	META	EAS	1	48	696	5	TRUE	1.64666891098022	0	0	0	0
LDL	META	EAS	1	49	435	5	TRUE	1.11907410621643	0	0	0	0
LDL	META	EAS	1	51	609	5	TRUE	12.4251782894135	0	0	1	56
LDL	META	EAS	1	52	1510	5	TRUE	5.72384786605835	0	0	0	0
LDL	META	EAS	1	53	1301	5	TRUE	1.62056827545166	0	0	0	0
LDL	META	EAS	1	58	1568	5	TRUE	4.12773203849792	0	0	0	0
LDL	META	EAS	1	70	1504	5	TRUE	2.22392797470093	0	0	0	0
LDL	META	EAS	1	73	1804	5	TRUE	8.11720395088196	0	0	0	0
LDL	META	EAS	1	75	2597	5	TRUE	6.25586009025574	0	0	0	0
LDL	META	EAS	1	76	1430	5	TRUE	2.01109838485718	0	0	0	0
LDL	META	EAS	1	78	852	5	TRUE	2.12959980964661	0	0	0	0
LDL	META	EAS	1	80	892	5	TRUE	2.19748306274414	0	0	0	0
LDL	META	EAS	1	81	605	5	TRUE	1.98714733123779	0	0	0	0
LDL	META	EAS	1	82	1017	5	TRUE	3.94765138626099	0	0	0	0
LDL	META	EAS	1	83	1632	5	TRUE	2.5721743106842	0	0	0	0
LDL	META	EAS	1	84	2481	5	TRUE	81.2286465167999	0	2	3	19
LDL	META	EAS	1	85	957	5	TRUE	3.64308166503906	0	0	0	0
LDL	META	EAS	1	88	1284	5	TRUE	3.17434287071228	0	0	0	0
LDL	META	EAS	1	89	1333	5	TRUE	1.13838934898376	0	0	0	0
LDL	META	EAS	1	92	1463	5	TRUE	2.26609754562378	0	0	0	0
LDL	META	EAS	1	94	356	5	TRUE	3.63753318786621	0	0	0	0
LDL	META	EAS	1	96	1352	5	TRUE	4.89717102050781	0	0	0	0
LDL	META	EAS	1	97	1582	5	TRUE	25.5460405349731	0	0	1	99
LDL	META	EAS	1	100	1655	5	TRUE	2.68618607521057	0	0	0	0
LDL	META	EAS	1	109	1824	5	TRUE	4.08360314369202	0	0	0	0
LDL	META	EAS	1	124	2070	5	TRUE	1.74415349960327	0	0	0	0
LDL	META	EAS	1	125	2412	5	TRUE	12.7378756999969	0	0	0	0
LDL	META	EAS	1	136	1303	5	TRUE	5.75560760498047	0	0	0	0
LDL	META	EAS	1	138	1601	5	TRUE	15.0315537452698	0	1	1	3
LDL	META	EAS	1	139	433	5	TRUE	1.7530529499054	0	0	0	0
LDL	META	EAS	1	141	755	5	TRUE	4.56855607032776	0	0	0	0
LDL	META	EAS	1	145	886	5	TRUE	0.723698854446411	0	0	0	0
LDL	META	EAS	1	147	1273	5	TRUE	1.07196879386902	0	0	0	0
LDL	META	EAS	1	150	1707	5	TRUE	3.42049503326416	0	0	0	0
LDL	META	EAS	1	151	2374	5	TRUE	3.14805507659912	0	0	0	0
LDL	META	EAS	1	154	2252	5	TRUE	7.82827949523926	0	0	0	0
LDL	META	EAS	1	158	998	5	TRUE	2.25454711914062	0	0	0	0
LDL	META	EAS	1	162	1177	5	TRUE	2.04015064239502	0	0	0	0
LDL	META	EAS	1	163	1118	5	TRUE	3.30802464485168	0	0	0	0
LDL	META	EAS	1	168	1737	5	TRUE	2.06047940254211	0	0	0	0
LDL	META	EAS	1	169	2863	5	TRUE	3.51840901374817	0	0	0	0
LDL	META	EAS	1	175	2312	5	TRUE	5.29336285591125	0	0	0	0
LDL	META	EAS	1	182	2217	5	TRUE	5.85639214515686	0	0	0	0
LDL	META	EAS	1	183	2280	5	TRUE	2.7913932800293	0	0	0	0
LDL	META	EAS	1	187	1544	5	TRUE	2.18075752258301	0	0	0	0
LDL	META	EAS	1	188	1910	5	TRUE	2.92058849334717	0	0	0	0
LDL	META	EAS	1	189	1084	5	TRUE	3.40431189537048	0	0	0	0
LDL	META	EAS	1	191	1581	5	TRUE	3.21597170829773	0	0	0	0
LDL	META	EAS	1	192	1786	5	TRUE	1.35544419288635	0	0	0	0
LDL	META	EAS	1	201	1847	5	TRUE	33.1757621765137	0	0	1	31
LDL	META	EAS	1	202	1602	5	TRUE	3.69313836097717	0	0	0	0
LDL	META	EAS	1	205	652	5	TRUE	1.91500496864319	0	0	0	0
LDL	META	EAS	1	213	887	5	TRUE	1.47170424461365	0	0	0	0
LDL	META	EAS	1	214	763	5	TRUE	8.32750916481018	0	0	0	0
LDL	META	EAS	1	216	1645	5	TRUE	2.1695568561554	0	0	0	0
LDL	META	EAS	1	221	1780	5	TRUE	1.58111047744751	0	0	0	0
LDL	META	EAS	1	223	1818	5	TRUE	2.26996564865112	0	0	0	0
LDL	META	EAS	1	226	665	5	TRUE	3.14868593215942	0	0	0	0
LDL	META	EAS	1	233	2267	5	TRUE	2.6931791305542	0	0	0	0
LDL	META	EAS	1	234	2672	5	TRUE	11.3115978240967	1	1	1	1
LDL	META	EAS	1	238	3671	5	TRUE	3.41202521324158	0	0	0	0
LDL	META	EAS	1	239	997	5	TRUE	2.00733137130737	0	0	0	0
LDL	META	EAS	1	252	732	5	TRUE	30.8965966701508	0	1	2	9
LDL	META	EAS	1	253	210	5	TRUE	1.37199592590332	0	0	0	0
LDL	META	EAS	1	254	1156	5	TRUE	2.1820216178894	0	0	0	0
LDL	META	EAS	1	255	930	5	TRUE	2.28074145317078	0	0	0	0
LDL	META	EAS	1	280	3098	5	TRUE	6.98818135261536	0	0	0	0
LDL	META	EAS	2	6	900	5	TRUE	1.65448617935181	0	0	0	0
LDL	META	EAS	2	19	300	5	TRUE	1.92400217056274	0	0	0	0
LDL	META	EAS	2	21	351	5	TRUE	2.6016948223114	0	0	0	0
LDL	META	EAS	2	27	536	5	TRUE	2.18355584144592	0	0	0	0
LDL	META	EAS	2	34	2092	5	TRUE	2.59305500984192	0	0	0	0
LDL	META	EAS	2	37	714	5	TRUE	2.21425366401672	0	0	0	0
LDL	META	EAS	2	38	1699	5	TRUE	3.75639343261719	0	0	0	0
LDL	META	EAS	2	39	773	5	TRUE	3.33146262168884	0	0	0	0
LDL	META	EAS	2	40	2426	5	TRUE	2.1035144329071	0	0	0	0
LDL	META	EAS	2	41	1053	5	TRUE	7.13541388511658	0	0	0	0
LDL	META	EAS	2	43	198	5	TRUE	1.95470070838928	0	0	0	0
