pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	EUR	1	2	820	5	TRUE	1.89012384414673	0	0	0	0
LDL	META	EUR	1	4	1277	5	TRUE	17.1320991516113	0	0	1	4
LDL	META	EUR	1	17	3343	5	TRUE	12.2896790504456	0	0	0	0
LDL	META	EUR	1	19	2679	5	TRUE	8.92809462547302	0	0	0	0
LDL	META	EUR	1	23	994	5	TRUE	15.553528547287	0	0	1	11
LDL	META	EUR	1	35	3121	5	TRUE	83.3995766639709	1	1	2	4
LDL	META	EUR	1	40	1268	5	TRUE	8.93817806243896	0	0	1	8
LDL	META	EUR	1	48	1233	5	TRUE	63.7175748348236	1	2	3	14
LDL	META	EUR	1	49	1066	5	TRUE	3.13937020301819	0	0	0	0
LDL	META	EUR	1	51	1253	5	TRUE	24.4078931808472	0	0	2	24
LDL	META	EUR	1	52	3176	5	TRUE	195.559209108353	0	2	2	19
LDL	META	EUR	1	53	3012	5	TRUE	140.362683534622	0	1	2	8
LDL	META	EUR	1	58	3188	5	TRUE	24.1196320056915	0	1	1	2
LDL	META	EUR	1	70	2543	5	TRUE	13.2193925380707	0	0	1	23
LDL	META	EUR	1	73	3261	5	TRUE	38.0361778736115	0	0	1	25
LDL	META	EUR	1	75	4012	5	TRUE	78.8023335933685	0	1	2	8
LDL	META	EUR	1	76	1869	5	TRUE	4.85952091217041	0	0	0	0
LDL	META	EUR	1	78	1244	5	TRUE	6.98257827758789	0	0	1	6
LDL	META	EUR	1	80	1184	5	TRUE	2.56735277175903	0	0	0	0
LDL	META	EUR	1	81	889	5	TRUE	2.68896102905273	0	0	0	0
LDL	META	EUR	1	82	1970	5	TRUE	342.684435367584	4	4	4	4
LDL	META	EUR	1	83	2368	10	TRUE	690.851340055466	7	9	8	13
LDL	META	EUR	1	84	3556	20	TRUE	6094.36846113205	16	18	20	30
LDL	META	EUR	1	85	1239	5	TRUE	41.6058149337769	1	3	1	1
LDL	META	EUR	1	88	1969	5	TRUE	5.9100980758667	0	0	0	0
LDL	META	EUR	1	89	1959	5	TRUE	2.98247623443604	0	0	0	0
LDL	META	EUR	1	92	2564	5	TRUE	3.17784976959229	0	0	0	0
LDL	META	EUR	1	94	675	5	TRUE	100.035787343979	0	1	3	28
LDL	META	EUR	1	96	2274	5	TRUE	26.1158573627472	0	1	1	3
LDL	META	EUR	1	97	2748	5	TRUE	20.1241228580475	0	1	1	3
LDL	META	EUR	1	100	2143	5	TRUE	5.65651154518127	0	0	0	0
LDL	META	EUR	1	109	2991	5	TRUE	18.1105711460114	0	0	1	31
LDL	META	EUR	1	124	3741	5	TRUE	47.0303738117218	0	0	1	8
