pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	UKBB	EUR	1	2	820	5	TRUE	3.68621826171875	0	0	0	0
LDL	UKBB	EUR	1	4	1277	5	TRUE	7.54677581787109	0	0	0	0
LDL	UKBB	EUR	1	17	3343	5	TRUE	11.3130822181702	0	0	0	0
LDL	UKBB	EUR	1	19	2679	5	TRUE	17.7457141876221	0	0	1	4
LDL	UKBB	EUR	1	23	994	5	TRUE	1.21191263198853	0	0	0	0
LDL	UKBB	EUR	1	35	3121	5	TRUE	27.4140532016754	0	1	1	17
LDL	UKBB	EUR	1	40	1268	5	TRUE	3.99280333518982	0	0	0	0
LDL	UKBB	EUR	1	48	1233	5	TRUE	11.6796488761902	1	1	2	7
LDL	UKBB	EUR	1	49	1066	5	TRUE	3.6149001121521	0	0	0	0
LDL	UKBB	EUR	1	51	1253	5	TRUE	6.50412940979004	0	0	1	21
LDL	UKBB	EUR	1	52	3176	5	TRUE	56.1129469871521	0	1	2	30
LDL	UKBB	EUR	1	53	3012	5	TRUE	23.425812959671	0	0	0	0
LDL	UKBB	EUR	1	58	3188	5	TRUE	7.51675701141357	0	0	0	0
LDL	UKBB	EUR	1	70	2543	5	TRUE	6.56845593452454	0	0	0	0
LDL	UKBB	EUR	1	73	3261	5	TRUE	5.75424981117249	0	0	0	0
LDL	UKBB	EUR	1	75	4012	5	TRUE	54.6220407485962	0	0	1	48
LDL	UKBB	EUR	1	76	1869	5	TRUE	3.26997303962708	0	0	0	0
LDL	UKBB	EUR	1	78	1244	5	TRUE	2.96611475944519	0	0	0	0
LDL	UKBB	EUR	1	80	1184	5	TRUE	0.955255746841431	0	0	0	0
LDL	UKBB	EUR	1	81	889	5	TRUE	1.75476384162903	0	0	0	0
LDL	UKBB	EUR	1	82	1970	5	TRUE	8.74124121665955	0	0	0	0
LDL	UKBB	EUR	1	83	2368	5	TRUE	130.390736103058	4	4	4	4
LDL	UKBB	EUR	1	84	3556	10	TRUE	789.464030265808	6	7	9	16
LDL	UKBB	EUR	1	85	1239	5	TRUE	14.4105494022369	1	1	1	1
LDL	UKBB	EUR	1	88	1969	5	TRUE	0.965203523635864	0	0	0	0
LDL	UKBB	EUR	1	89	1959	5	TRUE	4.23982906341553	0	0	0	0
LDL	UKBB	EUR	1	92	2564	5	TRUE	5.58244633674622	0	0	0	0
LDL	UKBB	EUR	1	94	675	5	TRUE	11.0743670463562	0	0	0	0
LDL	UKBB	EUR	1	96	2274	5	TRUE	23.562659740448	1	1	1	1
LDL	UKBB	EUR	1	97	2748	5	TRUE	23.2944366931915	0	0	1	32
LDL	UKBB	EUR	1	100	2143	5	TRUE	2.08319234848022	0	0	0	0
LDL	UKBB	EUR	1	109	2991	5	TRUE	8.14824843406677	0	0	0	0
LDL	UKBB	EUR	1	124	3741	5	TRUE	11.1616992950439	0	0	0	0
LDL	UKBB	EUR	1	125	4466	5	TRUE	148.986477375031	1	1	3	79
LDL	UKBB	EUR	1	136	2553	5	TRUE	6.27008390426636	0	0	0	0
LDL	UKBB	EUR	1	138	3465	5	TRUE	22.8040401935577	0	1	1	2
LDL	UKBB	EUR	1	139	893	5	TRUE	33.546813249588	0	0	1	18
LDL	UKBB	EUR	1	141	1476	5	TRUE	3.14756608009338	0	0	0	0
LDL	UKBB	EUR	1	145	1711	5	TRUE	6.83459639549255	0	0	0	0
LDL	UKBB	EUR	1	147	2696	5	TRUE	7.08049035072327	0	0	0	0
LDL	UKBB	EUR	1	150	2630	5	TRUE	25.4822397232056	1	1	1	1
LDL	UKBB	EUR	1	151	3285	5	TRUE	6.32915186882019	0	0	0	0
LDL	UKBB	EUR	1	154	3946	5	TRUE	30.2460405826569	0	0	1	32
LDL	UKBB	EUR	1	158	2620	5	TRUE	5.34230923652649	0	0	0	0
LDL	UKBB	EUR	1	162	2107	5	TRUE	8.28073453903198	0	0	0	0
LDL	UKBB	EUR	1	163	1937	5	TRUE	5.23211312294006	0	0	0	0
LDL	UKBB	EUR	1	168	2971	5	TRUE	14.0242629051208	0	0	0	0
LDL	UKBB	EUR	1	169	4058	5	TRUE	7.64560770988464	0	0	0	0
LDL	UKBB	EUR	1	175	3927	5	TRUE	12.7568714618683	0	0	0	0
LDL	UKBB	EUR	1	182	3512	5	TRUE	6.46156024932861	0	0	0	0
LDL	UKBB	EUR	1	183	3699	5	TRUE	38.9592490196228	0	0	1	98
LDL	UKBB	EUR	1	187	2531	5	TRUE	8.60206818580627	0	0	0	0
LDL	UKBB	EUR	1	188	2838	5	TRUE	4.86634397506714	0	0	0	0
LDL	UKBB	EUR	1	189	1966	5	TRUE	6.08765196800232	0	0	0	0
LDL	UKBB	EUR	1	191	2690	5	TRUE	11.3868002891541	0	0	1	15
LDL	UKBB	EUR	1	192	2752	5	TRUE	22.7345895767212	0	0	1	37
LDL	UKBB	EUR	1	201	2900	5	TRUE	4.29690837860107	0	0	0	0
LDL	UKBB	EUR	1	202	2869	5	TRUE	24.2720212936401	0	0	1	7
LDL	UKBB	EUR	1	205	1048	5	TRUE	4.15507292747498	0	0	0	0
LDL	UKBB	EUR	1	213	1537	5	TRUE	4.49627065658569	0	0	0	0
LDL	UKBB	EUR	1	214	1378	5	TRUE	4.02452206611633	0	0	0	0
LDL	UKBB	EUR	1	216	2890	5	TRUE	6.17663550376892	0	0	0	0
LDL	UKBB	EUR	1	221	2474	5	TRUE	7.29610013961792	0	0	0	0
LDL	UKBB	EUR	1	223	3129	5	TRUE	4.47407722473145	0	0	0	0
LDL	UKBB	EUR	1	226	1276	5	TRUE	4.34498834609985	0	0	0	0
LDL	UKBB	EUR	1	233	3391	5	TRUE	7.23237085342407	0	0	0	0
LDL	UKBB	EUR	1	234	3921	5	TRUE	125.688990116119	2	2	3	6
LDL	UKBB	EUR	1	238	4968	5	TRUE	55.8112397193909	0	0	1	27
LDL	UKBB	EUR	1	239	1376	5	TRUE	4.82010841369629	0	0	0	0
LDL	UKBB	EUR	1	252	1272	5	TRUE	93.4518311023712	0	1	3	30
LDL	UKBB	EUR	1	253	580	5	TRUE	65.3808858394623	0	3	2	5
LDL	UKBB	EUR	1	254	2227	5	TRUE	25.7064952850342	0	0	1	6
LDL	UKBB	EUR	1	255	1251	5	TRUE	2.767657995224	0	0	0	0
LDL	UKBB	EUR	1	280	5124	5	TRUE	13.4384205341339	0	0	0	0
LDL	UKBB	EUR	2	6	1476	5	TRUE	6.6321747303009	0	0	1	4
LDL	UKBB	EUR	2	19	473	5	TRUE	1.73517251014709	0	0	0	0
LDL	UKBB	EUR	2	21	950	5	TRUE	10.9160661697388	0	0	1	17
LDL	UKBB	EUR	2	27	1184	5	TRUE	24.2196218967438	0	1	1	4
LDL	UKBB	EUR	2	34	3502	5	TRUE	8.20172667503357	0	0	0	0
LDL	UKBB	EUR	2	37	1298	5	TRUE	2.86860036849976	0	0	0	0
LDL	UKBB	EUR	2	38	2763	5	TRUE	9.73671388626099	0	0	0	0
LDL	UKBB	EUR	2	39	1208	5	TRUE	2.61971354484558	0	0	0	0
LDL	UKBB	EUR	2	40	3805	5	TRUE	7.17690253257751	0	0	0	0
LDL	UKBB	EUR	2	41	1710	5	TRUE	63.0701625347137	0	1	2	12
LDL	UKBB	EUR	2	42	198	5	TRUE	55.91983294487	2	2	3	20
LDL	UKBB	EUR	2	43	394	5	TRUE	61.2534925937653	3	3	3	3
LDL	UKBB	EUR	2	44	1686	5	TRUE	80.4758765697479	2	4	4	7
LDL	UKBB	EUR	2	45	3325	5	TRUE	154.873313903809	2	4	3	5
LDL	UKBB	EUR	2	46	1560	5	TRUE	3.10730028152466	0	0	0	0
LDL	UKBB	EUR	2	47	4003	5	TRUE	10.8979532718658	0	0	0	0
LDL	UKBB	EUR	2	48	2433	5	TRUE	13.4403955936432	0	0	0	0
LDL	UKBB	EUR	2	49	3445	5	TRUE	88.2156155109406	1	1	3	47
LDL	UKBB	EUR	2	50	2194	5	TRUE	6.41968107223511	0	0	0	0
LDL	UKBB	EUR	2	51	2709	5	TRUE	10.1525092124939	0	0	0	0
LDL	UKBB	EUR	2	53	1766	5	TRUE	19.9562952518463	0	1	1	26
LDL	UKBB	EUR	2	69	3007	5	TRUE	7.51242733001709	0	0	0	0
LDL	UKBB	EUR	2	71	2355	5	TRUE	101.893200159073	0	4	4	10
LDL	UKBB	EUR	2	72	4068	5	TRUE	186.934376716614	1	3	3	7
LDL	UKBB	EUR	2	74	1444	5	TRUE	2.36268734931946	0	0	0	0
LDL	UKBB	EUR	2	75	1976	5	TRUE	1.55733871459961	0	0	0	0
LDL	UKBB	EUR	2	77	1733	5	TRUE	2.15873312950134	0	0	0	0
LDL	UKBB	EUR	2	84	8205	5	TRUE	25.1881365776062	0	0	0	0
LDL	UKBB	EUR	2	86	3207	5	TRUE	4.24030828475952	0	0	0	0
LDL	UKBB	EUR	2	87	1205	5	TRUE	1.99335503578186	0	0	0	0
LDL	UKBB	EUR	2	88	9816	5	TRUE	382.37976026535	0	1	3	59
LDL	UKBB	EUR	2	89	2245	5	TRUE	9.62922596931458	0	0	0	0
LDL	UKBB	EUR	2	97	2906	5	TRUE	5.45415353775024	0	0	0	0
LDL	UKBB	EUR	2	99	2022	5	TRUE	3.2598831653595	0	0	0	0
LDL	UKBB	EUR	2	100	2583	5	TRUE	6.01792645454407	0	0	0	0
LDL	UKBB	EUR	2	115	4037	5	TRUE	10.4839880466461	0	0	0	0
LDL	UKBB	EUR	2	121	3932	5	TRUE	43.3743870258331	0	0	1	34
LDL	UKBB	EUR	2	122	1828	5	TRUE	5.10889387130737	0	0	0	0
LDL	UKBB	EUR	2	124	2897	5	TRUE	51.9000060558319	0	1	1	21
LDL	UKBB	EUR	2	127	5656	5	TRUE	13.5634641647339	0	0	0	0
LDL	UKBB	EUR	2	128	4728	5	TRUE	34.5685758590698	1	1	1	1
LDL	UKBB	EUR	2	130	655	5	TRUE	3.41453123092651	0	1	0	0
LDL	UKBB	EUR	2	131	131	5	TRUE	3.0912024974823	0	1	1	2
LDL	UKBB	EUR	2	138	4124	5	TRUE	7.19475173950195	0	0	0	0
LDL	UKBB	EUR	2	145	1531	5	TRUE	7.71288561820984	0	1	1	2
LDL	UKBB	EUR	2	146	2937	5	TRUE	18.1066110134125	0	0	1	5
LDL	UKBB	EUR	2	147	5711	5	TRUE	15.8737885951996	0	0	0	0
LDL	UKBB	EUR	2	152	2457	5	TRUE	5.98989367485046	0	0	0	0
LDL	UKBB	EUR	2	162	1314	5	TRUE	5.07364535331726	0	0	0	0
LDL	UKBB	EUR	2	163	178	5	TRUE	57.7731182575226	0	1	2	10
LDL	UKBB	EUR	2	166	6414	5	TRUE	19.3864583969116	0	0	0	0
LDL	UKBB	EUR	2	168	2674	5	TRUE	54.6918997764587	0	1	1	4
LDL	UKBB	EUR	2	172	874	5	TRUE	7.88427758216858	0	0	1	9
LDL	UKBB	EUR	2	177	3199	5	TRUE	6.44686889648438	0	0	0	0
LDL	UKBB	EUR	2	181	3917	5	TRUE	7.56756997108459	0	0	0	0
LDL	UKBB	EUR	2	184	4850	5	TRUE	13.4565804004669	0	0	0	0
LDL	UKBB	EUR	2	192	3478	5	TRUE	5.37856125831604	0	0	0	0
LDL	UKBB	EUR	2	198	2362	5	TRUE	6.47838664054871	0	0	0	0
