pheno	pid	chromosome	block	UKBB_nCS	GLGC_nCS	UKBB_in_GLGC	GLGC_in_UKBB
LDL	EUR	1	2	0	0	0	0
LDL	EUR	1	4	0	1	0	0
LDL	EUR	1	17	0	0	0	0
LDL	EUR	1	19	1	0	0	0
LDL	EUR	1	23	0	1	0	0
LDL	EUR	1	35	1	2	1	1
LDL	EUR	1	40	0	1	0	0
LDL	EUR	1	48	2	3	2	2
LDL	EUR	1	49	0	0	0	0
LDL	EUR	1	51	1	2	1	1
LDL	EUR	1	52	2	2	1	1
LDL	EUR	1	53	0	2	0	0
LDL	EUR	1	58	0	1	0	0
LDL	EUR	1	70	0	1	0	0
LDL	EUR	1	73	0	1	0	0
LDL	EUR	1	75	1	2	0	0
LDL	EUR	1	76	0	0	0	0
LDL	EUR	1	78	0	1	0	0
LDL	EUR	1	80	0	0	0	0
LDL	EUR	1	81	0	0	0	0
LDL	EUR	1	82	0	4	0	0
LDL	EUR	1	83	4	8	4	4
LDL	EUR	1	84	9	20	5	5
LDL	EUR	1	85	1	1	1	1
LDL	EUR	1	88	0	0	0	0
LDL	EUR	1	89	0	0	0	0
LDL	EUR	1	92	0	0	0	0
LDL	EUR	1	94	0	3	0	0
LDL	EUR	1	96	1	1	0	0
LDL	EUR	1	97	1	1	1	1
LDL	EUR	1	100	0	0	0	0
LDL	EUR	1	109	0	1	0	0
LDL	EUR	1	124	0	1	0	0
LDL	EUR	1	125	3	5	2	2
LDL	EUR	1	136	0	1	0	0
LDL	EUR	1	138	1	1	1	1
LDL	EUR	1	139	1	3	1	1
LDL	EUR	1	141	0	0	0	0
LDL	EUR	1	145	0	1	0	0
LDL	EUR	1	147	0	0	0	0
LDL	EUR	1	150	1	0	0	0
LDL	EUR	1	151	0	0	0	0
LDL	EUR	1	154	1	3	0	0
LDL	EUR	1	158	0	1	0	0
LDL	EUR	1	162	0	1	0	0
LDL	EUR	1	163	0	1	0	0
LDL	EUR	1	168	0	3	0	0
LDL	EUR	1	169	0	0	0	0
LDL	EUR	1	175	0	0	0	0
LDL	EUR	1	182	0	1	0	0
LDL	EUR	1	183	1	1	1	1
LDL	EUR	1	187	0	1	0	0
LDL	EUR	1	188	0	0	0	0
LDL	EUR	1	189	0	0	0	0
LDL	EUR	1	191	1	1	1	1
LDL	EUR	1	192	1	1	1	1
LDL	EUR	1	201	0	2	0	0
LDL	EUR	1	202	1	1	1	1
LDL	EUR	1	205	0	0	0	0
LDL	EUR	1	213	0	1	0	0
LDL	EUR	1	214	0	1	0	0
LDL	EUR	1	216	0	0	0	0
LDL	EUR	1	221	0	0	0	0
LDL	EUR	1	223	0	0	0	0
LDL	EUR	1	226	0	2	0	0
LDL	EUR	1	233	0	0	0	0
LDL	EUR	1	234	3	2	1	1
LDL	EUR	1	238	1	2	1	1
LDL	EUR	1	239	0	2	0	0
LDL	EUR	1	252	3	5	2	2
LDL	EUR	1	253	2	3	2	2
LDL	EUR	1	254	1	1	1	1
LDL	EUR	1	255	0	1	0	0
LDL	EUR	1	280	0	1	0	0
LDL	EUR	2	6	1	1	1	1
LDL	EUR	2	19	0	1	0	0
LDL	EUR	2	21	1	2	1	1
LDL	EUR	2	27	1	1	1	1
LDL	EUR	2	34	0	0	0	0
LDL	EUR	2	37	0	0	0	0
LDL	EUR	2	38	0	1	0	0
LDL	EUR	2	39	0	0	0	0
LDL	EUR	2	40	0	0	0	0
LDL	EUR	2	41	2	3	1	1
LDL	EUR	2	42	3	1	0	0
LDL	EUR	2	43	3	4	1	1
LDL	EUR	2	44	4	20	4	4
LDL	EUR	2	45	3	9	3	3
LDL	EUR	2	46	0	0	0	0
LDL	EUR	2	47	0	0	0	0
LDL	EUR	2	48	0	3	0	0
LDL	EUR	2	49	3	2	2	2
LDL	EUR	2	50	0	0	0	0
LDL	EUR	2	51	0	0	0	0
LDL	EUR	2	53	1	0	0	0
LDL	EUR	2	69	0	2	0	0
LDL	EUR	2	71	4	13	3	3
LDL	EUR	2	72	3	13	3	3
LDL	EUR	2	74	0	1	0	0
LDL	EUR	2	75	0	1	0	0
LDL	EUR	2	77	0	0	0	0
LDL	EUR	2	84	0	0	0	0
LDL	EUR	2	86	0	0	0	0
LDL	EUR	2	87	0	2	0	0
LDL	EUR	2	88	3	5	2	2
LDL	EUR	2	89	0	1	0	0
LDL	EUR	2	97	0	1	0	0
LDL	EUR	2	99	0	0	0	0
LDL	EUR	2	100	0	1	0	0
LDL	EUR	2	115	0	1	0	0
LDL	EUR	2	121	1	1	1	1
LDL	EUR	2	122	0	0	0	0
LDL	EUR	2	124	1	1	1	1
LDL	EUR	2	127	0	1	0	0
LDL	EUR	2	128	1	2	1	1
LDL	EUR	2	130	0	1	0	0
LDL	EUR	2	131	1	1	1	1
LDL	EUR	2	138	0	0	0	0
LDL	EUR	2	145	1	0	0	0
