pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	AFR	1	1	1401	5	TRUE	0.758871793746948	0	0	0	0
TC	META	AFR	1	2	1463	5	TRUE	2.82807183265686	0	0	0	0
TC	META	AFR	1	4	1983	5	TRUE	1.07296991348267	0	0	0	0
TC	META	AFR	1	17	6673	5	TRUE	15.1508128643036	0	0	0	0
TC	META	AFR	1	19	5446	5	TRUE	3.89848136901855	0	0	0	0
TC	META	AFR	1	35	6606	5	TRUE	11.4729771614075	0	0	0	0
TC	META	AFR	1	40	2215	5	TRUE	1.42215919494629	0	0	0	0
TC	META	AFR	1	48	2605	5	TRUE	1.75356531143188	0	0	0	0
TC	META	AFR	1	49	2515	5	TRUE	1.25940084457397	0	0	0	0
TC	META	AFR	1	51	2339	5	TRUE	1.78063988685608	0	0	0	0
TC	META	AFR	1	52	6681	5	TRUE	7.01870012283325	0	0	0	0
TC	META	AFR	1	53	5745	5	TRUE	20.6521694660187	0	0	0	0
TC	META	AFR	1	58	6876	5	TRUE	12.759822845459	0	0	0	0
TC	META	AFR	1	67	4462	5	TRUE	3.00876617431641	0	0	0	0
TC	META	AFR	1	70	4545	5	TRUE	2.46237802505493	0	0	0	0
TC	META	AFR	1	73	6461	5	TRUE	14.9107313156128	0	0	0	0
TC	META	AFR	1	74	6203	5	TRUE	13.4486865997314	0	0	0	0
TC	META	AFR	1	75	7814	5	TRUE	13.3164608478546	0	0	0	0
TC	META	AFR	1	76	4022	5	TRUE	15.8745212554932	0	0	0	0
TC	META	AFR	1	80	2388	5	TRUE	6.43661451339722	0	0	1	5
TC	META	AFR	1	81	1684	5	TRUE	1.17999339103699	0	0	0	0
TC	META	AFR	1	82	3661	5	TRUE	3.78587436676025	0	0	0	0
TC	META	AFR	1	83	4307	5	TRUE	58.6912593841553	3	3	3	3
TC	META	AFR	1	84	6738	20	FALSE	9631.31064796448	15	18	20	35
TC	META	AFR	1	85	2030	5	TRUE	1.88834691047668	0	0	0	0
TC	META	AFR	1	89	3876	5	TRUE	6.26898241043091	0	0	0	0
TC	META	AFR	1	92	4539	5	TRUE	10.9792737960815	0	0	0	0
TC	META	AFR	1	94	1062	5	TRUE	1.04262709617615	0	0	0	0
TC	META	AFR	1	95	1028	5	TRUE	0.670509815216064	0	1	0	0
TC	META	AFR	1	96	4172	5	TRUE	6.61223697662354	0	0	0	0
TC	META	AFR	1	97	5194	5	TRUE	18.4891018867493	1	1	1	1
TC	META	AFR	1	100	4171	5	TRUE	3.23028421401978	0	0	0	0
TC	META	AFR	1	109	5653	5	TRUE	4.43901658058167	0	0	0	0
TC	META	AFR	1	124	6943	5	TRUE	3.56415009498596	0	0	0	0
TC	META	AFR	1	125	8752	5	TRUE	2488.45534849167	3	3	4	14
TC	META	AFR	1	127	3748	5	TRUE	4.78586959838867	0	0	0	0
TC	META	AFR	1	136	5116	5	TRUE	8.91407942771912	0	0	0	0
TC	META	AFR	1	138	6746	5	TRUE	29.1933009624481	1	1	1	1
TC	META	AFR	1	139	1521	5	TRUE	0.847849369049072	0	0	0	0
TC	META	AFR	1	140	2156	5	TRUE	1.08797478675842	0	0	0	0
TC	META	AFR	1	141	2605	5	TRUE	2.04856014251709	0	0	0	0
TC	META	AFR	1	144	3689	5	TRUE	2.46653032302856	0	0	0	0
TC	META	AFR	1	145	2854	5	TRUE	1.53186964988708	0	0	0	0
TC	META	AFR	1	150	4985	5	TRUE	3.45487570762634	0	0	0	0
TC	META	AFR	1	151	6771	5	TRUE	6.52669262886047	0	0	0	0
TC	META	AFR	1	153	5273	5	TRUE	3.52422428131104	0	0	0	0
TC	META	AFR	1	154	8827	5	TRUE	10.3431782722473	0	0	0	0
TC	META	AFR	1	156	4660	5	TRUE	4.97173190116882	0	0	0	0
TC	META	AFR	1	158	5394	5	TRUE	3.85534477233887	0	0	0	0
TC	META	AFR	1	162	4315	5	TRUE	1.87331175804138	0	0	0	0
TC	META	AFR	1	168	5378	5	TRUE	5.06863689422607	0	0	0	0
TC	META	AFR	1	169	7264	5	TRUE	3.7212553024292	0	0	0	0
TC	META	AFR	1	175	7195	5	TRUE	7.74678039550781	0	0	0	0
TC	META	AFR	1	182	7706	5	TRUE	5.11375522613525	0	0	0	0
