pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	EAS	1	1	81	5	TRUE	0.0767190456390381	0	0	0	0
TC	META	EAS	1	2	130	5	TRUE	0.308514833450317	0	0	0	0
TC	META	EAS	1	4	446	5	TRUE	0.854431629180908	0	0	0	0
TC	META	EAS	1	17	1843	5	TRUE	4.8565468788147	0	0	0	0
TC	META	EAS	1	19	1424	5	TRUE	7.19092392921448	0	0	0	0
TC	META	EAS	1	35	1476	5	TRUE	24.1971664428711	0	0	1	20
TC	META	EAS	1	40	721	5	TRUE	1.86784291267395	0	0	0	0
TC	META	EAS	1	48	664	5	TRUE	4.93810033798218	0	0	0	0
TC	META	EAS	1	49	514	5	TRUE	1.33186531066895	0	0	0	0
TC	META	EAS	1	51	582	5	TRUE	6.01361227035522	0	0	1	46
TC	META	EAS	1	52	1614	5	TRUE	6.82472896575928	0	0	0	0
TC	META	EAS	1	53	1238	5	TRUE	22.3871552944183	0	0	1	10
TC	META	EAS	1	58	1604	5	TRUE	7.06000638008118	0	0	0	0
TC	META	EAS	1	67	1285	5	TRUE	4.95686745643616	0	0	0	0
TC	META	EAS	1	70	1434	5	TRUE	7.52286052703857	0	0	0	0
TC	META	EAS	1	73	1710	5	TRUE	6.54476571083069	0	0	0	0
TC	META	EAS	1	74	1519	5	TRUE	3.79814577102661	0	0	0	0
TC	META	EAS	1	75	2502	5	TRUE	8.81456756591797	0	0	0	0
TC	META	EAS	1	76	1364	5	TRUE	6.3143835067749	0	0	0	0
TC	META	EAS	1	80	855	5	TRUE	5.67161345481873	0	0	0	0
TC	META	EAS	1	81	557	5	TRUE	1.69656276702881	0	0	0	0
TC	META	EAS	1	82	967	5	TRUE	2.663498878479	0	0	0	0
TC	META	EAS	1	83	1594	5	TRUE	110.630354404449	1	1	3	31
TC	META	EAS	1	84	2380	5	TRUE	132.723154306412	1	5	4	8
TC	META	EAS	1	85	799	5	TRUE	5.67112684249878	0	0	0	0
TC	META	EAS	1	89	1230	5	TRUE	3.82778739929199	0	0	0	0
TC	META	EAS	1	92	1453	5	TRUE	1.83134508132935	0	0	0	0
TC	META	EAS	1	94	306	5	TRUE	7.15941381454468	0	0	0	0
TC	META	EAS	1	95	317	5	TRUE	2.41342926025391	0	0	0	0
TC	META	EAS	1	96	1287	5	TRUE	2.58197093009949	0	0	0	0
TC	META	EAS	1	97	1460	5	TRUE	21.764408826828	0	0	1	22
TC	META	EAS	1	100	1545	5	TRUE	2.93560147285461	0	0	0	0
TC	META	EAS	1	109	1716	5	TRUE	32.5408530235291	0	0	1	22
TC	META	EAS	1	124	2075	5	TRUE	2.64373970031738	0	0	0	0
TC	META	EAS	1	125	2314	5	TRUE	22.5632305145264	0	0	1	35
TC	META	EAS	1	127	1265	5	TRUE	4.61302208900452	0	0	0	0
TC	META	EAS	1	136	1306	5	TRUE	2.13830304145813	0	0	0	0
TC	META	EAS	1	138	1529	5	TRUE	46.6603007316589	1	2	2	4
TC	META	EAS	1	139	354	5	TRUE	8.49991869926453	0	0	0	0
TC	META	EAS	1	140	699	5	TRUE	11.1017334461212	0	0	0	0
TC	META	EAS	1	141	765	5	TRUE	7.87798404693604	0	0	0	0
TC	META	EAS	1	144	759	5	TRUE	2.50631856918335	0	0	0	0
TC	META	EAS	1	145	857	5	TRUE	2.31246447563171	0	0	0	0
TC	META	EAS	1	150	1536	5	TRUE	3.20721507072449	0	0	0	0
TC	META	EAS	1	151	2238	5	TRUE	3.47813105583191	0	0	0	0
TC	META	EAS	1	153	1674	5	TRUE	3.57993173599243	0	0	0	0
TC	META	EAS	1	154	2213	5	TRUE	8.88059639930725	0	0	0	0
TC	META	EAS	1	156	1278	5	TRUE	2.43810319900513	0	0	0	0
TC	META	EAS	1	158	942	5	TRUE	1.63619184494019	0	0	0	0
TC	META	EAS	1	162	1113	5	TRUE	2.08700489997864	0	0	0	0
TC	META	EAS	1	168	1564	5	TRUE	3.45413398742676	0	0	0	0
TC	META	EAS	1	169	2617	5	TRUE	5.59357190132141	0	0	0	0
TC	META	EAS	1	175	2085	5	TRUE	3.40274047851562	0	0	0	0
TC	META	EAS	1	182	2046	5	TRUE	5.64880919456482	0	0	0	0
TC	META	EAS	1	183	2136	5	TRUE	3.21665787696838	0	0	0	0
TC	META	EAS	1	185	579	5	TRUE	3.79722619056702	0	0	0	0
TC	META	EAS	1	187	1445	5	TRUE	3.50381278991699	0	0	0	0
TC	META	EAS	1	188	1835	5	TRUE	2.11567568778992	0	0	0	0
TC	META	EAS	1	192	1664	5	TRUE	5.52500581741333	0	0	0	0
TC	META	EAS	1	201	1726	5	TRUE	50.9965295791626	0	0	1	20
TC	META	EAS	1	202	1526	5	TRUE	5.08091902732849	0	0	0	0
TC	META	EAS	1	205	630	5	TRUE	4.69341802597046	0	0	0	0
TC	META	EAS	1	209	498	5	TRUE	2.99293231964111	0	0	0	0
TC	META	EAS	1	213	865	5	TRUE	3.99386954307556	0	0	0	0
TC	META	EAS	1	221	1649	5	TRUE	2.16469621658325	0	0	0	0
TC	META	EAS	1	223	1710	5	TRUE	1.84495973587036	0	0	0	0
TC	META	EAS	1	224	1119	5	TRUE	6.15053701400757	0	0	0	0
TC	META	EAS	1	226	665	5	TRUE	2.22315573692322	0	0	0	0
TC	META	EAS	1	229	1438	5	TRUE	2.20079636573792	0	0	0	0
TC	META	EAS	1	233	2143	5	TRUE	5.62299656867981	0	0	0	0
TC	META	EAS	1	234	2539	5	TRUE	51.1496908664703	1	1	1	1
TC	META	EAS	1	235	1542	5	TRUE	3.0326292514801	0	0	0	0
TC	META	EAS	1	238	3472	5	TRUE	6.03703498840332	0	0	0	0
TC	META	EAS	1	239	979	5	TRUE	2.74060487747192	0	0	0	0
TC	META	EAS	1	240	3791	5	TRUE	9.87575650215149	0	0	0	0
TC	META	EAS	1	252	662	5	TRUE	89.3343598842621	0	2	3	21
TC	META	EAS	1	253	176	5	TRUE	3.20812225341797	0	0	0	0
TC	META	EAS	1	254	1130	5	TRUE	18.957127571106	0	0	1	5
TC	META	EAS	1	255	808	5	TRUE	3.74506330490112	0	0	0	0
TC	META	EAS	1	257	1008	5	TRUE	9.40155029296875	0	0	0	0
TC	META	EAS	1	280	2869	5	TRUE	5.96148991584778	0	0	0	0
TC	META	EAS	1	281	1751	5	TRUE	2.79104566574097	0	0	0	0
TC	META	EAS	2	6	929	5	TRUE	2.04475116729736	0	0	0	0
TC	META	EAS	2	21	333	5	TRUE	2.04772782325745	0	0	0	0
TC	META	EAS	2	31	425	5	TRUE	2.51457262039185	0	0	0	0
TC	META	EAS	2	32	654	5	TRUE	2.04891300201416	0	0	0	0
TC	META	EAS	2	37	672	5	TRUE	1.582270860672	0	0	0	0
TC	META	EAS	2	38	1629	5	TRUE	17.9272141456604	0	0	0	0
TC	META	EAS	2	39	735	5	TRUE	2.4820773601532	0	0	0	0
TC	META	EAS	2	40	2233	5	TRUE	3.1519193649292	0	0	0	0
TC	META	EAS	2	41	962	5	TRUE	59.1947350502014	0	0	2	50
TC	META	EAS	2	42	73	5	TRUE	1.29721522331238	0	1	1	2
TC	META	EAS	2	43	183	5	TRUE	35.0622429847717	0	1	1	2
TC	META	EAS	2	44	721	10	TRUE	984.08372592926	2	5	7	20
TC	META	EAS	2	45	1688	5	TRUE	167.900657653809	2	3	3	4
TC	META	EAS	2	46	855	5	TRUE	12.8806788921356	0	0	0	0
TC	META	EAS	2	47	2182	5	TRUE	4.64955186843872	0	0	0	0
TC	META	EAS	2	48	1172	5	TRUE	1.68139052391052	0	0	0	0
TC	META	EAS	2	49	1348	5	TRUE	28.502779006958	0	2	2	100
TC	META	EAS	2	50	1271	5	TRUE	2.97812247276306	0	0	0	0
TC	META	EAS	2	51	1408	5	TRUE	2.25898265838623	0	0	0	0
TC	META	EAS	2	53	1072	5	TRUE	1.19614362716675	0	0	0	0
TC	META	EAS	2	55	2707	5	TRUE	5.02951312065125	0	0	0	0
TC	META	EAS	2	56	135	5	TRUE	2.09456872940063	0	0	0	0
TC	META	EAS	2	66	3282	5	TRUE	5.21110033988953	0	0	0	0
TC	META	EAS	2	69	1883	5	TRUE	3.52188897132874	0	0	0	0
TC	META	EAS	2	71	1203	5	TRUE	2.69274353981018	0	0	0	0
TC	META	EAS	2	72	2370	5	TRUE	7.08590698242188	0	0	0	0
TC	META	EAS	2	74	744	5	TRUE	5.49297308921814	0	0	0	0
TC	META	EAS	2	75	983	5	TRUE	1.40103840827942	0	0	0	0
TC	META	EAS	2	77	870	5	TRUE	1.43846035003662	0	0	0	0
TC	META	EAS	2	84	5250	5	TRUE	12.5016241073608	0	0	0	0
TC	META	EAS	2	88	5283	5	TRUE	30.3065600395203	0	0	1	31
TC	META	EAS	2	89	983	5	TRUE	2.31014227867126	0	0	0	0
TC	META	EAS	2	97	2180	5	TRUE	8.72174525260925	0	0	0	0
TC	META	EAS	2	99	889	5	TRUE	8.07055997848511	0	0	0	0
TC	META	EAS	2	100	945	5	TRUE	2.49378538131714	0	0	0	0
TC	META	EAS	2	102	806	5	TRUE	1.67597222328186	0	0	0	0
TC	META	EAS	2	107	2962	5	TRUE	8.9394543170929	0	0	0	0
TC	META	EAS	2	115	2468	5	TRUE	5.87564563751221	0	0	0	0
TC	META	EAS	2	121	2235	5	TRUE	5.5544102191925	0	0	0	0
TC	META	EAS	2	122	974	5	TRUE	1.72664642333984	0	0	0	0
TC	META	EAS	2	124	1561	5	TRUE	2.41627883911133	0	0	0	0
TC	META	EAS	2	125	1561	5	TRUE	1.95048236846924	0	0	0	0
TC	META	EAS	2	127	3094	5	TRUE	3.54150700569153	0	0	0	0
TC	META	EAS	2	128	2234	5	TRUE	6.58546304702759	0	0	0	0
TC	META	EAS	2	130	336	5	TRUE	2.93644404411316	0	0	0	0
TC	META	EAS	2	131	73	5	TRUE	0.0503549575805664	0	0	0	0
TC	META	EAS	2	138	2170	5	TRUE	3.9107389450073198	0	0	0	0
TC	META	EAS	2	146	2626	5	TRUE	4.21311497688293	0	0	0	0
TC	META	EAS	2	147	4071	5	TRUE	5.57763481140137	0	0	0	0
TC	META	EAS	2	152	1219	5	TRUE	4.29333662986755	0	0	0	0
TC	META	EAS	2	153	1781	5	TRUE	3.29543733596802	0	0	0	0
TC	META	EAS	2	155	1340	5	TRUE	2.68747711181641	0	0	0	0
TC	META	EAS	2	162	727	5	TRUE	2.00209379196167	0	0	0	0
TC	META	EAS	2	163	97	5	TRUE	3.90918946266174	0	1	1	6
TC	META	EAS	2	164	382	5	TRUE	1.15114712715149	0	0	0	0
TC	META	EAS	2	166	3626	5	TRUE	5.53492450714111	0	0	0	0
TC	META	EAS	2	168	1579	5	TRUE	1.95438456535339	0	0	0	0
TC	META	EAS	2	171	2376	5	TRUE	4.1784884929657	0	0	0	0
TC	META	EAS	2	172	468	5	TRUE	9.55795383453369	0	0	1	11
TC	META	EAS	2	177	2091	5	TRUE	8.94754219055176	0	0	0	0
TC	META	EAS	2	180	1402	5	TRUE	2.04327654838562	0	0	0	0
TC	META	EAS	2	181	1926	5	TRUE	1.04802656173706	0	0	0	0
TC	META	EAS	2	192	2235	5	TRUE	3.26603221893311	0	0	0	0
