pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	EUR	1	1	487	5	TRUE	1.82770967483521	0	0	1	33
TC	META	EUR	1	2	817	5	TRUE	11.4539322853088	0	0	1	20
TC	META	EUR	1	4	1278	5	TRUE	44.8760013580322	0	0	2	21
TC	META	EUR	1	17	3414	5	TRUE	10.3570518493652	0	0	0	0
TC	META	EUR	1	19	2752	5	TRUE	34.7247786521912	0	0	1	4
TC	META	EUR	1	35	3204	5	TRUE	78.8264980316162	1	1	2	4
TC	META	EUR	1	40	1313	5	TRUE	6.82289242744446	0	0	1	10
TC	META	EUR	1	48	1269	5	TRUE	109.305667638779	0	2	4	22
TC	META	EUR	1	49	1109	5	TRUE	13.4055590629578	0	1	1	4
TC	META	EUR	1	51	1273	5	TRUE	39.754940032959	0	0	2	23
TC	META	EUR	1	52	3254	5	TRUE	57.4822809696198	0	1	2	12
TC	META	EUR	1	53	3076	5	TRUE	53.7417321205139	0	0	1	10
TC	META	EUR	1	58	3265	5	TRUE	71.7674641609192	0	1	1	2
TC	META	EUR	1	67	2527	5	TRUE	5.11198925971985	0	0	0	0
TC	META	EUR	1	70	2602	5	TRUE	23.6891241073608	0	1	1	19
TC	META	EUR	1	73	3361	5	TRUE	13.4949102401733	0	1	0	0
TC	META	EUR	1	74	3114	5	TRUE	13.1805925369263	0	0	0	0
TC	META	EUR	1	75	4126	5	TRUE	170.655735969543	0	1	2	7
TC	META	EUR	1	76	1936	5	TRUE	39.3559098243713	0	0	1	50
TC	META	EUR	1	80	1234	5	TRUE	2.01067471504211	0	0	0	0
TC	META	EUR	1	81	920	5	TRUE	7.26885151863098	0	0	0	0
TC	META	EUR	1	82	2023	5	TRUE	3.13552665710449	0	0	0	0
TC	META	EUR	1	83	2438	10	TRUE	898.376560688019	7	8	9	27
TC	META	EUR	1	84	3672	20	TRUE	7629.52675795555	14	18	19	29
TC	META	EUR	1	85	1292	5	TRUE	32.4089231491089	1	1	1	1
TC	META	EUR	1	89	2038	5	TRUE	4.72951102256775	0	0	0	0
TC	META	EUR	1	92	2655	5	TRUE	5.09577369689941	0	0	0	0
TC	META	EUR	1	94	684	5	TRUE	16.5128231048584	0	1	2	20
TC	META	EUR	1	95	459	5	TRUE	5.66386604309082	0	0	0	0
TC	META	EUR	1	96	2312	5	TRUE	99.4917013645172	1	2	3	9
TC	META	EUR	1	97	2843	5	TRUE	116.16760635376	0	1	2	22
TC	META	EUR	1	100	2251	5	TRUE	39.5293505191803	0	0	1	3
TC	META	EUR	1	109	3087	5	TRUE	22.4694147109985	0	0	1	50
TC	META	EUR	1	124	3866	5	TRUE	20.5037791728973	0	0	1	6
TC	META	EUR	1	125	4583	10	TRUE	1146.21645784378	2	2	6	123
TC	META	EUR	1	127	2212	5	TRUE	25.1787405014038	0	0	1	24
TC	META	EUR	1	136	2633	5	TRUE	13.4458091259003	0	0	1	21
TC	META	EUR	1	138	3564	5	TRUE	64.8507816791534	1	1	1	1
