pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	EUR	1	1	487	5	TRUE	0.322649240493774	0	0	0	0
TC	UKBB	EUR	1	2	817	5	TRUE	0.896236181259155	0	0	0	0
TC	UKBB	EUR	1	4	1278	5	TRUE	2.93611907958984	0	0	0	0
TC	UKBB	EUR	1	17	3414	5	TRUE	14.6455612182617	0	0	0	0
TC	UKBB	EUR	1	19	2752	5	TRUE	39.460878610611	0	0	1	5
TC	UKBB	EUR	1	35	3204	5	TRUE	41.8583717346191	0	1	1	15
TC	UKBB	EUR	1	40	1313	5	TRUE	2.9805018901825	0	1	0	0
TC	UKBB	EUR	1	48	1269	5	TRUE	65.3183829784393	1	2	3	25
TC	UKBB	EUR	1	49	1109	5	TRUE	4.29321694374084	0	0	0	0
TC	UKBB	EUR	1	51	1273	5	TRUE	5.64912700653076	0	0	1	22
TC	UKBB	EUR	1	52	3254	5	TRUE	79.1355309486389	0	0	2	29
TC	UKBB	EUR	1	53	3076	5	TRUE	10.5363626480103	0	0	0	0
TC	UKBB	EUR	1	58	3265	5	TRUE	10.1490871906281	0	0	0	0
TC	UKBB	EUR	1	67	2527	5	TRUE	12.324373960495	0	0	0	0
TC	UKBB	EUR	1	70	2602	5	TRUE	20.5649104118347	0	1	1	17
TC	UKBB	EUR	1	73	3361	5	TRUE	8.52595496177673	0	0	0	0
TC	UKBB	EUR	1	74	3114	5	TRUE	6.26582717895508	0	0	0	0
TC	UKBB	EUR	1	75	4126	5	TRUE	46.0792407989502	0	0	1	71
TC	UKBB	EUR	1	76	1936	5	TRUE	25.7336654663086	0	1	1	17
TC	UKBB	EUR	1	80	1234	5	TRUE	1.25556755065918	0	0	0	0
TC	UKBB	EUR	1	81	920	5	TRUE	1.77096796035767	0	0	0	0
TC	UKBB	EUR	1	82	2023	5	TRUE	13.184330701828	0	0	0	0
TC	UKBB	EUR	1	83	2438	5	TRUE	190.355079889297	4	4	4	4
TC	UKBB	EUR	1	84	3672	5	TRUE	254.639879703522	3	4	4	5
TC	UKBB	EUR	1	85	1292	5	TRUE	10.3198137283325	1	1	1	1
