pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	META	EAS	1	3	156	5	TRUE	0.577007293701172	0	0	0	0
TG	META	EAS	1	4	407	5	TRUE	2.98195624351501	0	0	0	0
TG	META	EAS	1	5	488	5	TRUE	1.91303825378418	0	0	0	0
TG	META	EAS	1	15	1437	5	TRUE	1.60556483268738	0	0	0	0
TG	META	EAS	1	17	1882	5	TRUE	1.3064067363739	0	0	0	0
TG	META	EAS	1	18	790	5	TRUE	3.2434287071228	0	0	0	0
TG	META	EAS	1	19	1298	5	TRUE	1.68699288368225	0	0	0	0
TG	META	EAS	1	21	1080	5	TRUE	1.173499584198	0	0	0	0
TG	META	EAS	1	23	620	5	TRUE	3.52868628501892	0	0	0	0
TG	META	EAS	1	32	511	5	TRUE	1.92596650123596	0	0	0	0
TG	META	EAS	1	35	1512	5	TRUE	1.63649654388428	0	0	0	0
TG	META	EAS	1	43	471	5	TRUE	2.08536410331726	0	0	0	0
TG	META	EAS	1	48	691	5	TRUE	2.10149550437927	0	0	0	0
TG	META	EAS	1	50	951	5	TRUE	2.94725704193115	0	0	0	0
TG	META	EAS	1	51	611	5	TRUE	2.27995634078979	0	0	0	0
TG	META	EAS	1	52	1510	5	TRUE	1.55231189727783	0	0	0	0
TG	META	EAS	1	53	1289	5	TRUE	1.46733164787292	0	0	0	0
TG	META	EAS	1	58	1575	5	TRUE	4.82928490638733	0	0	0	0
TG	META	EAS	1	63	1610	5	TRUE	3.07191109657288	0	1	0	0
TG	META	EAS	1	67	1234	5	TRUE	3.17485070228577	0	0	0	0
TG	META	EAS	1	70	1507	5	TRUE	3.70370578765869	0	0	0	0
TG	META	EAS	1	71	1654	5	TRUE	2.43949151039124	0	0	0	0
TG	META	EAS	1	83	1626	5	TRUE	1.79323482513428	0	0	0	0
TG	META	EAS	1	85	958	5	TRUE	0.988237619400024	0	0	0	0
TG	META	EAS	1	94	353	5	TRUE	0.848594427108765	0	0	0	0
TG	META	EAS	1	96	1350	5	TRUE	2.31248116493225	0	0	0	0
TG	META	EAS	1	97	1570	5	TRUE	14.5033917427063	0	0	1	20
