pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	META	EUR	1	3	519	5	TRUE	0.346587419509888	0	0	0	0
TG	META	EUR	1	4	1272	5	TRUE	11.6165606975555	0	0	1	3
TG	META	EUR	1	5	1955	5	TRUE	22.3164422512054	0	0	1	23
TG	META	EUR	1	15	2722	5	TRUE	6.36929726600647	0	0	0	0
TG	META	EUR	1	17	3336	5	TRUE	13.0124168395996	0	0	0	0
TG	META	EUR	1	18	1456	5	TRUE	4.7277729511261	0	0	0	0
TG	META	EUR	1	19	2682	5	TRUE	12.848317861557	0	1	0	0
TG	META	EUR	1	21	1723	5	TRUE	4.69679999351501	0	1	0	0
TG	META	EUR	1	23	991	5	TRUE	2.57823801040649	0	0	0	0
TG	META	EUR	1	32	882	5	TRUE	4.79319190979004	0	0	1	22
TG	META	EUR	1	35	3113	5	TRUE	35.8909962177277	0	0	1	20
TG	META	EUR	1	43	877	5	TRUE	4.79832220077515	0	0	0	0
TG	META	EUR	1	48	1230	5	TRUE	21.2387380599976	0	0	2	15
TG	META	EUR	1	50	1846	5	TRUE	20.3781776428223	0	0	0	0
TG	META	EUR	1	51	1248	5	TRUE	4.61143827438354	0	0	0	0
TG	META	EUR	1	52	3167	5	TRUE	167.368803739548	0	2	4	55
TG	META	EUR	1	53	3002	5	TRUE	13.1193656921387	0	0	0	0
TG	META	EUR	1	58	3184	5	TRUE	38.5484669208527	0	0	1	4
TG	META	EUR	1	63	2067	5	TRUE	4.48194408416748	0	0	0	0
TG	META	EUR	1	67	2444	5	TRUE	10.1138203144073	0	0	0	0
TG	META	EUR	1	70	2539	5	TRUE	52.3438279628754	0	0	2	26
TG	META	EUR	1	71	2477	5	TRUE	30.1311988830566	0	1	1	10
TG	META	EUR	1	83	2364	5	TRUE	25.8287456035614	1	1	1	1
TG	META	EUR	1	85	1241	5	TRUE	19.8789374828339	0	0	1	11
TG	META	EUR	1	94	672	5	TRUE	20.1558384895325	0	0	1	14
TG	META	EUR	1	96	2269	5	TRUE	131.440937280655	2	4	3	9
TG	META	EUR	1	97	2732	5	TRUE	82.3024790287018	1	3	3	7
