pheno	db	pid	chromosome	block	num_variants	L	converged	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	UKBB	EAS	1	3	156	5	TRUE	0.610857486724854	0	0	0	0
TG	UKBB	EAS	1	4	407	5	TRUE	1.68163800239563	0	0	0	0
TG	UKBB	EAS	1	5	488	5	TRUE	2.79196786880493	0	0	0	0
TG	UKBB	EAS	1	15	1437	5	TRUE	3.73768448829651	0	0	0	0
TG	UKBB	EAS	1	17	1882	5	TRUE	4.28424763679504	0	0	0	0
TG	UKBB	EAS	1	18	790	5	TRUE	3.98869109153748	0	0	0	0
TG	UKBB	EAS	1	19	1298	5	TRUE	5.71035933494568	0	0	0	0
TG	UKBB	EAS	1	21	1080	5	TRUE	2.20794153213501	0	0	0	0
TG	UKBB	EAS	1	23	620	5	TRUE	5.29131627082825	0	0	0	0
TG	UKBB	EAS	1	32	511	5	TRUE	3.78391480445862	0	0	0	0
TG	UKBB	EAS	1	35	1512	5	TRUE	6.23394203186035	0	0	0	0
TG	UKBB	EAS	1	43	471	5	TRUE	2.47387385368347	0	0	0	0
TG	UKBB	EAS	1	48	691	5	TRUE	3.14269828796387	0	0	0	0
TG	UKBB	EAS	1	50	951	5	TRUE	5.4129753112793	0	0	0	0
TG	UKBB	EAS	1	51	611	5	TRUE	2.69431948661804	0	0	0	0
TG	UKBB	EAS	1	52	1510	5	TRUE	2.43487048149109	0	0	0	0
TG	UKBB	EAS	1	53	1289	5	TRUE	3.2303102016449	0	0	0	0
TG	UKBB	EAS	1	58	1575	5	TRUE	3.13045287132263	0	0	0	0
TG	UKBB	EAS	1	63	1610	5	TRUE	0.941160678863525	0	0	0	0
TG	UKBB	EAS	1	67	1234	5	TRUE	1.95043158531189	0	0	0	0
TG	UKBB	EAS	1	70	1507	5	TRUE	2.63186693191528	0	0	0	0
TG	UKBB	EAS	1	71	1654	5	TRUE	2.70198607444763	0	0	0	0
TG	UKBB	EAS	1	83	1626	5	TRUE	5.82452940940857	0	0	0	0
TG	UKBB	EAS	1	85	958	5	TRUE	1.4920961856842	0	0	0	0
TG	UKBB	EAS	1	94	353	5	TRUE	1.68358182907104	0	0	0	0
TG	UKBB	EAS	1	96	1350	5	TRUE	2.64612245559692	0	0	0	0
TG	UKBB	EAS	1	97	1570	5	TRUE	6.30645442008972	0	0	0	0
TG	UKBB	EAS	1	100	1650	5	TRUE	2.23804354667664	0	0	0	0
TG	UKBB	EAS	1	101	1289	5	TRUE	1.88990712165833	0	0	0	0
TG	UKBB	EAS	1	105	3215	5	TRUE	5.64175081253052	0	0	0	0
TG	UKBB	EAS	1	124	2078	5	TRUE	3.02151465415955	0	0	0	0
TG	UKBB	EAS	1	125	2416	5	TRUE	4.0667040348053	0	0	0	0
TG	UKBB	EAS	1	127	1325	5	TRUE	2.44449520111084	0	0	0	0
TG	UKBB	EAS	1	129	581	5	TRUE	2.66353583335876	0	0	0	0
TG	UKBB	EAS	1	132	1723	5	TRUE	3.3304283618927	0	0	0	0
TG	UKBB	EAS	1	135	2230	5	TRUE	1.96898627281189	0	0	0	0
TG	UKBB	EAS	1	138	1597	5	TRUE	2.1142418384552	0	0	0	0
TG	UKBB	EAS	1	139	430	5	TRUE	0.222744703292847	0	0	0	0
TG	UKBB	EAS	1	143	1210	5	TRUE	1.79047989845276	0	0	0	0
TG	UKBB	EAS	1	144	749	5	TRUE	0.472676038742065	0	0	0	0
TG	UKBB	EAS	1	150	1696	5	TRUE	1.51902222633362	0	0	0	0
TG	UKBB	EAS	1	154	2237	5	TRUE	3.18064975738525	0	0	0	0
TG	UKBB	EAS	1	155	1128	5	TRUE	1.49755382537842	0	0	0	0
TG	UKBB	EAS	1	156	1411	5	TRUE	1.84376430511475	0	0	0	0
TG	UKBB	EAS	1	158	993	5	TRUE	2.72830557823181	0	0	0	0
TG	UKBB	EAS	1	168	1730	5	TRUE	1.4514262676239	0	0	0	0
TG	UKBB	EAS	1	182	2209	5	TRUE	2.09523892402649	0	0	0	0
TG	UKBB	EAS	1	183	2279	5	TRUE	2.02823138237	0	0	0	0
TG	UKBB	EAS	1	184	525	5	TRUE	1.97281312942505	0	0	0	0
TG	UKBB	EAS	1	187	1542	5	TRUE	2.1343252658844	0	0	0	0
TG	UKBB	EAS	1	192	1790	5	TRUE	1.70187425613403	0	0	0	0
TG	UKBB	EAS	1	193	1989	5	TRUE	1.89399456977844	0	0	0	0
TG	UKBB	EAS	1	201	1846	5	TRUE	2.13492393493652	0	0	0	0
TG	UKBB	EAS	1	202	1600	5	TRUE	1.3148295879364	0	0	0	0
TG	UKBB	EAS	1	203	1530	5	TRUE	0.803014755249023	0	0	0	0
TG	UKBB	EAS	1	207	972	5	TRUE	2.29183006286621	0	0	0	0
TG	UKBB	EAS	1	208	1263	5	TRUE	2.69703674316406	0	0	0	0
TG	UKBB	EAS	1	209	541	5	TRUE	0.787257432937622	0	0	0	0
TG	UKBB	EAS	1	211	771	5	TRUE	1.39117980003357	0	0	0	0
TG	UKBB	EAS	1	212	1163	5	TRUE	1.74791550636292	0	0	0	0
TG	UKBB	EAS	1	213	881	5	TRUE	1.96686983108521	0	0	0	0
TG	UKBB	EAS	1	214	756	5	TRUE	1.34272742271423	0	0	0	0
TG	UKBB	EAS	1	217	737	5	TRUE	0.942250967025757	0	0	0	0
TG	UKBB	EAS	1	219	1622	5	TRUE	0.965635299682617	0	0	0	0
TG	UKBB	EAS	1	221	1783	5	TRUE	2.1319408416748	0	0	0	0
TG	UKBB	EAS	1	226	672	5	TRUE	1.18659090995789	0	0	0	0
TG	UKBB	EAS	1	228	894	5	TRUE	1.27757382392883	0	0	0	0
TG	UKBB	EAS	1	233	2269	5	TRUE	3.87167882919312	0	0	0	0
TG	UKBB	EAS	1	234	2668	5	TRUE	4.15122437477112	0	0	0	0
TG	UKBB	EAS	1	235	1504	5	TRUE	1.10065984725952	0	0	0	0
TG	UKBB	EAS	1	238	3673	5	TRUE	2.20243763923645	0	0	0	0
TG	UKBB	EAS	1	239	994	5	TRUE	1.99327921867371	0	0	0	0
TG	UKBB	EAS	1	240	3916	5	TRUE	4.21171379089355	0	0	0	0
TG	UKBB	EAS	1	242	606	5	TRUE	0.686441898345947	0	0	0	0
TG	UKBB	EAS	1	243	927	5	TRUE	1.57384705543518	0	0	0	0
TG	UKBB	EAS	1	244	2078	5	TRUE	1.21194410324097	0	0	0	0
TG	UKBB	EAS	1	248	1132	5	TRUE	1.27298045158386	0	0	0	0
TG	UKBB	EAS	1	252	730	5	TRUE	1.03601622581482	0	0	0	0
TG	UKBB	EAS	1	254	1159	5	TRUE	2.89711141586304	0	0	0	0
TG	UKBB	EAS	1	255	920	5	TRUE	0.955765008926392	0	0	0	0
TG	UKBB	EAS	1	257	1136	5	TRUE	0.714592218399048	0	0	0	0
TG	UKBB	EAS	1	264	894	5	TRUE	0.918332815170288	0	0	0	0
TG	UKBB	EAS	1	274	1896	5	TRUE	1.65498757362366	0	0	0	0
TG	UKBB	EAS	1	277	352	5	TRUE	0.719884872436523	0	0	0	0
TG	UKBB	EAS	1	280	3083	5	TRUE	2.06800699234009	0	0	0	0
TG	UKBB	EAS	2	1	541	5	TRUE	1.24034857749939	0	0	0	0
TG	UKBB	EAS	2	2	3005	5	TRUE	2.31073474884033	0	0	0	0
TG	UKBB	EAS	2	6	901	5	TRUE	0.800203084945679	0	0	0	0
TG	UKBB	EAS	2	7	670	5	TRUE	0.552902460098267	0	0	0	0
TG	UKBB	EAS	2	21	349	5	TRUE	1.30831265449524	0	0	0	0
TG	UKBB	EAS	2	34	2097	5	TRUE	2.13485288619995	0	0	0	0
TG	UKBB	EAS	2	41	1052	5	TRUE	1.58974480628967	0	0	0	0
TG	UKBB	EAS	2	43	198	5	TRUE	0.43901538848877	0	0	0	0
TG	UKBB	EAS	2	44	842	5	TRUE	3.85157322883606	0	0	0	0
TG	UKBB	EAS	2	45	1785	5	TRUE	3.14794325828552	0	0	0	0
TG	UKBB	EAS	2	47	2124	5	TRUE	2.10666799545288	0	0	0	0
TG	UKBB	EAS	2	48	1188	5	TRUE	0.832621574401855	0	0	0	0
TG	UKBB	EAS	2	49	1484	5	TRUE	5.17972421646118	0	0	0	0
TG	UKBB	EAS	2	50	1391	5	TRUE	1.42941284179688	0	0	0	0
TG	UKBB	EAS	2	55	2789	5	TRUE	1.13008069992065	0	0	0	0
TG	UKBB	EAS	2	63	1275	5	TRUE	3.63081574440002	0	0	0	0
TG	UKBB	EAS	2	66	3593	5	TRUE	3.57288384437561	0	0	0	0
TG	UKBB	EAS	2	69	1980	5	TRUE	0.919159650802612	0	0	0	0
TG	UKBB	EAS	2	71	1182	5	TRUE	1.67880082130432	0	0	0	0
TG	UKBB	EAS	2	72	2429	5	TRUE	2.54220080375671	0	0	0	0
TG	UKBB	EAS	2	74	836	5	TRUE	3.01553750038147	0	0	0	0
TG	UKBB	EAS	2	76	1161	5	TRUE	1.54709029197693	0	0	0	0
TG	UKBB	EAS	2	79	1438	5	TRUE	1.97074294090271	0	0	0	0
TG	UKBB	EAS	2	80	3931	5	TRUE	3.47737169265747	0	0	0	0
TG	UKBB	EAS	2	84	5569	5	TRUE	9.0067150592804	0	0	0	0
TG	UKBB	EAS	2	85	5454	5	TRUE	3.39316654205322	0	0	0	0
TG	UKBB	EAS	2	86	1889	5	TRUE	2.46137070655823	0	0	0	0
TG	UKBB	EAS	2	87	653	5	TRUE	0.944000482559204	0	0	0	0
TG	UKBB	EAS	2	88	5432	5	TRUE	5.63053679466248	0	0	0	0
TG	UKBB	EAS	2	89	1036	5	TRUE	0.791122198104858	0	0	0	0
TG	UKBB	EAS	2	90	1250	5	TRUE	0.641867160797119	0	0	0	0
TG	UKBB	EAS	2	95	1313	5	TRUE	0.94623875617981	0	0	0	0
TG	UKBB	EAS	2	99	1082	5	TRUE	1.01357579231262	0	0	0	0
TG	UKBB	EAS	2	115	2652	5	TRUE	3.03494095802307	0	0	0	0
TG	UKBB	EAS	2	117	1250	5	TRUE	2.9229953289032	0	0	0	0
TG	UKBB	EAS	2	122	954	5	TRUE	2.9337899684906	0	0	0	0
TG	UKBB	EAS	2	123	54	5	TRUE	0.0201718807220459	0	0	0	0
TG	UKBB	EAS	2	124	1715	5	TRUE	1.66897487640381	0	0	0	0
TG	UKBB	EAS	2	125	1569	5	TRUE	1.23413133621216	0	0	0	0
TG	UKBB	EAS	2	128	2399	5	TRUE	2.74203109741211	0	0	0	0
TG	UKBB	EAS	2	131	83	5	TRUE	0.0260298252105713	0	0	0	0
TG	UKBB	EAS	2	132	283	5	TRUE	0.679298639297485	0	0	0	0
TG	UKBB	EAS	2	138	2235	5	TRUE	2.2003231048584	0	0	0	0
TG	UKBB	EAS	2	153	1814	5	TRUE	1.29617142677307	0	0	0	0
TG	UKBB	EAS	2	159	3979	5	TRUE	6.39301896095276	0	0	0	0
TG	UKBB	EAS	2	161	2516	5	TRUE	2.29479670524597	0	0	0	0
TG	UKBB	EAS	2	164	402	5	TRUE	2.05595517158508	0	0	0	0
TG	UKBB	EAS	2	166	3733	5	TRUE	4.35307264328003	0	0	0	0
TG	UKBB	EAS	2	168	1554	5	TRUE	2.52743577957153	0	0	0	0
TG	UKBB	EAS	2	169	2100	5	TRUE	1.63399624824524	0	0	0	0
TG	UKBB	EAS	2	171	2541	5	TRUE	2.94859600067139	0	0	0	0
TG	UKBB	EAS	2	174	707	5	TRUE	1.99741506576538	0	0	0	0
TG	UKBB	EAS	2	176	2565	5	TRUE	1.32674241065979	0	0	0	0
TG	UKBB	EAS	2	180	1515	5	TRUE	1.38670468330383	0	0	0	0
TG	UKBB	EAS	2	181	2213	5	TRUE	1.79430723190308	0	0	0	0
TG	UKBB	EAS	2	184	3316	5	TRUE	2.75789380073547	0	0	0	0
TG	UKBB	EAS	2	186	2424	5	TRUE	3.41855072975159	0	0	0	0
TG	UKBB	EAS	2	195	3986	5	TRUE	3.49029469490051	0	0	0	0
TG	UKBB	EAS	2	197	1975	5	TRUE	1.55340242385864	0	0	0	0
TG	UKBB	EAS	2	198	1147	5	TRUE	1.54950952529907	0	0	0	0
TG	UKBB	EAS	2	199	2235	5	TRUE	2.14806008338928	0	0	0	0
TG	UKBB	EAS	2	201	1907	5	TRUE	1.57085943222046	0	0	0	0
TG	UKBB	EAS	2	202	249	5	TRUE	0.55009651184082	0	0	0	0
TG	UKBB	EAS	2	205	967	5	TRUE	2.10242938995361	0	0	0	0
TG	UKBB	EAS	2	210	1272	5	TRUE	2.14087271690369	0	0	0	0
TG	UKBB	EAS	2	211	1675	5	TRUE	1.62866139411926	0	0	0	0
TG	UKBB	EAS	2	213	3632	5	TRUE	3.2466516494751	0	0	0	0
TG	UKBB	EAS	2	214	908	5	TRUE	2.57627153396606	0	0	0	0
TG	UKBB	EAS	2	217	879	5	TRUE	0.585015296936035	0	0	0	0
TG	UKBB	EAS	2	218	734	5	TRUE	1.24746298789978	0	0	0	0
TG	UKBB	EAS	2	230	1119	5	TRUE	2.28987526893616	0	0	0	0
TG	UKBB	EAS	2	231	549	5	TRUE	0.514953851699829	0	0	0	0
TG	UKBB	EAS	2	235	757	5	TRUE	1.13789463043213	0	0	0	0
TG	UKBB	EAS	2	237	1448	5	TRUE	1.06705927848816	0	0	0	0
TG	UKBB	EAS	2	240	1471	5	TRUE	2.9641854763031	0	0	0	0
TG	UKBB	EAS	2	242	1608	5	TRUE	4.24639105796814	0	0	0	0
TG	UKBB	EAS	2	250	3431	5	TRUE	5.09711170196533	0	0	0	0
TG	UKBB	EAS	2	251	894	5	TRUE	1.59677314758301	0	0	0	0
TG	UKBB	EAS	2	256	1583	5	TRUE	1.00013446807861	0	0	0	0
TG	UKBB	EAS	3	1	6691	5	TRUE	6.98073554039001	0	0	0	0
