pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	AFR	1	1	1401	1.0020644631729119	5500	116.362399339676	0.016237225330213982	1.8104156493482508e-5	1.79010381009026e-5	6.907099597141587e-6	1.558904023236492e-5	1.2216309148048542e-5	0	0	0	0
HDL	META	AFR	1	2	1463	1.0025075107510009	5500	147.776066303253	0.01467521059547215	1.2628677007791006e-5	1.249620082969969e-5	4.700234594628513e-6	1.181358049664925e-5	9.797773351272367e-6	0	0	0	0
HDL	META	AFR	1	3	827	1.001533333217319	5500	53.387437582016	0.020679071691883263	5.073049618879396e-6	5.03785067009821e-6	2.5082157105192854e-6	4.71414926817877e-6	5.157104992124495e-6	0	0	0	0
HDL	META	AFR	1	5	3605	1.0027405661403057	5500	722.440102577209	0.027645921634389975	3.58088551032488e-5	3.502770448596195e-5	8.145110843657848e-6	3.279634153448451e-5	1.6941522925730254e-5	0	0	0	0
HDL	META	AFR	1	15	5267	1.0027304007252997	5500	1346.06414246559	0.0190819677997416	7.247669918147204e-5	7.104008343233196e-5	1.3772100179304445e-5	6.434088500086233e-5	2.5868906273982997e-5	0	0	0	0
HDL	META	AFR	1	17	6661	1.0039368861598392	5500	2322.46248221397	0.02391974164726229	5.436861684865322e-5	5.363355662053717e-5	9.37747056134575e-6	5.0834007075271055e-5	1.999121730275852e-5	0	0	0	0
HDL	META	AFR	1	18	2519	1.003934187010519	5500	242.328634262085	0.03127308309728871	1.0264557658324994e-4	1.0382026222525284e-4	2.8886715665312444e-5	1.0656560843948232e-4	6.0352424908138576e-5	0	0	0	0
HDL	META	AFR	1	19	5432	1.0034007866796408	5500	1572.56735110283	0.06831240084243051	1.0102105158885135e-4	1.0046338226451775e-4	1.9692711769851145e-5	9.775884155611865e-5	4.266528231996889e-5	0	0	0	0
HDL	META	AFR	1	21	3702	1.0026639870725371	5500	769.003942012787	0.017897733290401254	2.6582256051419095e-5	2.630272863416432e-5	6.145483907122589e-6	2.45749985095287e-5	1.2607811613035198e-5	0	0	0	0
HDL	META	AFR	1	23	1888	1.0020520347495496	5500	196.698549509048	0.007822430566857308	1.7109504578320232e-5	1.6855365070934925e-5	5.532486049531464e-6	1.5443182121716882e-5	1.1320691882959035e-5	0	0	0	0
