pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	EUR	1	1	475	1.0093904200189636	5500	11.0420897006989	0.005955333333288408	5.299461167706756e-5	5.642225569537254e-5	2.845639547315494e-5	5.5592736670541373e-5	1.4463191940580346e-5	0	1	2	34
HDL	META	EUR	1	2	805	1.005275950012464	5500	31.0995235443115	0.430143989480392	3.247705975228115e-5	3.333342878491084e-5	1.4534270210857187e-5	3.191679662892772e-5	1.0921520235248895e-5	0	0	0	0
HDL	META	EUR	1	3	507	1.0179370477160559	5500	13.1865210533142	0.14439546030393613	2.4807360106488375e-5	2.5455995029639378e-5	1.3696641934326175e-5	2.501627970229831e-5	9.672690136167006e-6	0	0	1	49
HDL	META	EUR	1	5	1967	1.034402980044229	5500	224.993306875229	0.10121308352796654	5.084293809761359e-5	5.010584790016193e-5	1.502380842210886e-5	4.931750481999809e-5	1.3988611590675512e-5	0	0	1	34
HDL	META	EUR	1	15	2777	1.0082939951598726	5500	471.16899228096	0.7638066738941323	4.722616152818348e-5	4.906930024417866e-5	1.1900971749675059e-5	4.654578614829454e-5	1.3044877842566132e-5	0	0	0	0
HDL	META	EUR	1	17	3413	1.0059112771515926	5500	578.647468328476	0.7437530856596195	3.8255944217543e-5	3.8770651723559976e-5	8.762591456070715e-6	3.6863189405817876e-5	1.1490911676194285e-5	0	0	0	0
HDL	META	EUR	1	18	1470	1.0030415767837222	5500	127.148992776871	0.45626148704100156	2.8217131954338753e-5	3.0956091315037915e-5	1.016573938315067e-5	2.9597943429526926e-5	1.258181475404199e-5	0	0	0	0
HDL	META	EUR	1	19	2744	1.012357793189052	5500	507.300122261047	0.9103199643660642	5.610581139707318e-5	6.077263516168774e-5	1.4530667669151706e-5	5.5315979277466546e-5	1.5164239629575739e-5	0	0	0	0
HDL	META	EUR	1	21	1765	1.0169346107729336	5500	215.881358385086	0.11867340734320164	5.257153158420182e-5	5.396034709069153e-5	1.558843386594207e-5	5.354431568014563e-5	1.4577593618580176e-5	0	1	1	67
HDL	META	EUR	1	23	1028	1.005090715036168	5500	65.0312578678131	0.4912824053033673	2.2235004007108626e-5	2.418790355900271e-5	9.216510509844142e-6	2.3174265557935124e-5	1.0074510741293593e-5	0	0	0	0
HDL	META	EUR	1	24	1164	1.005747792225198	5500	92.8662333488464	0.002067596759829704	3.3694242892870814e-5	3.630215292869059e-5	1.3161300982640188e-5	3.4304820999617895e-5	1.2461575220110018e-5	0	0	1	3
HDL	META	EUR	1	35	3193	1.0047550393584972	5500	701.273271799088	0.18301615568850438	2.9937138393379918e-5	3.025928594425844e-5	7.205194050859067e-6	2.921301240859769e-5	9.808957773408443e-6	0	0	0	0
HDL	META	EUR	1	40	1290	1.003315519754035	5500	94.6576254367828	0.33868963380826855	3.5757788310179724e-5	3.844275038549016e-5	1.2991542468019995e-5	3.366735471905414e-5	1.2137869679921119e-5	0	0	0	0
HDL	META	EUR	1	43	901	1.0077877370175654	5500	41.835470199585	0.1690248906659313	1.9571151208140118e-5	2.0972728336925227e-5	8.95256243561401e-6	1.7940171788253606e-5	8.992217520693365e-6	0	0	0	0
HDL	META	EUR	1	44	697	1.0091333403042706	5500	21.9658675193787	0.36840819516861845	5.1356765716739175e-5	5.469716794410824e-5	2.494391675846802e-5	5.206944006877464e-5	1.4886972277928715e-5	0	0	1	10
HDL	META	EUR	1	46	2423	1.0089007555463156	5500	340.472749948502	0.44195550037142617	5.903271782800848e-5	6.223271480307671e-5	1.6064281059520676e-5	6.383103220111445e-5	1.6456277222416507e-5	0	0	1	33
HDL	META	EUR	1	48	1267	1.0088776574538019	5500	88.0405402183533	1.3708910208500584	1.2048555915526153e-4	1.2292172844893885e-4	4.0686648884370555e-5	1.1884699797603167e-4	2.266754783615474e-5	0	1	1	6
HDL	META	EUR	1	49	1100	1.0044753917110085	5500	80.7965059280396	0.10658517830367087	3.0460720269292353e-5	3.267740896871101e-5	1.2316530731269896e-5	2.9731853208347446e-5	1.2141227886919524e-5	0	1	0	0
HDL	META	EUR	1	50	1895	1.0074870325715783	5500	228.631637334824	0.9788682256557579	3.8698925048016236e-5	3.8632085618187763e-5	1.1371138453962679e-5	3.697881563089235e-5	1.3052857196799217e-5	0	0	0	0
HDL	META	EUR	1	51	1277	1.0087812066896749	5500	93.6536412239075	0.35556945633621573	2.926634063427012e-5	3.2833687012715565e-5	1.146756490620763e-5	3.071631519446218e-5	1.1201210908973256e-5	0	0	1	81
