pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	UKBB	AFR	1	1	1401	1.002831887228811	5500	92.0334849357605	6.226824486769058e-4	6.277710827380191e-5	6.329130034800863e-5	2.40772031277607e-5	5.825713166398337e-5	4.431402729346761e-5	0	0	0	0
HDL	UKBB	AFR	1	2	1463	1.0022837266137843	5500	95.127436876297	0.08325304936690703	8.791964200694076e-5	8.908499458635809e-5	3.369742574098006e-5	8.622326069463922e-5	7.158396836533498e-5	0	0	0	0
HDL	UKBB	AFR	1	3	827	1.0018081184279648	5500	32.6871943473816	2.4263368470919287e-4	7.086974039217265e-5	7.299679748752639e-5	3.640295295410544e-5	6.464157909080219e-5	6.47322060378194e-5	0	0	0	0
HDL	UKBB	AFR	1	5	3605	1.0027682551582586	5500	659.887637138367	0.15046177154691698	9.319280419977163e-5	9.359860956717773e-5	2.1931222925353853e-5	9.150414542905459e-5	4.979314500437158e-5	0	0	0	0
HDL	UKBB	AFR	1	15	5267	1.0028858797022735	5500	1416.69560575485	0.0017168928882653573	9.918766518594238e-5	9.94388545168446e-5	1.959415678373661e-5	9.914439153377315e-5	4.710713582113097e-5	0	0	0	0
HDL	UKBB	AFR	1	17	6661	1.0024143928862104	5500	2351.4510781765	0.002853956717108028	1.0912261104276172e-4	1.086170135116628e-4	1.8303151737226588e-5	1.0824113719069318e-4	4.525204923833562e-5	0	0	0	0
HDL	UKBB	AFR	1	18	2519	1.0025448152653693	5500	339.378811359406	0.0010172288510526077	8.137615180365849e-5	8.206569573623268e-5	2.3258367966331423e-5	7.91747800592332e-5	4.880705776045405e-5	0	0	0	0
HDL	UKBB	AFR	1	19	5432	1.0024397921215733	5500	1518.73265576363	0.03406129114648193	1.0078374950981886e-4	1.0078852304416546e-4	1.9343870942440903e-5	1.0086341417465746e-4	4.7049799922658795e-5	0	0	0	0
HDL	UKBB	AFR	1	21	3702	1.0029850506312203	5500	663.334094285965	0.21435948016335926	1.0138802429912341e-4	1.0184550696421663e-4	2.390645899546604e-5	1.0172684749361135e-4	5.6873569131401284e-5	0	0	0	0
HDL	UKBB	AFR	1	23	1888	1.002578515374786	5500	177.445239067078	0.04674854763412428	1.0391696312667592e-4	1.0423002306524975e-4	3.399704455276771e-5	1.0144939067961206e-4	7.3298340790863e-5	0	0	0	0
HDL	UKBB	AFR	1	24	1883	1.0030393172684047	5500	181.391854047775	0.0012605478901122572	1.1114466604012262e-4	1.1312342323818728e-4	3.693737217038903e-5	1.1741664677558134e-4	9.504941771640883e-5	0	0	0	0
HDL	UKBB	AFR	1	35	6594	1.0028364800420728	5500	2361.35468006134	0.3166264454652803	9.154472462996275e-5	9.154157258410017e-5	1.5618696292017637e-5	9.299187828441758e-5	4.051671614442573e-5	0	0	0	0
HDL	UKBB	AFR	1	40	2211	1.001843841681204	5500	281.420987606049	7.271648164254164e-4	5.006362756635681e-5	5.064850467086361e-5	1.5219670173835761e-5	4.9058479167527695e-5	3.142914914797723e-5	0	0	0	0
HDL	UKBB	AFR	1	43	1399	1.0022362229434496	5500	88.9291722774506	0.006690861099494905	8.222702384129474e-5	8.293827503718813e-5	3.1928445442309696e-5	8.16798839246442e-5	6.88443042717007e-5	0	0	0	0
HDL	UKBB	AFR	1	44	1277	1.0020890420406006	5500	82.8964920043945	0.09873951581078	8.932467015043181e-5	9.06678607259626e-5	3.6623787763729525e-5	8.266882227317642e-5	6.874642678662653e-5	0	0	0	0
HDL	UKBB	AFR	1	46	4373	1.003402372516101	5500	943.666274547577	0.0023918845757475594	9.209607055779457e-5	9.194949291598609e-5	1.979395163606016e-5	8.938100017594746e-5	4.4944547884948925e-5	0	0	0	0
HDL	UKBB	AFR	1	48	2597	1.0025289860292965	5500	307.757833242416	7.3720230957028e-4	8.893362348552235e-5	8.813200068005995e-5	2.4486821145136935e-5	8.439085287314346e-5	5.2823864487728966e-5	0	0	0	0
