pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	UKBB	EAS	1	1	79	1.001100716287105	5500	1.97613096237183	0.0016691614133545266	2.644462930052906e-6	2.4877313933503453e-6	4.102981666974975e-6	2.155685330698086e-6	6.723464772801111e-6	0	0	0	0
HDL	UKBB	EAS	1	2	125	1.001862603300226	5500	3.84940314292908	0.001173384429043391	1.0203807662417064e-5	1.0188287342829838e-5	1.2915661782147695e-5	7.516587270907902e-6	1.634547845446635e-5	0	0	0	0
HDL	UKBB	EAS	1	3	185	1.0011285922808317	5500	4.73500299453735	6.803325816023631e-4	9.720315673712629e-6	9.628452436094293e-6	1.026540947438722e-5	7.976019921858103e-6	1.4654473727274787e-5	0	0	0	0
HDL	UKBB	EAS	1	5	706	1.0019172052687197	5500	60.1144087314606	0.0013505042792727635	5.521151346445528e-5	5.638831311732553e-5	2.9554292114314832e-5	4.664814336751647e-5	4.884991449241177e-5	0	0	0	0
HDL	UKBB	EAS	1	15	1491	1.0020207753785675	5500	214.366753101349	0.0035087750662229356	8.331316844393598e-5	8.308999421501506e-5	2.9884913835496987e-5	7.632419283951036e-5	6.240633266109877e-5	0	0	0	0
HDL	UKBB	EAS	1	17	1897	1.0023866759133004	5500	351.671685934067	0.14865910795549553	1.0263269558410101e-4	1.0346452495732495e-4	3.3498783894818486e-5	1.0059531410224142e-4	7.673194669119855e-5	0	0	0	0
HDL	UKBB	EAS	1	18	764	1.001839217677494	5500	64.1376619338989	0.230257104762851	6.29512534574768e-5	6.304964631716596e-5	3.221279385412805e-5	5.417682718204554e-5	5.40907012041708e-5	0	0	0	0
HDL	UKBB	EAS	1	19	1408	1.001802607327377	5500	202.787743091583	0.0033825028433110975	6.550594548459623e-5	6.535553149592774e-5	2.4611423978914584e-5	6.209519014998766e-5	5.231612089724456e-5	0	0	0	0
HDL	UKBB	EAS	1	21	1162	1.0015062961081915	5500	137.97182559967	0.1670940901786826	1.2475756740584667e-4	1.250029918988942e-4	5.106125992883096e-5	1.1496203417422405e-4	9.811004972049818e-5	0	0	0	0
HDL	UKBB	EAS	1	23	687	1.0018580915465045	5500	44.0359592437744	0.0035077642089290824	3.608555951332021e-5	3.631631614029838e-5	1.9316922040385526e-5	3.160006329466118e-5	3.346038917415535e-5	0	0	0	0
HDL	UKBB	EAS	1	24	410	1.001720566885446	5500	17.3233215808868	0.24766780476714678	3.270803477701976e-5	3.32565055115226e-5	2.3395651725911887e-5	2.668313147788532e-5	3.552044317433547e-5	0	0	0	0
HDL	UKBB	EAS	1	35	1503	1.003448827914299	5500	227.416763305664	0.004273237223836327	9.54192380657523e-5	9.494923138411074e-5	3.454781656490136e-5	9.008296514899397e-5	7.50596161126243e-5	0	0	0	0
HDL	UKBB	EAS	1	40	763	1.0014677536579268	5500	64.3448994159698	0.11238917806110149	5.311069799661923e-5	5.2426823229345196e-5	2.6941310252887368e-5	4.550150220088225e-5	4.2562748005491026e-5	0	0	0	0
