pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	AFR	1	2	1472	1.0019590752074181	5500	136.347378015518	0.013382516320364203	2.1776039692584075e-5	2.1998780737466415e-5	8.050704461573398e-6	2.0338014564505327e-5	1.531727794565965e-5	0	0	0	0
LDL	META	AFR	1	4	1992	1.002503525856815	5500	205.324460268021	0.019185062229484382	5.069804458481577e-5	4.881972090381863e-5	1.5521227609516574e-5	4.2320461041433764e-5	2.643008281433164e-5	0	0	0	0
LDL	META	AFR	1	17	6619	1.003697497131884	5500	2579.46596717834	0.027734729809876787	9.491464705017416e-5	9.538512769260628e-5	1.6222728018755044e-5	9.650445040676734e-5	3.972204787274667e-5	0	0	0	0
LDL	META	AFR	1	19	5388	1.0032499958833188	5500	1944.31805586815	0.03298291383769175	9.086435445462562e-5	8.999479570034315e-5	1.7386499363318944e-5	8.529474347818394e-5	3.509183209198613e-5	0	0	0	0
LDL	META	AFR	1	23	1856	1.0025681245682798	5500	190.472428560257	0.013999480407086404	2.2220142418308223e-5	2.137848824636752e-5	6.937011825224492e-6	1.9288700452139733e-5	1.3446228558097995e-5	0	0	0	0
LDL	META	AFR	1	35	6558	1.0030161473022532	5500	2214.74733018875	0.06774729722122852	1.0253366897536866e-4	1.0234830543025946e-4	1.7554505040978647e-5	9.992005545412334e-5	3.990243528666197e-5	0	0	0	0
LDL	META	AFR	1	40	2184	1.0029351180764388	5500	238.228870391846	0.010680025736071163	3.8402619620354824e-5	3.7159834146079996e-5	1.1222224145564362e-5	3.3047133102573224e-5	2.1116325583049296e-5	0	0	0	0
LDL	META	AFR	1	48	2575	1.0034498647894514	5500	367.591781616211	0.019738270868789033	7.930659801755758e-5	7.99779830087479e-5	2.110355431620824e-5	7.743964421311279e-5	4.295933035044186e-5	0	0	0	0
LDL	META	AFR	1	49	2481	1.0028503807962943	5500	436.240741252899	0.022496423246111483	2.830028887955446e-5	2.8061630013228833e-5	7.716061697326212e-6	2.674773818310738e-5	1.7036526412980603e-5	0	0	0	0
LDL	META	AFR	1	51	2317	1.0023208677053213	5500	295.594653844833	0.06245493805291624	8.248059176399257e-5	8.418225792892377e-5	2.4279176978123968e-5	8.356241280592433e-5	4.653559061703273e-5	0	0	0	0
