pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	EAS	1	2	92	1.001054183308599	5500	1.59843754768372	0.0037668229047665164	3.317685864507351e-6	3.2324001997316333e-6	4.89870245970815e-6	2.3391330452800893e-6	5.795988102964619e-6	0	0	0	0
LDL	META	EAS	1	4	410	1.0022643707083674	5500	13.9113779067993	0.059927288001800694	1.5212959100763547e-5	1.5766001379681137e-5	1.093098241873634e-5	1.5235721910820737e-5	1.965034502722288e-5	0	0	0	0
LDL	META	EAS	1	17	1895	1.002141685707034	5500	430.451748371124	0.01737979090742891	1.14110982744537e-5	1.1323837342889797e-5	3.640991331955402e-6	1.0805086022595825e-5	7.954393320920533e-6	0	0	0	0
LDL	META	EAS	1	19	1293	1.0023152204767114	5500	185.619397878647	0.011312040252035456	2.3775783911945982e-05	2.3317131831637306e-5	9.255367242277424e-6	2.1861311272836736e-5	1.836619564462283e-5	0	0	0	0
LDL	META	EAS	1	23	619	1.0018229530115816	5500	30.3780796527863	0.005985409646014123	3.275408132048291e-5	3.3726276893736064e-5	1.8819960971078632e-5	2.8603506282149105e-5	2.693362519274641e-5	0	0	0	0
LDL	META	EAS	1	35	1520	1.0058928859774372	5500	237.164016008377	0.19348676759988992	2.375690960333008e-4	2.3860333137666246e-4	8.093197441755187e-5	2.4157647622300438e-4	1.144666921326501e-4	0	0	0	0
LDL	META	EAS	1	40	795	1.0020141170302166	5500	53.7769687175751	0.00986086175893829	1.9311749405259042e-5	1.86303536580644e-5	9.309332733048557e-6	1.55176854748368e-5	1.4855728752493883e-5	0	0	0	0
LDL	META	EAS	1	48	696	1.0015767290893225	5500	57.6970653533936	0.006660106810298935	4.670966640668465e-6	4.625860605535048e-6	2.485703577835048e-6	4.288933929571985e-6	5.000579218583754e-6	0	0	0	0
LDL	META	EAS	1	49	435	1.001382404505674	5500	16.5121140480042	0.007986020719007843	3.2701719594837224e-6	3.251320764772503e-6	2.1695551409137405e-6	2.772658812951927e-6	4.042387268803844e-6	0	0	0	0
LDL	META	EAS	1	51	609	1.0055781555675662	5500	29.9712765216827	0.306702700994842	3.792249868072372e-4	4.1734952639675086e-4	2.1287696380258708e-4	3.860553995146524e-4	1.4367104653771953e-4	0	0	1	67
LDL	META	EAS	1	52	1510	1.0035546808333642	5500	225.952179193497	0.010700755844483966	7.118612272805384e-5	7.308913056703275e-5	2.56158056133417e-5	7.009027674653032e-5	4.723230846941764e-5	0	0	0	0
LDL	META	EAS	1	53	1301	1.0020054733021695	5500	188.498396396637	0.005281656382662388	2.0865415545762237e-5	2.0443463834284902e-5	7.823836006042684e-6	1.7670101713326376e-5	1.535832592122746e-5	0	0	0	0
LDL	META	EAS	1	58	1568	1.0027823691866609	5500	247.303314208984	0.03550939902583594	3.403836757075281e-5	3.3221957424964856e-5	1.1307767690802858e-5	3.0044957034983274e-5	2.266002049077544e-5	0	0	0	0
LDL	META	EAS	1	70	1504	1.0021125788534706	5500	234.837912082672	0.015348380506657731	2.698044438307664e-5	2.639489110017581e-5	9.743014039304087e-6	2.291745307020635e-5	1.8149931284351348e-5	0	0	0	0
LDL	META	EAS	1	73	1804	1.0029614715924364	5500	296.00928401947	0.16739401279263944	9.988413725654746e-5	1.0121690790266336e-4	3.299050922852811e-5	1.0124985652680268e-4	6.274556261041897e-5	0	0	0	0
LDL	META	EAS	1	75	2597	1.003682369914457	5500	765.400223016739	0.8451135157991712	2.5717599616671607e-4	2.6930510136891447e-4	7.075954408158414e-5	2.7582084444092395e-4	1.1442549672940302e-4	0	0	0	0
LDL	META	EAS	1	76	1430	1.0031793585607955	5500	201.196900844574	0.01162592222189852	5.372783294555232e-5	5.138723661162252e-5	1.9040417497056428e-5	4.232616715384991e-5	3.138294910757097e-5	0	0	0	0
LDL	META	EAS	1	78	852	1.0021339969606464	5500	74.2412674427032	0.4960229888522161	7.108250446620096e-5	7.278290331739766e-5	3.362984088012645e-5	6.421625187828411e-5	4.680602496814118e-5	0	0	0	0
LDL	META	EAS	1	80	892	1.002256980577647	5500	97.3178629875183	0.010461105284037375	1.865225915313902e-5	1.8264214996783966e-5	8.475267123072501e-6	1.6520160600147616e-5	1.6638489990770142e-5	0	0	0	0
LDL	META	EAS	1	81	605	1.0014797903465031	5500	27.4221303462982	0.008884961495074293	2.694344534623134e-5	2.609069583584094e-5	1.4604302420660049e-5	2.131586826348284e-5	2.286026670077265e-5	0	0	0	0
LDL	META	EAS	1	82	1017	1.0019528189959164	5500	116.89591050148	0.008849790172215728	2.387140105356094e-5	2.4078823520401803e-5	1.0427894815384013e-5	2.1365078187824724e-5	1.899638136992517e-5	0	0	0	0
LDL	META	EAS	1	83	1632	1.0031317331770786	5500	237.468722105026	0.3451966926270329	1.475019807340606e-4	1.5458462172273418e-4	5.035595782596145e-5	1.6141071117854416e-4	8.934016271079127e-5	0	0	0	0
LDL	META	EAS	1	84	2481	1.0225403881458	5500	557.588048219681	3.0941185148243155	0.003152815485882596	0.003109582326937272	7.728590632059448e-4	0.003108686750247295	4.446924781647864e-4	0	1	1	34
LDL	META	EAS	1	85	957	1.0018266596052399	5500	92.7281997203827	0.12217240715059119	2.8436807191534313e-5	2.8491520441811712e-5	1.2508607218396803e-5	2.6049797815133403e-5	2.2675295917212184e-5	0	0	0	0
LDL	META	EAS	1	88	1284	1.001938991268334	5500	177.117990970612	0.007326892403437773	3.693369334009413e-5	3.626814866800199e-5	1.4351700228659155e-5	3.314250614075472e-5	2.6262671137748238e-5	0	0	0	0
LDL	META	EAS	1	89	1333	1.0019099094893729	5500	207.860251903534	0.034120561596771015	1.69019290669059e-5	1.701839272685395e-5	6.639943135529212e-6	1.5867999297352666e-5	1.3039124407765563e-5	0	0	0	0
LDL	META	EAS	1	92	1463	1.002310734172421	5500	238.402207612991	0.00990189415295655	9.883439382220645e-6	9.73835479214724e-6	3.6192435613342586e-6	8.925750315117326e-6	7.575027010739101e-6	0	0	0	0
LDL	META	EAS	1	94	356	1.0024686162692629	5500	10.5860648155212	0.6912756411012613	7.966193363255023e-5	9.484127946959598e-5	6.304975713368675e-5	8.417171156810699e-5	7.448560009860142e-5	0	0	0	0
LDL	META	EAS	1	96	1352	1.001781280202764	5500	198.262640953064	0.2322092784385965	2.801038929108679e-5	2.75440690905411e-5	1.053912693648609e-5	2.5502315861454895e-5	2.0562152543858483e-5	0	0	0	0
LDL	META	EAS	1	97	1582	1.0053604802261893	5500	245.522676706314	0.01148075472904606	2.4467186576400776e-4	2.520194186141747e-4	8.322277389969945e-5	2.531215605876089e-4	1.1022773484432568e-4	0	0	1	103
LDL	META	EAS	1	100	1655	1.0035283508864206	5500	275.918019294739	0.11608488644330706	2.577700579808008e-4	2.7142327256895517e-4	8.559309893523246e-5	2.7071705118273255e-4	1.1991397641987483e-4	0	0	0	0
LDL	META	EAS	1	109	1824	1.0064471539413862	5500	316.418335199356	0.009450549935944389	1.1417545849147764e-4	1.1601429690702759e-4	3.74373521572245e-5	1.1388856317942152e-4	7.300924011410668e-5	0	0	0	0
LDL	META	EAS	1	124	2070	1.0019058658481486	5500	438.802896499634	0.01327913074017191	2.839320367570074e-5	2.756287510705111e-5	8.802412374294507e-6	2.4618480943371154e-5	1.71441140905386e-5	0	0	0	0
LDL	META	EAS	1	125	2412	1.0031265726241825	5500	574.368722438812	0.13971556712574973	2.1510690136205486e-4	2.2329261170160033e-4	6.104038890715515e-5	2.329544665674935e-4	1.0358832292419408e-4	0	0	0	0
LDL	META	EAS	1	136	1303	1.0019790073360844	5500	176.57680773735	0.13435044508872962	6.331114560180778e-5	6.350531837670386e-5	2.416806705166665e-5	5.971094324145988e-5	4.144427131939588e-5	0	0	0	0
LDL	META	EAS	1	138	1601	1.021936102214952	5500	241.389318227768	0.1407641012801477	0.004993039779481913	0.003874429103215504	0.0013379112871633773	0.0050179077252711524	5.313564530574513e-4	0	2	1	2
LDL	META	EAS	1	139	433	1.0022994774751322	5500	12.8449413776398	0.05807350195386607	6.767045238846746e-5	7.203857065532553e-5	4.445087671256771e-5	5.459117719982705e-5	4.705126052253978e-5	0	0	0	0
LDL	META	EAS	1	141	755	1.0025632599856336	5500	58.6003930568695	0.007537573299106152	6.764974173316805e-5	6.919223283352935e-5	3.4513424330060347e-5	5.933838642455302e-5	4.795081548260385e-5	0	0	0	0
LDL	META	EAS	1	145	886	1.003005070741393	5500	97.1844506263733	0.012626335721132757	1.3890265321381016e-5	1.3688498601015998e-5	6.533559132517796e-6	1.2403836928238734e-5	1.2156878181021148e-5	0	0	0	0
LDL	META	EAS	1	147	1273	1.0027270611061905	5500	193.787746429443	0.009695516412544812	2.533743737858407e-5	2.50728257252802e-5	9.796697870150734e-6	2.216023737074797e-5	1.790916739823159e-5	0	0	0	0
LDL	META	EAS	1	150	1707	1.0020791053901645	5500	299.16938996315	0.008689327051824246	2.203286982814602e-5	2.1473253252561997e-5	7.3899651416062825e-6	1.9035152992402414e-5	1.4017676573182354e-5	0	0	0	0
LDL	META	EAS	1	151	2374	1.0021850331155029	5500	568.422304153442	0.040898731474647176	3.504459717845521e-5	3.4347061140417966e-5	1.0098453414170881e-5	3.074847561997711e-5	1.9883674837274148e-5	0	0	0	0
LDL	META	EAS	1	154	2252	1.003016342496497	5500	483.833033323288	0.2547287528447175	1.2267276663967028e-4	1.2518198677654105e-4	3.61201592404725e-5	1.2059148289773563e-4	6.487411830279901e-5	0	0	0	0
LDL	META	EAS	1	158	998	1.0020939104096873	5500	113.482960939407	0.45781556801702505	5.162872047834683e-5	5.2324125342028236e-5	2.3597309811271097e-5	4.374463046913073e-5	3.3258189389277975e-5	0	0	0	0
LDL	META	EAS	1	162	1177	1.0131669512446104	5500	152.785405635834	0.008143550121259642	4.441812353126673e-4	4.411674849213965e-4	1.6912287600556722e-4	4.2245110963062853e-4	1.557071137162911e-4	0	0	0	0
LDL	META	EAS	1	163	1118	1.0018203393626273	5500	141.11498093605	0.008825334703897762	2.686377757185784e-5	2.6545154493116475e-5	1.0986335523659328e-5	2.3942765905565477e-5	1.9918606737554433e-5	0	0	0	0
LDL	META	EAS	1	168	1737	1.0030497745603624	5500	322.988812208176	0.009997246281146266	3.2423481326580546e-5	3.217097966284152e-5	1.081670482169083e-5	2.958063673819967e-5	2.11645771557835e-5	0	0	0	0
LDL	META	EAS	1	169	2863	1.002587877041152	5500	930.090455055237	0.018718662849365714	2.1696044290879023e-5	2.142699587251491e-5	5.678875252760158e-6	2.02746448913488e-5	1.2615542890570867e-5	0	0	0	0
LDL	META	EAS	1	175	2312	1.0029001897281777	5500	543.654708623886	0.010981350491837296	4.7108735612404395e-5	4.6226981894611877e-5	1.343990393703308e-5	4.215133530336846e-5	2.6014534492469624e-5	0	0	0	0
LDL	META	EAS	1	182	2217	1.0023660302380821	5500	471.63022685051	0.138742111998444	1.0613460498876174e-4	1.0829029177235104e-4	3.1508194437310955e-5	9.846631694258095e-5	5.5100931832622685e-5	0	0	0	0
LDL	META	EAS	1	183	2280	1.0022933918153996	5500	596.463052749634	0.016382861842346445	1.8871106878361944e-5	1.851861462927982e-5	5.523764774091038e-6	1.645860423738576e-5	1.115933323179382e-5	0	0	0	0
LDL	META	EAS	1	187	1544	1.0022016932415825	5500	259.117276906967	0.009820754885505456	1.7913086849899213e-5	1.7816024131428687e-5	6.4011127957658825e-6	1.649849016716411e-5	1.2953502099286225e-5	0	0	0	0
LDL	META	EAS	1	188	1910	1.0020631321630686	5500	386.695875883102	0.008763727073052084	1.9747474002117334e-5	1.962270313216554e-5	6.3258179741620466e-6	1.730330013636493e-5	1.2772012700658515e-5	0	0	0	0
LDL	META	EAS	1	189	1084	1.001801324103079	5500	150.063866615295	0.011600575909317007	1.3061270717999144e-5	1.289190184105331e-5	5.5081428289845375e-6	1.2099614116123103e-5	1.1916733876174891e-5	0	0	0	0
LDL	META	EAS	1	191	1581	1.0024650608925372	5500	275.83093047142	0.007422586041780876	1.4114542150509515e-5	1.3778569093002856e-5	4.98399160043379e-6	1.2078330432286415e-5	9.390831745580448e-6	0	0	0	0
LDL	META	EAS	1	192	1786	1.0023622906694722	5500	339.166032552719	0.011878851863979863	2.6072360144133222e-5	2.5935372987934912e-5	8.628325392832763e-6	2.3596399776515436e-5	1.6614984600987893e-5	0	0	0	0
LDL	META	EAS	1	201	1847	1.0076730651720132	5500	370.863193035126	0.4176954924333782	3.0446250725061e-4	3.072797297280741e-4	9.441638476810672e-5	2.8975802148667966e-4	1.2328816283548467e-4	0	0	1	101
LDL	META	EAS	1	202	1602	1.0025117767042706	5500	251.803018331528	0.05757178881942471	5.321427376326885e-5	5.190741011370414e-5	1.8057543591247787e-5	4.622468260527818e-5	3.277067600389402e-5	0	0	0	0
LDL	META	EAS	1	205	652	1.0020807623506032	5500	40.0637991428375	0.007260900270650836	2.8600868308526017e-5	2.703694448056304e-5	1.5209187229459395e-5	2.1844192314295568e-5	2.201050361978887e-5	0	0	0	0
LDL	META	EAS	1	213	887	1.002082699324328	5500	84.256119966507	0.009942162189462924	4.107842508036342e-5	4.1326047176698614e-5	1.956648510051817e-5	3.9360750106216076e-5	3.7949956145268435e-5	0	0	0	0
LDL	META	EAS	1	214	763	1.0032054892966333	5500	64.3516595363617	0.01307269027295896	5.170365300261532e-5	5.373909466716691e-5	2.702376839621451e-5	5.216043452831115e-5	4.333954518415536e-5	0	0	0	0
LDL	META	EAS	1	216	1645	1.0019823545586461	5500	290.198676109314	0.04448187071526566	1.949015166141532e-5	1.9265965479319515e-5	6.7705782519435956e-6	1.8017353544319753e-5	1.3906170164687371e-5	0	0	0	0
LDL	META	EAS	1	221	1780	1.0031120680159844	5500	297.871013402939	0.01098116175384776	5.67413499186227e-5	5.63054912096526e-5	1.804603986970155e-5	4.741773139951203e-5	3.162959322240032e-5	0	0	0	0
LDL	META	EAS	1	223	1818	1.0027452292965586	5500	323.806379556656	0.01245380607330952	2.440369986975847e-5	2.366561934671565e-5	8.035310950837536e-6	2.0402061392118933e-5	1.4544276423372905e-5	0	0	0	0
LDL	META	EAS	1	226	665	1.0036800951395886	5500	30.0721745491028	0.012273281482420139	2.3723437449389012e-5	2.3300423074176214e-5	1.2459568122102768e-5	2.1015568074735403e-5	2.1056820142622902e-5	0	0	0	0
LDL	META	EAS	1	233	2267	1.0028689673111917	5500	501.083564996719	0.010917076307971743	3.059707230146392e-5	3.0262660738684157e-5	8.865905478785351e-6	2.7830717892833134e-5	1.9024246533658247e-5	0	0	0	0
LDL	META	EAS	1	234	2672	1.0277177373088648	5500	680.105001688004	0.48104886835551697	7.882403623528776e-4	7.593422920526297e-4	1.9680648141648328e-4	7.684289414763657e-4	2.0284447022937563e-4	0	1	2	114
LDL	META	EAS	1	238	3671	1.00262450225937	5500	1289.74522209167	0.01987166552209838	6.0379963337144524e-5	5.9497923798771505e-5	1.3849594197790734e-5	5.3566643636798564e-5	2.7522191562679512e-5	0	0	0	0
LDL	META	EAS	1	239	997	1.0018531218143811	5500	104.939082145691	0.010960782517915988	1.7515477301972788e-5	1.688888023403443e-5	7.476154498119244e-6	1.5087316365550107e-5	1.4284218620090151e-5	0	0	0	0
LDL	META	EAS	1	252	732	1.0182101208769063	5500	46.4651961326599	1.5786395194435294	0.0011380999569246886	0.0013262975612460014	5.539084910703633e-4	0.0011739429502559664	2.78963475544664e-4	0	0	2	24
LDL	META	EAS	1	253	210	1.0016838272694644	5500	3.02974939346313	0.007219301520299021	1.8554255802030553e-6	1.886918780995317e-6	1.8268351354526827e-6	1.7664032241662893e-6	3.5756909464069836e-6	0	0	0	0
LDL	META	EAS	1	254	1156	1.0025858315696503	5500	152.12024307251	0.06974994734612427	3.052885830368629e-5	3.075883625535103e-5	1.2648107951764506e-5	2.8507323584023834e-5	2.5014982966850187e-5	0	0	0	0
LDL	META	EAS	1	255	930	1.0021376942475921	5500	85.8703112602234	0.009840170618789175	1.6014402714171244e-5	1.565524303439969e-5	7.0589718728237405e-6	1.4033258942850119e-5	1.351402094242135e-5	0	0	0	0
LDL	META	EAS	1	280	3098	1.0030082353785608	5500	880.66913151741	0.01663022700929805	8.393154029448551e-5	8.461984720627825e-5	2.1308609667645907e-5	8.036117690329964e-5	4.2927439713451574e-5	0	0	0	0
LDL	META	EAS	2	6	900	1.0051355067908836	5500	87.4960899353027	0.008608364500976186	7.237755347265855e-5	7.619498781720245e-5	3.4699854081999624e-5	7.683016065049429e-5	6.214338819957832e-5	0	0	0	0
LDL	META	EAS	2	19	300	1.0016450596358941	5500	5.62201237678528	0.007170980072191189	5.827214649543558e-6	5.511527120972293e-6	4.5250501599826576e-6	4.3413568399668105e-6	6.631430973019813e-6	0	0	0	0
LDL	META	EAS	2	21	351	1.0015924005687633	5500	10.6256806850433	0.007202707486727563	1.338319233224774e-5	1.3236930962404348e-5	9.71726267123044e-6	1.130090697197148e-5	1.4910253986572908e-5	0	0	0	0
LDL	META	EAS	2	27	536	1.0022721098522742	5500	22.612158536911	0.008624068635693009	2.0867826210862142e-5	2.0565007439204997e-5	1.2847178911562419e-5	1.7028509384314724e-5	1.89203903063572e-5	0	0	0	0
LDL	META	EAS	2	34	2092	1.0022989281060868	5500	499.786341667175	0.015096311565541455	1.4087554201208509e-5	1.3955713834281357e-5	4.347484469792306e-6	1.3317356948445737e-5	9.463326423925412e-6	0	0	0	0
LDL	META	EAS	2	37	714	1.001760670221118	5500	36.1343812942505	0.008678405565065243	6.077940753228627e-6	5.863080832767609e-6	3.0451793268816417e-6	5.25388132486577e-6	5.666513996740418e-6	0	0	0	0
LDL	META	EAS	2	38	1699	1.0025580797878124	5500	263.739298582077	0.012734863983807373	6.545863397752453e-5	6.418676263672294e-5	2.168592862169569e-5	5.692749318417757e-5	3.7908445485438927e-5	0	0	0	0
LDL	META	EAS	2	39	773	1.0016753551357702	5500	61.9648342132568	0.011591272066500485	2.3512528485033145e-5	2.353483436600461e-5	1.1975017507947865e-5	2.0702111806031145e-5	2.007544737889014e-5	0	0	0	0
LDL	META	EAS	2	40	2426	1.0027751393420115	5500	638.124603748322	0.015024956431814456	4.316223309958734e-5	4.314569240669246e-5	1.2462116993624456e-5	4.1014720935068876e-5	2.5987435437160128e-5	0	0	0	0
LDL	META	EAS	2	41	1053	1.004356216488559	5500	111.471751213074	0.8736991525333657	2.0979420137066427e-4	2.3391387526159758e-4	9.039043684605578e-5	2.2062408052866094e-4	1.0718365628440417e-4	0	0	0	0
LDL	META	EAS	2	43	198	1.0014363932634867	5500	4.34648132324219	0.008029291752719101	7.492673300672372e-6	7.205555200220459e-6	7.242839347859043e-6	5.27048055037036e-6	9.124553638028261e-6	0	0	0	0
LDL	META	EAS	2	44	848	1.1150678164670036	5500	71.9512746334076	5.281678000166092	0.003856124093767218	0.0036211361952112235	0.0015271056037217882	0.003821353534975355	5.243003808624274e-4	0	1	2	31
LDL	META	EAS	2	45	1802	1.0023404635295394	5500	316.83042550087	0.07747381869877756	6.0613107583829585e-5	6.06738392640976e-5	1.992003816286088e-5	5.567166230107513e-5	3.5935450614062625e-5	0	0	0	0
LDL	META	EAS	2	46	879	1.0016355098279037	5500	71.8432493209839	0.008633465027147172	1.9452545524530696e-5	1.9059344366225184e-5	9.077899262284916e-6	1.6934974002266726e-5	1.6444714602386552e-5	0	0	0	0
LDL	META	EAS	2	47	2130	1.0038131791281792	5500	464.618152618408	0.3281038022186471	2.362299670511831e-4	2.47685847791179e-4	6.985351444533351e-5	2.4059828376054532e-4	1.0553880244139295e-4	0	0	0	0
LDL	META	EAS	2	48	1195	1.0018909740729154	5500	161.202768325806	0.008190033529418517	1.6215664726811182e-5	1.582373402966193e-5	6.514345308515225e-6	1.4057933166911681e-5	1.234772893801449e-5	0	0	0	0
LDL	META	EAS	2	49	1487	1.0118589084321326	5500	245.636397123337	0.0076417010395360505	2.7484630748965936e-4	2.6903946908004683e-4	9.264999060374621e-5	2.8023709755825517e-4	1.1745775084378756e-4	0	0	0	0
