pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	EUR	1	2	820	1.0151296083128751	5500	39.6416981220245	0.20754281316112366	2.5584786241783848e-5	2.792285537015211e-5	1.1884785194573479e-5	2.5238597276007384e-5	1.0068467092557542e-5	0	0	0	0
LDL	META	EUR	1	4	1277	1.0175692318673373	5500	115.393342971802	1.661005135313264	8.850758295445703e-5	1.0038210161692493e-4	3.288066319043349e-5	8.880618855860919e-5	2.0333598431742277e-5	0	0	1	9
LDL	META	EUR	1	17	3343	1.00695071165177	5500	1314.42474484444	0.09086867830034984	2.566812363703098e-5	2.6077920547705813e-5	6.089754385960965e-6	2.6799319125186294e-5	9.35067629091419e-6	0	0	0	0
LDL	META	EUR	1	19	2679	1.0063380164694695	5500	524.032835006714	1.0390822930266386	4.895018348162649e-5	4.930978793205716e-5	1.2228425584741966e-5	4.828990389834887e-5	1.4198494087278022e-5	0	0	0	0
LDL	META	EUR	1	23	994	1.0111457642566557	5500	75.5308847427368	1.0898140889236534	3.363620380035479e-5	3.6248085900125184e-5	1.3950991499155877e-5	3.426349073841649e-5	1.1827423881638654e-5	0	0	0	0
LDL	META	EUR	1	35	3121	1.058107684968559	5500	862.583287715912	1.6016226747517641	1.9056689946525773e-4	1.7640240054711274e-4	4.062028076216236e-5	1.871795390708129e-4	2.795870292051477e-5	1	1	2	19
LDL	META	EUR	1	40	1268	1.0149148981092646	5500	146.811831712723	0.11736482747134036	5.1217227463626664e-5	4.9681238128572126e-5	1.7695417636930433e-5	5.139272251942906e-5	1.399286035772712e-5	0	0	1	10
LDL	META	EUR	1	48	1233	1.058774026016191	5500	110.170987606049	3.4115031534892504	1.3692583984260126e-4	1.6133644893137278e-4	5.1241202484839896e-5	1.3617609217207317e-4	2.5371154099731607e-5	0	0	2	45
LDL	META	EUR	1	49	1066	1.0078166415863166	5500	56.631814956665	0.1197164516112712	2.8612511379539313e-5	3.072230343039657e-5	1.1413840225812396e-5	2.609624495313357e-5	1.054316512777178e-5	0	1	0	0
LDL	META	EUR	1	51	1253	1.0389041643613575	5500	117.493580579758	0.6598581174627429	3.3229682171308044e-4	2.9308208106857065e-4	1.0572361744996237e-4	3.2783499885074614e-4	3.561944548238967e-5	0	1	2	32
LDL	META	EUR	1	52	3176	1.0100320504387137	5500	1058.71515846252	3.7971426077133	4.275713790064733e-4	3.6861415324828496e-4	8.205245294236503e-5	4.1566381649984303e-4	4.3984667221142375e-5	0	1	4	200
LDL	META	EUR	1	53	3012	1.0157526569029645	5500	727.480150461197	1.0375280916861835	6.3420731362096e-5	6.603990905125969e-5	1.4879176155366533e-5	6.498823955561864e-5	1.6223641901847367e-5	0	0	0	0
