pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	UKBB	EUR	1	2	820	1.0034200723676339	5500	52.1041634082794	1.2538807270972918	2.871198489103558e-5	3.025908071138217e-5	1.391700422042489e-5	2.7305539956133e-5	1.737593199658958e-5	0	0	0	0
LDL	UKBB	EUR	1	4	1277	1.0042099510757565	5500	124.03076672554	0.2926040835338488	4.393468659952578e-5	4.847363207110158e-5	1.7559512904198628e-5	4.5273905584883935e-5	2.283154884207518e-5	0	0	0	0
LDL	UKBB	EUR	1	17	3343	1.0035052219482923	5500	852.341725111008	0.38453190676338966	5.984085299230712e-5	6.0144781632411016e-5	1.4365822823912543e-5	5.7559607396289605e-5	2.210431606994141e-5	0	0	0	0
LDL	UKBB	EUR	1	19	2679	1.0115337704560052	5500	518.750887155533	0.32233140843662866	1.8303507348557338e-4	1.8230003271082506e-4	4.623062968336052e-5	1.7817816394525361e-4	4.474908782203263e-5	0	0	1	5
LDL	UKBB	EUR	1	23	994	1.0038687374148731	5500	76.037299156189	0	4.341723490787353e-5	4.60709540413188e-5	1.8488786754971962e-5	4.334823914469696e-5	2.088795875932531e-5	0	0	0	0
LDL	UKBB	EUR	1	35	3121	1.0101203447792158	5500	686.893167257309	0.365459067586251	1.58700609428941e-4	1.6280517607026665e-4	3.696863557905482e-5	1.6412230256787258e-4	4.3601660526041176e-5	0	0	1	37
LDL	UKBB	EUR	1	40	1268	1.0035260694187642	5500	108.513522148132	0.10578396472700957	6.0198480665346774e-5	6.48517603951855e-5	2.3316522820512616e-5	6.056356107620003e-5	2.7150281347355843e-5	0	0	0	0
LDL	UKBB	EUR	1	48	1233	1.0159455659343293	5500	108.908397197723	2.159161777142363	2.1284609047760687e-4	2.4555501986329016e-4	8.022413114549111e-5	2.1803348458888943e-4	5.9023190456067435e-5	0	1	1	17
LDL	UKBB	EUR	1	49	1066	1.002563443710497	5500	79.8033165931702	0.48350217865843526	3.988475582805355e-5	4.41114641066483e-5	1.7377295976543302e-5	4.087532823260023e-5	2.1717773351001197e-5	0	0	0	0
LDL	UKBB	EUR	1	51	1253	1.0195556779594885	5500	108.480664968491	7.652621164099157e-6	3.819132725605605e-4	3.4266010881074915e-4	1.2857940048161882e-4	3.9741277136165037e-4	6.550963369388189e-5	0	0	1	21
LDL	UKBB	EUR	1	52	3176	1.0090543704735349	5500	713.478284835815	1.369584314440821	3.294305198091925e-4	3.193268256414346e-4	7.383978229718678e-5	3.34444708505941e-4	6.337478689766491e-5	0	1	3	118
LDL	UKBB	EUR	1	53	3012	1.0113403238703962	5500	599.162400245667	0.4480879429166309	9.781086786203853e-5	1.0362526664547854e-4	2.4812066303416627e-5	9.804878840398485e-5	3.276676506164278e-5	0	0	0	0
LDL	UKBB	EUR	1	58	3188	1.003124213933659	5500	757.192801952362	0.1563623320747103	5.696888863726419e-5	5.680488922684612e-5	1.3863918065491993e-5	5.273749328851808e-5	2.166069202373827e-5	0	0	0	0
LDL	UKBB	EUR	1	70	2543	1.0047459890223522	5500	475.625433683395	0.3131950656203326	6.657855910860837e-5	6.724445360935816e-5	1.749445986363823e-5	6.40409953502335e-5	2.6203844513420542e-5	0	0	0	0
LDL	UKBB	EUR	1	73	3261	1.0031872948538874	5500	718.573753833771	0.41501717004645045	5.316369585868968e-5	5.3578390856998494e-5	1.3146883399665401e-5	4.849167226452466e-5	2.0536483367257053e-5	0	0	0	0
LDL	UKBB	EUR	1	75	4012	1.0131545247464935	5500	1251.67460131645	0.8930941986829588	2.717584352056438e-4	2.8324209939468764e-4	5.7535592987961825e-5	2.668583786287429e-4	5.5603661571935475e-5	0	0	1	68
LDL	UKBB	EUR	1	76	1869	1.0051381065945464	5500	263.007260322571	0.39050511574603264	6.833184106935985e-5	7.140433481662467e-5	2.2310591393800462e-5	6.54276549203572e-5	2.894499491506445e-5	0	0	0	0
LDL	UKBB	EUR	1	78	1244	1.0027460550744176	5500	135.664262771606	2.423325661535089e-6	3.7233691209633615e-6	3.6957212181546904e-6	1.4691616843364724e-6	3.4576768019194436e-6	3.0937401753208665e-6	0	0	0	0
LDL	UKBB	EUR	1	80	1184	1.002123183922208	5500	133.271345615387	8.341058641261094e-6	3.922890681597473e-6	3.867871747231866e-6	1.5798432282763464e-6	3.6200149248935223e-6	3.1933220637648183e-6	0	0	0	0
LDL	UKBB	EUR	1	81	889	1.0020678656873785	5500	63.6871652603149	0.1319551601583313	1.2421697841719974e-5	1.2473041227730274e-5	5.883262338231245e-6	1.0748586420902302e-5	8.998262243546134e-6	0	0	0	0
LDL	UKBB	EUR	1	82	1970	1.0042664942127886	5500	282.640832185745	1.0772130091012544	9.941765396057702e-5	1.0863125257269577e-4	3.054035042985552e-5	9.477799949713625e-5	3.345149006270359e-5	0	0	0	0
LDL	UKBB	EUR	1	83	2368	1.0125217130597894	5500	400.236209392548	1.4482799525440528	0.0011059596490378169	0.0010182270369853623	2.5922370976698064e-4	0.0011087724887622792	1.4190754820756334e-4	1	3	4	47
LDL	UKBB	EUR	1	84	3556	1.025637437493956	5500	946.756932735443	6.173322807759172	0.00705367121522255	0.005415466999247962	0.0012095044343147401	0.006997255036781998	4.440874887687643e-4	3	4	6	36
LDL	UKBB	EUR	1	85	1239	1.0029605026282469	5500	108.214246749878	0.7259770881421892	1.5532236712836802e-4	1.6424208522973903e-4	5.624397299511004e-5	1.5946741257588944e-4	5.1180862285356814e-5	1	1	1	1
LDL	UKBB	EUR	1	88	1969	1.002470188089019	5500	284.440759897232	0	1.2832000298518138e-5	1.2739810709483713e-5	4.064456253179189e-6	1.1241285661128247e-5	7.248410104312763e-6	0	0	0	0
LDL	UKBB	EUR	1	89	1959	1.002231812966483	5500	339.447613239288	0.1577456118468623	7.686465569860456e-6	7.66353228724692e-6	2.400450341219324e-6	7.221681569875338e-6	4.809554269692855e-6	0	0	0	0
