pheno	pid	chromosome	block	num_variants_0.9.UKBB	num_variants_0.9.UKBB_0.1.GLGC
LDL	EUR	1	2	0	0
LDL	EUR	1	4	0	0
LDL	EUR	1	17	0	0
LDL	EUR	1	19	0	0
LDL	EUR	1	23	0	0
LDL	EUR	1	35	0	0
LDL	EUR	1	40	0	0
LDL	EUR	1	48	0	0
LDL	EUR	1	49	0	0
LDL	EUR	1	51	0	0
LDL	EUR	1	52	0	0
LDL	EUR	1	53	0	0
LDL	EUR	1	58	0	0
LDL	EUR	1	70	0	0
LDL	EUR	1	73	0	0
LDL	EUR	1	75	0	0
LDL	EUR	1	76	0	0
LDL	EUR	1	78	0	0
LDL	EUR	1	80	0	0
LDL	EUR	1	81	0	0
LDL	EUR	1	82	0	0
LDL	EUR	1	83	1	0
LDL	EUR	1	84	3	0
LDL	EUR	1	85	1	0
LDL	EUR	1	88	0	0
LDL	EUR	1	89	0	0
LDL	EUR	1	92	0	0
LDL	EUR	1	94	0	0
LDL	EUR	1	96	1	1
LDL	EUR	1	97	0	0
LDL	EUR	1	100	0	0
LDL	EUR	1	109	0	0
LDL	EUR	1	124	0	0
LDL	EUR	1	125	0	0
LDL	EUR	1	136	0	0
LDL	EUR	1	138	0	0
LDL	EUR	1	139	0	0
LDL	EUR	1	141	0	0
LDL	EUR	1	145	0	0
LDL	EUR	1	147	0	0
LDL	EUR	1	150	0	0
LDL	EUR	1	151	0	0
LDL	EUR	1	154	0	0
LDL	EUR	1	158	0	0
LDL	EUR	1	162	0	0
LDL	EUR	1	163	0	0
LDL	EUR	1	168	0	0
LDL	EUR	1	169	0	0
LDL	EUR	1	175	0	0
LDL	EUR	1	182	0	0
LDL	EUR	1	183	0	0
LDL	EUR	1	187	0	0
LDL	EUR	1	188	0	0
LDL	EUR	1	189	0	0
LDL	EUR	1	191	0	0
LDL	EUR	1	192	0	0
LDL	EUR	1	201	0	0
LDL	EUR	1	202	0	0
LDL	EUR	1	205	0	0
LDL	EUR	1	213	0	0
LDL	EUR	1	214	0	0
LDL	EUR	1	216	0	0
LDL	EUR	1	221	0	0
LDL	EUR	1	223	0	0
LDL	EUR	1	226	0	0
LDL	EUR	1	233	0	0
LDL	EUR	1	234	2	0
LDL	EUR	1	238	0	0
LDL	EUR	1	239	0	0
LDL	EUR	1	252	0	0
LDL	EUR	1	253	0	0
LDL	EUR	1	254	0	0
LDL	EUR	1	255	0	0
LDL	EUR	1	280	0	0
LDL	EUR	2	6	0	0
LDL	EUR	2	19	0	0
LDL	EUR	2	21	0	0
LDL	EUR	2	27	0	0
LDL	EUR	2	34	0	0
LDL	EUR	2	37	0	0
LDL	EUR	2	38	0	0
LDL	EUR	2	39	0	0
LDL	EUR	2	40	0	0
LDL	EUR	2	41	0	0
LDL	EUR	2	42	0	0
LDL	EUR	2	43	1	0
LDL	EUR	2	44	0	0
LDL	EUR	2	45	2	0
LDL	EUR	2	46	0	0
LDL	EUR	2	47	0	0
LDL	EUR	2	48	0	0
LDL	EUR	2	49	0	0
LDL	EUR	2	50	0	0
LDL	EUR	2	51	0	0
LDL	EUR	2	53	0	0
LDL	EUR	2	69	0	0
LDL	EUR	2	71	0	0
LDL	EUR	2	72	1	0
LDL	EUR	2	74	0	0
LDL	EUR	2	75	0	0
LDL	EUR	2	77	0	0
LDL	EUR	2	84	0	0
LDL	EUR	2	86	0	0
LDL	EUR	2	87	0	0
LDL	EUR	2	88	0	0
LDL	EUR	2	89	0	0
LDL	EUR	2	97	0	0
LDL	EUR	2	99	0	0
LDL	EUR	2	100	0	0
LDL	EUR	2	115	0	0
LDL	EUR	2	121	0	0
LDL	EUR	2	122	0	0
LDL	EUR	2	124	0	0
LDL	EUR	2	127	0	0
LDL	EUR	2	128	1	0
LDL	EUR	2	130	0	0
LDL	EUR	2	131	0	0
LDL	EUR	2	138	0	0
LDL	EUR	2	145	0	0
LDL	EUR	2	146	0	0
LDL	EUR	2	147	0	0
LDL	EUR	2	152	0	0
LDL	EUR	2	162	0	0
LDL	EUR	2	163	0	0
LDL	EUR	2	166	0	0
LDL	EUR	2	168	0	0
LDL	EUR	2	172	0	0
LDL	EUR	2	177	0	0
LDL	EUR	2	181	0	0
LDL	EUR	2	184	0	0
LDL	EUR	2	192	0	0
LDL	EUR	2	198	0	0
LDL	EUR	2	199	0	0
LDL	EUR	2	205	0	0
LDL	EUR	2	208	0	0
LDL	EUR	2	212	0	0
LDL	EUR	2	213	0	0
LDL	EUR	2	217	0	0
LDL	EUR	2	232	0	0
LDL	EUR	2	237	0	0
LDL	EUR	2	240	0	0
LDL	EUR	2	242	0	0
LDL	EUR	2	250	0	0
LDL	EUR	2	256	0	0
LDL	EUR	3	24	0	0
LDL	EUR	3	41	0	0
LDL	EUR	3	43	0	0
LDL	EUR	3	51	0	0
LDL	EUR	3	56	0	0
LDL	EUR	3	70	0	0
LDL	EUR	3	71	0	0
LDL	EUR	3	83	0	0
LDL	EUR	3	88	0	0
LDL	EUR	3	89	0	0
LDL	EUR	3	104	0	0
LDL	EUR	3	107	0	0
LDL	EUR	3	109	0	0
LDL	EUR	3	120	0	0
LDL	EUR	3	121	0	0
LDL	EUR	3	122	0	0
LDL	EUR	3	123	0	0
LDL	EUR	3	125	0	0
LDL	EUR	3	127	0	0
LDL	EUR	3	128	0	0
LDL	EUR	3	129	0	0
LDL	EUR	3	132	0	0
LDL	EUR	3	135	0	0
LDL	EUR	3	140	0	0
LDL	EUR	3	145	0	0
LDL	EUR	3	148	0	0
LDL	EUR	3	149	0	0
LDL	EUR	3	150	0	0
LDL	EUR	3	154	0	0
LDL	EUR	3	155	0	0
LDL	EUR	3	158	0	0
LDL	EUR	3	159	0	0
LDL	EUR	3	161	0	0
