pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	AFR	1	1	1401	1.002522750740061	5500	131.42462182045	0.016049323705200444	8.607739021890048e-6	8.35329065170265e-6	3.082319739876434e-6	7.708434937315684e-6	6.39177243405754e-6	0	0	0	0
TC	META	AFR	1	2	1463	1.003614238994164	5500	123.303144454956	0.014892959577864757	7.961338173522181e-5	8.131604018496831e-5	2.9770062051500715e-5	8.022805403108742e-5	5.204352698376325e-5	0	0	0	0
TC	META	AFR	1	4	1983	1.0020150777977357	5500	237.448280096054	0.021920122620240273	3.649001908239525e-5	3.552347748513851e-5	1.0960084817217221e-5	3.2817966458753095e-5	2.1605784619583654e-5	0	0	0	0
TC	META	AFR	1	17	6673	1.0035795136588193	5500	2641.7934448719	0.026453616388850774	9.811688372624562e-5	9.833162971672331e-5	1.674742001532282e-5	9.865460346510243e-5	3.979824114375459e-5	0	0	0	0
TC	META	AFR	1	19	5446	1.0030254776169527	5500	1792.91784548759	0.028170564333573483	4.915929217837843e-5	4.843949953515234e-5	9.178666374398333e-6	4.5124979945625734e-5	1.943328164852645e-5	0	0	0	0
TC	META	AFR	1	35	6606	1.0029196823297835	5500	2659.05263662338	0.02601995475513961	8.472453637787289e-5	8.391225036889817e-5	1.4477149384583166e-5	7.940415985702642e-5	3.068528935601377e-5	0	0	0	0
TC	META	AFR	1	40	2215	1.0033331020558263	5500	294.920236110687	0.013026872753211264	3.704912149635479e-5	3.577354983265284e-5	1.0894350051511707e-5	3.1359099888714924e-5	1.9979723399166137e-5	0	0	0	0
TC	META	AFR	1	48	2605	1.0031137465311122	5500	381.33239364624	0.018605962482629124	9.646061715839323e-5	9.729356787476925e-5	2.6815842945196307e-5	9.715423327927273e-5	5.2816562528350795e-5	0	0	0	0
TC	META	AFR	1	49	2515	1.0030032957654713	5500	392.368854284286	0.027759643034155273	4.036538088383305e-5	3.971582214190339e-5	1.1551286881251853e-5	3.7877209051027855e-5	2.3377801710406368e-5	0	0	0	0
TC	META	AFR	1	51	2339	1.0023633552205737	5500	328.657892227173	0.026619686069697224	8.181422493273681e-5	8.272450739987318e-5	2.368747790271585e-5	8.013033299849796e-5	4.6527780250366335e-5	0	0	0	0
TC	META	AFR	1	52	6681	1.0032785593333282	5500	2796.13802313805	0.02838147387644064	8.490205486209094e-5	8.394639198392278e-5	1.4698931623901759e-5	8.04125352676028e-5	3.255534888518479e-5	0	0	0	0
TC	META	AFR	1	53	5745	1.0033941022397141	5500	2004.91460347176	0.025760862526855603	1.0598075697039502e-4	1.0616456698206523e-4	1.9698834020788626e-5	1.0799788832056342e-4	4.673190366949982e-5	0	0	0	0
TC	META	AFR	1	58	6876	1.003022565080152	5500	2898.84454011917	0.06957105200050506	8.980330370409331e-5	8.959691021840804e-5	1.5308418010526095e-5	8.713127423615804e-5	3.362981854451869e-5	0	0	0	0
TC	META	AFR	1	67	4462	1.0038593279307455	5500	1149.2584540844	0.02604014400902772	7.110982455670856e-5	6.991510166752181e-5	1.4812855818531124e-5	6.394993897575146e-5	2.82571999238518e-5	0	0	0	0
