pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	EAS	1	1	81	1.0012832003233985	5500	3.0045530796051	0.22417086373490003	4.1288857253551174e-5	6.345372631886682e-5	7.11994239957636e-5	3.606285962836506e-5	3.705241373339857e-5	0	0	0	0
TC	META	EAS	1	2	130	1.001716014249214	5500	4.12322926521301	0.004529759090560086	6.492931826171657e-6	6.014215755192942e-6	7.478926793008087e-6	4.224099450265581e-6	8.292786085240474e-6	0	0	0	0
TC	META	EAS	1	4	446	1.0046346516472884	5500	11.0479707717896	0.01025950932701892	4.0550419715644547e-5	4.057626471936686e-5	2.5440508004422295e-5	3.793416525443163e-5	3.585726969773847e-5	0	0	0	0
TC	META	EAS	1	17	1843	1.0020158062177664	5500	153.981633424759	0.03345023874515185	2.247023535499445e-5	2.2237142275845745e-5	7.189265959394668e-6	2.1403389384156373e-5	1.4980198185487427e-5	0	0	0	0
TC	META	EAS	1	19	1424	1.0028651275137113	5500	92.2156291007996	0.012154478767595676	4.985202931216189e-5	5.0258888165092564e-5	1.836413078886511e-5	4.503708095096172e-5	2.9551641592689576e-5	0	0	0	0
TC	META	EAS	1	35	1476	1.0316252104242423	5500	97.0779547691345	1.2449189909694067	1.825321911124538e-4	1.9233668975606336e-4	6.435053174379589e-5	2.0435217233242436e-4	8.480896586012967e-5	0	0	0	0
TC	META	EAS	1	40	721	1.0016279964493031	5500	20.7701394557953	0.0196061456863883	1.2002871027333312e-5	1.1906637615836946e-5	6.062360494230545e-6	1.0399129124070367e-5	1.0701409095110076e-5	0	0	0	0
TC	META	EAS	1	48	664	1.0032234645129143	5500	25.6402475833893	1.143123859200434	1.1939829492922506e-4	1.3348383175085742e-4	6.357879218417314e-5	1.1630074689327858e-4	6.148388112890093e-5	0	0	0	0
TC	META	EAS	1	49	514	1.0012709640966488	5500	13.5680096149445	0.004725706748382148	1.6829528229610362e-6	1.6435453832687407e-6	1.055972909981212e-6	1.5466365483157124e-6	2.2770731469499e-6	0	0	0	0
TC	META	EAS	1	51	582	1.0071602010755354	5500	18.0715088844299	0.46220238779658906	2.1777209831979642e-4	2.3688828613979593e-4	1.188640598596157e-4	2.1067797833916203e-4	7.98618334778008e-5	0	0	1	64
TC	META	EAS	1	52	1614	1.0024810137052564	5500	124.074059009552	0.011124587852437192	2.449598934765527e-5	2.4860331075220986e-5	8.754301511872906e-6	2.3259348168190674e-5	1.6723696647409595e-5	0	0	0	0
TC	META	EAS	1	53	1238	1.0031800404943259	5500	59.3865382671356	0.29068435697052175	2.0720293246063594e-4	2.1205116927443843e-4	7.620463853682018e-5	1.8667165539537538e-4	7.791365933492647e-5	0	0	0	0
TC	META	EAS	1	58	1604	1.0037525783742705	5500	116.581001996994	0.6223581332191062	5.9284471889315076e-5	6.181369365490874e-5	2.142573144143345e-5	5.759981174421094e-5	3.6173416119580044e-5	0	0	0	0
TC	META	EAS	1	67	1285	1.0025040433547958	5500	70.3808445930481	0.013464428475857156	2.8602949937422538e-5	2.84994864094527e-5	1.096823108992664e-5	2.6155175875562682e-5	1.962156310428689e-5	0	0	0	0
TC	META	EAS	1	70	1434	1.002421634645453	5500	86.1428112983704	0.008562381055418905	4.864450458441848e-5	4.901698857565482e-5	1.772156489228266e-5	4.5825255842291453e-5	3.08967761129148e-5	0	0	0	0
TC	META	EAS	1	73	1710	1.002383059695931	5500	121.042453527451	0.5981906804558472	7.848016847662334e-5	8.101442597301379e-5	2.6262703864923388e-5	7.641214432135618e-5	4.210297194734873e-5	0	0	0	0
TC	META	EAS	1	74	1519	1.0018356895851277	5500	116.99879527092	0.007774927822521446	3.5537614855452136e-6	3.4465417161190006e-6	1.232470063747927e-6	3.236526629860024e-6	2.7763912750313254e-6	0	0	0	0
TC	META	EAS	1	75	2502	1.0026656411693553	5500	324.995941877365	0.7442405205009224	1.6521023538564275e-4	1.7107359402877392e-4	4.541881810208059e-5	1.6302951357937646e-4	6.545636544830045e-5	0	0	0	0
TC	META	EAS	1	76	1364	1.0036333335894816	5500	67.9193115234375	0.3605500769231995	3.0466463714680227e-5	3.0544757335201656e-5	1.1471479119968581e-5	2.936702779327001e-5	2.113066986721756e-5	0	0	0	0
TC	META	EAS	1	80	855	1.0025736323650036	5500	27.2553732395172	0.20893585445949037	3.257030025150395e-5	3.2628318188471495e-5	1.5443735997239067e-5	2.8872265799372496e-5	2.3382345992387214e-5	0	0	0	0
TC	META	EAS	1	81	557	1.0015510774335585	5500	11.6466841697693	0.007562149975327823	6.986287076012608e-6	6.841886564995358e-6	4.000229941610653e-6	5.498788917047934e-6	6.418817460652922e-6	0	0	0	0
TC	META	EAS	1	82	967	1.0020643415918549	5500	42.8269543647766	0.007704108627948631	1.3081921307828065e-5	1.2589894643025024e-5	5.651001104125322e-6	1.0372183197528438e-5	9.247615024562062e-6	0	0	0	0
TC	META	EAS	1	83	1594	1.006763431580247	5500	91.5037944316864	0.5860022307798012	4.312366932592999e-4	4.6785369406807873e-4	1.4638079312023118e-4	4.2671539899201736e-4	1.2784319192315154e-4	0	0	1	20
TC	META	EAS	1	84	2380	1.0500222000605044	5500	222.20533490181	5.494955643058504	0.003020413110630599	0.0033801067308607343	7.932995125607467e-4	0.0030465779543781143	3.676812222015742e-4	0	0	2	51
TC	META	EAS	1	85	799	1.005585458242729	5500	20.732278585434	0.2105386579762405	8.845083578727447e-5	9.733264966007134e-5	4.396571548571283e-5	9.888281467769997e-5	5.702982560310926e-5	0	0	0	0
TC	META	EAS	1	89	1230	1.002853563939271	5500	61.5814170837402	0.008054516014898169	5.163245658978009e-5	5.0986688898682744e-5	2.0135345893271375e-5	4.710527178786444e-5	3.506963382347416e-5	0	0	0	0
TC	META	EAS	1	92	1453	1.002408941920381	5500	99.409553527832	0.011670371408998927	9.73141533597617e-6	9.485748442758136e-6	3.4253638724303826e-6	8.96112043208324e-6	7.4971176656721696e-6	0	0	0	0
TC	META	EAS	1	94	306	1.002302200729148	5500	4.5863664150238	1.0807696773021354	7.825685328546249e-5	9.890620754073113e-5	6.656765444028083e-5	7.77026116541385e-5	5.647466211798951e-5	0	0	0	0
TC	META	EAS	1	95	317	1.0022255094327233	5500	5.80597591400146	0.008626345957661503	5.435495511210924e-6	5.240447102588197e-6	4.123427507183569e-6	4.5885440086791914e-06	7.302400898822021e-6	0	0	0	0
TC	META	EAS	1	96	1287	1.0022198832220532	5500	77.5558636188507	0.01085914555769998	1.341812883926013e-5	1.3266522050977381e-5	5.347798880465345e-6	1.241267613162279e-5	1.1008234067659857e-5	0	0	0	0
TC	META	EAS	1	97	1460	1.0235727457219186	5500	89.0697348117828	0.18465930949510123	7.242643784121138e-4	6.811892981951764e-4	2.2451661922745424e-4	7.028977768592389e-4	1.485331266345949e-4	0	0	1	42
TC	META	EAS	1	100	1545	1.0049597558063184	5500	78.1389563083649	0.010859777511470489	1.2620431782564887e-4	1.331345729928652e-4	4.5069234913579066e-5	1.3741656215143344e-4	6.395293516546156e-5	0	0	0	0
TC	META	EAS	1	109	1716	1.0127079739550793	5500	118.63251042366	0.26122367059959184	2.613581641103804e-4	2.6804328077538247e-4	8.178944233541385e-5	2.555622443554613e-4	8.943786303032611e-5	0	0	0	0
TC	META	EAS	1	124	2075	1.0032098951527197	5500	185.921081781387	0.012622072620854258	8.457428044380682e-6	8.327094526594392e-6	2.5649564397472674e-6	7.783545001526754e-6	5.963765861758192e-6	0	0	0	0
TC	META	EAS	1	125	2314	1.0085854192213728	5500	240.852477788925	0.795201748538342	4.378776526023513e-4	4.3198217469235945e-4	1.1677970076108116e-4	4.39582931878073e-4	1.1601648943777085e-4	0	0	2	161
TC	META	EAS	1	127	1265	1.0025761482409674	5500	50.0203421115875	0.01403358377878661	4.6800373146383054e-5	4.702973193344271e-5	1.830730257098259e-5	4.2031446037123365e-5	2.7803466287884008e-5	0	0	0	0
TC	META	EAS	1	136	1306	1.0024753233347408	5500	83.8104219436646	0.027595660783419712	4.1558822052805965e-5	4.190124579282411e-5	1.6163339828084605e-5	3.862161882038708e-5	2.7820743848194958e-5	0	0	0	0
TC	META	EAS	1	138	1529	1.0202381054856802	5500	96.3949086666107	0.6599957349057506	0.0029157668853477046	0.002568508057967999	8.37605660373025e-4	0.002876885568723105	3.1794315962082264e-4	0	1	1	6
TC	META	EAS	1	139	354	1.0032918101509087	5500	5.38332104682922	0.011003923174006645	2.912144073875871e-5	3.109838279696975e-5	2.1933860043289178e-5	2.7418359120476382e-5	2.8024004285201752e-5	0	0	0	0
