pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	EUR	1	1	487	1.0158020191758874	5500	18.6034066677094	0.006258224974083858	1.5641703398095136e-5	1.5970716782845163e-5	9.00628513514009e-6	1.6184108642907556e-5	7.537696221996699e-6	0	0	1	37
TC	META	EUR	1	2	817	1.0097942521403138	5500	61.8935127258301	0.190945227764306	3.242288723806769e-5	3.4048173846936816e-5	1.4807769616669643e-5	2.996765596079779e-5	1.0559053828411279e-5	0	0	0	0
TC	META	EUR	1	4	1278	1.0080041173211698	5500	143.145629405975	1.1487567963950287	5.658497077913917e-5	6.346847469481953e-5	2.0498178057141665e-5	5.877149728102345e-5	1.5715052096512333e-5	0	0	1	26
TC	META	EUR	1	17	3414	1.0123101843581468	5500	1259.07301163673	0.4340231595915276	4.2899838349001673e-5	4.3768183521023585e-5	9.665301174456049e-6	4.2363669971501855e-5	1.186352848374959e-5	0	0	0	0
TC	META	EUR	1	19	2752	1.0185263211995448	5500	555.410622358322	1.6898088990915978	9.719222136721731e-5	9.467962547395563e-5	2.3116032342839663e-5	9.76813244245982e-5	1.93956988909128e-5	0	0	2	81
TC	META	EUR	1	35	3204	1.012467918716163	5500	636.433536291122	2.1835350008276846	1.9948771620606224e-4	1.8090711417409472e-4	4.1498960406933053e-05	1.9805155264555207e-4	2.868296470679555e-5	1	1	2	22
TC	META	EUR	1	40	1313	1.0061757721686022	5500	143.512008666992	0.0047169784154376376	4.226185441793288e-5	4.00047301060251e-5	1.4313351112704488e-5	4.050486773611608e-5	1.1844323314874434e-5	0	0	1	10
TC	META	EUR	1	48	1269	1.1257718847975098	5500	110.583514451981	4.266331964556797	2.639938098360831e-4	3.005394816983609e-4	9.943026485643893e-5	2.6014287419215393e-4	3.350382438343805e-5	0	1	3	47
TC	META	EUR	1	49	1109	1.007968383346691	5500	91.7421209812164	0.5847528348497297	4.45498598053508e-5	5.037333630071787e-5	1.802032433746234e-5	4.5733548611551225e-5	1.3915661611770596e-5	0	1	1	2
TC	META	EUR	1	51	1273	1.0405079798308954	5500	112.058752775192	0.6168014455744901	3.251067021106042e-4	2.6136074989842274e-4	9.522777044768567e-5	3.2512657693033333e-4	3.37424002193105e-5	0	1	2	35
TC	META	EUR	1	52	3254	1.0971207558374427	5500	1177.97083592415	3.7927406484869826	2.7396089825292176e-4	2.48127613160056e-4	5.557784414719702e-5	2.688152245523227e-4	3.436141296457358e-5	0	1	4	183
TC	META	EUR	1	53	3076	1.0187959884959479	5500	858.318270921707	2.2125229263104584	1.151131928907803e-4	1.1482803336950698e-4	2.5765917878840335e-5	1.1249360431179429e-4	2.0534688763934782e-5	0	0	1	13
TC	META	EUR	1	58	3265	1.0611494381334194	5500	892.994962930679	0.5474905484392953	6.868222243091198e-5	6.964499489277514e-5	1.552750420587723e-5	6.763488010825542e-5	1.6688302341303777e-5	0	0	1	9
TC	META	EUR	1	67	2527	1.003305104916422	5500	574.78157043457	0.4323292516640804	3.15508574016107e-5	3.2150480232237523e-5	8.249085229702809e-6	3.0763758259900097e-5	9.887970223826497e-6	0	0	0	0
TC	META	EUR	1	70	2602	1.0093377480650636	5500	669.645855665207	0.3201672664481141	5.160959788744713e-5	4.8822271283593755e-5	1.2526061487015408e-5	5.0770101664627776e-5	1.3130636243919693e-5	0	0	1	27
TC	META	EUR	1	73	3361	1.021358663372977	5500	1222.7199382782	0.33210557834829024	3.752148997152822e-5	3.8466886763794726e-5	8.920711901439421e-6	3.680686674759787e-5	1.1431223100297962e-5	0	0	0	0
TC	META	EUR	1	74	3114	1.0042787940559466	5500	640.997251749039	0.7071292486316909	3.893961543142877e-5	3.9160234143554715e-5	9.132367033373424e-6	3.779141493564668e-5	1.1192785745481521e-5	0	0	2	158
TC	META	EUR	1	75	4126	1.015097839980047	5500	1735.46720433235	1.8302098279601502	1.2282580474663323e-4	1.2332765757014832e-4	2.4423579833273853e-5	1.2774271171920625e-4	2.33866589180386e-5	0	1	2	8
TC	META	EUR	1	76	1936	1.0103364143195994	5500	329.619683027267	1.6922793926892408	5.589755326528159e-5	5.863480904610088e-5	1.7041354387317135e-5	5.5550496009125396e-5	1.6419419772777976e-5	0	0	1	56
TC	META	EUR	1	80	1234	1.0024950400386443	5500	136.575089216232	0.004577903379081706	3.0732613592877307e-6	2.993251048079282e-6	1.1982464192271579e-6	2.5556763005728687e-6	2.0086773078621443e-6	0	0	0	0
TC	META	EUR	1	81	920	1.0025812011139832	5500	66.6183633804321	0.23596107090229723	5.907787429795473e-6	5.992762326591095e-6	2.741713879507833e-6	5.433980122419445e-6	4.606126987799214e-6	0	0	0	0
TC	META	EUR	1	82	2023	1.0132317499054657	6500	412.490671157837	0.04353750678835833	6.655304580339269e-5	8.402268589698574e-5	2.178197925697835e-5	7.76601003751891e-5	2.0394170289206643e-5	1	2	2	3
TC	META	EUR	1	83	2438	1.0168502773461652	5500	528.937329530716	4.579905961317458	0.0013976153087591453	0.0012511681154531475	3.226238674139513e-4	0.00137418564892202	1.2297534102840925e-4	1	4	4	49
TC	META	EUR	1	84	3672	1.0715384967693082	5500	1405.77473807335	21.605258880456937	0.006501445036649969	0.004813948484667945	0.001076120464428638	0.006416330406464428	3.737505627422322e-4	2	3	7	85
TC	META	EUR	1	85	1292	1.0074006486210407	5500	127.719771623611	1.5293858813343153	1.2126789039346884e-4	1.2046721889177128e-4	4.067085871095077e-5	1.2431311562387967e-4	2.8797270633112473e-5	1	1	1	1
TC	META	EUR	1	89	2038	1.0031586384929614	5500	439.723363399506	0.0027534470238845823	2.577731541252328e-6	2.5319922705575817e-6	7.898915922244146e-7	2.3002284990477076e-6	1.6164196868120932e-6	0	0	0	0
TC	META	EUR	1	92	2655	1.0030247624222293	5500	722.530935764313	0.0020261742629531887	2.8836649828926057e-6	2.8226892062965137e-6	7.81227576908744e-7	2.535645033274393e-6	1.4397239022320665e-6	0	0	0	0
TC	META	EUR	1	94	684	1.0055225804264738	5500	24.1276972293854	1.715874812661783	8.444050301741281e-5	1.0674451562251308e-4	4.3846896461390784e-5	8.698337009046543e-5	1.9872874926674593e-5	0	1	2	34
TC	META	EUR	1	95	459	1.0018794581632122	5500	16.245210647583	0.15422995326523647	3.147906252895795e-6	3.203282000531371e-6	2.0442457339028398e-6	2.6708360563193147e-6	2.732386401153421e-6	0	0	0	0
TC	META	EUR	1	96	2312	1.0285802976519247	5500	443.429437875748	0.7342599096127769	8.622962351324416e-5	9.460363925868107e-5	2.3883574040128103e-5	9.01425885261469e-5	2.1833412268324957e-5	0	1	1	7
TC	META	EUR	1	97	2843	1.0408143866105453	5500	829.303837537766	0.2812119134513491	0.0017394252273999597	0.0010944433558594232	3.086528809806882e-4	0.0017390669938976936	7.811171852075602e-5	0	3	3	39
TC	META	EUR	1	100	2251	1.1025487033037114	5500	402.123381853104	0.257227702845241	5.8865274589667633e-5	5.6039104755141136e-5	1.564191088850371e-5	5.746196723726077e-5	1.4137239265352677e-5	0	0	1	14
TC	META	EUR	1	109	3087	1.0035667125592693	5500	896.108065843582	0.001907801694342704	2.532213027458051e-5	2.409878304774109e-5	5.993563921254222e-6	2.2727932617973236e-5	8.04990966890788e-6	0	0	1	61
TC	META	EUR	1	124	3866	1.0354489075185187	5500	1217.5763425827	0.11138936324131277	1.0744218940579626e-4	9.896413323712612e-5	2.14273004134921e-5	1.0444965271343596e-4	1.85847825181278e-5	0	0	1	7
TC	META	EUR	1	125	4583	1.0801613790891162	5500	2152.77731990814	2.086513556956422	3.582770405931969e-4	3.6213202834355345e-4	6.49197869231618e-5	3.681128929753944e-4	4.061520381372376e-5	1	2	4	85
TC	META	EUR	1	127	2212	1.0079078036110796	5500	444.47171831131	0.1371519839607609	3.5454866089637335e-5	3.566151922575094e-5	9.83699239469042e-6	3.731315300809018e-5	1.1259529475468276e-5	0	0	0	0
TC	META	EUR	1	136	2633	1.0070143927980066	5500	529.267211198807	0.0018115798331119785	2.7368989729586234e-5	2.6851664141466114e-5	7.006048181588704e-6	2.737870414906749e-5	9.234269827314761e-6	0	0	1	25
TC	META	EUR	1	138	3564	1.0357987130818704	5500	1067.3863363266	0.9047140002588345	0.00470933489022315	0.002300752141595074	6.377121143265438e-4	0.00467806215248142	1.3169590473021846e-4	0	1	3	21
TC	META	EUR	1	139	911	1.0174185441335213	5500	128.543928861618	1.9843045609818755	8.45245509677499e-5	1.0995647859177269e-4	3.8708542763979366e-5	8.720996667404341e-5	2.2410301158543084e-5	0	0	0	0
TC	META	EUR	1	140	1281	1.004037034569271	5500	114.192510604858	0.7214429251477585	1.0281912917989445e-5	1.083627093044377e-5	4.06536601066671e-6	1.0459042260963085e-5	6.3904395340503505e-6	0	0	0	0
TC	META	EUR	1	141	1533	1.0250723582123218	5500	278.676423549652	0.3592718307338181	3.380196232041189e-5	3.475820010909139e-5	1.1315401177398023e-5	3.658454219807513e-5	1.1608227300246577e-5	0	1	1	7
TC	META	EUR	1	144	1795	1.0036799969900687	5500	289.752455234528	0.10411734922811844	2.213814223441208e-5	2.1758256573497725e-5	6.741398335249192e-6	2.1174236627409183e-5	8.185922343431442e-6	0	0	1	23
TC	META	EUR	1	145	1771	1.0238879860300778	5500	262.632671117783	0.002890352836897092	4.296710528938668e-5	4.36130971261103e-5	1.3491745405251128e-5	4.4814526119231455e-5	1.2750478590382456e-5	0	0	1	16
TC	META	EUR	1	150	2708	1.029757662394125	5500	803.620580911636	0.0017298124474740331	4.141882403451505e-5	4.0823253380186155e-5	1.0359186669708705e-5	4.1014251669796694e-5	1.1719665788706446e-5	0	1	1	16
TC	META	EUR	1	151	3424	1.0043610684687847	5500	974.197003602982	0.2622396913494893	5.1135570860429685e-5	5.0983431879234506e-5	1.1453432076778662e-5	4.9951629244452595e-05	1.2929232539241119e-05	0	0	1	7
TC	META	EUR	1	153	2557	1.0036247684377986	5500	639.282710790634	0.24247972466343182	5.52932568174835e-5	5.564346466263059e-5	1.431770928580836e-5	5.5789649939034216e-5	1.5669328479842748e-5	1	2	1	1
TC	META	EUR	1	154	4061	1.0216652722466237	5500	1705.73466491699	1.1390627621663123	1.7098889018048316e-4	1.841745029593219e-4	3.526526938025431e-5	1.6927191474343307e-4	2.6803256084818655e-5	0	2	3	59
TC	META	EUR	1	156	2524	1.010146423207894	5500	471.621667385101	0.5314176087494151	5.505589132263191e-5	5.52762762619567e-5	1.4376663622884404e-5	5.392550517118304e-5	1.3794725998665808e-5	0	0	0	0
TC	META	EUR	1	158	2671	1.0242153651296289	5500	795.872249126434	1.0099592886142035	9.444107612898345e-5	9.764239812037377e-5	2.3486169911794614e-5	9.495431493240605e-5	1.8595732778636304e-5	0	0	2	48
TC	META	EUR	1	162	2204	1.012014222798418	5500	398.535282611847	0.0031453242291169165	7.402310385103817e-5	7.038902764262287e-5	1.9808797395667173e-5	7.492708859633157e-5	1.6276881128955336e-5	0	1	1	21
TC	META	EUR	1	168	3038	1.0338071874085486	5500	970.102267026901	0.8138166837805973	1.4903483475691703e-4	1.4498011330072206e-4	3.2456818890595635e-5	1.4524598572377423e-4	2.357905402396421e-5	0	0	2	25
TC	META	EUR	1	169	4240	1.0058140605006407	5500	1824.01419210434	0.2594899740857588	5.015874497344562e-5	4.936085253942304e-5	1.0214264977169068e-5	4.596222853991578e-5	1.2645278666429357e-5	0	0	0	0
TC	META	EUR	1	175	4071	1.0052812039357117	5500	1521.10682535172	0.09497425599975995	4.747927869555104e-5	4.643254859958699e-5	1.011900146791047e-5	4.7681042252130566e-5	1.2556765957386948e-5	0	1	1	2
TC	META	EUR	1	182	3641	1.0155564376527624	5500	1403.25573062897	0.4019303787456765	6.271637569691435e-5	6.388736362701239e-5	1.4053667868099821e-5	5.883851722434976e-5	1.475841126575553e-5	0	1	0	0
TC	META	EUR	1	183	3828	1.0117798469146224	5500	1656.79399466515	0.4083237533072135	5.0087811970412974e-5	5.026436484948116e-5	1.057363606661043e-5	4.699411489808202e-5	1.2715938012564096e-5	0	0	1	119
TC	META	EUR	1	185	1213	1.0067369432135163	5500	124.136727333069	0.6511365163397456	2.4219170617927355e-5	2.5010089906568345e-5	9.259321330216523e-6	2.363937729346605e-5	9.152079813089895e-6	0	0	0	0
TC	META	EUR	1	187	2613	1.0089661361369613	5500	823.230382442474	0.8608027499304378	5.6065743263049265e-5	5.6573162105104705e-5	1.4630978584920036e-5	5.4972595389349607e-05	1.3748404844674082e-5	0	1	0	0
TC	META	EUR	1	188	2952	1.0043940883332494	5500	1084.94477963448	0.1770994979021594	2.817652247543314e-5	2.8311620041665388e-5	6.876782878481316e-6	2.644990709421324e-5	8.992637515736232e-6	0	0	0	0
TC	META	EUR	1	192	2847	1.0233583087077138	5500	782.645196914673	0.05091970245458244	8.964541175820431e-5	8.22938941327976e-5	2.0511641839960528e-5	8.856844730754468e-5	1.7857692899898406e-5	0	0	1	24
TC	META	EUR	1	201	2970	1.0170379401680494	5500	874.39324259758	0.937798517057256	6.341322048529156e-5	6.438929452560121e-5	1.4697679069152411e-5	6.433036116594726e-5	1.5281481668744286e-5	0	0	1	14
TC	META	EUR	1	202	2943	1.0189787070190106	5500	775.114769935608	0.6690621735617168	1.1888782487385908e-4	1.2176512333207354e-4	2.7330100795514063e-5	1.2028152798396843e-4	2.1969103398110982e-5	0	3	2	16
TC	META	EUR	1	205	1086	1.0032363783250395	5500	177.358399868011	0.20276603735605025	6.598454181965844e-6	6.822702458627616e-6	2.836429294792558e-6	6.1377096982852425e-6	4.1985413399541985e-6	0	0	0	0
