pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	AFR	1	1	1401	1.001943775004117	5500	96.4344880580902	1.6108249575425487e-4	7.270855541832037e-5	7.275888516626506e-5	2.7789677264995504e-5	6.898577762774233e-5	5.788771212467809e-5	0	0	0	0
TC	UKBB	AFR	1	2	1463	1.0023479205948596	5500	109.455169677734	5.812031556369077e-4	1.1178697919662422e-4	1.1256941888600527e-4	4.1614585598369185e-5	1.1503504213407112e-4	1.0510804598511716e-4	0	0	0	0
TC	UKBB	AFR	1	4	1983	1.0026395405307265	5500	194.827804803848	5.152585660942038e-4	7.261514296530001e-5	7.254019848844617e-5	2.258838894271075e-5	6.994854651996236e-5	4.783971031846995e-5	0	0	0	0
TC	UKBB	AFR	1	17	6673	1.0029121990579675	5500	2478.73589730263	0.003134570320323543	1.0990816766137948e-4	1.1002389235435557e-4	1.9103039826123593e-5	1.115004323210547e-4	4.8669742579270316e-5	0	0	0	0
TC	UKBB	AFR	1	19	5446	1.0025169468212292	5500	1586.42217135429	0.043720257588308	1.1179105519631563e-4	1.1218067865446273e-4	2.162147537166922e-5	1.1155802597201319e-4	5.238278294953567e-5	0	0	0	0
TC	UKBB	AFR	1	35	6606	1.003168737857803	5500	2468.39337539673	0.030903367240814106	1.0204068195985101e-4	1.0163775489058571e-4	1.7707743030738223e-5	1.011105947635596e-4	4.297472929281437e-5	0	0	0	0
TC	UKBB	AFR	1	40	2215	1.0022689996615435	5500	235.641364574432	5.450567372995041e-4	8.323219998531526e-5	8.28376303146942e-5	2.4899638349017136e-5	7.95315372023575e-5	5.310805284060473e-5	0	0	0	0
TC	UKBB	AFR	1	48	2605	1.0022042866549705	5500	333.147088527679	7.426761633838525e-4	9.951446808911217e-5	9.947896327786908e-5	2.8646414605645788e-5	9.558492704837067e-5	5.973874533996227e-5	0	0	0	0
TC	UKBB	AFR	1	49	2515	1.0024306840580248	5500	311.723989963531	6.032415612454051e-4	1.1549346430947784e-4	1.1410615236843504e-4	3.26095220977955e-5	1.1178144329985442e-4	7.46811667538152e-5	0	0	0	0
TC	UKBB	AFR	1	51	2339	1.0022464436291414	5500	270.930091142654	0.18387958971684726	9.572201601311384e-5	9.592659148107044e-5	2.7539972678964017e-5	9.493097382536497e-5	6.414181913116183e-5	0	0	0	0
TC	UKBB	AFR	1	52	6681	1.0026013271927974	5500	2364.63645410538	0.3029952237040794	1.0811102652924657e-4	1.0842482221051495e-4	1.8726743725830534e-5	1.1166269341526558e-4	4.981956245625188e-5	0	0	0	0
TC	UKBB	AFR	1	53	5745	1.002703295771261	5500	1749.72452831268	0.0024434180475824676	1.0071550380073724e-4	1.010487398659083e-4	1.8717439767684315e-5	1.0048116733459967e-4	4.802013200569839e-5	0	0	0	0
TC	UKBB	AFR	1	58	6876	1.0026392155883606	5500	2798.86770915985	0.002285785739131048	8.087657685422605e-5	8.121909427344731e-5	1.3917579773281138e-5	8.049742767340836e-5	3.2747030471812136e-5	0	0	0	0
TC	UKBB	AFR	1	67	4462	1.002957616168183	5500	979.779136419296	0.0012998507681686985	9.486072424910978e-5	9.486636055833358e-5	2.007382045295803e-5	9.466898999992418e-5	4.9312403858851395e-5	0	0	0	0
TC	UKBB	AFR	1	70	4545	1.0024790553116085	5500	1058.13898324966	0.04324652313276567	1.097433691955058e-4	1.088807507444305e-4	2.250323943059515e-5	1.0872708432773317e-4	5.510954558342143e-5	0	0	0	0
TC	UKBB	AFR	1	73	6461	1.002979947257463	5500	2193.75375294685	0.041159379252360795	9.911666855527722e-5	9.920189563709307e-5	1.7640441310533073e-5	1.0016790389902008e-4	4.2973372170721396e-5	0	0	0	0
TC	UKBB	AFR	1	74	6203	1.0024064154545222	5500	2071.11781263351	0.06221003543663639	1.0541262554809641e-4	1.0550951897061873e-4	1.915207047057997e-5	1.0559804325015556e-4	4.7617058161421515e-5	0	0	0	0
TC	UKBB	AFR	1	75	7814	1.0035935763487946	5500	3451.83430814743	0.16732240805614418	1.0645320971276945e-4	1.0661286281164729e-4	1.6858323441463215e-5	1.0749407602210454e-4	4.525439133997081e-5	0	0	0	0
TC	UKBB	AFR	1	76	4022	1.0025968873324163	5500	790.893192529678	0.0012780430995920616	8.878354888693245e-5	8.875012761461702e-5	1.989839677987399e-5	8.669957935964295e-5	4.5757529218410484e-5	0	0	0	0
TC	UKBB	AFR	1	80	2388	1.0026678987111712	5500	281.937759399414	0.0010798035167887976	9.932134012296684e-5	1.0075166603305477e-4	2.9041944354636094e-5	1.0174646649633638e-4	7.057049100850539e-5	0	0	0	0
TC	UKBB	AFR	1	81	1684	1.0032366859251254	5500	137.233801841736	3.3153891559473873e-4	8.392653523594122e-5	8.31196866987036e-5	2.9420524186916844e-5	7.733562314036497e-5	5.776284430305212e-5	0	0	0	0
TC	UKBB	AFR	1	82	3661	1.0020979682274016	5500	663.266094923019	0.0011735395359253366	1.0719664723438032e-4	1.0701855918473341e-4	2.5093322421902235e-5	1.0542536223086355e-4	5.6538363618020195e-5	0	0	0	0
TC	UKBB	AFR	1	83	4307	1.0029613831908346	5500	906.061871051788	0.003671760226729992	1.0578635496572995e-4	1.0568280651201936e-4	2.272786220105564e-5	1.07078523459694e-4	5.594632361013719e-5	0	0	0	0
TC	UKBB	AFR	1	84	6738	1.0046436186214955	5500	2477.31347560883	0.48777301197282497	1.268272658203499e-4	1.2745916055660348e-4	2.2105696422985326e-5	1.3730049756356755e-4	8.554044965579116e-5	0	0	0	0
TC	UKBB	AFR	1	85	2030	1.0028188632194934	5500	204.893726110458	4.1849356156590964e-4	8.826792827349312e-5	8.783098976362162e-5	2.7191951672853895e-5	8.378194843624083e-5	5.5933120772073164e-5	0	0	0	0
TC	UKBB	AFR	1	89	3876	1.0026439545562862	5500	725.450429916382	0.001129862453673007	1.056187226159607e-4	1.0619405305365466e-4	2.4119479608807148e-5	1.0489248080511885e-4	5.4899260925807284e-5	0	0	0	0
TC	UKBB	AFR	1	92	4539	1.0024171581669368	5500	1015.92058515549	0.02004270953719489	1.0179847299256557e-4	1.012760579172325e-4	2.1149207412482382e-5	1.0167873824562934e-4	4.9959157264778146e-5	0	0	0	0
TC	UKBB	AFR	1	94	1062	1.0026350896261387	5500	52.9539046287537	3.385189676514025e-4	1.1660463696654822e-4	1.188330901263655e-4	5.246357414783665e-5	1.0603748956694246e-4	1.0257582810175096e-4	0	0	0	0
TC	UKBB	AFR	1	95	1028	1.0028491920901343	5500	46.6714315414429	1.637110384112539e-4	6.357880514507991e-5	6.349180414861752e-5	2.8536925143131068e-5	5.475099131148327e-5	4.750160120641476e-5	0	0	0	0
TC	UKBB	AFR	1	96	4172	1.0027501318238774	5500	850.279383659363	0.001307027852571632	1.0562251819733492e-4	1.0593796072952661e-4	2.3331367512989717e-5	1.0408374784702798e-4	5.319681447004115e-5	0	0	0	0
TC	UKBB	AFR	1	97	5194	1.0024437566211395	5500	1406.94460558891	0.08692732766721067	1.0635736308905168e-4	1.0532778583039796e-4	2.108006775274411e-5	1.0623103828965547e-4	4.993938735475628e-5	0	0	0	0
TC	UKBB	AFR	1	100	4171	1.0035101520542733	5500	869.696438312531	0.001302386902302236	1.0382696283822323e-4	1.0532527796115074e-4	2.2957979224779012e-5	1.0444452472963567e-4	5.5111292225219766e-5	0	0	0	0
