pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	EAS	1	1	81	1.001077096758138	5500	2.88197135925293	0.004452444237711077	5.313117382107646e-6	5.505943339741903e-6	8.82913452745204e-6	4.252574472314796e-6	1.2913128114471372e-5	0	0	0	0
TC	UKBB	EAS	1	2	130	1.0015324060434732	5500	4.87676310539246	0.0015173695531744444	2.7408857039333424e-6	2.6609845358839703e-6	3.39208122139725e-6	2.3588552368685546e-6	5.829072027083324e-6	0	0	0	0
TC	UKBB	EAS	1	4	446	1.0017097854419703	5500	14.5504124164581	0.0017663341320687772	3.8787294949166856e-5	3.868627095681168e-5	2.5897896602648154e-5	2.99699906616619e-5	3.5897973080189504e-5	0	0	0	0
TC	UKBB	EAS	1	17	1843	1.0022724561887537	5500	157.57608628273	0.013085864462405502	9.321206975173374e-5	9.226754737527601e-5	3.018581654858588e-5	8.754487217590061e-5	6.4858651953836e-5	0	0	0	0
TC	UKBB	EAS	1	19	1424	1.0024229083804261	5500	92.246857881546	0.6256956571528369	8.467256835396458e-5	8.415602171986316e-5	3.0992236437306356e-5	8.059859966613178e-5	6.961341171624214e-5	0	0	0	0
TC	UKBB	EAS	1	35	1476	1.0018928819040713	5500	124.259062767029	0.0054339409770367214	3.231177705047554e-5	3.192386576108173e-5	1.1793085739403376e-5	3.06162428861669e-5	2.653081258848331e-5	0	0	0	0
TC	UKBB	EAS	1	40	721	1.0016745882175218	5500	20.9730989933014	0.0025452744503195166	2.8769407307880114e-5	2.899824125697925e-5	1.5390833024128867e-5	2.639079182643361e-5	2.7893713954844055e-5	0	0	0	0
TC	UKBB	EAS	1	48	664	1.0017624979797988	5500	23.0616397857666	7.733000163847525e-4	3.0504641072937168e-05	3.0415959993815767e-5	1.6791322513504847e-5	2.5257733076508597e-5	2.8455873994358037e-5	0	0	0	0
TC	UKBB	EAS	1	49	514	1.0015503662359	5500	14.8365993499756	0.0016166197153395648	5.0043491202497705e-5	4.962603642395469e-5	3.151916866697301e-5	3.950277211801919e-5	4.704957489414576e-5	0	0	0	0
TC	UKBB	EAS	1	51	582	1.0018535936251145	5500	20.7827870845795	0.5722143263351835	4.282336061527467e-5	4.2289528413490564e-5	2.468208324335135e-5	3.5285986366746905e-5	4.082314181730027e-5	0	0	0	0
TC	UKBB	EAS	1	52	1614	1.0030063804499747	5500	128.597500324249	0.007204522122176008	8.683043653465081e-5	8.587620115722406e-5	2.965219888209005e-5	7.838437330164394e-5	5.878950170372687e-5	0	0	0	0
TC	UKBB	EAS	1	53	1238	1.0018282346385075	5500	93.8016538619995	0.002572259878088671	5.2178349676633726e-5	5.177916570148924e-5	2.1079869002927146e-5	4.706325434261563e-5	4.102371186302159e-5	0	0	0	0
TC	UKBB	EAS	1	58	1604	1.001661241382234	5500	133.412688732147	0.003669442956635793	7.02276682895508e-5	7.031984477442987e-5	2.4996108463439557e-5	6.586925587850238e-5	4.99101772323734e-5	0	0	0	0
TC	UKBB	EAS	1	67	1285	1.0025029540066037	5500	82.8000240325928	0.0926209732076484	8.268028407779967e-5	8.299746205990061e-5	3.186774979602328e-5	7.527218513103211e-5	5.991580738600542e-5	0	0	0	0
TC	UKBB	EAS	1	70	1434	1.001840218266342	5500	98.586008310318	0.00680512403119761	6.153228014820085e-5	6.044399679316923e-5	2.2093112843814222e-5	5.585906447268811e-5	4.6401226328198674e-5	0	0	0	0
TC	UKBB	EAS	1	73	1710	1.0021870251474785	5500	136.401851654053	0.06546345524670727	9.24462111051105e-5	9.329312066524326e-5	3.190066616832482e-5	8.903119193726984e-5	6.804015288006956e-5	0	0	0	0
TC	UKBB	EAS	1	74	1519	1.0023571480052236	5500	113.194885730743	0.03277393940285411	8.611890244381181e-5	8.623250328936072e-5	3.157178292272218e-5	7.846023851426708e-5	6.0931555257092045e-5	0	0	0	0
TC	UKBB	EAS	1	75	2502	1.0024781405042662	5500	337.291823387146	0.010570381952985711	8.034544597279209e-5	8.147180971195373e-5	2.278483237752061e-5	7.960126624899984e-5	5.5177333625356064e-5	0	0	0	0
