pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	EUR	1	1	487	1.0047993711248693	5500	21.4335289001465	1.0770653174498084e-5	2.3947923736892743e-5	2.538002722184378e-5	1.411036957408599e-5	2.3654589135415014e-5	1.57741328000092e-5	0	0	0	0
TC	UKBB	EUR	1	2	817	1.004037892792171	5500	60.1367311477661	1.0844691475208852	1.9734000673179392e-5	2.121446551433739e-5	9.748813307212534e-6	2.0097039045530346e-5	1.3873348906267336e-5	0	0	0	0
TC	UKBB	EUR	1	4	1278	1.0022280948792495	5500	145.737793445587	0.23274099295036343	1.5348576332031588e-5	1.5925762961031986e-5	6.2767610065136365e-6	1.5080354965385374e-5	1.0524073413602521e-5	0	0	0	0
TC	UKBB	EUR	1	17	3414	1.0030983316426831	5500	1067.64188504219	0.18882875424354983	6.346522621317718e-5	6.33661149282259e-5	1.4717423886135961e-5	6.171317252552052e-5	2.3680576907210463e-5	0	0	0	0
TC	UKBB	EUR	1	19	2752	1.0109983844465358	5500	665.072417497635	0.7704122433211602	2.3463835465674422e-4	2.4564462033868157e-4	5.9931812846124535e-5	2.433701238251968e-4	5.312075116889926e-5	0	0	1	5
TC	UKBB	EUR	1	35	3204	1.0202133864823006	5500	935.719932794571	0.6072962835832167	1.9107921651163602e-4	1.943734460937911e-4	4.3669445103870324e-5	1.907371322967995e-4	4.660934339984183e-5	0	0	1	32
TC	UKBB	EUR	1	40	1313	1.0030102296603858	5500	139.978995084763	0.09484231526787257	6.529795791069554e-5	6.85504904525158e-5	2.3953752382144938e-5	6.476272063456393e-5	2.7442917401716516e-5	0	1	0	0
TC	UKBB	EUR	1	48	1269	1.031871859176543	5500	128.884670734406	1.6988149228013891	3.2633729255384205e-4	3.803730185333871e-4	1.2188191484870381e-4	3.294197322320994e-4	6.875281469334735e-5	0	1	2	41
TC	UKBB	EUR	1	49	1109	1.0039758731989985	5500	104.118879318237	0.4322284439089963	5.7568864189676933e-5	6.525719341264906e-5	2.456210233566268e-5	5.904507358141508e-5	2.6627091671928137e-5	0	0	0	0
TC	UKBB	EUR	1	51	1273	1.0235573336804744	5500	131.314249753952	0.02541180604994908	4.560051850517417e-4	4.1355065337246496e-4	1.4490553639506535e-4	4.545273713461888e-4	7.01812520548084e-5	0	0	1	28
TC	UKBB	EUR	1	52	3254	1.0189164566904845	5500	1058.3157017231	1.5214006588138664	2.3559631345531062e-4	2.461549251332295e-4	5.4088653055611305e-5	2.36229658867274e-4	5.355304561687898e-5	0	1	3	116
TC	UKBB	EUR	1	53	3076	1.0060720251562663	5500	749.661553382874	0.698630337767759	1.0401041307163697e-4	1.1221913861379224e-4	2.6651566871600848e-5	1.0763248983595847e-4	3.354674613053694e-5	0	0	0	0
TC	UKBB	EUR	1	58	3265	1.012307074692416	5500	741.870203256607	0.3620732156575659	7.438662255973884e-5	7.62387901280082e-5	1.7950189961280375e-5	7.492227056821418e-5	2.8671803203536844e-5	0	0	0	0
TC	UKBB	EUR	1	67	2527	1.0054753077865974	5500	565.832090854645	0.4591828505525839	9.046337960660385e-5	9.529878809987862e-5	2.4409095400283078e-5	9.374750707604284e-5	3.3418834720064686e-5	0	0	0	0
TC	UKBB	EUR	1	70	2602	1.0125156034300058	5500	541.66011762619	0.4232271506837719	1.637253434109286e-4	1.6147612934580227e-4	4.0250285777195523e-5	1.5762482836507758e-4	4.0803635056720334e-5	0	0	1	60
TC	UKBB	EUR	1	73	3361	1.0042596619353996	5500	1418.22961807251	0.2772849402620401	1.9098443486847278e-5	1.906778795612192e-5	4.683046599948397e-6	1.8578774582032104e-5	9.799766826850037e-6	0	0	0	0
TC	UKBB	EUR	1	74	3114	1.0032993144956233	5500	814.280260562897	0.5307836340341758	6.317028865768748e-5	6.548397015692808e-5	1.651218717993179e-5	6.044705503162636e-5	2.535521365394242e-5	0	0	0	0
TC	UKBB	EUR	1	75	4126	1.0101308316112156	5500	1837.61825346947	1.262333653818529	2.774831429517164e-4	2.9011520882109146e-4	5.6762353108161664e-5	2.7948291433083593e-4	5.595306701478263e-5	0	0	2	125
TC	UKBB	EUR	1	76	1936	1.0190458555512183	5500	325.212390422821	0.7016957621318047	9.399865634564864e-5	1.0108799173369303e-4	2.9190742942304794e-5	9.406117313090862e-5	3.504373471976091e-5	0	0	0	0
