pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	META	EAS	1	3	156	1.0019070439576818	5500	5.68490409851074	0.008994309482723756	3.083711203807455e-5	4.0324842402194315e-5	3.963262732428022e-5	3.265083543392498e-5	3.92121724711798e-5	0	0	0	0
TG	META	EAS	1	4	407	1.0024750994685965	5500	10.5389630794525	0.008042104020983907	1.0749953170543313e-5	1.0774286837014336e-5	7.727538544161332e-6	9.687819800117215e-6	1.2932583243178898e-5	0	0	0	0
TG	META	EAS	1	5	488	1.0011254448754807	5500	15.8037655353546	0.005782392451288109	9.23691598431623e-6	8.817420969216184e-6	5.751929986411531e-6	6.77925913417549e-6	8.593411073110348e-6	0	0	0	0
TG	META	EAS	1	15	1437	1.0017906167784383	5500	119.882787466049	0.007076461715387158	8.336703129761249e-6	8.19411562460548e-6	3.0056240558732022e-6	7.440459910614717e-6	6.43512026810068e-6	0	0	0	0
TG	META	EAS	1	17	1882	1.0022626127030163	5500	168.4508497715	0.014415316355367467	3.421066153546061e-5	3.331704763746581e-5	1.0864802969846177e-5	2.8565699135206093e-5	1.996163919654423e-5	0	0	0	0
TG	META	EAS	1	18	790	1.0025573351130432	5500	26.5726613998413	0.009774598002086982	5.526406726499968e-5	5.666546126067642e-5	2.7786388378765273e-5	5.0033894569016716e-5	4.141993576144228e-5	0	0	0	0
TG	META	EAS	1	19	1298	1.00175304702969	5500	88.6469202041626	0.0127633211707962	2.0197339766055084e-5	1.9989017532234966e-5	7.954557568907252e-6	1.8014660918066956e-5	1.495904345688515e-5	0	0	0	0
TG	META	EAS	1	21	1080	1.002451303351784	5500	62.1609148979187	0.009820236208429492	2.1088374838078056e-5	2.0656385796039944e-5	8.82215222975551e-6	1.7776915815192874e-5	1.624185073501269e-5	0	0	0	0
TG	META	EAS	1	23	620	1.0023531089138433	5500	17.5357382297516	0.007379003578423733	2.260688832721204e-5	2.2418988307994692e-5	1.2966336882059449e-5	1.8533710235711393e-5	1.9281520045236882e-5	0	0	0	0
TG	META	EAS	1	32	511	1.0026707502499592	5500	11.3145232200623	0.015305882011693112	8.643184395129962e-6	8.495219421151834e-6	5.337793416067106e-6	7.686494226264574e-6	1.0195365438387448e-5	0	0	0	0
TG	META	EAS	1	35	1512	1.0027369082400628	5500	115.463044643402	0.013479665078778956	1.6534598017194197e-5	1.643400538598323e-5	6.092002731642806e-6	1.5190280397390848e-5	1.2266913279862757e-5	0	0	0	0
TG	META	EAS	1	43	471	1.0012386026171118	5500	12.6374785900116	0.007127950794485721	1.5079181493759116e-5	1.4040310040923142e-5	9.130353455036314e-6	1.0773826224383278e-5	1.278485326778529e-5	0	0	0	0
TG	META	EAS	1	48	691	1.0026562101906697	5500	24.197741985321	0.005866994690765895	9.05810088977597e-6	9.131648072041076e-6	4.973542340306533e-6	7.91437296733731e-6	8.77074621505379e-6	0	0	0	0
TG	META	EAS	1	50	951	1.0020429955569825	5500	34.7614064216614	0.009819791688769447	3.2189407731287684e-5	3.2170574868222014e-5	1.4967618933689694e-5	2.697821850847325e-5	2.3544038146450998e-5	0	0	0	0
TG	META	EAS	1	51	611	1.0018961220799216	5500	14.2700703144073	0.012592251889934052	1.7804896518512047e-5	1.7362322559202558e-5	9.61619721770564e-6	1.4399791299774353e-5	1.5574949677549474e-5	0	0	0	0
TG	META	EAS	1	52	1510	1.0019115991924157	5500	115.007089614868	0.007731795666196883	1.5042761344592286e-5	1.4781938980624943e-5	5.375543821283718e-6	1.3706831272996698e-5	1.1660821205873507e-5	0	0	0	0
TG	META	EAS	1	53	1289	1.0034070487528033	5500	71.7516043186188	0.10193288190168359	5.2409011513395745e-5	5.1211284686934056e-5	2.026787910524169e-5	4.004225209094404e-5	3.004117963048823e-5	0	0	0	0
TG	META	EAS	1	58	1575	1.0021317763834543	5500	106.720656394958	0.011662277422273385	5.136773438112247e-5	5.11143785410469e-5	1.7457054052326138e-5	4.6962572127052835e-5	3.3027637585909146e-5	0	0	0	0
TG	META	EAS	1	63	1610	1.005208373400633	5500	90.8283851146698	1.7205337299310837	3.416724844646582e-4	3.526948350254073e-4	1.1193643755060464e-4	3.4821043763393354e-4	1.3429340614616253e-4	0	0	0	0
TG	META	EAS	1	67	1234	1.0023479800409012	5500	50.4712665081024	0.011799914390767729	2.86860746536348e-5	2.8624746413480407e-5	1.1506828011732094e-5	2.6074064611840856e-5	2.1301165124027748e-5	0	0	0	0
TG	META	EAS	1	70	1507	1.002213984892809	5500	103.97850871086101	0.14887657323164905	4.2650693676869445e-5	4.1285036721307854e-5	1.454744093432722e-5	3.703567051143453e-5	2.619120119921417e-5	0	0	0	0
TG	META	EAS	1	71	1654	1.001950779498033	5500	138.134041070938	0.01196852308361088	9.936763409940872e-6	9.912515590278504e-6	3.5497375226932664e-6	9.104523613497714e-6	7.500419013562171e-6	0	0	0	0
TG	META	EAS	1	83	1626	1.0029406300339756	5500	115.753580093384	0.01051100613771474	1.868363523906714e-5	1.8200299886815642e-5	6.473576322790475e-6	1.601867489280247e-5	1.207405563238566e-5	0	0	0	0
TG	META	EAS	1	85	958	1.001601946346745	5500	29.3449892997742	0.014287088080211069	1.530467926866478e-5	1.5069314039821236e-5	6.940996472527955e-6	1.3558378921778897e-5	1.2854864061076486e-5	0	0	0	0
TG	META	EAS	1	94	353	1.0014246689148183	5500	5.61214065551758	0.009200097542263216	2.6872966020462906e-6	2.6710899692014232e-6	2.0375479352367956e-6	2.388713912491408e-6	4.117892565157861e-6	0	0	0	0
TG	META	EAS	1	96	1350	1.0021706720913466	5500	73.0728607177734	0.014324023863687519	1.1145269713239838e-5	1.084377258275091e-5	4.149657458707193e-6	9.943282558193912e-6	8.880186252403386e-6	0	0	0	0
TG	META	EAS	1	97	1570	1.0307003722710855	5500	108.82069849968	0.3381392894683679	0.0024528973751479916	0.0023825182970711946	7.568123542531656e-4	0.002463903633143186	3.658456228868151e-4	0	1	2	46
TG	META	EAS	1	100	1650	1.0026508129747556	5500	111.570738077164	0.008882164743549316	4.5642205543836435e-5	4.519677211685711e-5	1.5916580886203716e-5	4.038190313683596e-5	2.7603204434552464e-5	0	0	0	0
TG	META	EAS	1	101	1289	1.0020639913881104	5500	65.6276309490204	0.009545466386798747	2.4786747150643606e-5	2.4460599160256026e-5	9.614051099219738e-6	2.1600410951981056e-5	1.7460697853846625e-5	0	0	0	0
TG	META	EAS	1	105	3215	1.0021069031582308	5500	383.286669969559	0.020618843221110517	4.640064650750883e-5	4.6011121227303e-5	1.1331896050181354e-5	4.152020428818366e-5	2.367349442107005e-5	0	0	0	0
TG	META	EAS	1	124	2078	1.0027614749855536	5500	173.335079908371	0.12321082343392864	8.64800089477536e-5	8.575609655641134e-5	2.6301231926225516e-5	8.01593226912342e-5	4.991022649681455e-5	0	0	0	0
TG	META	EAS	1	125	2416	1.003370130018252	5500	271.112724781036	0.01246714116126678	3.658997304002471e-5	3.626372627153345e-5	1.0148843425976855e-5	3.3139204061453515e-5	2.1300357791944644e-5	0	0	0	0
TG	META	EAS	1	127	1325	1.0019952577302347	5500	76.5707936286926	0.011254393547242818	3.081325871544417e-5	3.0431459934527937e-5	1.1812262246832046e-5	2.7203051377784643e-5	2.1863856008840028e-5	0	0	0	0
TG	META	EAS	1	129	581	1.0022196300974604	5500	18.5424735546112	0.007960267230926531	4.787454778817795e-6	4.813816437533758e-6	2.88785530335629e-6	4.182046370188446e-6	5.4794169086674394e-6	0	0	0	0
TG	META	EAS	1	132	1723	1.0020717215198764	5500	137.612471342087	0.03508199827198499	2.310740634102369e-5	2.2857625470915232e-5	7.671239202679067e-6	2.1151893156664203e-5	1.5372942433267366e-5	0	0	0	0
TG	META	EAS	1	135	2230	1.0024359415642228	5500	166.225440979004	0.010061866702954936	8.013369280140988e-5	8.005104143453679e-5	2.36755931114577e-5	7.35090709948195e-5	4.31147610727638e-5	0	0	0	0
TG	META	EAS	1	138	1597	1.003080673513427	5500	107.735195159912	0.014813519654666938	8.428025495654208e-5	8.431683404493167e-5	2.8625986569563817e-5	8.73558302931251e-5	5.967691424843858e-5	0	0	0	0
TG	META	EAS	1	139	430	1.0025103235248582	5500	7.30570220947266	0.009550102862172212	7.324446943292087e-5	8.069543538229985e-5	5.1609773101972665e-5	7.189609409111942e-5	6.651666940569251e-5	0	0	0	0
TG	META	EAS	1	143	1210	1.001989261721438	5500	55.9045605659485	0.008796546843998035	4.350463222421258e-5	4.273167552828223e-5	1.7214763523337157e-5	3.7380159244799325e-5	2.9445261267012863e-5	0	0	0	0
TG	META	EAS	1	144	749	1.002934567820462	5500	17.2304408550262	0.0055341761485111106	1.0188568797657178e-5	9.786744193590557e-6	5.096339667114368e-6	8.494549579341553e-6	9.34166184754102e-6	0	0	0	0
TG	META	EAS	1	150	1696	1.0030595650947227	5500	147.680304765701	0.009245205321651455	9.766532881148056e-6	9.565493791520586e-6	3.339804888781934e-6	8.536616775045908e-6	6.606279170979793e-6	0	0	0	0
TG	META	EAS	1	154	2237	1.0025781970338858	5500	208.499821424484	0.014744768529282916	4.0372634812905604e-5	3.975750515423526e-5	1.1751559115078054e-5	3.541671159906842e-5	2.217313429676504e-5	0	0	0	0
TG	META	EAS	1	155	1128	1.001721360516596	5500	55.3842806816101	0.0060676183113317055	1.727552135910044e-5	1.6745109067648457e-5	6.963040040646679e-6	1.4545004050183256e-5	1.4042225946745075e-5	0	0	0	0
TG	META	EAS	1	156	1411	1.0027838248049519	5500	95.0828807353973	0.008343650474718614	4.12201680509063e-5	4.059455106822405e-5	1.5461093170614568e-5	3.565748317344244e-5	2.7965251943368367e-5	0	0	0	0
TG	META	EAS	1	158	993	1.0020757328065573	5500	50.7769918441772	0.5522873176383956	6.274693966830685e-5	6.580302424711795e-5	2.869241114663291e-5	5.842264106484343e-5	4.34111176106023e-5	0	0	0	0
TG	META	EAS	1	168	1730	1.0025062180036017	5500	91.5029699802399	0.011481814433888947	2.441053713138492e-5	2.3605787136524792e-5	7.95854592480621e-6	2.0662577055638438e-5	1.5307287529778176e-5	0	0	0	0
TG	META	EAS	1	182	2209	1.0039477087450757	5500	194.453477621078	0.010440474138846181	9.448629468227072e-5	9.607520890571055e-5	2.8451326405267655e-5	9.715803964257856e-5	5.684097255052435e-5	0	0	0	0
TG	META	EAS	1	183	2279	1.0020333352969781	5500	287.723530054092	0.01256687766701568	1.4621799407369342e-5	1.4405953823029316e-5	4.202462182701343e-6	1.363579160752023e-5	9.739576731918656e-6	0	0	0	0
TG	META	EAS	1	184	525	1.0022290934764633	5500	10.2520983219147	0.010070254615427212	2.118755351376987e-5	2.1011879772494035e-5	1.2708484268378532e-5	1.8427849044256317e-5	2.0024939653407218e-5	0	0	0	0
TG	META	EAS	1	187	1542	1.0032167981921403	5500	63.0589861869812	0.011512998752914434	6.39401816126817e-5	6.49103441282586e-5	2.2736784997666585e-5	5.9273498922399895e-5	3.946664253224969e-5	0	0	0	0
TG	META	EAS	1	192	1790	1.0019763821527345	5500	141.743180036545	0.012685344519902832	6.323840790708328e-5	6.343839475281415e-5	2.0870717839336457e-5	6.114735217270714e-5	4.1525675558462726e-5	0	0	0	0
TG	META	EAS	1	193	1989	1.0033984003135896	5500	158.972726106644	0.13822736249599243	1.1556182684304259e-4	1.1857918869886647e-4	3.603764606389987e-5	1.2490131981339505e-4	7.079047804870792e-5	0	0	0	0
TG	META	EAS	1	201	1846	1.0020469722440501	5500	168.648110389709	0.013122245362657851	3.0038388192463362e-5	2.9970255613347962e-5	9.893636437875854e-6	2.6637707230156124e-5	1.8880792335321914e-5	0	0	0	0
TG	META	EAS	1	202	1600	1.0024317577171666	5500	118.172192335129	0.012901381475467027	2.457641127444206e-5	2.4418246768875982e-05	8.550901236158262e-6	2.221900015261159e-5	1.692298516781757e-5	0	0	0	0
TG	META	EAS	1	203	1530	1.0028645060861519	5500	104.883645296097	0.007162531287886703	2.1766133422535093e-5	2.103584548905233e-5	7.388753850045336e-6	1.8594378460056844e-5	1.450831443271498e-5	0	0	0	0
TG	META	EAS	1	207	972	1.0028813549277045	5500	24.6267302036285	0.010592693962876322	4.646251410830969e-5	4.760635931817512e-5	2.1202031084835743e-5	4.484054481339177e-5	3.57132356085485e-5	0	0	0	0
TG	META	EAS	1	208	1263	1.002597007869166	5500	82.7714130878448	0.010866418561771557	1.3211609711407757e-5	1.316977816444409e-5	5.24806996640794e-6	1.2172848454160202e-5	1.1051526562770342e-5	0	0	0	0
TG	META	EAS	1	209	541	1.0020846667301573	5500	10.3129460811615	0.014591000153469655	6.216659665055747e-5	6.394767980070774e-5	3.749517841957385e-5	5.917393720239259e-5	5.3533007535039836e-5	0	0	0	0
TG	META	EAS	1	211	771	1.0015709458604984	5500	19.6487407684326	0.009119938037167843	8.10124453443536e-6	8.011078543157524e-6	4.126843242090359e-6	7.426729144985927e-6	8.497664505132004e-6	0	0	0	0
TG	META	EAS	1	212	1163	1.0021552152555215	5500	39.8960919380188	0.009472838926478754	2.028120699369784e-5	2.002584982205824e-5	8.135075269357993e-6	1.816139892509338e-5	1.6106305692323456e-5	0	0	0	0
TG	META	EAS	1	213	881	1.0024326871990614	5500	37.0542771816254	0.7088317683623946	3.353278119483627e-5	3.4087961823032577e-5	1.61967385853102e-5	3.085096332850312e-5	2.7305003468727798e-5	0	0	0	0
TG	META	EAS	1	214	756	1.001668573017544	5500	17.4300825595856	0.008514760366771785	1.2999422805028881e-5	1.235419631120096e-5	6.392893371093033e-6	1.0150236515226504e-5	1.0090710236107941e-5	0	0	0	0
TG	META	EAS	1	217	737	1.002529113088299	5500	18.5028092861176	0.05433155053490957	3.183010007166641e-5	3.3018058284474525e-5	1.6805054794504135e-5	3.1018167942977505e-5	2.8346007974965065e-5	0	0	0	0
TG	META	EAS	1	219	1622	1.0031349208708558	5500	114.25176692009	0.01161628102825186	4.6088448227143806e-5	4.548789227742853e-5	1.5971251447463023e-5	4.206469007796361e-5	3.0411439840668902e-5	0	0	0	0
TG	META	EAS	1	221	1783	1.0031796505190551	5500	126.422503232956	0.21744135369193307	9.93554462186435e-5	1.0342593945848809e-4	3.362570841881686e-5	1.0243233815836069e-4	6.257055200920163e-5	0	0	0	0
TG	META	EAS	1	226	672	1.0021711478669049	5500	13.2040579319	0.011761812502446126	9.345187180071947e-6	9.090902910203447e-6	4.807062132044933e-6	7.638080978929519e-6	8.856931535206878e-6	0	0	0	0
TG	META	EAS	1	228	894	1.0022978842928745	5500	34.3825011253357	0.005867524243587691	3.567411011261622e-5	3.625286062788238e-5	1.6766809991177214e-5	3.2712796652565924e-5	2.8912851667413758e-5	0	0	0	0
TG	META	EAS	1	233	2269	1.00217205469534	5500	212.204118728638	0.12618659045444192	5.2985557047240713e-5	5.255646550296777e-5	1.5440126912371418e-5	4.915523990541542e-5	3.073178939166122e-5	0	0	0	0
TG	META	EAS	1	234	2668	1.0029015449910395	5500	288.960766553879	0.014671700587140077	8.603685002413435e-5	8.579135225527931e-5	2.2826272517407127e-5	8.177761513153681e-5	4.3775227538644055e-5	0	0	0	0
TG	META	EAS	1	235	1504	1.0035044438315388	5500	63.5967171192169	0.012493643449894239	6.687841311044125e-5	6.559954936104249e-5	2.388127551461756e-5	5.69369555909961e-5	4.1287533254272024e-5	0	0	0	0
TG	META	EAS	1	238	3673	1.002658626783287	5500	735.829791545868	0.018614349224883944	5.119356286237417e-5	5.075816308579508e-5	1.2080997471201725e-5	4.659135620994833e-5	2.344747285354216e-5	0	0	0	0
TG	META	EAS	1	239	994	1.0018662182410243	5500	34.9520568847656	0.01269547102921351	2.490223384102153e-5	2.429364638003546e-5	1.0964667177387036e-5	2.101471951420404e-5	1.8760134992471042e-5	0	0	0	0
TG	META	EAS	1	240	3916	1.0029525031634265	5500	930.966807126999	0.02526403915192346	2.2808956256244256e-5	2.2501016660185357e-5	5.081106254358997e-6	2.1633991430188764e-5	1.2141773317518205e-5	0	0	0	0
TG	META	EAS	1	242	606	1.0021552664659494	5500	14.042797088623	0.026874826221971126	9.765987187350431e-5	1.0529481536252183e-4	5.5476839004045616e-5	9.76231396202551e-5	7.451954442393646e-5	0	0	0	0
TG	META	EAS	1	243	927	1.0054677693833116	5500	28.5702962875366	0.0170193226809435	2.1688723184125393e-4	2.3620239380230012e-4	9.867704295017421e-5	2.3847559969517867e-4	1.3377003545263406e-4	0	0	0	0
TG	META	EAS	1	244	2078	1.0023374723212666	5500	141.920390844345	0.012972525115983456	1.7695112288344326e-5	1.733135784746136e-5	5.3293175832621625e-6	1.579715438277871e-5	1.0810390695189664e-5	0	0	0	0
TG	META	EAS	1	248	1132	1.0021418445560428	5500	60.3644042015076	0.006701824233874469	4.2998506335642695e-5	4.31185314080881e-5	1.7977775774314485e-5	3.6437416150432904e-5	2.7736437148602646e-5	0	0	0	0
TG	META	EAS	1	252	730	1.0018310410005737	5500	15.8434929847717	0.009981729980159693	5.5266208102359674e-5	5.6689017690068844e-5	2.892618952050434e-5	5.0093286281076817e-5	4.1698031508372415e-5	0	0	0	0
TG	META	EAS	1	254	1159	1.0034887935192311	5500	62.0904610157013	0.01056313950739553	1.2558680335098953e-4	1.2692521429974378e-4	4.948764095222942e-5	1.2780494845713046e-4	7.308154870113134e-5	0	0	0	0
TG	META	EAS	1	255	920	1.0023216667218429	5500	24.2517786026001	0.007642599872086724	2.542147215925179e-5	2.510528026489154e-5	1.1536072313319027e-5	2.0810313391820415e-5	1.809961723350407e-5	0	0	0	0
TG	META	EAS	1	257	1136	1.0017635810655434	5500	53.9408631324768	0.010612464584535629	1.4274184270354747e-5	1.4011699574584368e-5	5.941762898668769e-6	1.1453990071963841e-5	1.0087645716719032e-5	0	0	0	0
TG	META	EAS	1	264	894	1.0019562436894343	5500	30.8523707389832	0.05173880037600953	1.2392607286545954e-5	1.2221694715817888e-5	5.758792721341228e-6	1.0950681507713378e-5	1.1137058462964286e-5	0	0	0	0
TG	META	EAS	1	274	1896	1.003127096723458	5500	143.927050352097	0.009436763772084075	4.402366226950273e-5	4.338750786630778e-5	1.3812892117262177e-5	3.8551752912088846e-5	2.598174003550294e-5	0	0	0	0
TG	META	EAS	1	277	352	1.0016277529525515	5500	7.52384924888611	0.0034581466022541303	4.216613092266309e-6	3.960374257256483e-6	2.9298755547251247e-6	3.211484021288779e-6	4.874507886548172e-6	0	0	0	0
TG	META	EAS	1	280	3083	1.0025837625487997	5500	458.23943400383	0.014174725153672508	1.493861100020374e-5	1.478065482370665e-5	3.7632771039906454e-6	1.3680438739128408e-5	8.277071623515233e-6	0	0	0	0
TG	META	EAS	2	1	541	1.0017572578812968	5500	14.6235835552216	0.009085059115920861	9.727780518656165e-6	9.60184637420054e-6	5.828213322446049e-6	7.854281190135088e-6	9.675244973287473e-6	0	0	0	0
TG	META	EAS	2	2	3005	1.0023769535249387	5500	503.521836042404	0.034853871204334474	9.633623093287899e-5	9.751297385190192e-5	2.4673898683090312e-5	9.580108014014445e-5	4.9925073299302006e-5	0	0	0	0
TG	META	EAS	2	6	901	1.001768142358922	5500	30.0734217166901	0.006254806094343679	6.881428181111506e-6	6.715753624412612e-6	3.1946470082346215e-6	6.00903085485755e-6	6.191330926762229e-6	0	0	0	0
TG	META	EAS	2	7	670	1.0015973625649934	5500	15.583078622818	0.007826920380001528	3.997720647890798e-6	3.909307730532108e-6	2.163667546647695e-6	3.605862194662301e-6	4.326165800672672e-6	0	0	0	0
TG	META	EAS	2	21	349	1.0016667538719322	5500	5.21324563026428	0.009102573628131992	1.9192406052665394e-5	1.939493308124831e-5	1.467582270648541e-5	1.6585982150928306e-5	2.1495258634905705e-5	0	0	0	0
TG	META	EAS	2	34	2097	1.0019889206453139	5500	207.533067464828	0.014286881101587698	1.4812312344225799e-5	1.4723776265543308e-5	4.545769660921362e-6	1.3266217954639372e-5	9.103277131477023e-6	0	0	0	0
TG	META	EAS	2	41	1052	1.0121365560580617	5500	42.4721639156342	0.4048235533156008	3.146333670874606e-4	3.2719518792905916e-4	1.2567105495035015e-4	3.1128164695597155e-4	1.342832190365127e-4	0	0	0	0
