pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	UKBB	AFR	1	3	820	1.0018204493932226	5500	25.7775676250458	2.2350312096659276e-4	5.053287263047459e-5	4.977483396443798e-5	2.4320428195341415e-5	4.3399873294339765e-5	4.054084426551224e-5	0	0	0	0
TG	UKBB	AFR	1	4	1984	1.0023068771870804	5500	173.63517832756	0.004367025619291365	1.0140284169111595e-4	1.0104273299481965e-4	3.214135029536096e-5	9.65315312804018e-5	6.660300321616228e-5	0	0	0	0
TG	UKBB	AFR	1	5	3594	1.002414782894899	5500	605.417536973953	0.0015551915962922133	1.0150867255443027e-4	1.0240885802460735e-4	2.4468087512462e-5	1.056321741974307e-4	6.425368947494317e-5	0	0	0	0
TG	UKBB	AFR	1	15	5216	1.0029353248147623	5500	1394.15150928497	0.001252650987078309	1.0110985570611157e-4	1.0054753222312241e-4	1.971975905735231e-5	9.755591903619161e-5	4.498079554895516e-5	0	0	0	0
TG	UKBB	AFR	1	17	6602	1.0023578372848534	5500	2335.53582429886	0.002773176119932221	1.045720665016101e-4	1.0486000990190827e-4	1.7955751942834414e-5	1.0493342913295781e-4	4.5729102103050944e-5	0	0	0	0
TG	UKBB	AFR	1	18	2496	1.0025963110436094	5500	252.141830205917	0.0011166356095785666	8.472297390625955e-5	8.50321031992358e-5	2.368277188638596e-5	8.457584647211813e-5	5.834210896129895e-5	0	0	0	0
TG	UKBB	AFR	1	19	5384	1.0025931320785835	5500	1248.2751390934	0.013139593832298901	9.08713334206044e-5	9.084642154689946e-5	1.7148131085487536e-5	9.057125879730842e-5	4.3530945846720185e-5	0	0	0	0
TG	UKBB	AFR	1	21	3660	1.0025276173600268	5500	621.156481742859	0.07625253063763715	9.267418371365982e-5	9.244982447867534e-5	2.141111562792367e-5	9.03220131459738e-5	5.176200371401342e-5	0	0	0	0
TG	UKBB	AFR	1	23	1852	1.0023340092413997	5500	155.275799751282	0.0013049320503109008	1.2798674442853533e-4	1.319552203449541e-4	4.4150972057970286e-5	1.4235268319827266e-4	1.1884931618914193e-4	0	0	0	0
TG	UKBB	AFR	1	32	1442	1.0017632863362962	5500	98.5390782356262	0.0010768962398045214	8.803652872472571e-5	8.761270716146848e-5	3.247711941830608e-5	8.145891442396312e-5	6.459069812284099e-5	0	0	0	0
TG	UKBB	AFR	1	35	6543	1.0035238812400507	5500	2300.48744368553	0.08132010766651843	1.0012594809422907e-4	1.0036164741885076e-4	1.7465290209472105e-5	1.0170520294163251e-4	4.549341008232667e-5	0	0	0	0
TG	UKBB	AFR	1	43	1376	1.002185588469333	5500	90.9612748622894	0.04632514947794175	1.0002183818434146e-4	1.009577901996485e-4	3.9154155303705095e-5	9.993335717335469e-5	8.651523419661479e-5	0	0	0	0
