pheno	pid	chromosome	block	num_variants_0.9.UKBB	num_variants_0.9.UKBB_0.1.GLGC
TG	AFR	1	3	0	0
TG	AFR	1	4	0	0
TG	AFR	1	5	0	0
TG	AFR	1	15	0	0
TG	AFR	1	17	0	0
TG	AFR	1	18	0	0
TG	AFR	1	19	0	0
TG	AFR	1	21	0	0
TG	AFR	1	23	0	0
TG	AFR	1	32	0	0
TG	AFR	1	35	0	0
TG	AFR	1	43	0	0
TG	AFR	1	48	0	0
TG	AFR	1	50	0	0
TG	AFR	1	51	0	0
TG	AFR	1	52	0	0
TG	AFR	1	53	0	0
TG	AFR	1	58	0	0
TG	AFR	1	63	0	0
TG	AFR	1	67	0	0
TG	AFR	1	70	0	0
TG	AFR	1	71	0	0
TG	AFR	1	83	0	0
TG	AFR	1	85	0	0
TG	AFR	1	94	0	0
TG	AFR	1	96	0	0
TG	AFR	1	97	0	0
TG	AFR	1	100	0	0
TG	AFR	1	101	0	0
TG	AFR	1	105	0	0
TG	AFR	1	124	0	0
TG	AFR	1	125	0	0
TG	AFR	1	127	0	0
TG	AFR	1	129	0	0
TG	AFR	1	132	0	0
TG	AFR	1	135	0	0
TG	AFR	1	138	0	0
TG	AFR	1	139	0	0
TG	AFR	1	143	0	0
TG	AFR	1	144	0	0
TG	AFR	1	150	0	0
TG	AFR	1	154	0	0
TG	AFR	1	155	0	0
TG	AFR	1	156	0	0
TG	AFR	1	158	0	0
TG	AFR	1	168	0	0
TG	AFR	1	182	0	0
TG	AFR	1	183	0	0
TG	AFR	1	184	0	0
TG	AFR	1	187	0	0
TG	AFR	1	192	0	0
TG	AFR	1	193	0	0
TG	AFR	1	201	0	0
TG	AFR	1	202	0	0
TG	AFR	1	203	0	0
TG	AFR	1	207	0	0
TG	AFR	1	208	0	0
TG	AFR	1	209	0	0
TG	AFR	1	211	0	0
TG	AFR	1	212	0	0
TG	AFR	1	213	0	0
TG	AFR	1	214	0	0
TG	AFR	1	217	0	0
TG	AFR	1	219	0	0
TG	AFR	1	221	0	0
TG	AFR	1	226	0	0
TG	AFR	1	228	0	0
TG	AFR	1	233	0	0
TG	AFR	1	234	0	0
TG	AFR	1	235	0	0
TG	AFR	1	238	0	0
TG	AFR	1	239	0	0
TG	AFR	1	240	0	0
TG	AFR	1	242	0	0
TG	AFR	1	243	0	0
TG	AFR	1	244	0	0
TG	AFR	1	248	0	0
TG	AFR	1	252	0	0
TG	AFR	1	254	0	0
TG	AFR	1	255	0	0
TG	AFR	1	257	0	0
TG	AFR	1	264	0	0
TG	AFR	1	274	0	0
TG	AFR	1	277	0	0
TG	AFR	1	280	0	0
TG	AFR	2	1	0	0
TG	AFR	2	2	0	0
TG	AFR	2	6	0	0
TG	AFR	2	7	0	0
TG	AFR	2	21	0	0
TG	AFR	2	34	0	0
TG	AFR	2	41	0	0
TG	AFR	2	43	0	0
TG	AFR	2	44	0	0
TG	AFR	2	45	0	0
TG	AFR	2	47	0	0
TG	AFR	2	48	0	0
TG	AFR	2	49	0	0
TG	AFR	2	50	0	0
TG	AFR	2	55	0	0
TG	AFR	2	63	0	0
TG	AFR	2	66	0	0
TG	AFR	2	69	0	0
TG	AFR	2	71	0	0
TG	AFR	2	72	0	0
TG	AFR	2	74	0	0
TG	AFR	2	76	0	0
TG	AFR	2	79	0	0
TG	AFR	2	80	0	0
TG	AFR	2	84	0	0
TG	AFR	2	85	0	0
TG	AFR	2	86	0	0
TG	AFR	2	87	0	0
TG	AFR	2	88	0	0
TG	AFR	2	89	0	0
TG	AFR	2	90	0	0
TG	AFR	2	95	0	0
TG	AFR	2	99	0	0
TG	AFR	2	115	0	0
TG	AFR	2	117	0	0
TG	AFR	2	122	0	0
TG	AFR	2	123	0	0
TG	AFR	2	124	0	0
TG	AFR	2	125	0	0
TG	AFR	2	128	0	0
TG	AFR	2	131	0	0
TG	AFR	2	132	0	0
TG	AFR	2	138	0	0
TG	AFR	2	153	0	0
TG	AFR	2	159	0	0
TG	AFR	2	161	0	0
TG	AFR	2	163	0	0
TG	AFR	2	164	0	0
TG	AFR	2	166	0	0
TG	AFR	2	168	0	0
TG	AFR	2	169	0	0
TG	AFR	2	171	0	0
TG	AFR	2	174	0	0
TG	AFR	2	176	0	0
TG	AFR	2	180	0	0
TG	AFR	2	181	0	0
TG	AFR	2	184	0	0
TG	AFR	2	186	0	0
TG	AFR	2	195	0	0
TG	AFR	2	197	0	0
TG	AFR	2	198	0	0
TG	AFR	2	199	0	0
TG	AFR	2	201	0	0
TG	AFR	2	202	0	0
TG	AFR	2	205	0	0
TG	AFR	2	210	0	0
TG	AFR	2	211	0	0
TG	AFR	2	213	0	0
TG	AFR	2	214	0	0
TG	AFR	2	217	0	0
TG	AFR	2	218	0	0
TG	AFR	2	230	0	0
TG	AFR	2	231	0	0
TG	AFR	2	235	0	0
TG	AFR	2	237	0	0
TG	AFR	2	240	0	0
TG	AFR	2	242	0	0
TG	AFR	2	250	0	0
TG	AFR	2	251	0	0
TG	AFR	2	256	0	0
TG	AFR	3	1	0	0
TG	AFR	3	8	0	0
TG	AFR	3	9	0	0
TG	AFR	3	20	0	0
TG	AFR	3	23	0	0
TG	AFR	3	24	0	0
TG	AFR	3	30	0	0
TG	AFR	3	31	0	0
TG	AFR	3	33	0	0
TG	AFR	3	35	0	0
TG	AFR	3	39	0	0
TG	AFR	3	40	0	0
TG	AFR	3	41	0	0
TG	AFR	3	49	0	0
TG	AFR	3	55	0	0
TG	AFR	3	57	0	0
TG	AFR	3	60	0	0
TG	AFR	3	62	0	0
TG	AFR	3	65	0	0
TG	AFR	3	70	0	0
TG	AFR	3	71	0	0
TG	AFR	3	77	0	0
TG	AFR	3	83	0	0
TG	AFR	3	85	0	0
TG	AFR	3	88	0	0
TG	AFR	3	89	0	0
TG	AFR	3	114	0	0
TG	AFR	3	115	0	0
TG	AFR	3	120	0	0
TG	AFR	3	121	0	0
TG	AFR	3	124	0	0
TG	AFR	3	132	0	0
TG	AFR	3	133	0	0
TG	AFR	3	136	0	0
TG	AFR	3	140	0	0
TG	AFR	3	145	0	0
TG	AFR	3	150	0	0
TG	AFR	3	155	0	0
TG	AFR	3	161	0	0
TG	AFR	3	162	0	0
TG	AFR	3	172	0	0
TG	AFR	3	173	0	0
TG	AFR	3	174	0	0
TG	AFR	3	175	0	0
TG	AFR	3	186	0	0
TG	AFR	3	191	0	0
TG	AFR	3	193	0	0
TG	AFR	3	196	0	0
TG	AFR	3	214	0	0
TG	AFR	4	1	0	0
TG	AFR	4	4	0	0
TG	AFR	4	19	0	0
TG	AFR	4	21	0	0
TG	AFR	4	28	0	0
TG	AFR	4	32	0	0
TG	AFR	4	42	0	0
TG	AFR	4	43	0	0
TG	AFR	4	48	0	0
TG	AFR	4	54	0	0
TG	AFR	4	55	0	0
TG	AFR	4	64	0	0
TG	AFR	4	66	0	0
TG	AFR	4	74	0	0
TG	AFR	4	80	0	0
TG	AFR	4	82	0	0
TG	AFR	4	84	0	0
TG	AFR	4	87	0	0
TG	AFR	4	90	0	0
TG	AFR	4	95	0	0
TG	AFR	4	97	0	0
TG	AFR	4	101	0	0
TG	AFR	4	102	0	0
TG	AFR	4	103	0	0
TG	AFR	4	109	0	0
TG	AFR	4	112	0	0
TG	AFR	4	113	0	0
TG	AFR	4	114	0	0
TG	AFR	4	115	0	0
TG	AFR	4	116	0	0
TG	AFR	4	117	0	0
TG	AFR	4	121	0	0
TG	AFR	4	122	0	0
TG	AFR	4	133	0	0
TG	AFR	4	134	0	0
TG	AFR	4	136	0	0
TG	AFR	4	139	0	0
TG	AFR	4	147	0	0
TG	AFR	4	148	0	0
TG	AFR	4	149	0	0
TG	AFR	4	150	0	0
TG	AFR	4	153	0	0
TG	AFR	4	154	0	0
TG	AFR	4	156	0	0
TG	AFR	4	159	0	0
TG	AFR	4	161	0	0
TG	AFR	4	162	0	0
TG	AFR	4	165	0	0
TG	AFR	4	180	0	0
TG	AFR	4	184	0	0
TG	AFR	4	199	0	0
TG	AFR	5	27	0	0
TG	AFR	5	33	0	0
TG	AFR	5	49	0	0
TG	AFR	5	64	0	0
TG	AFR	5	66	0	0
TG	AFR	5	68	0	0
TG	AFR	5	69	0	0
TG	AFR	5	71	0	0
TG	AFR	5	72	0	0
TG	AFR	5	74	0	0
TG	AFR	5	78	0	0
TG	AFR	5	81	0	0
TG	AFR	5	85	0	0
TG	AFR	5	88	0	0
TG	AFR	5	92	0	0
TG	AFR	5	96	0	0
TG	AFR	5	97	0	0
TG	AFR	5	102	0	0
TG	AFR	5	103	0	0
TG	AFR	5	108	0	0
TG	AFR	5	109	0	0
TG	AFR	5	111	0	0
TG	AFR	5	114	0	0
TG	AFR	5	116	0	0
TG	AFR	5	120	0	0
TG	AFR	5	127	0	0
TG	AFR	5	130	0	0
TG	AFR	5	136	0	0
TG	AFR	5	142	0	0
TG	AFR	5	145	0	0
TG	AFR	5	146	0	0
TG	AFR	5	147	0	0
TG	AFR	5	152	0	0
TG	AFR	5	156	0	0
TG	AFR	5	158	0	0
