pheno	pid	chromosome	block	UKBB_nCS	GLGC_nCS	UKBB_in_GLGC	GLGC_in_UKBB
TG	EUR	1	3	0	0	0	0
TG	EUR	1	4	2	0	0	0
TG	EUR	1	5	0	1	0	0
TG	EUR	1	15	0	0	0	0
TG	EUR	1	17	0	0	0	0
TG	EUR	1	18	0	0	0	0
TG	EUR	1	19	1	1	0	0
TG	EUR	1	21	0	0	0	0
TG	EUR	1	23	0	0	0	0
TG	EUR	1	32	0	1	0	0
TG	EUR	1	35	0	1	0	0
TG	EUR	1	43	0	0	0	0
TG	EUR	1	48	1	1	0	0
TG	EUR	1	50	0	0	0	0
TG	EUR	1	51	0	0	0	0
TG	EUR	1	52	2	2	2	2
TG	EUR	1	53	0	0	0	0
TG	EUR	1	58	0	1	0	0
TG	EUR	1	63	0	0	0	0
TG	EUR	1	67	0	0	0	0
TG	EUR	1	70	3	2	2	2
TG	EUR	1	71	1	1	1	1
TG	EUR	1	83	1	1	1	1
TG	EUR	1	85	0	0	0	0
TG	EUR	1	94	1	1	1	1
TG	EUR	1	96	1	2	1	1
TG	EUR	1	97	2	3	2	2
TG	EUR	1	100	0	0	0	0
TG	EUR	1	101	0	0	0	0
TG	EUR	1	105	0	1	0	0
TG	EUR	1	124	1	2	1	1
TG	EUR	1	125	0	1	0	0
TG	EUR	1	127	0	0	0	0
TG	EUR	1	129	1	1	1	1
TG	EUR	1	132	0	1	0	0
TG	EUR	1	135	0	0	0	0
TG	EUR	1	138	0	1	0	0
TG	EUR	1	139	1	0	0	0
TG	EUR	1	143	0	0	0	0
TG	EUR	1	144	0	1	0	0
TG	EUR	1	150	1	0	0	0
TG	EUR	1	154	1	2	1	1
TG	EUR	1	155	0	1	0	0
TG	EUR	1	156	1	1	0	0
TG	EUR	1	158	1	0	0	0
TG	EUR	1	168	0	0	0	0
TG	EUR	1	182	1	3	1	1
TG	EUR	1	183	0	1	0	0
TG	EUR	1	184	0	0	0	0
TG	EUR	1	187	1	0	0	0
TG	EUR	1	192	0	1	0	0
TG	EUR	1	193	0	3	0	0
TG	EUR	1	201	0	0	0	0
TG	EUR	1	202	0	0	0	0
TG	EUR	1	203	0	0	0	0
TG	EUR	1	207	1	1	1	1
TG	EUR	1	208	0	1	0	0
TG	EUR	1	209	1	1	0	0
TG	EUR	1	211	2	1	1	1
TG	EUR	1	212	0	0	0	0
TG	EUR	1	213	1	2	1	1
TG	EUR	1	214	0	1	0	0
TG	EUR	1	217	0	0	0	0
TG	EUR	1	219	1	1	1	1
TG	EUR	1	221	0	1	0	0
TG	EUR	1	226	1	2	0	0
TG	EUR	1	228	0	0	0	0
TG	EUR	1	233	2	2	2	2
TG	EUR	1	234	3	2	2	2
TG	EUR	1	235	0	1	0	0
TG	EUR	1	238	0	0	0	0
TG	EUR	1	239	0	1	0	0
TG	EUR	1	240	2	0	0	0
TG	EUR	1	242	2	3	2	2
TG	EUR	1	243	2	2	2	2
TG	EUR	1	244	1	1	1	1
TG	EUR	1	248	0	0	0	0
TG	EUR	1	252	0	2	0	0
TG	EUR	1	254	0	1	0	0
TG	EUR	1	255	0	0	0	0
TG	EUR	1	257	0	1	0	0
TG	EUR	1	264	0	0	0	0
TG	EUR	1	274	0	0	0	0
TG	EUR	1	277	0	0	0	0
TG	EUR	1	280	0	0	0	0
TG	EUR	2	1	0	1	0	0
TG	EUR	2	2	0	1	0	0
TG	EUR	2	6	1	2	1	1
TG	EUR	2	7	0	1	0	0
