pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	AFR	1	1	1401	1.0024143655481654	5500	105.049002408981	0.016237225330213982	1.71791288379493e-5	1.6831613731938333e-5	6.246562765578034e-6	1.560778637263604e-5	1.2787855663724504e-5	0	0	0	0
HDL	META	AFR	1	2	1463	1.0025057780879403	5500	118.62791967392	0.01467521059547215	1.7083019164361544e-5	1.6688276929631106e-5	6.245552933972688e-6	1.5142995571232858e-5	1.209700939960434e-5	0	0	0	0
HDL	META	AFR	1	3	827	1.0015069282759708	5500	28.4385323524475	0.020679071691883263	8.555642073222984e-6	8.367084667591173e-6	4.26226286784246e-6	7.566650645027783e-6	8.283849440278193e-6	0	0	0	0
HDL	META	AFR	1	5	3605	1.003072068218299	5500	811.774228811264	0.027645921634389975	4.668502619695327e-5	4.5913147024662626e-5	1.0554702482796718e-5	4.238555482276419e-5	2.1667293252606095e-5	0	0	0	0
HDL	META	AFR	1	15	5267	1.0041814133417675	5500	1849.60684871674	0.0190819677997416	4.136805562380086e-5	4.103390992389675e-5	7.915520274589202e-6	3.87645092809473e-5	1.7316760334077188e-5	0	0	0	0
HDL	META	AFR	1	17	6661	1.0037219648054647	5500	3413.11121320724	0.02391974164726229	5.131078468009849e-5	5.0563540084489464e-5	8.711838967948443e-6	4.8300829229811764e-5	1.8748748564104577e-5	0	0	0	0
HDL	META	AFR	1	18	2519	1.0031159914423111	5500	328.01046872139	0.03127308309728871	1.441671817969855e-4	1.456739007007719e-4	4.008089219162662e-5	1.5053779731521134e-4	8.180329104402992e-5	0	0	0	0
HDL	META	AFR	1	19	5432	1.0024880603407929	5500	1447.78683018684	0.06831240084243051	7.728830428163144e-5	7.700060828727091e-5	1.477015953510206e-5	7.64959750403872e-5	3.334598783362525e-5	0	0	0	0
HDL	META	AFR	1	21	3702	1.002674679817502	5500	949.742266654968	0.017897733290401254	3.1493479271392767e-5	3.090540875018113e-5	7.139521470051713e-6	2.86480264321452e-5	1.4415535427488626e-5	0	0	0	0
HDL	META	AFR	1	23	1888	1.0020690456561467	5500	159.231213331223	0.007822430566857308	1.632983088834968e-5	1.5991675458671773e-5	5.263032495292427e-6	1.4321855986746325e-5	9.523225637556643e-6	0	0	0	0
HDL	META	AFR	1	24	1883	1.0027519126913258	5500	186.876275539398	0.019051921108746026	1.6110327065539057e-5	1.5930114956531783e-5	5.113279124499807e-6	1.4493711789935896e-5	1.0245174509935327e-5	0	0	0	0
HDL	META	AFR	1	35	6594	1.0029900405350678	5500	4418.25143861771	0.028079436209356115	5.148749331733081e-5	5.074412019661838e-5	8.872523750932971e-6	4.7999314106385696e-5	1.9113220837693115e-5	0	0	0	0
HDL	META	AFR	1	40	2211	1.0024836528541214	5500	227.024853229523	0.012321268582640942	3.676793392681186e-5	3.665842495114575e-5	1.1162956014169744e-5	3.401301105088977e-5	2.122257631313805e-5	0	0	0	0
HDL	META	AFR	1	43	1399	1.0199026702569112	5500	76.2626044750214	0.011220451239715488	2.0020376896536787e-4	1.9499325257450436e-4	7.047401174936368e-5	1.9643512248252403e-4	1.0908912591655995e-4	0	1	0	0
HDL	META	AFR	1	44	1277	1.0017970537933338	5500	98.5024688243866	0.00995130870043866	9.421736060338905e-6	9.315133804712339e-6	3.643407052830148e-6	8.9271868847845e-6	8.540134474107711e-6	0	0	0	0
HDL	META	AFR	1	46	4373	1.003813738312196	5500	1396.91395378113	0.01883540133830122	3.322917791722849e-5	3.285362664974296e-5	6.8778201851630745e-6	3.0426435484316153e-5	1.4717545724300949e-5	0	0	0	0
HDL	META	AFR	1	48	2597	1.0030555134134158	5500	717.261523246765	0.1642516828510101	8.7893286156798e-5	8.72279428427061e-5	2.465427599156007e-5	8.019904150983345e-5	4.385758874535992e-5	0	0	0	0
HDL	META	AFR	1	49	2499	1.0027248751302442	5500	901.641955137253	0.023618298430134525	4.9072837833255424e-5	4.799658606342936e-5	1.3718652062209454e-5	4.2897380042664676e-5	2.4400894892634784e-5	0	0	0	0
HDL	META	AFR	1	50	3596	1.0024922031175194	5500	1453.52127838135	0.065302191672713	7.61199382539591e-5	7.60080582977103e-5	1.771382165427011e-5	7.56161824919115e-5	3.9283377665787806e-5	0	0	0	0
HDL	META	AFR	1	51	2354	1.0026087993422588	5500	448.131631851196	0.017684353684059306	1.2776373319138184e-5	1.2487258142052226e-5	3.6307979341001417e-6	1.1754837224110917e-5	7.611193875694373e-6	0	0	0	0
HDL	META	AFR	1	52	6665	1.0026110837633173	5500	3423.60120868683	0.030661720751132368	1.0519942845439788e-4	1.054829186272078e-4	1.7949690964716023e-5	1.0451288780481391e-4	4.140199509247612e-5	0	0	0	0
HDL	META	AFR	1	53	5740	1.0030887679408502	5500	2466.5986135006	0.0536393028342419	8.194016762556182e-5	8.168794149545571e-5	1.55706521945175e-5	7.961660771239591e-5	3.398256445809066e-5	0	0	0	0
HDL	META	AFR	1	57	3923	1.0024651378802725	5500	1071.54108715057	0.030305357667149924	9.09728585482197e-5	9.080961093744844e-5	2.0335121926043993e-5	9.07908699975119e-5	4.579452746178316e-5	0	0	0	0
HDL	META	AFR	1	63	5261	1.0048900064741049	5500	1810.29918646812	0.028364602511879215	9.174112464965827e-5	9.21265765983762e-5	1.777931151272031e-5	9.032075698959654e-5	3.9940987377443526e-5	0	0	0	0
HDL	META	AFR	1	70	4570	1.0023962159760116	5500	1344.21444869041	0.18625837886824526	8.041481470957505e-5	8.072661540825592e-5	1.6890640775829416e-5	7.990557664381346e-5	3.676695837906808e-5	0	0	0	0
HDL	META	AFR	1	71	4715	1.0028125768585048	5500	1443.44864249229	0.02866916988951355	4.109709316671891e-5	4.060671978377879e-5	8.126830159811638e-6	3.737617638579813e-5	1.6907952328826793e-5	0	0	0	0
HDL	META	AFR	1	73	6447	1.0037643323447838	5500	4862.45042777061	0.025528743884643466	7.595441994353458e-5	7.59192875171919e-5	1.3303903265259431e-5	7.246456858106148e-5	2.8947329286216318e-5	0	0	0	0
HDL	META	AFR	1	74	6189	1.0037079953517605	5500	4512.18873214722	0.07496823553981313	1.0176982062944127e-4	1.0217203919810397e-4	1.8579598243310497e-5	1.0212754168229214e-4	4.284501858985741e-5	0	0	0	0
HDL	META	AFR	1	75	7792	1.003154151978102	5500	4638.35587215424	0.03703794211579499	6.631281763603044e-5	6.576956168004982e-5	1.0603463985378794e-5	6.325891035317537e-5	2.3570362322762985e-5	0	0	0	0
HDL	META	AFR	1	76	4017	1.0031885155049391	5500	1966.72270679474	0.02053952946103959	3.0111891388953654e-5	2.9792227537143145e-5	6.67907125309067e-6	2.8277312571270994e-5	1.4507225106681217e-5	0	0	0	0
HDL	META	AFR	1	80	2382	1.0024625447712603	5500	351.797950267792	0.01861129901438937	3.0315499447036778e-5	2.9508173748924247e-5	8.602299161251527e-6	2.615592149715474e-5	1.6190922161451474e-5	0	0	0	0
HDL	META	AFR	1	85	2008	1.002572589261521	5500	261.034780263901	0.010613942045995613	4.203641277907636e-5	4.15005168634325e-5	1.289235285245957e-5	3.747434903090974e-5	2.33353505722732e-5	0	0	0	0
