pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	META	EAS	1	1	79	1.00104062959694	5500	1.62797522544861	9.942798363014175e-4	9.999999999999993e-7	9.71923953102105e-7	1.4883949646138185e-6	6.865407543005737e-7	2.083368343535917e-6	0	0	0	0
HDL	META	EAS	1	2	125	1.001388176063863	5500	2.70890498161316	0.004210251072162536	6.159336578029383e-6	6.5840487292456066e-6	8.09155728141655e-6	5.788945041651041e-6	1.1072200658770983e-5	0	0	0	0
HDL	META	EAS	1	3	185	1.0023148246062814	5500	4.51323652267456	0.010661723218447855	5.84716288771459e-5	7.022647904519457e-5	6.022347049677277e-5	5.505932005711711e-5	4.437531770061429e-5	0	0	0	0
HDL	META	EAS	1	5	706	1.0023720585393152	5500	58.8167114257812	0.010849047710292345	4.987798547143691e-6	4.9471503613726094e-6	2.595541166203249e-6	4.60861173231721e-6	5.308528696517849e-6	0	0	0	0
HDL	META	EAS	1	15	1491	1.0023348565273416	5500	319.640465736389	0.010048856611559168	4.3026059113310964e-5	4.228610682010112e-5	1.5475456336123105e-5	3.583119518367684e-5	2.5811211984388343e-5	0	0	0	0
HDL	META	EAS	1	17	1897	1.0022589001936266	5500	223.837555646896	0.015714893254995876	5.023048235299936e-5	4.82424163416117e-5	1.5668477276472667e-5	4.0591705828601395e-5	2.528522835343116e-5	0	0	0	0
HDL	META	EAS	1	18	764	1.0021172230967736	5500	48.2908766269684	0.013338143758386873	6.618490940390499e-5	6.623177904798463e-5	3.2817642351844426e-5	6.214958229237265e-5	4.842929610741173e-5	0	0	0	0
HDL	META	EAS	1	19	1408	1.0032674352579116	5500	216.96053814888	0.11873671004478648	4.336194090603005e-5	4.3682647745838696e-5	1.6102666910097374e-5	3.824893762784258e-5	2.778781162983406e-5	0	0	0	0
HDL	META	EAS	1	21	1162	1.0022815169517962	5500	215.055020570755	0.01286650187847282	5.020939530542015e-5	4.9905721472198496e-5	2.0494585841757014e-5	4.315331340445986e-5	3.100433315731861e-5	0	0	0	0
HDL	META	EAS	1	23	687	1.0024322844154516	5500	32.205007314682	0.011688358358691583	4.1444989020686046e-5	4.069719855078493e-5	2.1973702852171027e-5	3.416063563503976e-5	2.9381840912221955e-5	0	0	0	0
