pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
HDL	UKBB	EAS	1	1	79	1.0008042878711452	5500	1.17673063278198	0.0016691614133545266	3.949274289372978e-6	4.092332046768932e-6	6.451308678687265e-6	3.5798047143525342e-6	1.0221884083105303e-5	0	0	0	0
HDL	UKBB	EAS	1	2	125	1.0015270596610624	5500	2.55876898765564	0.001173384429043391	7.19851677344997e-6	7.3427704121758365e-6	9.242963148595378e-6	6.1378367037527994e-6	1.4254366624038102e-5	0	0	0	0
HDL	UKBB	EAS	1	3	185	1.0016578629752668	5500	3.32660126686096	6.803325816023631e-4	1.983040770681067e-5	2.0347921290823744e-5	2.081820446146423e-5	1.53802806081247e-5	2.8340790493195458e-5	0	0	0	0
HDL	UKBB	EAS	1	5	706	1.0016870712136252	5500	40.6466257572174	0.0013505042792727635	5.725779303468221e-5	5.7660163487461416e-5	3.0743814356292964e-5	4.785519051919964e-5	5.299168264881174e-5	0	0	0	0
HDL	UKBB	EAS	1	15	1491	1.00233836512386	5500	212.16800236702	0.0035087750662229356	9.517977985289123e-5	9.458164186647529e-5	3.474279660039172e-5	8.507381780342088e-5	6.706857497166636e-5	0	0	0	0
HDL	UKBB	EAS	1	17	1897	1.0030674079939628	5500	364.964823961258	0.14865910795549553	8.044279898124283e-5	8.013930822807807e-5	2.6057744042490632e-5	7.791930851982564e-5	5.589406472531268e-5	0	0	0	0
HDL	UKBB	EAS	1	18	764	1.0018595633431102	5500	48.6761763095856	0.230257104762851	5.406550930847984e-5	5.4906920577021445e-5	2.7961111872529167e-5	4.8086332522398654e-5	4.895734690471163e-5	0	0	0	0
HDL	UKBB	EAS	1	19	1408	1.00215626669406	5500	191.343642234802	0.0033825028433110975	8.458299456910924e-5	8.382820484937546e-5	3.1467637220779854e-5	7.763255623829488e-5	6.301180917160194e-5	0	0	0	0
HDL	UKBB	EAS	1	21	1162	1.0019476522420487	5500	126.267090320587	0.1670940901786826	6.533124294270988e-5	6.547998644849223e-5	2.747748718610538e-5	6.037378466830176e-5	5.362585159548335e-5	0	0	0	0
HDL	UKBB	EAS	1	23	687	1.0024102369606158	5500	40.9921851158142	0.0035077642089290824	3.8777123617624056e-5	3.876898455473761e-5	2.0108221398848874e-5	3.332313647548336e-5	3.552497448260807e-5	0	0	0	0
HDL	UKBB	EAS	1	24	410	1.001844032987241	5500	11.3513593673706	0.24766780476714678	2.118491801200935e-5	2.1446206232483477e-5	1.5164756357966068e-5	1.861889263285424e-5	2.5020594205737035e-5	0	0	0	0
HDL	UKBB	EAS	1	35	1503	1.0019162665209347	5500	219.912118196487	0.004273237223836327	7.725404848549415e-5	7.733075131713769e-5	2.8455878230857813e-5	7.255640487054929e-5	5.7071946123790014e-5	0	0	0	0
HDL	UKBB	EAS	1	40	763	1.0020721483855837	5500	46.2396965026855	0.11238917806110149	4.861504940968048e-5	4.8801963636057196e-5	2.4240962921630427e-5	4.234163691058846e-5	4.369090419320055e-5	0	0	0	0
HDL	UKBB	EAS	1	43	434	1.0016533773466012	5500	9.97185254096985	0.022102441425293495	5.3173856009205136e-5	5.1421520717861124e-5	3.616382703476193e-5	3.7965484586521124e-5	4.8180857214775985e-5	0	0	0	0
HDL	UKBB	EAS	1	44	461	1.002174592334224	5500	11.0467135906219	0.002107035024423476	1.904659129953994e-5	1.901563584734174e-5	1.2511263738861492e-5	1.693935361671447e-5	2.194048568372891e-5	0	0	0	0
HDL	UKBB	EAS	1	46	1305	1.001764813896121	5500	157.164212465286	0.004153247900995214	7.125800211502041e-5	7.06328446047496e-5	2.8343403936439398e-5	6.330294016664446e-5	5.009772469035952e-5	0	0	0	0
HDL	UKBB	EAS	1	48	670	1.0019026104581026	5500	34.4833648204803	9.324729323455504e-4	3.306211112111446e-5	3.3240159253228626e-5	1.7927659378947774e-5	2.824692158939912e-5	2.9815653340406808e-5	0	0	0	0
HDL	UKBB	EAS	1	49	467	1.0016720735367621	5500	12.3321952819824	0.0016925369890075886	9.853131815511425e-6	9.765168967721393e-6	6.362044512405865e-6	9.546793626054991e-6	1.3395754627640142e-5	0	0	0	0
HDL	UKBB	EAS	1	50	975	1.0017202694103908	5500	89.2344291210175	0.0020638979971208155	5.430595782673547e-5	5.434390099133062e-5	2.4475149636610993e-5	4.845328970392656e-5	4.5519551546932274e-5	0	0	0	0
HDL	UKBB	EAS	1	51	593	1.0013135523810983	5500	18.032837629318198	0.0011280338294583341	2.9655466002249548e-5	2.96744533660928e-5	1.777144407259955e-5	2.55186190673018e-5	2.944134437894688e-5	0	0	0	0
HDL	UKBB	EAS	1	52	1588	1.0023053495604433	5500	235.831943750381	0.00577637081040563	7.62685586497921e-5	7.571236531803995e-5	2.6068947714498965e-5	7.02477045793764e-5	5.326059050819421e-5	0	0	0	0
HDL	UKBB	EAS	1	53	1255	1.0019234754694153	5500	155.768473863602	0.0032880609817793715	8.11406787205309e-5	8.085817638182432e-5	3.24698076938933e-5	7.6287171765294e-5	7.160108489391413e-5	0	0	0	0
HDL	UKBB	EAS	1	57	1409	1.0020375821090186	5500	188.642828702927	0.0021969229687810394	7.535788933217186e-5	7.548115137705556e-5	2.835652372909795e-5	7.021015672690301e-5	5.723886496576914e-5	0	0	0	0
HDL	UKBB	EAS	1	63	1603	1.0022674736297228	5500	256.294105291367	0.0037224139594184613	5.2934042585291276e-5	5.352617379096467e-5	1.8587186668772826e-5	5.030075987941102e-5	3.897998436133435e-5	0	0	0	0
HDL	UKBB	EAS	1	70	1467	1.0023444318552706	5500	205.555098056793	0.0062150935479717275	7.173141158429736e-5	7.122341206539701e-5	2.699982882882857e-5	6.654463106345509e-5	5.355780014105542e-5	0	0	0	0
HDL	UKBB	EAS	1	71	1609	1.001813010507451	5500	243.535309314728	0.005227554523468193	8.183263738763613e-5	8.135024577088437e-5	2.8544158494565037e-5	7.480213138501736e-5	5.8156081757381766e-5	0	0	0	0
HDL	UKBB	EAS	1	73	1742	1.0026096108836369	5500	276.014493227005	0.0030878200613402287	8.319712084397186e-5	8.260372189799485e-5	2.8122000308849466e-5	7.94047347299429e-5	6.248287596220791e-5	0	0	0	0
