pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	AFR	1	2	1472	1.0019655417328257	5500	101.829451322556	0.013382516320364203	5.1797540197761766e-5	4.973550466277532e-5	1.8087405242013118e-5	4.136092843433177e-5	2.8755720497349203e-5	0	0	0	0
LDL	META	AFR	1	4	1992	1.0023039592462513	5500	158.915872812271	0.019185062229484382	5.029463527404447e-5	4.8848171371908286e-5	1.551299776567618e-5	4.349001923417117e-5	2.7932308271808586e-5	0	0	0	0
LDL	META	AFR	1	17	6619	1.0027202887298239	5500	2296.81635403633	0.027734729809876787	1.0352866586887306e-4	1.045379948843085e-4	1.8231638705860413e-5	1.05488849491458e-4	4.279271507278526e-5	0	0	0	0
LDL	META	AFR	1	19	5388	1.0028060360210242	5500	1481.39865207672	0.03298291383769175	9.019769097510186e-5	8.969297286564442e-5	1.7104972267049176e-5	8.566884182142571e-5	3.6143039763617566e-5	0	0	0	0
LDL	META	AFR	1	23	1856	1.0024972225386144	5500	158.681806087494	0.013999480407086404	1.7182694816898755e-5	1.6805213616448778e-5	5.69877311022464e-6	1.521610069888323e-5	1.065912191275894e-5	0	0	0	0
LDL	META	AFR	1	35	6558	1.003584008542879	5500	2257.81779789925	0.06774729722122852	1.072323585107077e-4	1.0757990533364363e-4	1.843013361724207e-5	1.0714888384806323e-4	4.461425680654721e-5	0	0	0	0
LDL	META	AFR	1	40	2184	1.002485508275519	5500	248.061223745346	0.010680025736071163	3.304789896876736e-5	3.238199764723986e-5	9.890570267794943e-6	2.902250056967211e-5	1.8155156014391132e-5	0	0	0	0
LDL	META	AFR	1	48	2575	1.0032872844302025	5500	306.9938621521	0.019738270868789033	8.63842305472779e-5	8.616230694263196e-5	2.3524850563500573e-5	8.088120800159343e-5	4.33976793025566e-5	0	0	0	0
LDL	META	AFR	1	49	2481	1.0026801353501567	5500	289.728773355484	0.022496423246111483	4.950860846243606e-5	4.812388258926006e-5	1.3566099023608126e-5	4.3233842312932515e-5	2.4978120810482254e-5	0	0	0	0
LDL	META	AFR	1	51	2317	1.0026781392614046	5500	249.793367624283	0.06245493805291624	8.529235015480121e-5	8.5982785154195e-5	2.517507003463656e-5	8.45272428588355e-5	4.847655161270493e-5	0	0	0	0
LDL	META	AFR	1	52	6619	1.0033495086158049	5500	2329.4685959816	0.029144219557977347	9.776737067033926e-5	9.697460509583571e-5	1.6663125801663824e-5	9.238977074108066e-5	3.733888675015509e-5	0	0	0	0
LDL	META	AFR	1	53	5723	1.0026765976568937	5500	1645.42304992676	0.02511579158693972	9.209807896379623e-5	9.121541805238835e-5	1.680125244751899e-5	8.753509522008665e-5	4.017674430555154e-5	0	0	0	0
LDL	META	AFR	1	58	6819	1.0031295907159345	5500	2476.75146770477	0.040769389555154856	9.420251943674134e-5	9.404742202261067e-5	1.5931255935664047e-5	9.092943230879099e-5	3.391023866870368e-5	0	0	0	0
LDL	META	AFR	1	70	4511	1.0026209932286962	5500	1016.10944366455	0.03140922460746655	5.564913176306154e-5	5.4504353390014604e-5	1.1565167447524835e-5	5.08107463203695e-5	2.3749510467698746e-5	0	0	0	0
LDL	META	AFR	1	73	6384	1.0031120665695192	5500	2356.42703437805	0.021736316769151606	1.5532413545203216e-4	1.548011146972122e-4	2.684772664038016e-5	1.571312435917452e-4	6.283732067655863e-5	0	0	0	0
LDL	META	AFR	1	75	7752	1.0033541157369452	5500	3424.65210795403	0.08988054174777482	1.18175604432184e-4	1.1887433716692452e-4	1.9105194834454374e-5	1.2333716676464962e-4	4.6137023229015156e-5	0	0	0	0
LDL	META	AFR	1	76	3972	1.004259373126967	5500	817.968097925186	0.1688992648077312	3.9262214748276767e-4	3.9664524236765627e-4	8.328557650039893e-5	4.1662914064398844e-4	1.403033792040467e-4	0	0	0	0
