pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	EAS	1	2	92	1.001265245751584	5500	2.16129803657532	0.0037668229047665164	1.794345109046783e-6	1.6835744461949132e-6	2.5113919567901693e-6	1.4577112259383609e-6	4.46059021918851e-6	0	0	0	0
LDL	META	EAS	1	4	410	1.0016155584185316	5500	12.4202516078949	0.059927288001800694	2.2106959217894443e-5	2.1859562476234062e-5	1.4978056640879427e-5	1.8741288366566817e-5	2.2554249856003628e-5	0	0	0	0
LDL	META	EAS	1	17	1895	1.0017926989728905	5500	368.333868026733	0.01737979090742891	1.3279616196735406e-5	1.2952823567274652e-5	4.224783721014772e-6	1.21284075686382e-5	9.12598787704468e-6	0	0	0	0
LDL	META	EAS	1	19	1293	1.0023048551797136	5500	168.770762443542	0.011312040252035456	3.484641107130516e-5	3.4403931509334405e-5	1.3317440241745854e-5	3.027734265987778e-5	2.339861821971483e-5	0	0	0	0
LDL	META	EAS	1	23	619	1.001890457543463	5500	25.117139339447	0.005985409646014123	2.1288205557462646e-5	2.1371964513760068e-5	1.2237750564579365e-5	2.0062220230776004e-5	2.064154176363097e-5	0	0	0	0
LDL	META	EAS	1	35	1520	1.007440781737264	5500	343.047795295715	0.19348676759988992	2.3334236696389887e-4	2.399228158378792e-4	8.060045487936178e-5	2.4105642186172488e-4	1.1536335335513806e-4	0	0	0	0
LDL	META	EAS	1	40	795	1.002390702343109	5500	53.2330892086029	0.00986086175893829	7.171495452484603e-6	7.075605397800566e-6	3.625587430210229e-6	6.478846557546261e-6	6.8861693068852245e-6	0	0	0	0
LDL	META	EAS	1	48	696	1.001411092519194	5500	25.5156395435333	0.006660106810298935	9.503566072605523e-6	9.307867828615325e-6	5.0124716369342705e-6	8.318029895844253e-6	9.6346126329909e-6	0	0	0	0
LDL	META	EAS	1	49	435	1.0019624917037577	5500	13.7511694431305	0.007986020719007843	1.9878132896940513e-6	1.944003957431306e-6	1.3047939789436588e-6	1.7551131671298177e-6	2.6211372582083706e-6	0	0	0	0
LDL	META	EAS	1	51	609	1.0066877383382584	5500	16.6902878284454	0.306702700994842	3.7626885608654597e-4	3.9396743095209227e-4	1.9701194583286724e-4	3.7910985160742876e-4	1.4410053198385574e-4	0	0	1	67
LDL	META	EAS	1	52	1510	1.002465078000767	5500	159.470021486282	0.010700755844483966	9.597192441097597e-5	9.527846741535752e-5	3.429220225799972e-5	8.39792474498674e-5	5.4512696033952245e-5	0	0	0	0
LDL	META	EAS	1	53	1301	1.001975142409442	5500	170.012143611908	0.005281656382662388	1.623466895779168e-5	1.593297964075242e-5	6.28956370662016e-6	1.4023308943569318e-5	1.2236893859200957e-5	0	0	0	0
LDL	META	EAS	1	58	1568	1.0027451092799617	5500	213.679597377777	0.03550939902583594	4.540273717877404e-5	4.531554860422029e-5	1.5842623283473287e-5	4.008794419689898e-5	2.810784015686377e-5	0	0	0	0
LDL	META	EAS	1	70	1504	1.0020289922732808	5500	352.413070201874	0.015348380506657731	2.1422363332978022e-5	2.08476159434704e-5	7.453052290721629e-6	1.8738268069681185e-5	1.501706094744645e-5	0	0	0	0
LDL	META	EAS	1	73	1804	1.0026788975780865	5500	213.111636161804	0.16739401279263944	1.1444573358061351e-4	1.1386633510546644e-4	3.649206770199054e-5	1.0923322778709523e-4	6.49790680144331e-5	0	0	0	0
LDL	META	EAS	1	75	2597	1.0042950757484201	5500	919.343113422394	0.8451135157991712	3.149946482995797e-4	3.2502329529379714e-4	8.43142358047134e-5	3.106468327041338e-4	1.2459881660877974e-4	0	0	0	0
LDL	META	EAS	1	76	1430	1.0018957225656573	5500	184.334248542786	0.01162592222189852	4.078530548171086e-5	3.989491207419316e-5	1.4630831519618511e-5	3.45939274766763e-5	2.74685756004101e-5	0	0	0	0
LDL	META	EAS	1	78	852	1.0034852463789874	5500	58.0517933368683	0.4960229888522161	6.24416465426616e-5	6.376779887534485e-5	3.06738851740376e-5	5.7967448401658105e-5	4.6453752566516026e-5	0	0	0	0
