pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	META	EUR	1	2	820	1.0085297761289618	5500	25.0502672195435	0.20754281316112366	2.612670981973853e-5	2.8792859367287192e-5	1.1907319667859643e-5	2.6184815016363072e-5	1.0027280609244792e-5	0	0	0	0
LDL	META	EUR	1	4	1277	1.0069259025704784	5500	123.624400377274	1.661005135313264	8.38857960533068e-5	9.340187702808729e-5	3.063346642333749e-5	8.664753142050398e-5	2.020152250101644e-5	0	0	1	6
LDL	META	EUR	1	17	3343	1.0063047907387792	5500	1440.51445245743	0.09086867830034984	2.7665182863990477e-5	2.7740539732594117e-5	6.293790788287148e-6	2.7650403762111488e-5	9.67488417238235e-6	0	0	0	0
LDL	META	EUR	1	19	2679	1.0074404237908667	5500	462.28443813324	1.0390822930266386	5.032300326228005e-5	5.139718240168405e-5	1.2910155378313562e-5	5.071693303580006e-5	1.4350780789087573e-5	0	0	0	0
LDL	META	EUR	1	23	994	1.0122915910322126	5500	69.7088189125061	1.0898140889236534	3.097487867417921e-5	3.3272262048386804e-5	1.2792879642619728e-5	3.2025162685043245e-5	1.1297405359926447e-5	0	0	0	0
LDL	META	EUR	1	35	3121	1.0119978506358727	5500	609.68781042099	1.6016226747517641	1.8686691639916206e-4	1.7372945402923277e-4	4.0768994343774535e-5	1.8626894254967965e-4	2.8095087729223254e-5	0	1	2	28
LDL	META	EUR	1	40	1268	1.0141977675174574	5500	119.022794246674	0.11736482747134036	4.900343339679513e-5	4.7945520955097057e-5	1.6954351442449612e-5	5.1080248597724965e-5	1.3764568152964078e-5	0	0	1	10
LDL	META	EUR	1	48	1233	1.024798328221628	5500	109.121236085892	3.4115031534892504	1.2743979509993492e-4	1.4926789157412092e-4	4.834908923758194e-5	1.3369087846971196e-4	2.4649127637070886e-5	0	0	3	69
LDL	META	EUR	1	49	1066	1.0095142436273445	5500	53.6132349967957	0.1197164516112712	2.5777709839551254e-5	2.854953520206909e-5	1.1033678209155917e-5	2.5065089702849384e-5	1.0575807452987673e-5	0	0	0	0
LDL	META	EUR	1	51	1253	1.045599461528261	5500	70.9315934181213	0.6598581174627429	3.2857785059883343e-4	2.881040478242905e-4	1.0436300919933005e-4	3.2742578122226613e-4	3.620016050272626e-5	0	0	2	38
