pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	UKBB	AFR	1	2	1472	1.002424607001977	5500	88.2557771205902	0.12303100578176274	8.25231620710618e-5	8.267015678013512e-5	2.980501480998655e-5	7.759465011471654e-5	6.243314097152679e-5	0	0	0	0
LDL	UKBB	AFR	1	4	1992	1.002384606420708	5500	168.965505361557	6.139776580002044e-4	9.331263781176453e-5	9.327782599554056e-5	2.9887440288869017e-5	9.102300176379732e-5	6.650000280106192e-5	0	0	0	0
LDL	UKBB	AFR	1	17	6619	1.0025918815489197	5500	2312.21735835075	0.003113641103676718	1.1678015510917644e-4	1.1653964982706926e-4	2.0054739634835483e-5	1.1668764950275298e-4	4.976059135132614e-5	0	0	0	0
LDL	UKBB	AFR	1	19	5388	1.0031040239573286	5500	1464.62174582481	0.002076557238678378	1.0564949897063811e-4	1.0617918578161241e-4	2.006125615637561e-5	1.0664847355543281e-4	5.273960095514349e-5	0	0	0	0
LDL	UKBB	AFR	1	23	1856	1.0023086266574348	5500	154.845946550369	6.01755294249233e-4	5.2983883501492104e-5	5.250804961804758e-5	1.696712334385637e-5	5.046404223326111e-5	3.5182212250402275e-5	0	0	0	0
LDL	UKBB	AFR	1	35	6558	1.002171407105538	5500	2230.01674556732	0.05940555929545477	9.268982114524234e-5	9.266417166031864e-5	1.6250778601778383e-5	9.240055098645054e-5	3.982127517941594e-5	0	0	0	0
LDL	UKBB	AFR	1	40	2184	1.0028848472428245	5500	186.988747596741	7.524792684446634e-4	8.844150513856827e-5	8.85272082675646e-5	2.7379775466010734e-5	8.535586189970072e-5	5.7221835922163845e-5	0	0	0	0
LDL	UKBB	AFR	1	48	2575	1.0022741105171362	5500	292.445528030396	9.294036838917644e-4	1.0656569848137705e-4	1.066836295974206e-4	2.9844502949432838e-5	1.0348825858656939e-4	6.59004671990765e-5	0	0	0	0
LDL	UKBB	AFR	1	49	2481	1.0019805353138227	5500	288.97145318985	5.8833564505638e-4	7.263697202655801e-5	7.28932073183419e-5	2.0299120629858627e-05	7.123425176206865e-5	4.7244770403256824e-5	0	0	0	0
LDL	UKBB	AFR	1	51	2317	1.0019920117012808	5500	250.565641880035	0.17259124853470764	8.300786267948889e-5	8.32140227961387e-5	2.455178907867757e-5	8.138755847344109e-5	5.4917876101693386e-5	0	0	0	0
LDL	UKBB	AFR	1	52	6619	1.0027575413881997	5500	2408.09819221497	0.29341749700946296	8.904042381944064e-5	8.923225014880159e-5	1.545026671889851e-5	9.008423943459527e-5	4.000087738326566e-5	0	0	0	0
LDL	UKBB	AFR	1	53	5723	1.0052297091202265	5500	1733.73186516762	0.0053295452605148785	8.382443933439367e-5	8.359678578209657e-5	1.5563126969313572e-5	8.353495205763408e-5	3.8221872234611515e-5	0	0	0	0
LDL	UKBB	AFR	1	58	6819	1.003397913395548	5500	2458.00885987282	0.002463341682922785	1.116138430521975e-4	1.1107431326494864e-4	1.8800883773846866e-5	1.1119447656415146e-4	4.725434009055449e-5	0	0	0	0
LDL	UKBB	AFR	1	70	4511	1.0027891334506196	5500	972.514365911484	0.02819401576890801	9.117996010939175e-5	9.050667801410328e-5	1.899921030643035e-5	9.091746440624139e-5	4.7751755674472064e-5	0	0	0	0
LDL	UKBB	AFR	1	73	6384	1.0030061724400363	5500	2148.90936470032	0.04566445995041746	9.671434241924585e-5	9.722272443069746e-5	1.7226439509221173e-5	9.72756189976613e-5	4.415277943133896e-5	0	0	0	0
LDL	UKBB	AFR	1	75	7752	1.002874484097392	5500	3387.75913929939	0.10976492596485654	1.1042488686329218e-4	1.1085118032508178e-4	1.8045003759606993e-5	1.1196916267099808e-4	4.619698342916358e-5	0	0	0	0
LDL	UKBB	AFR	1	76	3972	1.0032117779375513	5500	749.195472240448	0.0011391216667906092	8.801293578320765e-5	8.740337297568033e-5	1.9505389254085064e-5	8.738319801015614e-5	4.8306207891793334e-5	0	0	0	0
LDL	UKBB	AFR	1	78	2455	1.0020139395394303	5500	281.922587156296	0.001683916377842098	9.418863683267425e-5	9.451388513154832e-5	2.670588634703537e-5	9.522367026309594e-5	6.518093904595114e-5	0	0	0	0
LDL	UKBB	AFR	1	80	2349	1.0025457662953574	5500	267.46247625351	0.001090435295157486	1.504860786934278e-4	1.5276138667291646e-4	4.5312030966381744e-5	1.5678701548725292e-4	1.0895845463184619e-4	0	0	0	0
LDL	UKBB	AFR	1	81	1666	1.0027795201044023	5500	127.613556861877	3.84436154972836e-4	7.908904649078282e-5	7.851571313553111e-5	2.6846306089451447e-5	7.401670760993068e-5	5.453998346978477e-5	0	0	0	0
LDL	UKBB	AFR	1	82	3622	1.0020295267652628	5500	612.027744531631	0.0012543860084675339	1.0834223158446185e-4	1.0856134065011813e-4	2.559631680332482e-5	1.0761089862823562e-4	6.052717637548907e-5	0	0	0	0
LDL	UKBB	AFR	1	83	4259	1.00323394679607	5500	893.923666954041	0.001431451582480492	1.0892358183543785e-4	1.0853576097622614e-4	2.335368530726726e-5	1.078869247741238e-4	5.4929080041551466e-5	0	0	0	0
LDL	UKBB	AFR	1	84	6650	1.021640576080192	5500	2260.73465418816	0.624965877548322	0.0309399240681246	0.029142146595773414	0.0046227842214210885	0.030801982495336968	0.004968565453923125	1	2	2	12
LDL	UKBB	AFR	1	85	1976	1.0021340283081444	5500	171.643307924271	0.20362567836033807	1.2170260474250102e-4	1.2044334113874762e-4	3.81322851117505e-5	1.1675669660951416e-4	8.32696041060705e-5	0	0	0	0
LDL	UKBB	AFR	1	88	3502	1.0022342618864004	5500	565.945616722107	0.14296361323001006	1.0110127738737546e-4	1.0227950965636645e-4	2.471828827065105e-5	1.0011911389569951e-4	5.53237600851651e-5	0	0	0	0
LDL	UKBB	AFR	1	89	3798	1.0032637319403452	5500	698.724089384079	0.0012136449080448488	8.885774529742396e-5	8.856451296712596e-5	2.0189823582620985e-5	8.757730959464691e-5	4.715480830557759e-5	0	0	0	0
LDL	UKBB	AFR	1	92	4457	1.00279398216998	5500	958.277097940445	0.015931524979372336	9.830802974896883e-5	9.778357620749511e-5	2.0163554246830956e-5	9.690846042021374e-5	4.9373539709318405e-5	0	0	0	0
LDL	UKBB	AFR	1	94	1059	1.0021902288093234	5500	47.9527747631073	2.716760599689088e-4	6.880991736672043e-5	6.881276510561263e-5	2.9426670244830837e-5	6.097455873769564e-5	5.1551339122596204e-5	0	0	0	0
LDL	UKBB	AFR	1	96	4153	1.0025605185496238	5500	844.052672147751	0.013893009101563658	8.674798682003712e-5	8.667043682131483e-5	1.912075808398775e-5	8.538747263910838e-5	4.458700867678237e-5	0	0	0	0
LDL	UKBB	AFR	1	97	5112	1.0027002469200619	5500	1317.65112996101	0.015485876341126747	0.00010450022397471318	1.0444794060794731e-4	2.051322221707003e-5	1.0496066808587476e-4	5.0994287302022925e-5	0	0	0	0
LDL	UKBB	AFR	1	100	4064	1.002649481834398	5500	807.073290586472	0.00137412520087186	8.932195788241879e-5	8.928857272581681e-5	1.948527194544409e-5	8.853937907868107e-5	4.664620238758009e-5	0	0	0	0
LDL	UKBB	AFR	1	109	5577	1.0026700474328065	5500	1650.2443010807	0.002287530922657219	9.220233460679448e-5	9.194773327475718e-5	1.7319069679402654e-5	9.228280108316056e-5	4.3426392777075554e-5	0	0	0	0
LDL	UKBB	AFR	1	124	6844	1.0027243952595601	5500	2514.39430761337	0.00312299888704886	1.1079748021615981e-4	1.108965454261887e-4	1.8934919270820722e-5	1.1156948923395282e-4	4.724901743407234e-5	0	0	0	0
LDL	UKBB	AFR	1	125	8668	1.0029195257887744	5500	4332.51815271378	0.0036023350342155574	9.585576959731552e-5	9.537020646376582e-5	1.4323106684256898e-5	9.528545273109082e-5	3.5618107449188995e-5	0	0	0	0
LDL	UKBB	AFR	1	136	5068	1.0025139415133033	5500	1319.61797475815	0.0018489066177854402	9.841594231149199e-5	9.844816694768268e-5	1.9624488428167893e-5	9.72691097355728e-5	4.595384532776725e-5	0	0	0	0
LDL	UKBB	AFR	1	138	6689	1.0032564785098532	5500	2401.74335384369	0.07389586121867953	1.0708483884585609e-4	1.0761030010851526e-4	1.8531247388970494e-5	1.1082387137124575e-4	6.294012353925363e-5	0	0	0	0
LDL	UKBB	AFR	1	139	1513	1.0022915512448642	5500	103.087530374527	0.0823408017908045	9.455806638822762e-5	9.44975358284582e-5	3.398450149767331e-5	8.885140321449014e-5	6.885793841438007e-5	0	0	0	0
LDL	UKBB	AFR	1	141	2563	1.0026428703894728	5500	310.76668047905	0.07729323248042097	8.03407402059333e-5	8.01538429008604e-5	2.2417427880266214e-5	7.86099369560872e-5	5.126960861969359e-5	0	0	0	0
LDL	UKBB	AFR	1	145	2809	1.0027342582913974	5500	356.972679615021	0.0015538233178527003	8.315699079280295e-5	8.334186602102098e-5	2.2239519399967746e-5	8.00458317060973e-5	4.7889766675872224e-5	0	0	0	0
LDL	UKBB	AFR	1	147	4581	1.0035110969148897	5500	1040.47853970528	0.0019332807269713283	1.1041453107527717e-4	1.1098338629368576e-4	2.327125518298946e-5	1.1057055508809262e-4	5.594445785899494e-5	0	0	0	0
LDL	UKBB	AFR	1	150	4926	1.0029925838594573	5500	1215.95911288261	0.04937020985306084	1.108588852896488e-4	1.106713635916271e-4	2.288226667833405e-5	1.1107054149178052e-4	5.479857546120493e-5	0	0	0	0
LDL	UKBB	AFR	1	151	6645	1.002620851891988	5500	2437.82841658592	0.03837652241274481	1.1268524973404048e-4	1.12797214010289e-4	1.9903038821146942e-5	1.143781344485956e-4	4.881568585766365e-5	0	0	0	0
LDL	UKBB	AFR	1	154	8722	1.0025025511210055	5500	4276.74115943909	0.0035993176178048597	1.0025444529362617e-4	1.0023396221409364e-4	1.5378777341007692e-5	1.0057926255402399e-4	3.884191759238152e-5	0	0	0	0
LDL	UKBB	AFR	1	158	5387	1.002820403033331	5500	1524.1720199585	0.0026124879799235205	9.784182285103194e-5	9.768368676996215e-5	1.877499205962149e-5	9.544618079629938e-5	4.3785461244744433e-5	0	0	0	0
LDL	UKBB	AFR	1	162	4256	1.0030077308526266	5500	897.239074468613	0.0011952723412044868	9.838779062788256e-5	9.881209640054835e-5	2.1461687922108628e-5	9.723187179151627e-5	4.9705446863480016e-5	0	0	0	0
LDL	UKBB	AFR	1	163	3284	1.0024341450281975	5500	533.733387708664	0.05896800647341682	1.0325815093675762e-4	1.0432350620358919e-4	2.61517391175138e-5	1.0570511141335721e-4	6.57343101189667e-5	0	0	0	0
LDL	UKBB	AFR	1	168	5337	1.0027509638979395	5500	1521.69798946381	0.002482386113877847	1.0755769485825641e-4	1.0742724971789084e-4	2.0647346579662363e-5	1.0786257103224046e-4	5.1492723964467376e-5	0	0	0	0
LDL	UKBB	AFR	1	169	7103	1.003220801682729	5500	2699.84472227097	0.032190665889611836	9.648412251792994e-5	9.592757369396782e-5	1.5729353048235474e-5	9.71292052121312e-5	4.157936304231383e-5	0	0	0	0
