pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	UKBB	EAS	1	2	92	1.0010629991786688	5500	1.7700343132019	0.0013786640088421778	1.0553611778027992e-5	1.0271116772708333e-5	1.4827584073029232e-5	6.63175674977345e-6	1.4797218725582208e-5	0	0	0	0
LDL	UKBB	EAS	1	4	410	1.001789307825143	5500	8.43836975097656	0.0014094518532477972	4.351699862097178e-5	4.464343661398782e-5	3.001693326251274e-5	3.3487969010751054e-5	4.076405850778167e-5	0	0	0	0
LDL	UKBB	EAS	1	17	1895	1.002251214983984	5500	287.191769361496	0.032553347999471516	9.268417358658259e-5	9.243114732534978e-5	3.0267533104121987e-5	8.790581141981622e-5	7.02965110525891e-5	0	0	0	0
LDL	UKBB	EAS	1	19	1293	1.0020819383355346	5500	139.670295476913	0.7232146631791312	7.65217549366558e-5	7.690233276177097e-5	2.9823760720173488e-5	7.225335644347858e-5	6.380591773242426e-5	0	0	0	0
LDL	UKBB	EAS	1	23	619	1.002465084880608	5500	20.6905937194824	0.0021084314554958737	3.708643767103276e-5	3.749224235160431e-5	2.156726916826539e-5	3.112054510314571e-5	3.3386906228383285e-5	0	0	0	0
LDL	UKBB	EAS	1	35	1520	1.0020355937515755	5500	189.448380708694	0.005411478459643425	8.492252505753339e-5	8.532020772572875e-5	3.0447207361524075e-5	7.923438093914589e-5	6.328447191667326e-5	0	0	0	0
LDL	UKBB	EAS	1	40	795	1.0020925731453245	5500	55.4626638889313	0.0031780278762157167	2.7936107705195014e-5	2.7874574467002787e-5	1.4302860385525058e-5	2.543696660630732e-5	2.6266697547370857e-5	0	0	0	0
LDL	UKBB	EAS	1	48	696	1.0016506625202968	5500	29.2887160778046	9.885724049980996e-4	4.151799782838459e-5	4.203245243260445e-5	2.2967503439910974e-5	3.5192848579584914e-5	3.807997300464379e-5	0	0	0	0
LDL	UKBB	EAS	1	49	435	1.0016264993377733	5500	9.34113788604736	0.0019627382862120453	2.7743850536851386e-5	2.8256801237066575e-5	1.8674328111308733e-5	2.3841381692425704e-5	2.9010165310479727e-5	0	0	0	0
LDL	UKBB	EAS	1	51	609	1.001576875425006	5500	17.0002498626709	0.7308793650809995	7.456005894287061e-5	7.581573437509797e-5	4.3837971622503314e-5	6.01103628560819e-5	6.74589927403761e-5	0	0	0	0
LDL	UKBB	EAS	1	52	1510	1.0022419241335796	5500	188.811961174011	0.005531690980021913	9.325700709970168e-5	9.281187514603377e-5	3.358466376198355e-5	8.554317067699363e-5	6.818194109272372e-5	0	0	0	0
LDL	UKBB	EAS	1	53	1301	1.002060586999834	5500	146.708502292633	0.0023260412602854473	6.670425650837267e-5	6.616503832293634e-5	2.5163873529666854e-5	5.962542781853487e-5	5.2553045424126696e-5	0	0	0	0
LDL	UKBB	EAS	1	58	1568	1.0015807110368633	5500	194.836552619934	0.0030970444654124314	7.66636671283193e-5	7.563811452443855e-5	2.6539274584645285e-5	6.872639947278109e-5	5.2417377446760814e-5	0	0	0	0
LDL	UKBB	EAS	1	70	1504	1.0018740869036271	5500	183.170452356339	0.005059731609198536	5.7984069843143726e-5	5.802904220993667e-5	2.1726300554751102e-5	5.419216918529219e-5	4.382782219923205e-5	0	0	0	0
LDL	UKBB	EAS	1	73	1804	1.0022304790053387	5500	286.066048145294	0.002414560583205751	7.788203442472708e-5	7.807079310695251e-5	2.6465739759060495e-5	7.568072584774746e-5	5.776401202862604e-5	0	0	0	0
LDL	UKBB	EAS	1	75	2597	1.0026642522557194	5500	598.869956970215	0.009422011384653407	8.695770046433897e-5	8.676537747919588e-5	2.431426042715876e-5	8.453598301565759e-5	5.9267445111787665e-5	0	0	0	0
LDL	UKBB	EAS	1	76	1430	1.002327696882095	5500	165.973845720291	0.003091735732126244	1.0978062345729253e-4	1.1108614755633484e-4	4.2349508978366876e-5	1.0151437645119804e-4	8.142176350766935e-5	0	0	0	0
LDL	UKBB	EAS	1	78	852	1.0023240647825944	5500	58.0915479660034	0.0028178264287465984	5.427441795833545e-5	5.4031399451541185e-5	2.5797519235121462e-5	4.7659506995165006e-5	4.572757567665193e-5	0	0	0	0
LDL	UKBB	EAS	1	80	892	1.002321442005177	5500	71.3744115829468	0.0035958899430835393	3.12282723825535e-5	3.072786226898434e-5	1.4864285285684138e-5	2.7808252208520333e-5	2.8591106193790535e-5	0	0	0	0
LDL	UKBB	EAS	1	81	605	1.0018436302451155	5500	13.8750250339508	0.003143176780005748	4.0533139884800886e-5	4.02714295304007e-5	2.2759578774403224e-5	3.405182095657571e-5	3.7902881362643815e-5	0	0	0	0
LDL	UKBB	EAS	1	82	1017	1.0021519014405158	5500	77.0142149925232	0.0024113465723952015	4.825122148843486e-5	4.827361104832957e-5	2.1572099937019102e-5	4.365872044802384e-5	3.8835465170477804e-5	0	0	0	0
LDL	UKBB	EAS	1	83	1632	1.0024605538659288	5500	217.742125511169	0.04547097709594228	8.503880425400388e-5	8.513983152381943e-5	2.9329258753204173e-5	8.083613531841878e-5	6.206762689378265e-5	0	0	0	0
LDL	UKBB	EAS	1	84	2481	1.0026419375045734	5500	492.274386167526	0.005269556716214327	1.0169081345589987e-4	1.01530257637531e-4	2.8561681181415405e-5	9.735754362203555e-5	6.22105110599329e-5	0	0	0	0
LDL	UKBB	EAS	1	85	957	1.00246544410207	5500	69.0842473506927	0.0025600964093766224	9.191586668924349e-5	9.377205089107663e-5	4.220512018115103e-5	8.12104415446059e-5	7.494526681266042e-5	0	0	0	0
LDL	UKBB	EAS	1	88	1284	1.0020779475261128	5500	134.069721698761	0.002654014890783147	7.31733217357051e-5	7.328539146615649e-5	2.929673033278768e-5	6.634314204121792e-5	5.634935737791276e-5	0	0	0	0
LDL	UKBB	EAS	1	89	1333	1.0019620163846903	5500	150.801167488098	0.0033035010145306292	6.439045825907818e-5	6.443808377739437e-5	2.4946791523161574e-5	5.852063158821666e-5	4.603265134264505e-5	0	0	0	0
LDL	UKBB	EAS	1	92	1463	1.0026283094719675	5500	176.878042221069	0.025246236113570797	8.428089330106547e-5	8.425069293977038e-5	3.153956663042236e-5	8.03886113434666e-5	6.625928382330694e-5	0	0	0	0
LDL	UKBB	EAS	1	94	356	1.0011421865456194	5500	6.48199844360352	0.0018213317122194807	4.028014708118065e-5	3.921821621461368e-5	3.038974416389017e-5	3.0275004681623376e-5	4.113130532920651e-5	0	0	0	0
LDL	UKBB	EAS	1	96	1352	1.0014723364291152	5500	141.99494600296	0.0063588246113730484	9.404017595338567e-5	9.45584329212428e-5	3.681533072252977e-5	9.069259313467425e-5	7.81550370174741e-5	0	0	0	0
LDL	UKBB	EAS	1	97	1582	1.0019907656374667	5500	194.622743606567	0.0032478537322928264	7.239363710551987e-5	7.192034042053351e-5	2.5708867384319133e-5	6.615084101957776e-5	5.167768519737635e-5	0	0	0	0
LDL	UKBB	EAS	1	100	1655	1.0020703086344473	5500	222.453969478607	0.002965851959969775	9.006801336563292e-5	9.084042606454144e-5	3.125776708576895e-5	8.564908072784698e-5	6.55168756318964e-5	0	0	0	0
LDL	UKBB	EAS	1	109	1824	1.0025032980052428	5500	242.484992027283	0.004163856609765785	7.940187399942959e-5	7.950050146047356e-5	2.6143653419384803e-5	7.575460196164633e-5	5.744718453317483e-5	0	0	0	0
LDL	UKBB	EAS	1	124	2070	1.0022366221796422	5500	340.94265627861	0.0052709049812454814	8.794359686596229e-5	8.798084662861851e-5	2.70794808168172e-5	8.392704852933963e-5	5.729438433968305e-5	0	0	0	0
LDL	UKBB	EAS	1	125	2412	1.001969845131826	5500	463.426421642303	0.40427142315296183	1.018991760244547e-4	1.0202528454048622e-4	2.8941124020271154e-5	1.0102009473038556e-4	7.012535459937381e-5	0	0	0	0
LDL	UKBB	EAS	1	136	1303	1.002310227523741	5500	140.278736591339	0.0036865868902034764	8.173744454418271e-5	8.095305791863084e-5	3.171516791604125e-5	7.486196105456965e-5	6.262345922416825e-5	0	0	0	0
LDL	UKBB	EAS	1	138	1601	1.0018104546802635	5500	208.20690536499	0.00691327147177678	8.66328682168167e-5	8.67811658878801e-5	3.0349673360834434e-5	8.195276151052756e-5	6.225342372752326e-5	0	0	0	0
LDL	UKBB	EAS	1	139	433	1.0013482148993993	5500	8.02713871002197	0.001902070525646593	2.9799603203766762e-5	2.986502578662431e-5	1.9727783359047737e-5	2.3726257065792653e-5	2.8617484807815814e-5	0	0	0	0
LDL	UKBB	EAS	1	141	755	1.0013580419074333	5500	52.8639581203461	0.0025372653854127385	3.33702147858912e-5	3.234821238028995e-5	1.696367943688901e-5	2.847566249880468e-5	2.920797999780065e-5	0	0	0	0
LDL	UKBB	EAS	1	145	886	1.0017509963692652	5500	60.8342218399048	0.003083414055713579	6.34771695837447e-5	6.33887158267789e-5	2.9115826284460102e-5	5.5729621860047344e-5	5.0660835318254744e-5	0	0	0	0
LDL	UKBB	EAS	1	147	1273	1.0020171522374846	5500	140.936806678772	0.39607357841200685	6.970845538672702e-5	6.97452897425146e-5	2.702104876443998e-5	6.521206031610569e-5	5.830519867290493e-5	0	0	0	0
LDL	UKBB	EAS	1	150	1707	1.0022268184313712	5500	227.541755199432	0.003304895970974124	7.03179045608711e-5	7.003143263407141e-5	2.3510068007791442e-5	6.829451962188238e-5	5.5857112494877336e-5	0	0	0	0
LDL	UKBB	EAS	1	151	2374	1.003034000710502	5500	435.589856147766	0.00511728787813799	8.365056899216251e-5	8.277383903447733e-5	2.4063702112180786e-5	7.982552575306253e-5	5.299817202912514e-5	0	0	0	0
LDL	UKBB	EAS	1	154	2252	1.0022921546609582	5500	418.136408805847	0.00467953632186127	7.915891879776896e-5	7.903430252042646e-5	2.346331446781934e-5	7.518689119329017e-5	5.103955143490432e-5	0	0	0	0
LDL	UKBB	EAS	1	158	998	1.0017475368461917	5500	99.6428709030151	0.0035075486121107454	4.06550848855954e-5	4.0353393200657585e-5	1.811880779898556e-5	3.5847272222287624e-5	3.4424560541708564e-5	0	0	0	0
LDL	UKBB	EAS	1	162	1177	1.0022661029492128	5500	112.26163315773	0.12717632042370952	7.993544699970949e-5	8.130680573733693e-5	3.3581563615026926e-5	7.375627929003499e-5	6.533378684703011e-5	0	0	0	0
LDL	UKBB	EAS	1	163	1118	1.0020501596410978	5500	107.163046360016	0.003987972215952817	5.799744537277279e-5	5.75945169119398e-5	2.4376810748184396e-5	5.26222133403006e-5	4.7701223577800475e-5	0	0	0	0
LDL	UKBB	EAS	1	168	1737	1.0023299753684292	5500	234.706350564957	0.005068093899602457	9.463712128317335e-5	9.466744988372713e-5	3.2107562511295826e-5	8.70323561870747e-5	6.440247999743297e-5	0	0	0	0
LDL	UKBB	EAS	1	169	2863	1.0021166798374688	5500	672.790065765381	0.007430188792719688	9.960327336567028e-5	9.938937223578615e-5	2.6550637214826787e-5	9.532311676014975e-5	5.704888394480593e-5	0	0	0	0
LDL	UKBB	EAS	1	175	2312	1.0020188498581242	5500	422.68093919754	0.00489104672073393	9.619321248865008e-5	9.541571403871701e-5	2.872606426325203e-5	9.277220547736852e-5	6.413516172005497e-5	0	0	0	0
LDL	UKBB	EAS	1	182	2217	1.0024880408315	5500	395.415245294571	0.006062898712552407	9.160753002225831e-5	9.244649651421546e-5	2.6882537075536064e-5	8.899660362764819e-5	5.958878942218612e-5	0	0	0	0
LDL	UKBB	EAS	1	183	2280	1.002002202847765	5500	479.493881464005	0.03326438492249695	9.182518133174551e-5	9.152072828787297e-5	2.6830506111240915e-5	8.801084399087215e-5	6.258435632810162e-5	0	0	0	0
LDL	UKBB	EAS	1	187	1544	1.0018829362966006	5500	189.957234144211	0.0025925647583731628	9.71285116665971e-5	9.809362143490383e-5	3.515668621617123e-5	9.320067265707765e-5	7.642120547348861e-5	0	0	0	0
LDL	UKBB	EAS	1	188	1910	1.0029668734084745	5500	314.577427148819	0.0776315211451859	9.59937993987288e-5	9.713331150087312e-5	3.1937646132340804e-5	9.766640898549288e-5	7.802966414317671e-5	0	0	0	0
