pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
LDL	UKBB	EUR	1	2	820	1.0024853543523338	5500	26.7797319889069	1.2538807270972918	3.0508683488042683e-5	3.282017599818119e-5	1.4847338429987505e-5	2.898349115697115e-5	1.7943150841471672e-5	0	0	0	0
LDL	UKBB	EUR	1	4	1277	1.0061370312925402	5500	94.2425570487976	0.2926040835338488	4.052619039748034e-5	4.364559944472588e-5	1.578103817084491e-5	4.15207443746754e-5	2.1943164905754077e-5	0	0	0	0
LDL	UKBB	EUR	1	17	3343	1.0032711778660472	5500	610.529319524765	0.38453190676338966	6.189633379715142e-5	6.226382131808534e-5	1.4792805508717936e-5	5.99370559695958e-5	2.296593223743797e-5	0	0	0	0
LDL	UKBB	EUR	1	19	2679	1.008796526539327	5500	464.548132896423	0.32233140843662866	1.748738040138354e-4	1.738863580099636e-4	4.414915540655737e-5	1.7364079501995007e-4	4.31976461955642e-5	0	0	1	5
LDL	UKBB	EUR	1	23	994	1.0058968457344772	5500	46.7869493961334	0	4.450000353616016e-5	4.76411561929988e-5	1.952739297177587e-5	4.4207673981395466e-5	2.1641226166567836e-5	0	0	0	0
LDL	UKBB	EUR	1	35	3121	1.0179458091935323	5500	640.73575758934	0.365459067586251	1.5341685947306997e-4	1.5509192264825836e-4	3.593087375419094e-5	1.537216143222672e-4	4.103999240229045e-5	0	0	1	44
LDL	UKBB	EUR	1	40	1268	1.0032425598562964	5500	81.7389643192291	0.10578396472700957	5.377259411852042e-5	5.7776782005700155e-5	2.1335074042267775e-5	5.3616984285849315e-5	2.637323400035678e-5	0	0	0	0
LDL	UKBB	EUR	1	48	1233	1.0306092889750675	5500	88.1933424472809	2.159161777142363	2.2002080080879723e-4	2.4991065144208495e-4	8.213867975347858e-5	2.1534609330438128e-4	5.9979348139677266e-5	0	1	1	19
LDL	UKBB	EUR	1	49	1066	1.0028287110048861	5500	62.1508772373199	0.48350217865843526	5.332178512090743e-5	5.8972522947797754e-5	2.384294783302402e-5	4.889884999100343e-5	2.4354074915057936e-5	0	0	0	0
LDL	UKBB	EUR	1	51	1253	1.0275160822132448	5500	76.4955995082855	7.652621164099157e-6	4.0788308695011995e-4	3.780534112031794e-4	1.3983944816101237e-4	4.076194403547545e-4	6.758289263846162e-5	0	0	1	22
LDL	UKBB	EUR	1	52	3176	1.0106168239538935	5500	643.453288793564	1.369584314440821	3.203951805128225e-4	3.093006031317463e-4	6.854466111976656e-5	3.33486653907441e-4	6.166623439409973e-5	0	0	3	119
LDL	UKBB	EUR	1	53	3012	1.0033812942186067	5500	512.225584030151	0.4480879429166309	1.0427518049371858e-4	1.0879684823354596e-4	2.563174124582124e-5	1.0020480483826922e-4	3.278009699287444e-5	0	0	0	0
LDL	UKBB	EUR	1	58	3188	1.0045630189407642	5500	661.26186466217	0.1563623320747103	4.674236153695812e-5	4.691337818224195e-5	1.1409758613953364e-5	4.572709371484585e-5	1.9690279936811297e-5	0	0	0	0
LDL	UKBB	EUR	1	70	2543	1.0035886839996115	5500	420.197817325592	0.3131950656203326	6.355374487353805e-5	6.433172514143632e-5	1.739049591921878e-5	5.8582397778595425e-5	2.4434741200219263e-5	0	0	0	0
LDL	UKBB	EUR	1	73	3261	1.0030525722144146	5500	598.280201673508	0.41501717004645045	6.169944443949249e-5	6.287740272870528e-5	1.5376715210607826e-5	5.5169504359070106e-5	2.3197511892839015e-5	0	0	0	0
LDL	UKBB	EUR	1	75	4012	1.0162812670204802	5500	1161.93417286873	0.8930941986829588	2.5152863354207004e-4	2.6456164099522783e-4	5.3308012139249e-5	2.6440595921129806e-4	5.451605725607629e-5	0	0	1	75
LDL	UKBB	EUR	1	76	1869	1.0069599204197184	5500	217.946762800217	0.39050511574603264	7.404080765825424e-5	7.64619027348251e-5	2.344574682799106e-5	6.910609954121887e-5	2.9953146830793105e-5	0	0	0	0
