pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	META	EAS	1	1	81	1.0019286475265854	5500	1.29108166694641	0.22417086373490003	2.2398387576929807e-5	3.585366094754108e-5	4.2870219227283734e-5	2.6998528672613833e-5	3.1928469995397876e-5	0	0	0	0
TC	META	EAS	1	2	130	1.0010238845556934	5500	2.87582635879517	0.004529759090560086	9.999999999999993e-7	9.735363320747758e-7	1.2212922953108765e-6	1.0050442762966712e-6	2.883551143113849e-6	0	0	0	0
TC	META	EAS	1	4	446	1.0018130344315033	5500	10.9853732585907	0.01025950932701892	4.977590902341594e-5	5.1728194656171556e-5	3.182326540002207e-5	4.793163837509363e-5	3.903558531177094e-5	0	0	0	0
TC	META	EAS	1	17	1843	1.0025194126879613	5500	366.322428703308	0.03345023874515185	3.186608146137754e-5	3.055579536858308e-5	1.0131104933085165e-5	2.844974845729308e-5	1.898306240813472e-5	0	0	0	0
TC	META	EAS	1	19	1424	1.0022986811736174	5500	213.584479093552	0.012154478767595676	5.11557506908835e-5	5.15893186003505e-5	1.8693191057135436e-5	4.489861299526099e-5	2.95821398780576e-5	0	0	0	0
TC	META	EAS	1	35	1476	1.0088431193335257	5500	249.991369009018	1.2449189909694067	2.3728459831238037e-4	2.44881922586109e-4	8.165779672750384e-5	2.284224956949567e-4	8.728472325647408e-5	0	0	0	0
TC	META	EAS	1	40	721	1.00199472929244	5500	44.6533541679382	0.0196061456863883	1.3248465082385909e-5	1.2957197826219757e-5	6.731829317770405e-6	1.1968602859075568e-5	1.25184163176821e-5	0	0	0	0
TC	META	EAS	1	48	664	1.0048521264789025	5500	33.397114276886	1.143123859200434	1.2437365397104517e-4	1.4140940339521066e-4	6.522907319135721e-5	1.2080487610445601e-4	6.245071285869525e-5	0	0	0	0
TC	META	EAS	1	49	514	1.0018688764706114	5500	13.4483187198639	0.004725706748382148	4.374807662415588e-6	4.144255704603883e-6	2.6329808269533205e-6	3.3542039537978354e-6	4.327707657155109e-6	0	0	0	0
TC	META	EAS	1	51	582	1.0071953921711112	5500	17.0477411746979	0.46220238779658906	2.0880400925094722e-4	2.2877199726767652e-4	1.2278968404727994e-4	2.0883255320186138e-4	8.230662292213455e-5	0	0	1	71
TC	META	EAS	1	52	1614	1.0025038396429224	5500	268.46311545372	0.011124587852437192	3.204455830960883e-5	3.151467998287662e-5	1.0976981875221406e-5	2.7098365190504837e-5	1.8525622046867635e-5	0	0	0	0
TC	META	EAS	1	53	1238	1.0060298679131012	5500	160.704241752625	0.29068435697052175	1.6197911221831217e-4	1.7402883524351092e-4	6.238363788550681e-5	1.789151356974709e-4	7.52509060983237e-5	0	0	0	0
TC	META	EAS	1	58	1604	1.002863505720239	5500	274.949635744095	0.6223581332191062	5.543600143967487e-5	5.7613327883450885e-5	1.9978033552869112e-5	5.4785926206922544e-5	3.5636657577726844e-5	0	0	0	0
TC	META	EAS	1	67	1285	1.0026157482492979	5500	160.680583715439	0.013464428475857156	3.186241763470347e-5	3.136806123705505e-5	1.2184247820942194e-5	2.807494684650124e-5	2.036389455818528e-5	0	0	0	0
TC	META	EAS	1	70	1434	1.0033139634092714	5500	235.387625694275	0.008562381055418905	5.750816541488127e-5	5.747267738598718e-5	2.1011160391121567e-5	4.890185455008047e-5	3.106935325803855e-5	0	0	0	0
TC	META	EAS	1	73	1710	1.0035155685572288	5500	304.130408763885	0.5981906804558472	7.629431640335902e-5	7.803898659820827e-5	2.5077394435867835e-5	7.275451094299237e-5	4.030654691785848e-5	0	0	0	0
TC	META	EAS	1	74	1519	1.002127213913665	5500	291.210141420364	0.007774927822521446	7.155043975234528e-6	7.004432364110436e-6	2.554977439266127e-6	6.204556509904747e-6	5.118874250619245e-6	0	0	0	0
TC	META	EAS	1	75	2502	1.0033898181753858	5500	716.385531187057	0.7442405205009224	1.6441815396076034e-4	1.708392598020293e-4	4.5325982562131345e-5	1.6700087916644894e-4	6.642828145306822e-5	0	0	0	0
TC	META	EAS	1	76	1364	1.002462963359451	5500	180.982565879822	0.3605500769231995	4.3301074776168714e-5	4.2527482457057264e-5	1.60528000479691e-5	3.720177914874538e-5	2.542332190280841e-5	0	0	0	0
TC	META	EAS	1	80	855	1.0025638738350997	5500	68.0397529602051	0.20893585445949037	2.7468071790697555e-5	2.7516284299150562e-5	1.26950323942414e-5	2.4311277695250822e-5	2.0223544504088735e-5	0	0	0	0
TC	META	EAS	1	81	557	1.0021654444445625	5500	15.464298248291	0.007562149975327823	1.0152781502842107e-5	9.742827836704371e-6	5.918389738986852e-6	7.540038427056086e-6	8.419530245488014e-6	0	0	0	0
TC	META	EAS	1	82	967	1.0016417366643537	5500	105.885728359222	0.007704108627948631	7.1340702242326075e-6	6.964252394527226e-6	3.1472916263345838e-6	6.353282542356591e-6	6.4001973622253824e-6	0	0	0	0
TC	META	EAS	1	83	1594	1.006914149905683	5500	240.780081987381	0.5860022307798012	4.2685799946449277e-4	4.5578199947297513e-4	1.429330951251737e-4	4.269340947893692e-4	1.2967700174110455e-4	0	0	1	22
TC	META	EAS	1	84	2380	1.0709587693347271	5500	544.997875213623	5.494955643058504	0.0030518423687569485	0.0033677698465338014	7.805791140261016e-4	0.003041298810302687	3.6074603906906553e-4	0	0	2	52
TC	META	EAS	1	85	799	1.0049391188699164	5500	63.5287120342255	0.2105386579762405	1.0422165218738346e-4	1.0900118087714544e-4	4.824037453657153e-5	1.0360794554391024e-4	5.7139927455828455e-5	0	0	0	0
TC	META	EAS	1	89	1230	1.0020733041580359	5500	187.074072122574	0.008054516014898169	6.73978277231728e-5	6.703101619556192e-5	2.6305262493252665e-5	5.8722260595208645e-5	4.004000209351224e-5	0	0	0	0
TC	META	EAS	1	92	1453	1.0019481704091278	5500	237.833532810211	0.011670371408998927	1.589767911188343e-5	1.5665112830825632e-5	5.747001881189744e-6	1.3960995480922031e-5	1.0501036098214727e-5	0	0	0	0
TC	META	EAS	1	94	306	1.0041078209365843	5500	9.05351614952087	1.0807696773021354	7.305231096946816e-5	9.079535423057003e-5	6.049631961904228e-5	7.315510106992439e-5	5.26887428731129e-5	0	0	0	0
TC	META	EAS	1	95	317	1.002943098096968	5500	7.80759072303772	0.008626345957661503	6.09018672305872e-6	5.975139284774933e-6	4.709477802517468e-6	4.8335077587312714e-6	7.553969792268593e-6	0	0	0	0
TC	META	EAS	1	96	1287	1.0013801673951592	5500	196.26100230217	0.01085914555769998	1.3272547863357672e-5	1.290955762293613e-5	5.09934755562267e-6	1.1623565124672942e-5	1.0130449015244394e-5	0	0	0	0
TC	META	EAS	1	97	1460	1.0183322301528939	5500	211.119022130966	0.18465930949510123	7.160764430989954e-4	6.64365955755777e-4	2.2637035168020388e-4	6.979196143483219e-4	1.4967847034941267e-4	0	0	1	43
TC	META	EAS	1	100	1545	1.005112282662184	5500	241.402743816376	0.010859777511470489	1.4061506723848653e-4	1.4704957389829573e-4	4.99896203199318e-5	1.4696907955876514e-4	6.725015986484835e-5	0	0	0	0
TC	META	EAS	1	109	1716	1.0152111307515925	5500	303.952954530716	0.26122367059959184	2.4806327770224534e-4	2.5780365760307835e-4	8.146397629413682e-5	2.491451740630508e-4	8.789345633355493e-5	0	0	0	0
TC	META	EAS	1	124	2075	1.0020405466881415	5500	490.770511627197	0.012622072620854258	9.694615345954798e-6	9.523186878816502e-6	3.03054755999612e-6	8.680693964954039e-6	5.845928380906288e-6	0	0	0	0
TC	META	EAS	1	125	2314	1.0113653675886645	5500	561.376611471176	0.795201748538342	4.2305596424819706e-4	4.2201860510071955e-4	1.149473420970291e-4	4.363942264267057e-4	1.1303313605503997e-4	0	0	2	180
TC	META	EAS	1	127	1265	1.0029634729890455	5500	191.069757223129	0.01403358377878661	4.7804346163191615e-05	4.811040799237603e-5	1.8921013251989194e-5	4.212362543377023e-5	2.8517075882567433e-5	0	0	0	0
TC	META	EAS	1	136	1306	1.0022264637946732	5500	200.019816160202	0.027595660783419712	3.1413421329785194e-5	3.146639912523199e-5	1.2237641337053017e-5	3.0256947773585443e-5	2.35733070372803e-5	0	0	0	0
