pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	AFR	1	1	1401	1.0024048657611098	5500	80.6615316867828	1.61082495684198e-4	9.312350619075465e-5	9.504140450834255e-5	3.5765553375478437e-5	9.011143183683358e-5	7.180982651779975e-5	0	0	0	0
TC	UKBB	AFR	1	2	1463	1.0021492339538327	5500	83.5248892307281	5.812031705560424e-4	1.0141695009057663e-4	1.0346634060476492e-4	3.810428687093936e-5	1.0553811317327426e-4	9.161570934761675e-5	0	0	0	0
TC	UKBB	AFR	1	4	1983	1.0032134022265795	5500	160.503191709518	5.152585478447953e-4	9.739898152697507e-5	9.70577116331977e-5	3.066052288296521e-5	9.122439630665383e-5	6.0843825172167954e-5	0	0	0	0
TC	UKBB	AFR	1	17	6673	1.002780291074118	5500	2443.05745720863	0.0031345703093230938	1.1036456993586759e-4	1.0965004417549826e-4	1.915901489662251e-5	1.0938104026410795e-4	4.518133205638856e-5	0	0	0	0
TC	UKBB	AFR	1	19	5446	1.0029796526629975	5500	1519.75427722931	0.043720257588308	9.8465348417788e-5	9.874068453906127e-5	1.9164591516946378e-5	9.830978113417923e-5	4.579921388991189e-5	0	0	0	0
TC	UKBB	AFR	1	35	6606	1.002735824317746	5500	2367.14879107475	0.030903367240814106	9.629864026043658e-5	9.657689151744613e-5	1.6693117785312226e-5	9.713248478933494e-5	4.180034254894549e-5	0	0	0	0
TC	UKBB	AFR	1	40	2215	1.001984475249831	5500	219.299618005753	5.450567159578816e-4	6.51756448812727e-5	6.486077522996945e-5	1.9733524244691903e-5	6.165077588515972e-5	4.054472097378883e-5	0	0	0	0
TC	UKBB	AFR	1	48	2605	1.0023770963077008	5500	305.642806768417	7.426761632785324e-4	9.454751880859786e-5	9.405756385310383e-5	2.5886545836830764e-5	9.103719400007e-5	5.736479356791254e-5	0	0	0	0
TC	UKBB	AFR	1	49	2515	1.0020935016957955	5500	305.012818813324	6.032415611965424e-4	1.0319365321576266e-4	1.0289657646050246e-4	2.9002299709761604e-5	9.852814246243293e-5	6.382268812666028e-5	0	0	0	0
TC	UKBB	AFR	1	51	2339	1.002173237343273	5500	241.476582050323	0.18387958971684726	1.0256138469777419e-4	1.0296044376432291e-4	3.0868966028030596e-5	1.0250259163347584e-4	6.815992929304503e-5	0	0	0	0
