pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TC	UKBB	EUR	1	1	487	1.0028470517544124	5500	9.6293773651123	1.0770653174498084e-5	2.544830219628637e-5	2.6694716262385532e-5	1.4615992044198096e-5	2.4762581582409948e-5	1.6236768225115258e-5	0	0	0	0
TC	UKBB	EUR	1	2	817	1.002619072491548	5500	36.5026760101318	1.0844691475208852	2.152016438013688e-5	2.303321807544538e-5	1.047705486739145e-5	2.0501837932108322e-5	1.372582313534386e-5	0	0	0	0
TC	UKBB	EUR	1	4	1278	1.0025142409486147	5500	107.495634555817	0.23274099295036343	1.6083570670281306e-5	1.6354647735907913e-5	6.380231218805666e-6	1.4936460108290886e-5	1.0235659713321345e-5	0	0	0	0
TC	UKBB	EUR	1	17	3414	1.0045067851606038	5500	891.395488739014	0.18882875424354983	6.679922192383592e-5	6.754890664501347e-5	1.583701804023886e-5	6.497600517503016e-5	2.3713580978614553e-5	0	0	0	0
TC	UKBB	EUR	1	19	2752	1.0046438318977278	5500	500.468372583389	0.7704122433211602	2.484069903968469e-4	2.5361669745017267e-4	6.18408212520573e-5	2.4289139873717353e-4	5.293004712747163e-5	0	0	1	5
TC	UKBB	EUR	1	35	3204	1.0099309236479803	5500	685.799224376678	0.6072962835832167	1.820843146151113e-4	1.8571630584899955e-4	4.421317075814594e-5	1.870485756110263e-4	4.72035910166095e-5	0	0	1	31
TC	UKBB	EUR	1	40	1313	1.0247593048709347	5500	93.9570510387421	0.09484231526787257	6.072269322493371e-5	6.378428278593254e-5	2.2794909708471146e-5	5.835304534354742e-5	2.661172467874732e-5	0	0	0	0
TC	UKBB	EUR	1	48	1269	1.0280651020246239	5500	95.6787779331207	1.6988149228013891	3.1324348098679417e-4	3.7311361423012916e-4	1.1719079696577806e-4	3.2178460387981864e-4	6.766273622163073e-5	0	1	1	8
TC	UKBB	EUR	1	49	1109	1.0060660433743969	5500	71.2976729869843	0.4322284439089963	5.6903507610317475e-5	6.623453462983871e-5	2.524240654558151e-5	6.136996472765787e-5	2.8440781674275355e-5	0	0	0	0
TC	UKBB	EUR	1	51	1273	1.031680320935716	5500	92.0211849212646	0.02541180604994908	4.6174961777178307e-4	4.2382650041150746e-4	1.5114592799400685e-4	4.590579509041459e-4	6.977044649751063e-5	0	0	1	23
TC	UKBB	EUR	1	52	3254	1.0724151243374045	5500	830.25895524025	1.5214006588138664	2.5015564815638377e-4	2.621229352195462e-4	5.860390140143425e-5	2.4700654563625143e-4	5.708204547448926e-5	0	0	3	123
