pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	META	AFR	1	3	820	1.002197043521152	5500	20.2012839317322	0.01344212874943002	1.6057625147038972e-5	1.5477313252414525e-5	7.668042419698573e-6	1.2318242512586438e-5	1.1230801481524838e-5	0	0	0	0
TG	META	AFR	1	4	1984	1.0024193425271575	5500	188.48091173172	0.020197704007257906	3.688765362634816e-5	3.619714340798073e-5	1.1326277326005965e-5	3.2833952896785596e-5	2.1423469407345938e-5	0	0	0	0
TG	META	AFR	1	5	3594	1.0028245647899707	5500	641.161323785782	0.02832849607805717	5.341801723990566e-5	5.2786946369728737e-5	1.258785478504199e-5	4.846677582308428e-5	2.52110247550384e-5	0	0	0	0
TG	META	AFR	1	15	5216	1.0030154588778712	5500	1521.74573278427	0.019835050198586897	4.2755319704804554e-5	4.1866994388006516e-5	8.3292805644354565e-06	3.8153023637747384e-5	1.63433451784722e-5	0	0	0	0
TG	META	AFR	1	17	6602	1.002568171320652	5500	2740.85528087616	0.022117993161411106	3.556445835290455e-5	3.5064038875272984e-5	6.166886496274859e-6	3.3283299212613975e-5	1.3464998895293807e-5	0	0	0	0
TG	META	AFR	1	18	2496	1.0020819638583647	5500	324.43145108223	0.015934271498022977	2.4498435089915622e-5	2.4177530633601176e-5	6.788067257015566e-6	2.281115578562788e-5	1.4838312647538278e-5	0	0	0	0
TG	META	AFR	1	19	5384	1.0032189990622122	5500	1475.20935368538	0.027432942037300224	5.907687300530988e-5	5.804181152423535e-5	1.1506132157004152e-5	5.1969555625179184e-5	2.2006774328081244e-5	0	0	0	0
TG	META	AFR	1	21	3660	1.0026995741545304	5500	746.180732250214	0.0202116382604322	1.6902185501264284e-5	1.675731267675451e-5	3.943577279679666e-6	1.595339495056027e-5	8.476058847301814e-6	0	0	0	0
TG	META	AFR	1	23	1852	1.0027189694483898	5500	150.067901849747	0.010290362305379759	2.7827303215504964e-5	2.7301622171437056e-5	8.938539707265522e-6	2.3450061126076254e-5	1.5922398059872663e-5	0	0	0	0
TG	META	AFR	1	32	1442	1.0024323889179736	5500	95.4168319702148	0.012008808790851228	1.7439847416485884e-5	1.7520253723647383e-5	6.416064656835134e-6	1.6296836691197745e-5	1.2651563274987667e-5	0	0	0	0
TG	META	AFR	1	35	6543	1.0025371737968582	5500	2466.02484250069	0.027036935041202546	6.146293102947624e-5	6.143884990948012e-5	1.0676402958801064e-5	5.8497230347440204e-5	2.242043574729484e-5	0	0	0	0
TG	META	AFR	1	43	1376	1.0024038738527166	5500	78.4610302448273	0.013321945839777354	3.398682576791583e-5	3.3641183509045394e-5	1.2742068115530536e-5	3.077777035656132e-5	2.34647395983488e-5	0	0	0	0
TG	META	AFR	1	48	2576	1.0028991615650322	5500	303.383910894394	0.016201669771356456	4.280602469309024e-5	4.1848175688295065e-5	1.1683181415040134e-5	3.702759385074744e-5	2.1704938247883247e-5	0	0	0	0
TG	META	AFR	1	50	3554	1.0029440638830422	5500	575.048574209213	0.09221488641436593	1.3992491537578262e-4	1.37795258890404e-4	3.1821920025008074e-5	1.3622209088587153e-4	7.449502732240513e-5	0	0	0	0
TG	META	AFR	1	51	2313	1.002575556556631	5500	237.122588157654	0.015436731123424583	8.291183653471161e-5	8.327883061108516e-5	2.424306621184588e-5	8.001260820464113e-5	4.86734840996037e-5	0	0	0	0
TG	META	AFR	1	52	6601	1.0032728479606867	5500	2690.97200632095	0.026742409294329656	5.07129620443425e-5	5.0131264793215815e-5	8.700116816587973e-6	4.793736506331604e-5	1.929204634503361e-5	0	0	0	0
TG	META	AFR	1	53	5709	1.0030861992043005	5500	1945.14841961861	0.02433166976906219	4.1261477780008384e-5	4.10379685553506e-5	7.709621395936262e-6	3.923782718644757e-5	1.6920439574497554e-5	0	0	0	0
TG	META	AFR	1	58	6810	1.002512824696722	5500	2651.98806715012	0.03331263903766907	6.868838312689186e-5	6.830224495129727e-5	1.1453033880314251e-5	6.659699355659641e-5	2.8533179616784265e-5	0	0	0	0
TG	META	AFR	1	63	5211	1.0029510292842447	5500	1360.38464951515	0.06624214166292641	8.701448207146229e-5	8.649984083078159e-5	1.6718784697518872e-5	8.138139326574697e-5	3.5831269171610046e-5	0	0	0	0
TG	META	AFR	1	67	4388	1.0021409413706175	5500	1139.93072390556	0.021053600505806767	2.0185609442197924e-5	1.991188228605665e-5	4.371303765949857e-6	1.8998997999013657e-5	9.535283292589478e-6	0	0	0	0
TG	META	AFR	1	70	4508	1.0030474114112296	5500	1052.06637120247	0.026440288223650934	7.076278770780344e-5	6.95801681588321e-5	1.4833324193471785e-5	6.495001426819049e-5	3.1248980129607985e-5	0	0	0	0
