pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	META	EAS	1	3	156	1.0031942055397725	5500	4.86994218826294	0.008994309482723756	3.5324243921026616e-5	4.1412520716127e-5	4.055723225304807e-5	3.172464610830321e-5	3.771485035504302e-5	0	0	0	0
TG	META	EAS	1	4	407	1.0031127657700367	5500	9.46741509437561	0.008042104020983907	1.6061078043331872e-5	1.6376645140468547e-5	1.1231501509922666e-5	1.4744533387346455e-5	1.8008474174800513e-5	0	0	0	0
TG	META	EAS	1	5	488	1.0014759270454778	5500	15.6551606655121	0.005782392451288109	3.778466540762401e-6	3.586098202997623e-6	2.3762606878800382e-6	3.163158594267047e-6	4.445079744517843e-6	0	0	0	0
TG	META	EAS	1	15	1437	1.003456201385684	5500	325.385026693344	0.007076461715387158	7.478180091751715e-6	7.393573861527214e-6	2.7611709325629406e-6	6.84672985159678e-6	5.966687813067854e-6	0	0	0	0
TG	META	EAS	1	17	1882	1.0026503825621202	5500	375.272349357605	0.014415316355367467	2.2837090767604596e-5	2.2144019381334103e-5	7.279065988324482e-6	1.9773884416108507e-5	1.4330211675141159e-5	0	0	0	0
TG	META	EAS	1	18	790	1.0023734712542938	5500	52.1655592918396	0.009774598002086982	6.676581380861365e-5	6.785439970949587e-5	3.338153200502656e-5	5.93155600487826e-5	4.778621555956137e-5	0	0	0	0
TG	META	EAS	1	19	1298	1.0024949330926047	5500	162.527030944824	0.0127633211707962	2.2708914256446184e-5	2.2678615802983383e-5	8.547964869657309e-6	2.028334482882466e-5	1.6402441459744154e-5	0	0	0	0
TG	META	EAS	1	21	1080	1.0030857520523677	5500	139.6125664711	0.009820236208429492	9.078343178744963e-6	8.978421388920222e-6	3.786810965750403e-6	8.380729289235133e-6	8.637435254726503e-6	0	0	0	0
TG	META	EAS	1	23	620	1.0015468886789272	5500	22.3103694915771	0.007379003578423733	2.1327124837791882e-5	2.1239800351082193e-5	1.1879595817228872e-5	1.7706670330768872e-5	1.811468445190198e-5	0	0	0	0
TG	META	EAS	1	32	511	1.0019507943608208	5500	11.7069892883301	0.015305882011693112	8.859621345433222e-6	8.75599450285387e-6	5.646084831191294e-6	7.387329725894803e-6	9.416365539019099e-6	0	0	0	0
TG	META	EAS	1	35	1512	1.0021172447993536	5500	316.124932050705	0.013479665078778956	1.7317096503105898e-5	1.705539872234585e-5	6.094847910337567e-6	1.5140914602559809e-5	1.1717744010974992e-5	0	0	0	0
TG	META	EAS	1	43	471	1.0015186284639892	5500	12.4713139533997	0.007127950794485721	4.145057727887974e-6	4.107557355139435e-6	2.714854212551876e-6	3.810257608370996e-6	5.079246982425625e-6	0	0	0	0
TG	META	EAS	1	48	691	1.0016676846846428	5500	49.7345397472382	0.005866994690765895	1.369260533608448e-5	1.366287455992763e-5	7.189965928222284e-6	1.1574545495501256e-5	1.2391220629228607e-5	0	0	0	0
TG	META	EAS	1	50	951	1.0023154029397925	5500	95.8370635509491	0.009819791688769447	2.01916783572898e-5	2.047712700602864e-5	9.38953193138687e-6	1.6713693872850203e-5	1.47318319395087e-5	0	0	0	0
TG	META	EAS	1	51	611	1.0020867008578935	5500	21.1021177768707	0.012592251889934052	1.1112383375198866e-5	1.0842692507436702e-5	6.245589536104787e-6	9.679364909467426e-6	1.113862568463126e-5	0	0	0	0
TG	META	EAS	1	52	1510	1.0033512590349483	5500	203.506729602814	0.007731795666196883	2.080735282706471e-5	2.032858257321508e-5	7.387240471437808e-6	1.82740427072681e-5	1.443120694999815e-5	0	0	0	0
TG	META	EAS	1	53	1289	1.002669820418901	5500	168.75737786293	0.10193288190168359	2.750532269597599e-5	2.708033551705178e-5	1.0552034988251666e-5	2.357905966095299e-5	1.885738302197476e-5	0	0	0	0
TG	META	EAS	1	58	1575	1.0024171599617746	5500	301.511130094528	0.011662277422273385	5.134612159538225e-5	5.059974356782677e-5	1.7808021316601834e-5	4.578855749345202e-5	3.211138342136565e-5	0	0	0	0
TG	META	EAS	1	63	1610	1.0066032602223822	5500	281.446626186371	1.7205337299310837	3.3731268827329826e-4	3.454866843184849e-4	1.1165872237066751e-4	3.3562654401089097e-4	1.3275397046989728e-4	0	0	0	0
TG	META	EAS	1	67	1234	1.0021024773150338	5500	136.478931427002	0.011799914390767729	4.830427285096513e-5	4.752453991724064e-5	1.8925642218166033e-5	4.035416309655778e-5	3.069993225371411e-5	0	0	0	0
TG	META	EAS	1	70	1507	1.0023142214128367	5500	245.386871099472	0.14887657323164905	3.210903468224764e-5	3.18616239335455e-5	1.137977075310409e-5	3.026848364934956e-5	2.233521463342272e-5	0	0	0	0
TG	META	EAS	1	71	1654	1.0027684573100224	5500	283.339100122452	0.01196852308361088	1.6162087483205435e-5	1.5886146018078606e-5	5.510245979220892e-6	1.3981735879024602e-5	1.0550123775912267e-5	0	0	0	0
TG	META	EAS	1	83	1626	1.0023149906037052	5500	358.802916765213	0.01051100613771474	2.307198929360315e-5	2.253084049153482e-5	7.784634028361241e-6	1.933527840879803e-5	1.3177511703323739e-5	0	0	0	0
TG	META	EAS	1	85	958	1.0022498304345	5500	86.5282528400421	0.014287088080211069	1.8456607593572393e-5	1.8121034109651845e-5	8.261514969625246e-6	1.5786975570635056e-5	1.4837735012928483e-5	0	0	0	0
TG	META	EAS	1	94	353	1.0015679227196796	5500	8.04599571228027	0.009200097542263216	7.682730100813254e-6	7.31692518428444e-6	5.39597159965614e-6	5.893763252401202e-6	8.74743849073056e-6	0	0	0	0
TG	META	EAS	1	96	1350	1.002169340179068	5500	187.811686992645	0.014324023863687519	3.3764705926570946e-5	3.265429216937867e-5	1.2569949002945581e-5	2.6794094996664175e-5	2.0640461244793846e-5	0	0	0	0
TG	META	EAS	1	97	1570	1.015816029228221	5500	245.260942935944	0.3381392894683679	0.0023887298781942465	0.002275772175221738	7.132935177683004e-4	0.0024355866332827136	3.711874935038488e-4	0	0	1	59
TG	META	EAS	1	100	1650	1.0019967159578642	5500	274.832663297653	0.008882164743549316	3.723854226192743e-5	3.7089194296061814e-5	1.3016470990802796e-5	3.340403648957996e-5	2.3461809382742243e-5	0	0	0	0
TG	META	EAS	1	101	1289	1.0019804272306732	5500	163.26806974411	0.009545466386798747	1.648561411164521e-5	1.6373735706817415e-5	6.537857300826085e-6	1.4854807187845361e-5	1.2788066992028947e-5	0	0	0	0
TG	META	EAS	1	105	3215	1.0021847854978172	5500	1050.77652239799	0.020618843221110517	5.483408808335867e-5	5.4404619871615066e-5	1.3699699374515334e-5	4.8083734599805885e-5	2.5944294311001562e-5	0	0	0	0
