pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	META	EUR	1	3	519	1.0094702970019978	5500	18.9172556400299	0.006543197362801044	2.319175365881993e-5	2.482913894447558e-5	1.297245536088655e-5	2.3262618099760605e-5	9.475350488569796e-6	0	0	0	0
TG	META	EUR	1	4	1272	1.0102399213395523	5500	221.254581212997	0.951146976355091	7.619309250128237e-5	8.523018821826996e-5	2.8032215815334342e-5	7.794511592007377e-5	1.7940972436280152e-5	0	0	0	0
TG	META	EUR	1	5	1955	1.0124585825358825	5500	307.307281255722	0.04737221788683277	3.54410526862713e-5	3.531100135752186e-5	1.027964429789225e-5	3.284104922106082e-5	1.0765165104559552e-5	0	0	1	34
TG	META	EUR	1	15	2722	1.0054024312112797	5500	611.278679609299	0.49726041619185435	3.959303173698371e-5	3.9256796758353296e-5	9.739637786983172e-6	3.7742833870733015e-5	1.1544832504350121e-5	0	0	0	0
TG	META	EUR	1	17	3336	1.0054492108179378	5500	1739.78252959251	0.9019398853429763	4.7891799659912336e-5	5.051270084705348e-5	1.1459358845436001e-5	4.938217962301951e-5	1.4052848935371972e-5	0	0	0	0
TG	META	EUR	1	18	1456	1.00682324164897	5500	241.928879022598	0.2729033876463607	3.068575557966662e-5	3.127277839786335e-5	9.976053771547752e-6	3.130917616509599e-5	1.1130662668627567e-5	0	0	0	0
TG	META	EUR	1	19	2682	1.0081315288648895	5500	1091.70890665054	1.078466947979106	5.3572482301621575e-5	5.5804917388348606e-5	1.3686318013436022e-5	5.1980350296567585e-5	1.5083552595589083e-5	0	0	1	96
TG	META	EUR	1	21	1723	1.0031725089946864	5500	460.515476465225	0.20757597980226028	1.5171324508878017e-5	1.5086852117672222e-5	4.825476322711773e-6	1.628870093853992e-5	8.765903495454872e-6	0	0	0	0
TG	META	EUR	1	23	991	1.0030798338319251	5500	142.968662977219	0.07733832100312332	2.2671988435211925e-5	2.332628941185364e-5	9.442859108129641e-6	2.1420469798257268e-5	8.88103750541133e-6	0	0	0	0
TG	META	EUR	1	32	882	1.0047620552618954	5500	55.8288712501526	0.0027843967173405955	2.531197657003643e-5	2.652823399259141e-5	1.1078646906268838e-5	2.915074727855886e-5	1.1534946958804416e-5	0	1	1	27
TG	META	EUR	1	35	3113	1.0160668051453023	5500	1451.58542990685	0.4792401514221729	8.098394496228657e-5	8.092784324347145e-5	1.913358091301714e-5	8.174479545461148e-5	1.7313530542094013e-5	0	0	1	36
TG	META	EUR	1	43	877	1.0044747038330595	5500	56.9135527610779	0.5243038391084718	1.9496887071538974e-5	2.1375295208752654e-5	8.792153279913649e-6	2.039126269649951e-5	8.99856217352561e-6	0	0	0	0
TG	META	EUR	1	48	1230	1.032546519892762	5500	173.913669109344	1.0019168849260778	1.0185476424997864e-4	1.1416953050294581e-4	3.6958616609232e-5	1.0794209323857786e-4	2.13815759130578e-5	0	0	2	38
TG	META	EUR	1	50	1846	1.004151953679409	5500	494.641560077667	0.12128864768448633	2.858368369656609e-5	3.08420029111333e-5	9.232991323814143e-6	2.787992176252389e-5	1.0572934782071242e-5	0	0	0	0
TG	META	EUR	1	51	1248	1.0100772538595257	5500	214.275009870529	0.26398575499825316	2.9198435946465617e-5	2.988163903018184e-5	1.0705092199975138e-5	2.7850175344901287e-5	1.0416418118842285e-5	0	0	0	0
TG	META	EUR	1	52	3167	1.0158728844225526	5500	818.131170749664	3.9726856170980476	3.58176609335598e-4	3.3420143391793973e-4	7.710610505088267e-5	3.5716298528691207e-4	4.028811084732198e-5	0	0	3	79
TG	META	EUR	1	53	3002	1.0046824120104465	5500	1418.97055196762	0.2133344761955731	3.903988416508153e-5	3.8544242689109656e-5	9.406083724746828e-6	3.881374421247341e-5	1.1645897444184352e-5	0	0	0	0
TG	META	EUR	1	58	3184	1.0288768111170377	5500	832.036964893341	0.7900028108786343	1.0023325508060464e-4	1.0526943088710521e-4	2.274941022329005e-5	9.759876101685473e-5	2.133149229527396e-5	0	0	1	19
TG	META	EUR	1	63	2067	1.0035992252585162	5500	362.259144306183	0.005781550623493655	2.558551953457786e-5	2.6048818914519447e-5	7.5121428713628535e-6	2.476796032395106e-5	9.228897612220706e-6	0	0	0	0
TG	META	EUR	1	67	2444	1.0088360793721418	5500	912.700448989868	0.758261128770122	4.8298839051209856e-5	5.136903300503268e-5	1.3219382620734468e-5	4.5435126638490724e-5	1.3053245764982955e-5	0	0	0	0
TG	META	EUR	1	70	2539	1.0206547170105642	5500	541.31480884552	0.6889723759996973	1.8452822946643093e-4	1.694357128807777e-4	4.223659951003182e-5	1.8635990685847496e-4	2.613351843169691e-5	0	0	2	56
TG	META	EUR	1	71	2477	1.0396998739131078	5500	499.521826982498	0.39044160040441067	9.76057162544724e-5	9.382269431841724e-5	2.4574732936648455e-5	9.568122310471028e-5	2.004104057227131e-5	0	1	1	12
TG	META	EUR	1	83	2364	1.021248244039514	5500	452.770592927933	0.3516285147610323	1.2318988874164026e-4	1.2297540423685863e-4	3.224586681724178e-5	1.2650842191426546e-4	2.3598492021399267e-5	0	1	1	21
TG	META	EUR	1	85	1241	1.0049012979522454	5500	110.625923871994	0.4271435316746848	2.8965802926973374e-5	3.044397634995697e-5	1.0881739450668704e-5	2.808277567145827e-5	1.0535053517961777e-5	0	0	0	0
TG	META	EUR	1	94	672	1.0066783055102437	5500	15.8890340328217	0.6585112298535847	6.424395436298541e-5	6.910763799043398e-5	3.089393535553213e-5	6.653943399061463e-5	1.6201605252550386e-5	0	0	1	20
TG	META	EUR	1	96	2269	1.0208859370400745	5500	419.803549051285	0.9071244181708558	1.5942000497735267e-4	1.7914571841251713e-4	4.4610532742672346e-5	1.5841498344333028e-4	2.944297883052686e-5	0	2	1	7
TG	META	EUR	1	97	2732	1.1272254750848718	5500	608.807184457779	0.16862916665710537	0.002058145798904999	0.0012977576063289498	3.6411627929187125e-4	0.0020402972041192228	8.498743231277594e-5	1	2	3	25
TG	META	EUR	1	100	2126	1.0044615799928303	5500	370.897577285767	0.5737462123363344	3.85416697619887e-5	4.035183346388098e-5	1.1092720122419339e-5	3.722578272227944e-5	1.2426798317250775e-5	0	0	0	0
TG	META	EUR	1	101	2171	1.0039418435289067	5500	766.826830863953	0.002395227056633261	2.092359286506797e-5	2.2003934175677697e-5	6.234854357034371e-6	2.1618867815041106e-5	8.75658303123225e-6	0	0	0	0
TG	META	EUR	1	105	5775	1.0135555336418989	5500	3142.53618359566	0.478060502207174	1.045581832402029e-4	1.0030794484935823e-4	1.7383029291299457e-5	1.0292661759415549e-4	1.9277039821430406e-5	0	0	1	26
TG	META	EUR	1	124	3743	1.016114847396785	5500	1888.37073397636	0.5310298950971386	9.132711664644309e-5	8.616016294388807e-5	1.849075580432719e-5	9.217090557263869e-5	1.8580525778037886e-5	0	0	2	49
TG	META	EUR	1	125	4461	1.01883842903917	5500	2878.35772633553	1.0395405079394346	1.185220717029683e-4	1.1518128775786965e-4	2.2970995481039325e-5	1.2066678094941414e-4	2.150879474042079e-5	0	0	1	11
TG	META	EUR	1	127	2121	1.0026888764085777	5500	365.062445163727	0.22574739870916005	1.8832589445704735e-5	1.8682704395584858e-5	5.447342837815483e-6	1.8169420574475503e-5	7.801727653696577e-6	0	0	0	0
TG	META	EUR	1	129	1453	1.0147824501520495	5500	213.422927856445	0.5094586990902028	7.02408899492548e-5	7.150566641708655e-5	2.348507270671762e-5	7.032248076249952e-5	1.655295782612347e-5	0	0	1	46
TG	META	EUR	1	132	2551	1.0094821211156693	5500	518.712310552597	0.0021133727519310444	4.01673883673639e-5	3.989918077388348e-5	1.0449651480233026e-5	3.963118707244215e-5	1.2404691574108954e-5	0	0	1	73
TG	META	EUR	1	135	3713	1.0026556335524262	5500	2311.49529194832	0.003127005590377991	4.053758847866945e-6	4.024152372254019e-6	9.429769240066302e-7	3.6611881499352e-6	1.8982449696881925e-6	0	0	0	0
TG	META	EUR	1	138	3451	1.0062603765317175	5500	1882.49796652794	0.8988730843590742	9.725476554185511e-5	1.0334439197743394e-4	2.2157754078702792e-5	9.947173372966939e-5	2.0170432411624873e-5	0	0	1	7
TG	META	EUR	1	139	893	1.0082142687077456	5500	61.7987108230591	1.8033478468677697	7.531140325569553e-5	8.788089069769063e-5	3.3313603186958664e-5	7.66099702442919e-5	2.1338386657560277e-5	0	1	0	0
TG	META	EUR	1	143	2200	1.0079112065287874	5500	406.840337514877	0.13220443340683952	3.9218604344021356e-5	3.895563792189185e-5	1.0591666170627204e-5	3.989413256786651e-5	1.2142751046434454e-5	0	0	0	0
TG	META	EUR	1	144	1745	1.0049518128918848	5500	396.774631261826	0.0027831803974779634	2.331085265335092e-5	2.287116295705811e-5	7.230593626011794e-6	2.5623792740218432e-5	9.597243702307373e-6	0	0	1	20
TG	META	EUR	1	150	2617	1.0193389030834359	5500	1112.21382570267	0.42601127245035353	4.6851049676269563e-05	4.713351047831822e-5	1.1728971857874093e-5	4.5747223191526046e-5	1.331092767415961e-5	0	0	0	0
TG	META	EUR	1	154	3923	1.0298056192912328	5500	2100.55491161346	1.042680049774431	1.6368479531791568e-4	1.5374789084647976e-4	3.130323981894786e-5	1.646271872067215e-4	2.469824717439562e-5	0	0	2	42
TG	META	EUR	1	155	1519	1.0076483468688373	5500	359.427292108536	0.002770801293141259	3.345621069552477e-5	3.2884101679674526e-5	1.1079944606252081e-5	3.0295125580684442e-5	1.0809974418188274e-5	0	0	1	6
TG	META	EUR	1	156	2449	1.0218482552158756	5500	913.149264097214	1.5245036972562973	1.5542997518920918e-4	1.5973790326285068e-4	4.004275974532933e-5	1.4986032594419915e-4	2.491378447532972e-5	0	0	1	44
TG	META	EUR	1	158	2612	1.0237165548711427	5500	556.203379869461	1.0056277977856358	1.2241753101247826e-4	1.298169512031341e-4	3.022948225151845e-5	1.1547466600083867e-4	2.3147537668981522e-5	0	1	0	0
TG	META	EUR	1	168	2959	1.0061027469962134	5500	1105.77833080292	0.20764125880785889	5.0270498745395337e-5	4.931850459954874e-5	1.1792760670331495e-5	5.041632904424196e-5	1.3679440112331989e-5	0	0	0	0
TG	META	EUR	1	182	3510	1.0263530025923067	5500	1062.47569179535	1.0192817301840722	1.4217163836645138e-4	1.3341879206225536e-4	2.9663154967410256e-5	1.3919132850854035e-4	2.310001754810573e-5	0	0	3	98
TG	META	EUR	1	183	3675	1.0093817543513244	5500	1948.98270606995	0.26831312681629194	4.596160005492931e-5	4.514241683152087e-5	9.877959336838464e-6	4.334944828468977e-5	1.231909698741796e-5	0	0	1	34
TG	META	EUR	1	184	831	1.0036778743322576	5500	101.906035423279	0.600749955223566	1.0554265606449758e-5	1.089269313515222e-5	4.9765395759275525e-6	9.3016916233105e-6	5.863835235480838e-6	0	0	0	0
TG	META	EUR	1	187	2517	1.0039684795409078	5500	1105.52589488029	0.43631415724856226	3.3254598241817e-5	3.4491204229103036e-5	8.916778727446399e-6	3.3863219289806634e-5	1.09816540288829e-5	0	0	0	0
TG	META	EUR	1	192	2751	1.01201680402317	5500	638.557192564011	0.48416389598064535	4.716575245707014e-5	4.827487859321351e-5	1.2121914178264506e-5	4.595183409025825e-5	1.42644480175469e-5	0	0	0	0
TG	META	EUR	1	193	3137	1.0051757380860082	5500	1196.42003965378	1.4029048666381394	1.3548216872645187e-4	1.2774067062749691e-4	2.955573570883483e-5	1.3134181963056265e-4	2.4205664597175215e-5	1	1	1	1
TG	META	EUR	1	201	2902	1.0039357078708553	5500	711.828320026398	0.2214941013422198	3.76237593443193e-5	3.823208797590789e-5	9.317301902152574e-6	3.700231221568294e-5	1.2113451063141383e-5	0	0	0	0
TG	META	EUR	1	202	2859	1.006723931523604	5500	669.901480197906	0.5985510238189014	5.2183872111842844e-5	5.205589770692063e-5	1.2371865105178873e-5	4.915584076037873e-5	1.4154549428097316e-5	0	0	0	0
TG	META	EUR	1	203	2204	1.0071456767727682	5500	730.890716075897	0.5778847983442816	4.897095073786872e-5	4.930880584481534e-5	1.3347345045840835e-5	4.947702313732833e-5	1.3929186676564015e-5	0	0	0	0
TG	META	EUR	1	207	1679	1.0101406329829652	5500	247.578092098236	0.10515393843074916	2.997886043318005e-5	2.9868851565943743e-5	9.454328148763236e-6	2.982692733928296e-5	1.0464665392911194e-5	0	0	1	23
TG	META	EUR	1	208	1974	1.0081025763240812	5500	309.94516658783	0.6518693718013941	5.310762786706203e-5	5.214980465407306e-5	1.5080433843902375e-5	5.272173675147355e-5	1.4033766559667694e-5	0	0	1	21
TG	META	EUR	1	209	779	1.003092047913601	5500	48.9327561855316	0.4967927669550003	2.2674055268615144e-5	2.558680559123947e-5	1.0970713705694167e-5	2.4547485884333297e-5	1.0206037235692755e-5	0	0	1	32
TG	META	EUR	1	211	1395	1.0148351243405682	5500	170.056761741638	0.7878226116219695	1.0465669351802591e-4	1.0065178853478994e-4	3.2808968616641906e-5	1.0508912299320556e-4	2.0785966585884257e-5	0	0	1	3
TG	META	EUR	1	212	1950	1.004136061111288	5500	328.780348300934	0.8088858922015147	2.633105882608165e-5	2.80308649096745e-5	8.282212307375212e-6	2.6368745949851085e-5	1.0188763701644169e-5	0	0	0	0
TG	META	EUR	1	213	1526	1.0601872653555353	5500	183.494788169861	1.2692737076838916	1.1578524927215576e-4	1.0430067783302497e-4	3.467080468908355e-5	1.139432531747767e-4	2.098601302338359e-5	0	0	2	52
TG	META	EUR	1	214	1369	1.0092919081202452	5500	147.418161869049	0.19476472064243722	2.52637149729811e-5	2.608800475430606e-5	8.750216104612642e-6	2.6211677063915733e-5	9.93855683376552e-6	0	0	0	0
TG	META	EUR	1	217	1339	1.0033817180821183	5500	152.642641067505	0.0693177993162788	8.04032258385058e-6	7.944243213612667e-6	3.0581754655057706e-6	6.901670562258506e-6	4.582981160108101e-6	0	0	0	0
TG	META	EUR	1	219	2355	1.0080769153019866	5500	832.985759019852	0.0025018336610038664	4.017275504953641e-5	3.857553255715771e-5	1.0702826885932576e-5	3.945544512135335e-5	1.1664259646499294e-5	0	0	1	31
TG	META	EUR	1	221	2474	1.017636439693304	5500	614.482890605927	0.267992931522375	7.193910766856047e-5	7.054104853459697e-5	1.7651446248011912e-5	7.168506746112767e-5	1.719585077653242e-5	1	1	1	1
TG	META	EUR	1	226	1266	1.012060400601312	5500	220.498818874359	0.7927126617409244	6.1584492772937e-5	6.981583567938274e-5	2.2942228660630678e-5	6.014335220884917e-5	1.5949970371045367e-5	0	0	1	12
TG	META	EUR	1	228	1385	1.006125770119626	5500	275.337034702301	0.7633438658415779	3.133331006948653e-5	3.466311463716509e-5	1.142266091412821e-5	3.220213553346767e-5	1.1733251714621224e-5	0	0	0	0
TG	META	EUR	1	233	3388	1.1158173525138388	5500	954.166676044464	1.1673748176089167	2.2740188340690984e-4	1.9345902547849767e-4	4.426159831506468e-5	2.2757848589716176e-4	2.8619071658086964e-5	0	0	2	40
TG	META	EUR	1	234	3910	1.0130615473927025	5500	2353.36664104462	2.021829704420901	2.7036140975093175e-4	2.4611353220630014e-4	5.098712803963543e-5	2.6657089568601255e-4	3.4892093344410845e-5	1	2	2	3
TG	META	EUR	1	235	2570	1.008930735378092	5500	570.423713922501	0.2241304556547814	5.2676698533442164e-5	5.358627914920975e-5	1.3358734655948214e-5	5.303589319083869e-5	1.4648999232014078e-5	0	0	1	51
TG	META	EUR	1	238	4970	1.0123807097219217	5500	3575.66880321503	0.18185271825252425	3.298379847548832e-5	3.3188430325735286e-5	6.428255687721992e-6	3.291252307162657e-5	1.1222204420011243e-5	0	0	0	0
TG	META	EUR	1	239	1373	1.0053778014805728	5500	212.133311986923	0.7572546882428424	6.149710498125258e-5	7.157104633816311e-5	2.314941468558931e-5	6.205107411585334e-5	1.6579449197162948e-5	0	0	0	0
TG	META	EUR	1	240	5176	1.0099300036587489	5500	2549.53185033798	0.22592049802403258	5.9121223155163854e-5	5.767456007519678e-5	1.067932910289076e-5	6.0229481004512454e-5	1.4546954865537458e-5	0	0	0	0
TG	META	EUR	1	242	1335	1.0131320935180521	5500	145.260005474091	0.8940557528789512	1.1356208277377466e-4	1.2409751407621832e-4	3.934855823035661e-5	1.1573619972230227e-4	2.3580417483791692e-5	0	1	3	109
TG	META	EUR	1	243	1579	1.0277689916843986	5500	286.017538547516	6.513710794454042	0.00115959937279542	9.699161467044557e-4	3.038460021874084e-4	0.0011486953714266149	7.835258948519488e-5	0	0	2	11
TG	META	EUR	1	244	3302	1.0231240696678678	5500	1324.9031932354	0.8007336993440817	1.150361732172128e-4	1.1240746411802476e-4	2.5420961318785816e-5	1.1535088871750371e-4	2.3294008051804e-5	0	1	1	3
TG	META	EUR	1	248	1887	1.0031611460387075	5500	244.569181919098	0.003396708781845126	1.286013472888326e-5	1.2680506815115655e-5	4.034054127028119e-6	1.212740655173154e-5	6.185681526184443e-6	0	0	0	0
TG	META	EUR	1	252	1273	1.0098045274226162	5500	270.212965011597	1.002366576287414	4.989802350895985e-5	5.1618079529737335e-5	1.8224097732808297e-5	5.392775612232325e-5	1.4810373773090597e-5	0	0	2	43
TG	META	EUR	1	254	2227	1.0247813576111209	5500	750.479501724243	0.24891632716996526	4.54574052618898e-5	4.6303061371963874e-5	1.2543963483954586e-5	4.531216183518651e-5	1.3528815781186855e-5	0	0	1	13
TG	META	EUR	1	255	1245	1.0040384026900193	5500	125.931010007858	0.29769527094263415	3.1244896012684656e-5	3.3098834643514175e-5	1.1968862304404164e-5	3.0244095192964053e-5	1.1033797622312209e-5	0	0	0	0
TG	META	EUR	1	257	1437	1.0068343709139105	5500	290.510601043701	0.08785734901223496	1.8254256848398966e-5	1.837148108834903e-5	6.340999206153034e-6	1.794845668182706e-5	7.87796205493725e-6	0	0	1	64
TG	META	EUR	1	264	1577	1.003560410815465	5500	230.970807790756	0.0016132951256065562	7.3920088457321926e-6	7.464369801737569e-6	2.569337972032285e-6	7.209776759111102e-6	4.449385320804366e-6	0	0	0	0
TG	META	EUR	1	274	3337	1.0049093068630934	5500	1252.06192231178	0.02211648902357921	3.132877170616054e-5	3.095054193115188e-5	7.18756511456145e-6	2.915324744304513e-5	1.0093388118242602e-5	0	0	0	0
TG	META	EUR	1	277	772	1.0040008222573484	5500	91.9177997112274	0.47318217978913424	1.2891909928455777e-5	1.3820404174341939e-5	6.388742454891115e-6	1.2950090327029693e-5	7.51854728877192e-6	0	0	0	0
TG	META	EUR	1	280	5116	1.0026976119624025	5500	4487.42765855789	0.002628965900188939	5.06975825201319e-6	5.007072438938209e-6	9.850389935861373e-7	4.722909156346821e-6	2.0130686019696754e-06	0	0	0	0
TG	META	EUR	2	1	662	1.0103153069342483	5500	22.6472189426422	2.4936209448320046	6.864955381463697e-5	7.328285515965363e-5	3.4198881528620154e-5	6.760551291164058e-5	1.5973491365813205e-5	0	0	1	47
TG	META	EUR	2	2	4187	1.0107963462564793	5500	1686.82432484627	0.07328212594444583	4.64495584073571e-5	4.510767905355564e-5	9.421483328219725e-6	4.4343128551206517e-5	1.2538502341293495e-5	0	0	1	38
TG	META	EUR	2	6	1473	1.0048894972886413	5500	235.911441087723	0.14157148491764482	1.1021237942058368e-4	9.165257420610521e-5	3.138348839733765e-5	1.0632484387999263e-4	1.992309397340575e-5	0	2	2	4
TG	META	EUR	2	7	988	1.0023671889123134	5500	77.0710649490356	0.0027093305272310538	2.9114402620277913e-5	2.8497823824886305e-5	1.1616930064804945e-5	2.8498020734593384e-5	1.0257702337874916e-5	1	1	1	1
TG	META	EUR	2	21	954	1.0124280349994377	5500	101.625671863556	0.4467725957729112	2.8101959233940245e-5	3.060600085785394e-5	1.1982334172768509e-5	2.9587049147719426e-5	1.1505955477503609e-5	0	0	1	8
