pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	UKBB	EAS	1	3	156	1.001437096814358	5500	7.65426135063171	0.29908178008300346	1.0939330153425105e-5	1.0745874056860316e-5	1.1963722239415035e-5	9.068941556912363e-6	1.8034928420997698e-5	0	0	0	0
TG	UKBB	EAS	1	4	407	1.001429446130791	5500	29.1759698390961	8.812063194463574e-4	2.894140740530319e-5	2.9029501125243538e-5	2.0657150563500753e-5	2.3566548347006488e-5	3.1867969830172806e-5	0	0	0	0
TG	UKBB	EAS	1	5	488	1.0022071911491874	5500	34.1039538383484	0.001061004749193288	6.841589704394417e-5	6.904837032779163e-5	4.539863421442665e-5	5.0481420674414594e-5	6.483896105556486e-5	0	0	0	0
TG	UKBB	EAS	1	15	1437	1.0016434442461752	5500	299.055456399918	0.0036288635863051563	8.5462962469509e-5	8.57434376145164e-5	3.2094528271063024e-5	7.910069667152701e-5	6.53502878459042e-5	0	0	0	0
TG	UKBB	EAS	1	17	1882	1.0022008048171005	5500	560.27677154541	0.31867667599357197	7.410719495858586e-5	7.470849724201502e-5	2.4063673412427156e-5	7.209617228361467e-5	5.24105154476885e-5	0	0	0	0
TG	UKBB	EAS	1	18	790	1.0017067415688612	5500	84.3084409236908	0.177146872756911	5.883727180418739e-5	5.891224372186505e-5	2.9951619461060828e-5	4.841963068984925e-5	4.6161483535848637e-5	0	0	0	0
TG	UKBB	EAS	1	19	1298	1.0020407798099578	5500	248.818402051926	0.06528719382331305	2.1207716845142557e-4	2.2224445304171078e-4	8.682078351301843e-5	2.5147382775777866e-4	2.358469567681554e-4	0	0	0	0
TG	UKBB	EAS	1	21	1080	1.0019110819597274	5500	173.850281238556	0.0025397134174376178	6.89102745155302e-5	6.822383320976561e-5	2.988601183982364e-5	6.196121852456282e-5	5.637891423536552e-5	0	0	0	0
TG	UKBB	EAS	1	23	620	1.002194987261941	5500	43.9028716087341	0.22639625795316376	4.394998446246933e-5	4.526489947929788e-5	2.579432786463672e-5	3.8057587354522554e-5	4.430655297710064e-5	0	0	0	0
TG	UKBB	EAS	1	32	511	1.0023056664237864	5500	24.7075757980347	0.004481715086461779	7.099180551795298e-5	7.099434698246178e-5	4.443571343491867e-5	5.4527777726794866e-5	6.364076648457277e-5	0	0	0	0
TG	UKBB	EAS	1	35	1512	1.0017632151211784	5500	408.395241975784	0.004549297633186673	8.07337795275423e-5	8.175702935700986e-5	2.9999562487378105e-5	7.871045885589302e-5	6.818239507303394e-5	0	0	0	0
TG	UKBB	EAS	1	43	471	1.0024184865949044	5500	24.468593120575	0.0013527826376288144	3.431669118392616e-5	3.4077601347959275e-5	2.2308992431104595e-5	2.741917176995058e-5	3.270769111466985e-5	0	0	0	0
TG	UKBB	EAS	1	48	691	1.0022514486742746	5500	99.6108293533325	7.859904694209353e-4	7.153425579921023e-5	7.125717311880473e-5	3.896490876088738e-5	5.866948883622638e-5	6.222419062899201e-5	0	0	0	0
TG	UKBB	EAS	1	50	951	1.0016662099880358	5500	254.509516000748	0.0027300229931892083	5.396163677732551e-5	5.486341324995421e-5	2.5339757366919362e-5	4.9232233324911006e-5	4.7363450606249925e-5	0	0	0	0
TG	UKBB	EAS	1	51	611	1.0015634337954076	5500	45.4529914855957	0.0014789201719042741	3.097041682412572e-5	3.0442448612526075e-5	1.7917533925545596e-5	2.6378188765806487e-5	2.9037084800156392e-5	0	0	0	0
TG	UKBB	EAS	1	52	1510	1.0037853978088576	5500	630.17310500145	0.005657036051411753	5.924177661902028e-5	5.9040031032884735e-5	2.1767321959206356e-5	5.406848574404968e-5	4.1515355222871325e-5	0	0	0	0
