pheno	db	pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
TG	UKBB	EUR	1	3	519	1.0065891870695518	5500	13.5508437156677	1.236129048369435e-4	6.018472253022854e-5	7.262017510748958e-5	3.667851266138868e-5	6.530509153868211e-5	2.8461641238459427e-5	0	0	0	0
TG	UKBB	EUR	1	4	1272	1.0222303784972355	5500	93.5501742362976	1.1405062899597267	1.9372248976621745e-4	2.562551506162738e-4	7.817175282610111e-5	2.0710435670924786e-4	5.496948411245577e-5	0	0	2	66
TG	UKBB	EUR	1	5	1955	1.005798826349317	5500	239.055793523788	0.09699122797034754	5.170330317186152e-5	5.4210209179926674e-5	1.6371327633297045e-5	5.280359429590416e-5	2.4009795378597203e-5	0	0	0	0
TG	UKBB	EUR	1	15	2722	1.0229055588114804	5500	544.163471460342	0.7695822307752436	1.5803663544765363e-4	1.8290394510329605e-4	4.3619476298641726e-5	1.7226742135092812e-4	4.619637984994236e-5	0	0	0	0
TG	UKBB	EUR	1	17	3336	1.0038243406320124	5500	780.474721431732	0.4469725931898103	7.208388155614761e-5	7.492602208884e-5	1.745973874495683e-5	6.743004269906199e-5	2.583374199530583e-5	0	0	0	0
TG	UKBB	EUR	1	18	1456	1.0060787829719038	5500	146.550592422485	0.1029533627973378	7.222195089574623e-5	7.557299338666213e-5	2.4942451675306328e-5	7.757142429006976e-5	2.9950950004686303e-5	0	0	0	0
TG	UKBB	EUR	1	19	2682	1.0045778435891535	5500	559.894469499588	0.53255249763249	1.762466996948679e-4	1.945576556576716e-4	4.816997886541633e-5	1.815122474425176e-4	4.919854418043028e-5	0	0	1	7
TG	UKBB	EUR	1	21	1723	1.0022286406886005	5500	199.299319028854	0.4650523311116541	9.951693092797342e-5	1.0151187444008964e-4	3.1498723727486234e-5	9.119378897122102e-5	3.727437622436996e-5	0	1	0	0
TG	UKBB	EUR	1	23	991	1.0048274885989066	5500	69.9306499958038	0.6544965472730944	4.640349862164543e-5	5.110725079224656e-5	2.077746149662246e-5	4.5072260338084686e-5	2.3642597889466836e-5	0	0	0	0
TG	UKBB	EUR	1	32	882	1.0060605527870012	5500	37.6876692771912	0.17311304787624548	3.927025032122207e-5	4.351383185784841e-5	1.8571544889209357e-5	4.298616922821484e-5	2.21032866645349e-5	0	0	0	0
TG	UKBB	EUR	1	35	3113	1.0057928932519564	5500	707.055335521698	0.36755587706172044	1.1510071755807687e-4	1.2297775582022607e-4	2.895487100816259e-5	1.1748694189359607e-4	3.5937461672898755e-5	0	0	0	0
TG	UKBB	EUR	1	43	877	1.0039497653614193	5500	35.650767326355	0.8663321132660979	7.377340845315518e-5	8.337481667170614e-5	3.398442897338316e-5	7.020873392264509e-5	2.923243910921668e-5	0	0	0	0
TG	UKBB	EUR	1	48	1230	1.027713593310134	5500	98.3508908748627	0.901919105196713	1.8959009273159525e-4	2.1422958327359582e-4	7.17680255986631e-5	1.902947748038109e-4	5.200518255971763e-5	0	0	1	13
TG	UKBB	EUR	1	50	1846	1.0050329219447243	5500	282.873946666718	0.7313428452918165	4.3447406112743944e-5	4.661674879941107e-5	1.4946735134248286e-5	4.525842783245197e-5	2.3669696727434782e-5	0	0	0	0
TG	UKBB	EUR	1	51	1248	1.0035531553773689	5500	98.1394357681274	0.07166896145974966	4.067895645271909e-5	4.0545128301382125e-5	1.5940095997688443e-5	3.460808391387473e-5	2.0766265742724135e-5	0	0	0	0
TG	UKBB	EUR	1	52	3167	1.018947149080816	5500	740.383671998978	1.3611631005890272	7.711205109874148e-4	7.351285626818433e-4	1.6497250285401816e-4	7.77329933197471e-4	9.955820032554847e-5	0	1	2	24
TG	UKBB	EUR	1	53	3002	1.0117472457311114	5500	637.674702882767	0.72888373973118	1.6956232654957801e-4	1.7978391758442604e-4	4.198649019367379e-5	1.7545746002195617e-4	4.7489681204559414e-5	0	0	0	0
TG	UKBB	EUR	1	58	3184	1.0082459094687504	5500	745.759563922882	0.8744713457213924	1.9338918131400355e-4	2.1967458962969405e-4	4.755015287978804e-5	1.9811212776525803e-4	5.332804651571039e-5	0	0	0	0
TG	UKBB	EUR	1	63	2067	1.0025520493749847	5500	343.919986248016	0.26126190882351086	2.683089642205038e-5	2.7181353663260176e-5	8.472807380662099e-6	2.489784508838735e-5	1.3565224919198524e-5	0	0	0	0
TG	UKBB	EUR	1	67	2444	1.0037261236473096	5500	373.298102378845	0.4956500697681181	1.0290891290320682e-4	1.1069270062922716e-4	2.877482740727775e-5	1.039478068487478e-4	3.7270244619784804e-5	0	0	0	0
TG	UKBB	EUR	1	70	2539	1.0349738302073412	5500	456.197250127792	0.7674075694060627	4.8078667940811123e-4	5.056427722950431e-4	1.2446700582263468e-4	4.936177001871173e-4	7.344844062266343e-5	0	0	3	56
TG	UKBB	EUR	1	71	2477	1.0145718036480846	5500	413.109890222549	1.5970949587221255	2.8849560472885645e-4	3.256975147513697e-4	7.935144270139787e-5	2.8312708780372766e-4	6.0636959286426593e-5	0	0	1	23
TG	UKBB	EUR	1	83	2364	1.0163666565118086	5500	396.079472780228	0.3545283454492949	2.51763805163576e-4	2.636954957182937e-4	6.868986513521158e-5	2.579253966713829e-4	5.6123694247980005e-5	0	0	1	9
TG	UKBB	EUR	1	85	1241	1.0068422069854135	5500	85.0993633270264	0.7048415826554488	7.536782121987189e-5	9.129505054123306e-5	3.15293771502033e-5	8.412098831059385e-5	3.4545130163348126e-5	0	0	0	0
TG	UKBB	EUR	1	94	672	1.008330975325474	5500	15.7085552215576	0.7344452378572581	1.3673897113918398e-4	1.5903963697288048e-4	7.163471465529929e-5	1.3742846359606398e-4	4.0913777501824695e-5	0	0	1	23
TG	UKBB	EUR	1	96	2269	1.0179311629201802	5500	340.526089668274	1.1384167846228674	3.4513104406205195e-4	3.9109980411029967e-4	9.450335097290822e-5	3.376231587805785e-4	7.045844453434538e-5	0	0	1	7
TG	UKBB	EUR	1	97	2732	1.020784575611418	5500	521.44132232666	0.6085921697899452	0.00387025187872781	0.00262014504575	7.251242763108788e-4	0.003892553136720354	2.064783644318212e-4	0	0	1	29
TG	UKBB	EUR	1	100	2126	1.0100431305729338	5500	269.193402528763	0.81886816301018	1.0498525599060495e-4	1.152053969258746e-4	3.250147882912101e-5	1.0390632687809321e-4	4.00039712183435e-5	0	0	0	0
TG	UKBB	EUR	1	101	2171	1.0028213497647616	5500	356.669627904892	0.4022503651452143	5.505714753257086e-5	5.79253663020453e-5	1.6603723890760438e-5	5.593952548686212e-5	2.6920408885916438e-5	0	0	0	0
TG	UKBB	EUR	1	105	5775	1.00871338007249	5500	3476.21532559395	0.4453852222190773	2.2969797974943147e-4	2.4113304639082606e-4	4.105327260594041e-5	2.3461783262935563e-4	5.136728719952888e-5	0	0	0	0
TG	UKBB	EUR	1	124	3743	1.010732707488993	5500	1017.07186889648	0.8299570869078614	1.9967563369978358e-4	2.0916102379204074e-4	4.3830147579863476e-5	2.120380682636851e-4	4.769055731554883e-5	0	0	2	61
TG	UKBB	EUR	1	125	4461	1.0672216890543396	5500	1632.32622289658	1.2345908926808367	3.363453241079087e-4	3.4288763253798586e-4	6.593180067245705e-5	3.3548158186614895e-4	6.257556327872515e-5	0	0	0	0
TG	UKBB	EUR	1	127	2121	1.0036881971040674	5500	343.80212187767	0.10280797341169468	1.3693265801018969e-5	1.3657894041552753e-5	4.223708007578367e-6	1.2635570993626257e-5	7.96766353849758e-6	0	0	0	0
TG	UKBB	EUR	1	129	1453	1.0276790108181986	5500	167.388307094574	1.1359938638032356	2.4855195267101116e-4	2.6255906291317434e-4	8.488102783735814e-5	2.49333338595385e-4	5.557676946351514e-5	0	0	1	55
TG	UKBB	EUR	1	132	2551	1.0067972182397626	5500	521.861133098602	0.4088659263520782	9.997522579229071e-5	1.0551958404716362e-4	2.7529124730443344e-5	9.788185355529821e-5	3.444367800142305e-5	0	0	0	0
TG	UKBB	EUR	1	135	3713	1.0033025771950626	5500	1163.50816106796	0.40629197555585916	6.77253622363055e-5	6.859289495248435e-5	1.559255638626384e-5	6.187912326211436e-5	2.5523945040538307e-5	0	0	0	0
TG	UKBB	EUR	1	138	3451	1.0069589525493587	5500	1021.32245373726	0.6804761352716591	1.7073260662143943e-4	1.906442823175143e-4	4.1800128784229455e-5	1.8383583938991047e-4	4.891397289476189e-5	0	0	0	0
TG	UKBB	EUR	1	139	893	1.0086148873735519	5500	46.2553992271423	0.8355535631000319	1.3397566255217455e-4	1.6309783222784934e-4	6.296957319738138e-5	1.4493195190139964e-4	4.453362000631338e-5	0	0	1	9
TG	UKBB	EUR	1	143	2200	1.0090277828517322	5500	374.554693460464	0.44984674082711607	1.678756639470122e-4	1.8627505848254255e-4	4.948152313846814e-5	1.782035553353396e-4	4.983846751329222e-5	0	0	0	0
TG	UKBB	EUR	1	144	1745	1.0056878879769167	5500	192.902327775955	0.4404805485190959	8.459482851454072e-5	9.16000145975473e-5	2.727927560162616e-5	9.051358239629919e-5	3.214997403399419e-5	0	0	0	0
TG	UKBB	EUR	1	150	2617	1.011188610586737	5500	482.462706327438	0.8484991867877454	1.922531948047434e-4	1.9161910871555917e-4	4.863844198161705e-5	1.870983976649984e-4	4.571721427598465e-5	0	0	2	55
TG	UKBB	EUR	1	154	3923	1.0134821129215656	5500	1174.10697245598	1.1381197645735117	3.6353873349771276e-4	3.647275141649315e-4	7.353269432855274e-5	3.618019018050755e-4	6.42886223444553e-5	0	0	1	42
TG	UKBB	EUR	1	155	1519	1.0038513570311909	5500	184.372492074966	0.52026263885123325	5.717572479622084e-5	6.077463388062829e-5	2.020408304655753e-5	6.217685817695259e-5	2.7174031830417125e-5	0	0	0	0
TG	UKBB	EUR	1	156	2449	1.0184005403844856	5500	210.021106243134	0.9119991085771908	3.6701385245073144e-4	3.815889339903539e-4	9.613977311321836e-5	3.848088928098402e-4	6.808874717207436e-5	0	1	1	25
TG	UKBB	EUR	1	158	2612	1.0245837079552895	5500	476.839859962463	0.6740555348271264	2.5841316924673006e-4	2.910826949659619e-4	6.898543559991096e-5	2.5699535525012694e-4	5.95261054902373e-5	0	0	0	0
