chromosome	block	num_variants	num_variants.EUR	num_variants.EAS	minP.EUR	minP.EAS
1	2	515	76	495	0.002346	6.236e-6
1	5	1414	1193	1109	7.195e-12	0.007349
1	15	2185	2079	1585	5.153e-8	0.02267
1	17	2873	2665	2112	5.75e-9	8.454e-4
1	32	818	714	607	9.702e-6	5.773e-4
1	52	3025	2831	1937	3.425e-6	8.193e-6
1	53	2706	2386	1944	8.335e-9	4.948e-6
1	55	2063	1712	1674	6.017e-12	3.596e-5
1	63	2350	1412	2018	2.018e-8	4.086e-4
1	68	1050	861	780	2.247e-6	4.854e-4
1	70	2504	2325	1671	6.18e-6	0.003034
1	72	1773	1695	1426	1.263e-6	0.00261
1	74	2775	2465	2203	2.678e-12	8.983e-7
1	92	2495	2152	1861	3.742e-7	0.002756
1	100	2729	2341	2396	3.557e-8	9.461e-4
1	105	6570	5705	5088	2.282e-18	1.248e-5
1	115	2566	2409	1911	6.102e-7	9.15e-4
1	117	1516	1409	1292	5.852e-6	0.001273
1	125	4531	4192	3555	9.444e-7	0.005471
1	127	2203	2042	1723	2.776e-7	0.001755
1	128	3921	3723	3033	6.145e-12	5.722e-5
1	129	1182	1152	838	1.731e-21	0.007659
1	141	1525	1474	1174	4.188e-6	3.479e-4
1	147	2735	2673	1590	8.832e-8	0.009583
1	154	4151	3942	3001	7.99e-9	1.457e-4
1	156	2056	2045	1629	9.992e-8	5.524e-5
1	158	1779	1720	1230	1.512e-7	3.904e-4
1	166	930	671	845	2.693e-6	0.004677
1	170	2598	2077	2067	5.135e-8	0.006441
1	175	3940	3433	3040	5.573e-6	0.004109
1	183	4661	4530	3491	1.14e-7	2.32e-4
1	185	1366	1185	958	2.22e-6	0.001706
1	186	2556	2487	1833	4.149e-12	0.007319
1	187	2561	2314	2083	1.971e-7	0.001386
1	188	4015	3552	3098	3.839e-4	2.546e-6
1	192	3058	2649	2704	1.845e-6	3.028e-4
1	198	6558	6148	5912	2.729e-6	5.466e-4
1	201	3056	2828	2148	5.826e-6	8.912e-4
1	204	2286	2056	1784	1.836e-9	0.001918
1	213	1429	1342	1032	5.085e-6	0.004107
1	216	2679	2359	2104	6.101e-6	6.846e-4
1	226	941	760	711	4.065e-6	0.0115
1	232	3867	3636	2612	3.232e-6	4.276e-4
1	239	1337	1085	1141	7.432e-6	7.117e-4
1	240	6584	5277	5505	5.268e-8	0.001659
1	243	1581	1398	1190	2.978e-8	0.001039
1	252	1222	1169	835	5.247e-6	0.01965
1	262	2544	2331	1877	9.955e-6	9.683e-4
1	263	2368	1909	1738	1.529e-12	0.004641
1	274	2996	2774	2356	1.615e-12	8.852e-5
2	4	1336	1232	908	2.492e-8	0.005539
2	33	3135	2697	2752	7.516e-7	0.001273
2	38	3118	2655	2061	9.071e-7	7.779e-4
2	45	2817	2149	2173	5.144e-11	0.004795
2	48	1897	1728	1366	6.648e-8	0.002421
2	49	2634	2595	1765	3.84e-7	5.831e-4
2	63	2061	1902	1182	5.352e-9	1.029e-6
2	66	4335	3747	3469	2.863e-6	9.316e-4
2	79	3042	2926	1521	1.545e-7	7.917e-4
2	81	4879	4029	4075	3.909e-5	2.725e-6
2	84	6984	6510	5420	4.606e-7	4.201e-4
2	85	7007	6245	6065	4.282e-16	2.407e-9
2	87	986	813	752	2.802e-8	4.794e-6
2	88	7654	7090	5803	1.8e-7	1.423e-5
2	100	1861	1825	942	2.612e-7	2.247e-4
2	101	1690	1640	1105	2.744e-9	0.03746
2	105	3633	3506	2888	5.93e-8	9.414e-4
2	107	5000	4123	4146	2.104e-7	0.001109
2	108	3568	2934	2975	1.2e-8	0.001817
2	112	5322	4446	4021	2.065e-8	0.001266
2	116	3076	2700	2225	9.542e-7	2.791e-5
2	145	1572	1438	1274	5.696e-6	0.006799
2	146	4164	2304	3839	1.42e-6	6.788e-5
2	147	7066	5700	5828	1.15e-6	0.002911
2	152	2044	1814	1567	8.282e-12	4.905e-4
2	153	3299	2965	2405	7.722e-10	6.501e-4
2	154	1534	1169	1410	8.341e-7	8.703e-5
2	161	4414	4164	3077	5.936e-8	0.003041
2	166	6954	5821	5611	1.482e-8	1.05e-4
2	171	3634	2951	3004	1.079e-6	0.00222
2	176	3826	3308	3181	2.658e-9	2.167e-5
2	180	2358	2125	1429	1.671e-7	0.002842
2	186	4304	3980	3370	5.477e-7	0.00206
2	190	9071	8365	7138	4.292e-10	3.679e-5
2	195	7379	5639	6068	5.973e-7	0.002145
2	196	3989	3818	3000	2.268e-13	2.118e-6
2	197	3387	2828	2731	4.472e-16	1.895e-10
2	204	2367	2169	1818	9.556e-6	3.984e-4
2	205	1644	1572	1240	6.903e-6	0.001839
2	210	1573	1527	1267	3.02e-8	0.07645
2	211	3315	3153	2080	3.046e-8	0.002029
2	213	5704	5271	4096	2.217e-7	6.119e-4
2	228	2142	1968	1738	8.741e-9	4.413e-4
2	232	1985	1857	1407	2.999e-7	0.004542
2	234	2577	2482	2026	2.183e-6	0.007346
2	241	1579	1434	1206	1.495e-17	0.003475
2	247	860	735	730	8.648e-6	0.001121
3	1	9403	8973	6647	1.795e-11	0.00217
3	22	1268	1099	1123	8.876e-7	8.831e-4
3	32	4115	3156	3102	7.468e-11	0.004482
3	35	3867	3484	2795	1.048e-6	0.001843
3	37	859	826	770	5.994e-6	9.729e-4
3	38	2204	2110	1733	4.553e-6	6.58e-4
3	39	4684	3995	4010	5.912e-4	3.535e-7
3	40	1717	1519	1372	3.92e-7	1.552e-4
3	41	3912	3447	2903	1.899e-7	8.224e-4
3	42	2935	2699	2343	3.866e-6	0.00261
3	45	1613	1412	1275	3.335e-6	0.001207
3	48	3036	2590	2457	4.308e-8	0.001745
3	49	4558	3631	3859	7.244e-7	3.897e-5
3	53	4761	4415	3527	6.518000000000002e-7	0.00388
3	55	1502	1472	1038	9.192e-12	2.221e-4
3	56	2070	1831	1522	5.564e-7	0.001246
3	60	4726	4215	3315	4.442e-7	4.796e-4
3	61	2017	1828	1604	2.333e-7	8.83e-5
3	63	8427	7300	6410	1.229e-19	2.167e-9
3	74	2310	2248	1427	2.171e-9	0.002356
3	81	1773	1583	1429	4.569e-11	2.695e-4
3	88	2953	2594	2587	5.122e-6	0.001355
3	89	2273	1988	1553	1.526e-8	0.001088
3	96	2372	2100	1979	7.402e-6	3.536e-5
3	99	6620	6234	5403	6.327e-8	1.116e-4
3	101	12140	10719	9875	5.892e-5	2.57e-6
3	108	2551	2438	1584	2.339e-8	0.004062
3	109	6775	6041	5267	4.037e-6	8.249e-4
3	119	5198	4445	4321	3.241e-8	0.002663
3	120	2910	2837	1912	1.571e-6	0.003735
3	131	1213	1103	845	5.867e-7	0.007683
3	140	3830	3450	2835	5.462e-11	1.119e-6
3	165	3793	3137	3344	8.832e-9	9.566e-5
3	166	10331	9826	8130	3.896e-6	1.611e-8
3	182	1215	1072	875	7.293e-6	0.02795
3	185	1505	1393	940	4.53e-7	0.001014
3	187	3243	2998	2292	1.074e-12	5.872e-7
3	193	3166	2899	2530	5.869e-8	0.01075
3	195	5984	5531	4404	1.817e-7	1.771e-4
3	204	3749	3241	3270	8.342e-6	1.876e-4
3	216	1715	1607	1153	2.651e-6	4.441e-4
4	1	8323	7624	6279	1.368e-8	5.152e-4
4	4	2235	2079	1687	6.111e-6	0.001445
4	33	4825	4254	3433	1.444e-6	0.00191
4	36	2411	1985	1969	2.692e-10	0.001542
4	37	1758	1364	1466	3.856e-5	9.278e-8
4	43	1213	1100	986	2.089e-7	6.677e-4
4	46	3136	2988	2380	2.683e-6	0.00156
4	48	3742	2908	3137	3.073e-8	6.866e-4
4	52	4125	3629	3649	1.538e-7	7.19e-7
4	54	8145	6810	6294	2e-7	9.685e-5
4	63	7263	6716	5423	2.532e-7	6.57e-5
4	64	4974	4817	4178	5.283e-6	2.841e-4
4	66	2082	2056	1688	6.468e-7	0.01346
4	76	4988	4281	3927	3.931e-6	0.006785
4	77	6974	6720	5186	2.536e-6	7.44e-6
4	91	1968	1924	1528	1.266e-7	6.826e-4
4	94	1935	1877	1461	3.416e-6	0.006861
4	97	1926	1805	1552	2.573e-6	0.006457
4	101	4382	4123	2671	2.593e-6	0.001513
4	105	2815	2592	2142	3.089e-6	0.001532
4	114	4014	3499	2942	6.289e-6	0.001916
4	115	1779	1506	1526	8.752e-19	0.002992
4	116	2724	2575	2199	1.102e-6	9.603e-5
4	117	3275	2957	2165	7.195e-8	0.009448
4	125	1138	914	955	9.557e-6	0.001568
4	129	4138	3886	3094	6.099e-8	5.827e-4
4	146	2050	1762	1557	2.659e-6	7.109e-4
4	150	3956	3369	3272	9.204e-8	1.579e-4
4	155	3033	2799	2490	1.51e-6	0.001599
4	160	1555	1443	1092	1.793e-6	8.034e-4
4	162	2581	2305	2097	1.887e-6	0.009861
4	173	3394	2762	2865	2.051e-7	0.0018
4	175	2555	2310	1791	4.097e-8	0.00148
4	178	1330	1268	1070	7.025e-9	0.001409
4	183	5572	5168	3783	1.248e-11	3.254e-5
4	187	3467	2736	3058	3.667e-7	4.601e-4
4	199	590	557	447	2.92e-6	0.01047
5	17	1855	1747	1254	2.516e-7	0.005301
5	39	2297	2032	2060	3.477e-7	0.003192
5	57	2839	2743	2285	1.89e-7	0.0168
5	61	6144	5309	4918	9.058e-6	4.174e-4
5	63	9107	7701	7186	4.38e-13	1.067e-4
5	71	4975	4496	4219	4.38e-8	1.365e-4
5	72	4778	4275	3455	5.366e-16	2.212e-4
5	74	5883	5535	4616	6.367e-6	2.012e-5
5	82	1648	1536	1259	6.425e-6	0.007152
5	85	4185	3156	3596	3.975e-7	7.286e-4
5	102	4053	3291	2988	2.676e-10	3.221e-4
5	103	2414	2202	1905	1.502e-8	0.001652
5	104	2606	2354	2102	5.551e-9	7.492e-4
5	105	1085	996	827	3.471e-6	4.15e-4
5	112	8017	7038	6508	5.723e-10	0.007655
5	114	8757	8435	5737	2.029e-8	2.85e-4
5	115	781	755	588	2.804e-6	0.06925
5	117	2807	2610	1747	1.684e-7	7.229e-5
5	119	3552	2910	2521	7.029e-6	0.00161
5	127	5441	4425	4126	2.179e-6	0.002738
5	133	1963	1803	1393	4.281e-6	6.475e-6
5	135	2815	1964	2277	7.643e-6	0.006046
5	144	3309	2972	2810	2.596e-6	0.007619
5	145	4014	3716	3001	4.659e-10	7.163e-4
5	146	3621	3469	2770	3.612e-8	2.079e-7
5	152	5046	4439	4103	3.037e-6	0.003553
5	162	4912	4424	4190	4.554e-13	2.615e-4
5	163	2641	2417	1845	1.128e-9	0.001634
5	166	2739	2413	2038	1.523e-8	0.003796
5	168	2900	2613	2278	6.578e-7	0.002366
5	171	5060	4563	4129	5.837e-6	2.887e-4
5	177	1771	1510	1469	3.092e-7	0.001857
5	191	3811	3566	2874	1.889e-6	0.001159
5	198	1177	1093	946	4.097e-6	0.003026
6	28	1265	1166	1010	5.068e-8	0.0336
6	35	932	821	613	1.41e-6	3.39e-4
6	54	3039	2447	2080	3.101e-6	6.656e-4
6	57	1751	1460	1517	9.081e-6	2.14e-4
6	58	2825	2580	2263	6.939e-7	0.02506
6	63	2131	1994	1660	4.891e-8	5.343e-5
6	71	11613	11188	8694	2.623e-6	4.949e-4
6	78	14714	13030	12562	7.582e-7	1.884e-5
6	80	11199	10354	8101	3.35e-8	2.139e-4
6	81	6671	6155	4482	4.388e-11	7.675e-5
6	87	4364	3762	3665	8.051e-9	0.001955
6	88	9895	9099	8005	2.216e-6	5.946e-4
6	90	572	514	378	8.066e-6	0.001491
6	94	4808	4013	3962	1.784e-11	2.672e-4
6	97	3625	3167	2802	3.113e-8	0.006386
6	104	4304	3639	3372	4.759e-6	2.978e-4
6	106	2404	1792	2069	2.137e-7	3.35e-4
6	108	854	703	717	1.218e-6	1.224e-5
6	112	2589	2338	1893	8.9e-8	3.795e-5
6	113	3221	2934	2838	1.87e-6	2.875e-4
6	115	6861	6679	4950	6.188e-6	1.227e-4
6	116	4263	3747	3481	4.225e-6	1.138e-4
6	122	2273	2068	1709	2.372e-7	3.762e-5
6	124	3937	3765	2413	2.3e-6	0.001161
6	144	5374	4992	4578	2.378e-7	4.151e-4
6	146	1512	1074	1269	1.954e-7	4.091e-4
6	149	5174	3714	4642	4.677e-7	8.465e-5
6	167	2116	2009	1262	1.627e-6	0.002252
6	169	6315	5812	4779	1.734e-5	6.627e-6
6	173	3304	3087	2739	3.613e-6	0.003525
6	175	1708	1645	1116	3.38e-7	0.01166
6	177	4500	3771	3732	5.11e-6	2.302e-6
7	5	3134	2747	2270	2.235e-24	1.053e-5
7	6	1559	1504	917	8.401e-7	0.002671
7	8	4554	4350	3354	2.889e-6	6.108e-5
7	17	1436	1214	924	2.588e-7	0.008456
7	19	1003	848	807	7.89e-6	0.004634
7	37	3309	2671	2730	8.984e-8	1.81e-4
7	40	4503	4095	3587	5.755e-8	5.605e-5
7	41	3039	2726	2095	4.142e-10	5.441e-5
7	66	1040	821	923	9.827e-6	0.03584
7	67	7775	7239	5217	5.129e-7	3.911e-4
7	68	2942	2321	2319	4.104e-6	0.003124
7	81	3497	3223	2903	1.099e-6	3.116e-4
7	83	2703	2428	2116	2.377e-6	6.453e-8
7	85	3326	3205	2441	1.401e-8	4.222e-4
7	92	3544	2762	2847	6.021e-8	6.641e-4
7	97	2727	2568	2211	5.654e-8	0.009838
7	98	4878	3790	4256	2.744e-6	0.002731
7	99	5167	4852	4009	1.569e-15	0.00395
7	111	3735	3384	2673	2.932e-7	7.084e-4
7	114	5839	4397	4961	6.192e-15	1.253e-6
7	119	1888	1694	1426	0.01798	1.338e-6
7	122	3281	3061	2481	1.267e-12	1.867e-5
7	124	3445	3316	2266	6.047e-6	7.799e-5
7	131	6763	6369	5831	3.181e-6	3.41e-4
7	132	7545	6591	6137	1.89e-7	0.001206
7	135	912	839	616	7.563e-10	0.001422
7	138	4465	3768	3802	2.216e-8	4.996e-4
7	141	4063	3614	2560	8.849e-14	5.627e-9
7	145	1891	1772	1436	1.03e-7	0.003049
7	148	1553	1475	1127	8.447e-8	0.02216
7	170	714	685	524	5.356e-7	0.02201
7	185	1634	1349	1244	6.56e-7	1.024e-4
8	2	3328	3101	2726	6.848e-8	2.747e-4
8	4	1038	872	741	2.753e-6	0.003292
8	7	2376	2222	983	3.301e-7	0.003097
8	11	3975	3457	3181	2.725e-9	3.374e-4
8	19	1215	1104	861	1.013e-6	1.427e-5
8	24	4791	3595	4093	3.677e-6	9.526e-4
8	27	1816	1601	1387	1.205e-8	2.668e-4
8	29	4677	3877	4117	9.61e-8	2.696e-4
8	40	2642	2223	2107	4.079e-6	0.001789
8	42	3926	3559	2738	2.185e-7	1.323e-6
8	43	3799	3436	3037	4.337e-13	8.359e-4
8	49	2378	2295	1714	3.872e-7	0.01153
8	51	5078	4655	3769	2.798e-8	1.962e-5
8	55	1734	1576	1175	3.173e-8	5.363e-4
8	57	2265	2177	1763	4.957e-7	2.375e-4
8	65	1691	1601	1454	1.719e-4	1.99e-7
8	67	3469	3343	2714	2.483e-6	0.01641
8	69	4936	4214	4360	3.855e-10	0.007541
8	71	3100	2810	2568	3.082e-8	3.979e-7
8	74	2223	2008	1499	8.668e-6	0.01881
8	92	3785	3392	3007	6.574e-9	0.002115
8	106	2867	2645	2144	6.949e-7	2.186e-4
8	107	1030	975	819	6.487e-6	0.01742
8	108	6112	5698	4380	6.024e-6	1.064e-4
8	110	5181	4772	4364	5.584e-6	9.759e-4
8	111	7258	6787	5491	4.968e-10	6.496e-4
8	113	1839	1575	1611	1.794e-6	2.894e-4
8	135	2486	2288	1823	9.562e-8	0.01322
8	158	3315	2794	2765	5.109e-18	0.00201
8	159	1667	1661	1175	3.046e-9	5.179e-4
9	14	1539	1323	1341	1.482e-6	0.02817
9	27	5819	5296	3865	8.816e-6	3.344e-4
9	28	1721	1669	1281	2.114e-9	6.142e-4
9	38	3286	2742	2518	5.557e-6	0.001567
9	39	1134	942	990	7.371e-5	6.496e-6
9	40	3740	3284	2750	5.804e-10	0.001255
9	41	285	232	222	8.554e-7	3.622e-4
9	42	2484	2133	1506	1.75e-6	3.21e-5
9	44	507	387	455	9.085e-6	0.009817
9	45	3982	3561	3027	2.591e-7	3.345e-4
9	50	5207	4403	4052	8.485e-6	0.001895
9	53	4896	4359	3445	1.938e-6	0.001501
9	54	1658	1531	1365	1.25e-8	3.261e-4
9	56	3250	2875	2749	2.15e-7	1.259e-4
9	68	364	360	264	4.871e-9	0.02103
9	78	984	960	700	4.9099999999999996e-06	0.008573
9	80	5539	5041	4201	3.208e-7	0.001868
9	81	393	381	276	4.949e-6	0.01445
9	83	2014	1798	1572	5.139e-7	0.01825
9	99	2442	2260	2046	1.813e-7	0.01012
9	103	913	863	703	2.539e-8	0.01601
9	115	4249	3937	3120	2.083e-6	6.953e-5
9	119	2199	1913	2004	5.376e-6	0.007131
9	140	5116	3682	4383	3.842e-7	3.642e-4
9	146	752	666	576	8.599e-8	4.947e-5
9	158	188	177	125	2.941e-8	0.1007
10	1	2670	2446	1850	2.922e-4	3.67e-6
10	4	4125	3502	3549	4.629e-6	6.297e-4
10	8	1249	1232	852	3.079e-6	0.006824
10	9	291	286	243	4.37e-9	8.414e-6
10	24	970	847	861	2.735e-6	0.003519
10	28	1473	1338	1072	7.973e-6	0.001692
10	45	3740	3459	2700	3.326e-12	9.376e-5
10	48	2988	2584	1904	2.271e-6	4.494e-4
10	49	2314	1923	1851	7.144e-6	0.001475
10	60	4851	4667	3545	2.327e-7	0.00576
10	61	1557	1480	993	1.591e-6	0.001345
10	73	2109	1754	1783	1.94e-8	0.002166
10	80	3408	2934	2680	5.805e-7	0.001343
10	81	4010	3645	2981	7.257e-8	1.571e-5
10	82	4660	4067	3749	5.866e-6	0.0159
10	90	162	149	121	4.952e-6	0.0281
10	96	1951	1696	1532	2.156e-7	3.214e-4
10	109	3026	2805	2216	6.549e-6	0.01734
10	113	2817	2380	2195	4.346e-6	9.564e-4
10	114	2279	2209	1582	4.441e-9	0.004428
10	129	4562	4218	3579	1.772e-17	4.46e-13
10	131	3987	3508	2735	3.816e-8	1.364e-4
10	153	2323	2034	1917	8.757e-6	0.002342
10	154	5011	4126	3926	6.089e-7	7.747e-4
10	162	1752	1630	1370	1.738e-7	0.001152
11	3	2445	2406	1453	7.151e-7	0.002155
11	31	1799	1655	1446	2.811e-7	0.02127
11	35	1261	1142	1017	5.787e-7	0.01245
11	48	2539	2293	2148	2.398e-9	1.63e-4
11	52	1628	1476	1196	2.922e-6	3.423e-4
11	53	3052	2787	2542	4.892e-8	5.622e-4
11	54	2470	2220	2097	1.157e-6	0.001604
11	78	1810	1513	1366	2.033e-7	4.174e-4
11	79	4020	3271	3451	1.223e-7	7.802e-4
11	96	6594	6093	4763	2.393e-8	0.001714
11	97	1422	1348	1272	6.593e-6	0.012070000000000001
11	117	5681	5381	4272	1.888e-6	0.004077
11	120	989	857	600	5.725e-6	0.02666
11	124	2464	2203	2248	1.936e-7	9.222e-5
11	125	2131	1987	1391	1.348e-14	4.028e-4
11	130	1088	847	938	3.031e-6	2.705e-4
11	144	446	404	303	1.247e-8	2.849e-6
11	145	3410	2904	3131	8.958e-6	2.128e-4
11	146	339	249	280	1.557e-14	7.251e-5
11	148	1690	1577	1105	5.776e-6	0.003081
11	151	1521	1439	1255	0.002544	2.483e-6
11	155	1303	1144	1122	8.184e-10	0.003751
11	159	3244	3008	2266	6.239e-9	7.169e-6
11	162	1544	1416	1176	1.868e-14	4.093e-4
11	163	421	360	342	1.642e-12	4.818e-4
11	164	1371	1340	794	6.321e-10	4.182e-5
12	6	501	399	375	8.385e-6	0.0167
12	7	1405	1273	928	8.501999999999998e-22	0.002252
12	13	1513	1384	1109	3.331e-6	0.003595
12	32	2592	2500	1726	3.518e-6	5.159e-4
12	33	2313	2001	2021	1.296e-7	8.683e-5
12	44	1204	1137	889	1.464e-6	0.01341
12	52	5132	4410	4205	5.229e-8	1.044e-6
12	55	13314	11167	10630	2.784e-7	9.92e-4
12	63	2715	2204	2436	8.103e-7	6.306e-4
12	67	1556	1278	1132	1.026e-8	0.002521
12	71	3161	2874	2688	1.147e-15	5.958e-4
12	75	390	343	332	4.707e-7	6.65e-4
12	77	1863	1738	1420	1.868e-6	0.01391
12	82	3318	2866	2450	1.59e-9	0.002961
12	83	6850	6343	5337	4.158e-7	3.774e-4
12	87	1662	1614	1186	6.111e-7	0.002832
12	88	3527	3358	2242	7.413e-6	0.0116
12	95	6501	5900	4380	8.313e-6	0.002321
12	97	4972	4283	3698	1.558e-7	7.518e-8
