chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
1	2	56	5	0.211701393127441	0	0	0	0	0	0	0	0	0	0	0	0
1	5	888	5	4.56680417060852	0	0	1	4	0	0	1	4	0	0	1	4
1	15	1479	5	29.835652589798	0	0	1	59	0	0	1	59	0	0	0	0
1	17	1904	5	57.1148624420166	0	0	1	32	0	0	1	32	0	0	1	32
1	32	503	5	1.03259229660034	0	0	0	0	0	0	0	0	0	0	0	0
1	52	1743	5	46.7560107707977	0	0	1	74	0	0	0	0	0	0	1	74
1	53	1624	5	43.7066996097565	0	0	1	50	0	0	0	0	0	0	1	50
1	55	1323	5	15.5981678962708	0	0	1	7	0	0	1	7	0	0	1	7
1	63	1080	5	8.65816259384155	0	0	2	81	0	0	2	81	0	0	1	68
1	68	591	5	1.83595943450928	0	0	0	0	0	0	0	0	0	0	0	0
1	70	1492	5	27.5973944664001	0	0	0	0	0	0	0	0	0	0	0	0
1	72	1348	5	23.5834438800812	0	0	0	0	0	0	0	0	0	0	0	0
1	74	1893	5	57.9533760547638	0	0	1	8	0	0	1	8	0	0	1	8
1	92	1518	5	30.07692527771	0	0	0	0	0	0	0	0	0	0	0	0
1	100	2008	5	67.7423100471497	0	0	1	18	0	0	1	18	0	0	1	18
1	105	4223	5	640.937422513962	0	0	2	216	0	0	2	216	0	0	0	0
1	115	1754	5	42.9067008495331	0	0	0	0	0	0	0	0	0	0	0	0
1	117	1185	5	10.6190040111542	0	0	0	0	0	0	0	0	0	0	0	0
1	125	3216	5	277.666805028915	0	0	1	58	0	0	1	58	0	0	0	0
1	127	1562	5	29.2878623008728	0	0	2	40	0	0	2	40	0	0	0	0
1	128	2835	5	193.390693426132	0	0	2	118	0	0	2	118	0	0	2	118
1	129	808	5	2.65404009819031	0	0	1	17	0	0	1	17	0	0	0	0
1	141	1123	5	8.78625130653381	0	0	0	0	0	0	0	0	0	0	0	0
1	147	1528	5	33.1670858860016	0	0	0	0	0	0	0	0	0	0	0	0
1	154	2792	5	203.542219638824	0	0	0	0	0	0	0	0	0	0	0	0
