pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	1	2	495	5	7.6110942363739	0	0	1	110
EAS	1	5	1109	5	7.11187481880188	0	0	0	0
EAS	1	15	1585	5	5.23121047019958	0	0	0	0
EAS	1	17	2112	5	4.00829291343689	0	0	0	0
EAS	1	32	607	5	7.4858136177063	0	0	0	0
EAS	1	52	1937	5	4.09907531738281	0	0	1	89
EAS	1	53	1944	5	4.06219530105591	0	0	1	47
EAS	1	55	1674	5	5.32165551185608	0	0	0	0
EAS	1	63	2018	5	3.78370594978333	0	0	0	0
EAS	1	68	780	5	8.53542804718018	0	0	0	0
EAS	1	70	1671	5	4.90540862083435	0	0	0	0
EAS	1	72	1426	5	1.69855833053589	0	0	0	0
EAS	1	74	2203	5	4.33186411857605	0	0	1	30
EAS	1	92	1861	5	1.77582669258118	0	0	0	0
EAS	1	100	2396	5	2.57822155952454	0	0	0	0
EAS	1	105	5088	5	21.6376459598541	0	0	0	0
EAS	1	115	1911	5	3.05290555953979	0	0	0	0
EAS	1	117	1292	5	1.57667303085327	0	0	0	0
EAS	1	125	3555	5	4.6021032333374	0	0	0	0
EAS	1	127	1723	5	1.7277147769928	0	0	0	0
EAS	1	128	3033	5	4.09594917297363	0	0	0	0
EAS	1	129	838	5	1.01636934280396	0	0	0	0
EAS	1	141	1174	5	1.31764101982117	0	0	0	0
EAS	1	147	1590	5	1.39618706703186	0	0	0	0
EAS	1	154	3001	5	4.04188227653503	0	0	0	0
EAS	1	156	1629	5	2.32906031608582	0	0	0	0
EAS	1	158	1230	5	4.47992086410522	0	0	0	0
EAS	1	166	845	5	2.51213002204895	0	0	0	0
EAS	1	170	2067	5	2.02312421798706	0	0	0	0
EAS	1	175	3040	5	8.1641001701355	0	0	0	0
EAS	1	183	3491	5	9.38011455535889	0	0	0	0
EAS	1	185	958	5	1.07412958145142	0	0	0	0
EAS	1	186	1833	5	3.17942380905151	0	0	0	0
EAS	1	187	2083	5	2.12348079681396	0	0	0	0
EAS	1	188	3098	5	7.43376803398132	0	0	0	0
EAS	1	192	2704	5	9.71432733535767	0	0	0	0
EAS	1	198	5912	5	66.1148617267609	0	0	0	0
EAS	1	201	2148	5	6.11761856079102	0	0	0	0
EAS	1	204	1784	5	1.93059635162354	0	0	0	0
EAS	1	213	1032	5	1.20086121559143	0	0	0	0
EAS	1	216	2104	5	5.02455234527588	0	0	0	0
EAS	1	226	711	5	1.99331521987915	0	0	0	0
EAS	1	232	2612	5	7.0256621837616	0	0	0	0
EAS	1	239	1141	5	1.19517374038696	0	0	0	0
EAS	1	240	5505	5	37.3279993534088	0	0	0	0
EAS	1	243	1190	5	2.29260420799255	0	0	0	0
EAS	1	252	835	5	2.19028329849243	0	0	0	0
EAS	1	262	1877	5	7.82816076278687	0	0	0	0
EAS	1	263	1738	5	4.7552387714386	0	0	0	0
EAS	1	274	2356	5	4.06708979606628	0	0	0	0
EAS	2	4	908	5	1.046058177948	0	0	0	0
EAS	2	33	2752	5	6.45829629898071	0	0	0	0
EAS	2	38	2061	5	5.35576295852661	0	0	0	0
EAS	2	45	2173	5	4.63592171669006	0	0	0	0
EAS	2	48	1366	5	1.30240917205811	0	0	0	0
EAS	2	49	1765	5	6.21678233146667	0	0	0	0
EAS	2	63	1182	5	3.55443072319031	0	0	0	0
EAS	2	66	3469	5	17.5285036563873	0	0	0	0
EAS	2	79	1521	5	5.80245304107666	0	0	0	0
EAS	2	81	4075	5	30.1805348396301	0	0	0	0
EAS	2	84	5420	5	58.9445056915283	0	0	0	0
EAS	2	85	6065	5	29.990895986557	0	0	1	73
EAS	2	87	752	5	1.69878578186035	0	0	1	37
EAS	2	88	5803	5	65.5382325649261	0	0	0	0
EAS	2	100	942	5	3.066241979599	0	0	0	0
EAS	2	101	1105	5	1.32031273841858	0	0	0	0
EAS	2	105	2888	5	18.1038255691528	0	0	0	0
EAS	2	107	4146	5	20.676717042923	0	0	0	0
EAS	2	108	2975	5	13.4444365501404	0	0	0	0
EAS	2	112	4021	5	25.8861417770386	0	0	0	0
EAS	2	116	2225	5	11.2046222686768	0	0	0	0
EAS	2	145	1274	5	6.02539587020874	0	0	0	0
