pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
european	1	2	76	0.0627896785736084	0	0	0	0
european	1	5	1193	0.60863184928894	0	0	1	5
european	1	15	2079	1.49716377258301	0	0	1	54
european	1	17	2665	2.29314684867859	0	0	0	0
european	1	32	714	0.416944742202759	0	0	0	0
european	1	52	2831	5.92680788040161	0	0	0	0
european	1	53	2386	4.31618618965149	0	0	1	17
european	1	55	1712	1.15079164505005	0	0	1	7
european	1	63	1412	1.46107125282288	0	0	1	11
european	1	68	861	0.330226421356201	0	0	0	0
european	1	70	2325	4.5908682346344	0	0	0	0
european	1	72	1695	1.96917605400085	0	0	0	0
european	1	74	2465	4.79990577697754	0	0	1	9
european	1	92	2152	3.85758376121521	0	0	0	0
european	1	100	2341	1.6657600402832	0	0	1	19
european	1	105	5705	26.2472610473633	0	0	2	235
european	1	115	2409	3.48633337020874	0	0	0	0
european	1	117	1409	0.862470865249634	0	0	0	0
european	1	125	4192	4.67323851585388	0	0	1	61
european	1	127	2042	4.1843113899231	0	0	1	6
european	1	128	3723	7.5451602935791	0	0	2	138
european	1	129	1152	0.79063081741333	0	0	1	18
european	1	141	1474	1.18841004371643	0	0	0	0
european	1	147	2673	6.96453452110291	0	0	0	0
european	1	154	3942	4.96344614028931	0	0	1	136
european	1	156	2045	1.97543978691101	0	0	0	0
european	1	158	1720	2.00917172431946	0	1	0	0
european	1	166	671	0.274158000946045	0	0	0	0
european	1	170	2077	1.56219100952148	0	0	1	52
european	1	175	3433	6.16814303398132	0	0	0	0
european	1	183	4530	20.5007283687592	0	0	0	0
european	1	185	1185	0.688402414321899	0	0	0	0
european	1	186	2487	2.7757580280304	0	0	1	7
european	1	187	2314	4.43893456459045	0	1	1	2
european	1	188	3552	11.0881485939026	0	0	0	0
european	1	192	2649	4.31188058853149	0	1	0	0
european	1	198	6148	49.1490797996521	0	0	0	0
european	1	201	2828	6.50942540168762	0	0	0	0
european	1	204	2056	2.8157651424408	0	0	2	71
european	1	213	1342	1.53739762306213	0	0	0	0
european	1	216	2359	2.88662219047546	0	0	0	0
european	1	226	760	0.20728611946106	0	1	0	0
european	1	232	3636	3.94083905220032	0	0	0	0
european	1	239	1085	0.951382637023926	0	0	0	0
european	1	240	5277	16.5697555541992	0	0	0	0
