pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	1	2	495	1.00878716641561	5500	37.0991652011871	6.26289930180788e-4	4.712810944750211e-4	5.251205215051482e-4	3.033041322306943e-4	5.045839968367543e-4	2.5289494628619424e-4	0	0	1	109
EAS	1	5	1109	1.0019047195800366	5500	130.672481775284	0.21351926328152193	3.3327937194360916e-5	3.31533400254922e-5	1.399793735337519e-5	2.9868397749856027e-5	2.6937881641563943e-5	0	0	0	0
EAS	1	15	1585	1.0023159955551733	5500	213.317149877548	0.0022255935951342133	4.0652703293722206e-5	3.982676174292681e-5	1.441274278020068e-5	3.4923749636056555e-5	2.711897674473298e-5	0	0	0	0
EAS	1	17	2112	1.00193192134486	5500	394.634700775146	0.49246362592320025	2.1398620693408594e-4	2.265627768742867e-4	6.813089753931583e-5	2.4100571122126035e-4	1.4351041452483269e-4	0	0	0	0
EAS	1	32	607	1.0025076487575721	5500	24.4999995231628	0.23960270700400166	9.477013833302779e-5	1.0486563494655778e-4	5.816157110650723e-5	1.0282622543556728e-4	9.658430383542448e-5	0	0	0	0
EAS	1	52	1937	1.0033872322340043	5500	317.198143482208	0.07820784242698697	6.991332405924486e-4	7.017289335712809e-4	2.125589007083025e-4	6.756369389213346e-4	2.730526550741819e-4	0	0	1	77
EAS	1	53	1944	1.0143020380979584	5500	375.627664327621	0.0021073715572624213	5.65632788474367e-4	5.866350870090979e-4	1.78629830391271e-4	5.686496654152893e-4	2.656267391703187e-4	0	0	1	86
EAS	1	55	1674	1.002804194841847	5500	229.920700311661	0.16591309312189817	6.268922905240437e-4	6.433268919748463e-4	2.0832929313954992e-4	6.191163277007512e-4	2.8208303087556326e-4	0	0	0	0
EAS	1	63	2018	1.003038505392627	5500	386.987957715988	0.01146840901749746	2.9351122174573754e-4	2.994986991831343e-4	8.913609385126771e-5	3.117528209309954e-4	1.6704847826367182e-4	0	0	0	0
EAS	1	68	780	1.0028213898919534	5500	36.2953343391418	0.0025631879132114862	8.96225149142473e-5	9.314261151954186e-5	4.693329685314648e-5	9.113048303382158e-5	8.791113958981716e-5	0	0	0	0
EAS	1	70	1671	1.0022730368198733	5500	232.752099514008	0.0024722460454295807	9.4606565276576e-5	9.43013236488991e-5	3.1318349679588474e-5	9.21783417662018e-5	6.923925844193699e-5	0	0	0	0
EAS	1	72	1426	1.002390777862866	5500	190.38655090332	0.0022350766655425984	8.303053172531698e-5	8.335883440528451e-5	3.071363330737713e-5	7.4931508492287e-5	5.63528554600669e-5	0	0	0	0
EAS	1	74	2203	1.0069928638183328	5500	434.887182474136	0.0037815824109065487	6.280607492166994e-4	6.331613734657002e-4	1.801894623650931e-4	6.558501200678872e-4	2.713402012164958e-4	0	0	0	0
EAS	1	92	1861	1.0026415051604431	5500	286.102531433105	0.0022739952638204477	7.13628343977064e-5	7.078454063658288e-5	2.2482382143406995e-5	6.268016918634404e-5	4.259012089920782e-5	0	0	0	0
EAS	1	100	2396	1.0025505979347102	5500	477.740560054779	0.6188062795081903	3.9295588963391293e-4	4.060185081891852e-4	1.1209250817066115e-4	3.9529425644335535e-4	1.9068070059876204e-4	0	0	0	0
EAS	1	105	5088	1.004727297618854	5500	2664.41100144386	0.29118537211214424	6.91136572026465e-4	7.063258818143272e-4	1.3264422348928018e-4	7.434512307888213e-4	2.693308483365918e-4	0	0	0	0
EAS	1	115	1911	1.0026565653587534	5500	260.478154182434	0.5032845315626908	1.3549339940099542e-4	1.432839543356329e-4	4.614491492978544e-5	1.560252500792443e-4	1.0502877719244686e-4	0	0	0	0
EAS	1	117	1292	1.002651185173734	5500	132.646092176437	0.15779227863078882	4.439685489728296e-5	4.399749399919406e-5	1.7825819675132235e-5	3.7816660314423574e-5	3.0437333689105624e-5	0	0	0	0
EAS	1	125	3555	1.0020064836158367	5500	1032.22125959396	0.22861344314847387	8.857523801255954e-5	8.789202120667638e-5	2.0980084029908827e-5	8.652099978874708e-5	5.1640791271264935e-5	0	0	0	0
