pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	1	2	495	1.0051294361571668	5500	16.3580760955811	6.26289930180788e-4	5.113641498962678e-4	5.33579946650082e-4	2.9575972057303146e-4	5.165541477234952e-4	2.5456170855387984e-4	0	0	1	115
EAS	1	5	1109	1.0019553899097358	5500	109.349179983139	0.21351926328152193	4.712926285379699e-5	4.6589363830650934e-5	1.9631447801016807e-5	4.097694074690994e-5	3.541318451522518e-5	0	0	0	0
EAS	1	15	1585	1.0017289576949129	5500	213.846724271774	0.0022255935951342133	2.41113228889152e-5	2.3878320651746644e-05	8.54926706222843e-6	2.2357435713634897e-5	1.8403311372188788e-5	0	0	0	0
EAS	1	17	2112	1.0023269924301517	5500	394.78265953064	0.49246362592320025	3.1083340370479913e-4	3.2661092644826567e-4	9.681299700035695e-5	3.240763829853263e-4	1.7830577020580722e-4	0	0	0	0
EAS	1	32	607	1.001747637493944	5500	13.4080631732941	0.23960270700400166	8.34283512012811e-5	9.067250356500893e-5	4.873323437496806e-5	8.980018084396285e-5	8.522295356149924e-5	0	0	0	0
EAS	1	52	1937	1.004080941267729	5500	308.129992723465	0.07820784242698697	6.576347652498413e-4	6.694504647054924e-4	1.9815468654925617e-4	6.573251491623599e-4	2.769443730991602e-4	0	0	1	96
EAS	1	53	1944	1.007829311992535	5500	409.362418174744	0.0021073715572624213	5.332413332099694e-4	5.497167819012647e-4	1.716317231272594e-4	5.251494308146805e-4	2.516219936225906e-4	0	0	1	95
EAS	1	55	1674	1.002972591014955	5500	212.0759370327	0.16591309312189817	5.368208483780515e-4	5.594271585083044e-4	1.7974404936355745e-4	5.679978529384682e-4	2.6870805874182346e-4	0	0	0	0
EAS	1	63	2018	1.003146675274673	5500	344.105797290802	0.01146840901749746	3.075246458741053e-4	3.114587483804456e-4	9.460957047244774e-5	3.2196466326675217e-4	1.717155275802803e-4	0	0	0	0
EAS	1	68	780	1.0028471299008628	5500	27.6887128353119	0.0025631879132114862	9.724501625088673e-5	1.004870221177854e-4	4.981086051780766e-5	9.439236184128382e-5	9.214381348037787e-5	0	0	0	0
