block	start	end	num_variants
1	692794	1105721	730
2	1107303	1517716	865
3	1520553	1969219	586
4	1971762	2364843	784
5	2365885	3062565	1134
7	3272755	3679775	983
9	4010743	4296669	748
10	4298308	4772053	1129
11	4772717	5090490	738
13	5312038	5631696	471
14	5632270	6219363	1173
15	6221826	7247335	1483
16	7248555	7607204	752
17	7608246	9068020	1942
18	9068386	9470898	946
19	9472590	10813675	1457
21	10993727	11774979	1006
23	11824133	12198362	621
24	12201248	12686012	618
28	14172179	14625964	850
29	14628054	15099694	1014
35	15686314	17496777	1671
37	17540695	17919587	684
38	17919817	18570722	1242
40	18664626	19051594	768
41	19053070	20060965	1657
42	20061456	20469098	656
45	21010824	21978648	1198
46	21979230	22737400	1297
47	22737883	23184353	673
48	23184933	23909515	562
49	23911033	24526135	566
50	24527816	25306562	904
51	25308380	26003756	685
52	26006356	27962554	1419
53	27962685	29718378	1277
54	29718655	30160934	493
55	30162068	30745268	935
56	30745709	31222529	845
57	31224000	32149982	1235
58	32152518	34058911	1299
61	34375199	34798381	653
62	34799758	35367290	918
63	35368760	37020563	1194
67	37549639	38559394	1239
68	38559533	38949795	623
70	39051320	40196964	1441
71	40198467	41319146	1278
72	41319912	41974484	855
73	41975176	43518703	1409
74	43519301	44963463	1281
75	44965141	47229608	1864
76	47234335	48097892	976
77	48098051	48482986	421
78	48484051	49068404	724
79	49069090	53115895	1635
80	53116251	53634451	661
82	53974987	54743807	931
83	54745467	55480504	1425
84	55481104	56801542	1771
85	56801873	57278215	744
87	57299393	57778545	633
88	57779221	58535543	1036
89	58536417	59344307	1031
91	59488772	60197393	679
92	60199591	61358599	1252
96	62110865	62826652	1349
97	62829076	64104307	1322
98	64105056	65149516	1174
99	65152364	65696034	553
100	65697042	66773349	1126
101	66774019	67767526	953
102	67767988	68567622	969
103	68567812	70243717	1783
104	70244227	70987292	590
106	74326484	75014538	396
108	76976522	77547106	573
109	77548834	79062751	1247
110	79063489	79495187	429
112	81354844	82116143	1334
113	82117200	82883239	862
114	82884721	83468851	660
115	83468985	84729935	1322
116	84732779	85391582	839
117	85393172	85941299	673
118	85941403	87654606	1756
119	87655963	88034019	434
122	88456574	90528881	1657
124	90601335	92122248	1828
126	94509226	95313507	979
127	95314443	96150397	1100
128	96151207	97949441	1645
129	97949735	98727780	486
130	98728204	99799082	1032
131	99800813	101195435	1277
132	101197183	102297394	1323
136	106767908	107911006	986
137	107919523	108524590	836
138	108525472	110334275	1754
140	110673700	111116752	666
141	111117014	111740942	676
142	111741188	112103722	610
143	112104827	112877541	995
144	112877724	113753022	704
145	113754070	114663021	806
147	114875359	116019137	1142
148	116019486	117030354	1196
150	117594287	118837888	1112
151	118840499	120346162	1664
153	145184805	149696318	1421
154	149738218	152536784	1840
155	152537954	153329020	696
156	153330178	154710922	1110
158	154770139	156394393	1092
160	156663125	157478397	1031
161	157478463	158020479	510
162	158020983	158902344	865
163	158906119	159761465	862
166	160161628	160609477	405
168	160651457	161975329	1728
169	161975974	163506280	2126
170	163506362	164525558	992
173	164660234	165464785	1234
174	165465281	165825133	557
175	165825166	167463906	1838
178	167642807	168369018	869
180	168407955	169522631	1464
182	171223951	172934339	1557
183	172935407	175428190	1646
185	175724222	176437086	466
186	176442000	177748866	1014
187	177750489	178939493	1084
188	178941405	180225223	1483
189	180225837	181144537	929
191	181446325	182546230	1086
192	182546325	183931812	1332
193	183932632	185433809	1389
194	185435037	186968766	1316
195	186968984	187850780	1072
196	187852709	188710844	745
197	188712587	189758772	655
199	192565871	193507769	738
201	195925267	197938516	1213
202	197938806	199240239	1319
203	199240424	200136582	1096
204	200137983	201070740	1245
205	201071884	201386916	574
207	201527417	202128179	937
208	202129531	203051113	983
211	203494379	204110660	909
212	204112138	204869559	967
213	204870988	205438914	856
214	205439769	205921859	702
215	206074625	206793648	541
216	206794912	208181709	1292
217	208184229	208634607	744
219	208810027	209722772	1324
221	209833446	210788531	1337
222	210789580	211079753	570
223	211081181	212345555	1433
224	212345669	213098629	992
225	213098872	213835207	669
226	213835936	214287233	638
228	214577101	215130661	641
229	215132091	216220364	1097
231	216675354	217249453	887
232	217251689	218551774	1588
233	218552455	220070325	1668
234	220070855	221858231	1874
235	221859233	222971032	1366
236	222971637	223632876	806
239	226135132	226759671	763
241	229124536	229528427	552
242	229528743	230211794	678
243	230212484	230685099	922
244	230686473	231909332	1706
246	232090493	232417711	613
247	232417901	232757560	685
248	232757658	233429284	919
249	233431241	233761271	576
250	233762619	234396991	1019
252	234482519	234879303	705
254	235097741	236201609	1180
255	236203280	236628640	769
257	236682248	237193336	867
259	237269823	237555417	598
260	237557130	237773617	526
262	237827646	238697154	1520
263	238698680	239329278	1007
264	239329695	239968019	749
265	239968613	240646941	1258
269	240846850	241178287	500
270	241180198	241817229	1167
273	242071724	242697031	1569
274	242698349	244319375	1927
276	244536026	244967771	561
277	244968669	245332962	584
278	245335984	245699234	804
279	245703007	245966297	711
281	247575636	249229734	1846
