pheno	db	chromosome	block	CS.EUR	CS.AFR	CS.EAS	size	SNP
LDL	UKBB	1	51	CS:EUR-1-51-L1		CS:EAS-1-51-L1	17	rs6699896,rs9438905,rs35148262,rs10903129,rs6699113,rs75263923,rs34054126,rs34397925,rs35614701,rs61775192,rs35343405,rs35243054,rs35932420,rs35199321,rs11538134,rs61775208,rs61775209
LDL	UKBB	1	84	CS:EUR-1-84-L3	CS:AFR-1-84-L3		2	rs6681159,rs10888896
LDL	UKBB	1	84	CS:EUR-1-84-L4	CS:AFR-1-84-L4		1	rs12069079
LDL	UKBB	1	84	CS:EUR-1-84-L6	CS:AFR-1-84-L6		1	rs4927206
LDL	UKBB	1	84	CS:EUR-1-84-L8	CS:AFR-1-84-L8		1	rs499883
LDL	UKBB	1	138	CS:EUR-1-138-L1	CS:AFR-1-138-L1	CS:EAS-1-138-L1	1	rs12740374
LDL	UKBB	1	234	CS:EUR-1-234-L2		CS:EAS-1-234-L2	4	rs11118607,rs2055117,rs112085512,rs17008888
LDL	UKBB	1	252	CS:EUR-1-252-L1	CS:AFR-1-252-L1	CS:EAS-1-252-L1	2	rs556107,rs557933
LDL	UKBB	1	254	CS:EUR-1-254-L1	CS:AFR-1-254-L1		3	rs28631087,rs3738621,rs3738622
LDL	UKBB	2	44	CS:EUR-2-44-L2	CS:AFR-2-44-L2	CS:EAS-2-44-L2	2	rs1367117,rs934197
LDL	UKBB	2	44	CS:EUR-2-44-L3	CS:AFR-2-44-L3	CS:EAS-2-44-L3	2	rs1042034,rs676210
LDL	UKBB	2	44	CS:EUR-2-44-L6	CS:AFR-2-44-L6		3	rs552658,rs564539,rs423836
LDL	UKBB	2	44	CS:EUR-2-44-L9	CS:AFR-2-44-L9		2	rs79524936,rs57305952
LDL	UKBB	2	45	CS:EUR-2-45-L1	CS:AFR-2-45-L1		1	rs11897825
LDL	UKBB	2	49	CS:EUR-2-49-L1	CS:AFR-2-49-L1		1	rs1260326
LDL	UKBB	2	72	CS:EUR-2-72-L1		CS:EAS-2-72-L1	1	rs13020929
LDL	UKBB	2	163	CS:EUR-2-163-L1	CS:AFR-2-163-L1		4	rs4556933,rs7601153,rs13019116,rs6437108
LDL	UKBB	2	172	CS:EUR-2-172-L1	CS:AFR-2-172-L1		7	rs4142230,rs10184673,rs2389606,rs2287623,rs12989783,rs28689500,rs66491446
LDL	UKBB	3	51	CS:EUR-3-51-L1		CS:EAS-3-51-L1	2	rs7640978,rs9834932
LDL	UKBB	3	120	CS:EUR-3-120-L1		CS:EAS-3-120-L1	1	rs3732359
LDL	UKBB	4	80	CS:EUR-4-80-L1	CS:AFR-4-80-L1		4	rs293448,rs293435,rs293427,rs451891
LDL	UKBB	4	115	CS:EUR-4-115-L1	CS:AFR-4-115-L1		6	rs13132193,rs6533016,rs6846971,rs2126627,rs13115343,rs6817730
LDL	UKBB	5	64	CS:EUR-5-64-L1		CS:EAS-5-64-L1	1	rs77304245
LDL	UKBB	5	69	CS:EUR-5-69-L1		CS:EAS-5-69-L1	6	rs3843467,rs3936511,rs3936510,rs13173241,rs28650790,rs9686661
LDL	UKBB	5	84	CS:EUR-5-84-L1		CS:EAS-5-84-L1	30	rs820826,rs11742621,rs6453075,rs11743655,rs2314936,rs1043968,rs6874609,rs3733794,rs6453084,rs6861730,rs62366417,rs6866082,rs6863738,rs6874094,rs62366424,rs16872299,rs56202905,rs11741789,rs11955898,rs6873067,rs62366458,rs16872333,rs2044410,rs62367762,rs56068548,rs7708203,rs1993370,rs16872364,rs6453087,rs7717223
LDL	UKBB	5	85	CS:EUR-5-85-L1	CS:AFR-5-85-L1	CS:EAS-5-85-L1	1	rs12916
LDL	UKBB	5	166	CS:EUR-5-166-L1	CS:AFR-5-166-L1		4	rs4704826,rs12657266,rs1501908,rs55776147
LDL	UKBB	6	35	CS:EUR-6-35-L1		CS:EAS-6-35-L1	2	rs2066905,rs6920309
LDL	UKBB	6	100	CS:EUR-6-100-L1	CS:AFR-6-100-L1		1	rs17185536
