pheno	pid	chromosome	block	num_variants_0.9.UKBB	num_variants_0.9.UKBB_0.1.GLGC
HDL	AFR	1	1	0	0
HDL	AFR	1	2	0	0
HDL	AFR	1	3	0	0
HDL	AFR	1	5	0	0
HDL	AFR	1	15	0	0
HDL	AFR	1	17	0	0
HDL	AFR	1	18	0	0
HDL	AFR	1	19	0	0
HDL	AFR	1	21	0	0
HDL	AFR	1	23	0	0
HDL	AFR	1	24	0	0
HDL	AFR	1	35	0	0
HDL	AFR	1	40	0	0
HDL	AFR	1	43	0	0
HDL	AFR	1	44	0	0
HDL	AFR	1	46	0	0
HDL	AFR	1	48	0	0
HDL	AFR	1	49	0	0
HDL	AFR	1	50	0	0
HDL	AFR	1	51	0	0
HDL	AFR	1	52	0	0
HDL	AFR	1	53	0	0
HDL	AFR	1	57	0	0
HDL	AFR	1	63	0	0
HDL	AFR	1	70	0	0
HDL	AFR	1	71	0	0
HDL	AFR	1	73	0	0
HDL	AFR	1	74	0	0
HDL	AFR	1	75	0	0
HDL	AFR	1	76	0	0
HDL	AFR	1	80	0	0
HDL	AFR	1	85	0	0
HDL	AFR	1	87	0	0
HDL	AFR	1	90	0	0
HDL	AFR	1	92	0	0
HDL	AFR	1	94	0	0
HDL	AFR	1	96	0	0
HDL	AFR	1	97	0	0
HDL	AFR	1	98	0	0
HDL	AFR	1	100	0	0
HDL	AFR	1	102	0	0
HDL	AFR	1	105	0	0
HDL	AFR	1	110	0	0
HDL	AFR	1	113	0	0
HDL	AFR	1	117	0	0
HDL	AFR	1	122	0	0
HDL	AFR	1	124	0	0
HDL	AFR	1	125	0	0
HDL	AFR	1	128	0	0
HDL	AFR	1	129	0	0
HDL	AFR	1	132	0	0
HDL	AFR	1	136	0	0
HDL	AFR	1	138	0	0
HDL	AFR	1	139	0	0
HDL	AFR	1	143	0	0
HDL	AFR	1	153	0	0
HDL	AFR	1	154	0	0
HDL	AFR	1	156	0	0
HDL	AFR	1	158	0	0
HDL	AFR	1	159	0	0
HDL	AFR	1	160	0	0
HDL	AFR	1	168	0	0
HDL	AFR	1	173	0	0
HDL	AFR	1	181	0	0
HDL	AFR	1	182	0	0
HDL	AFR	1	183	0	0
HDL	AFR	1	187	0	0
HDL	AFR	1	189	0	0
HDL	AFR	1	191	0	0
HDL	AFR	1	192	0	0
HDL	AFR	1	193	0	0
HDL	AFR	1	201	0	0
HDL	AFR	1	202	0	0
HDL	AFR	1	203	0	0
HDL	AFR	1	204	0	0
HDL	AFR	1	207	0	0
HDL	AFR	1	208	0	0
HDL	AFR	1	209	0	0
HDL	AFR	1	211	0	0
HDL	AFR	1	213	0	0
HDL	AFR	1	214	0	0
HDL	AFR	1	215	0	0
HDL	AFR	1	216	0	0
HDL	AFR	1	218	0	0
HDL	AFR	1	221	0	0
HDL	AFR	1	224	0	0
HDL	AFR	1	228	0	0
HDL	AFR	1	233	0	0
HDL	AFR	1	234	0	0
HDL	AFR	1	235	0	0
HDL	AFR	1	238	0	0
HDL	AFR	1	239	0	0
HDL	AFR	1	240	0	0
HDL	AFR	1	242	0	0
HDL	AFR	1	243	0	0
HDL	AFR	1	244	0	0
HDL	AFR	1	252	0	0
HDL	AFR	1	253	0	0
HDL	AFR	1	254	0	0
